,BSIG US Equity
,RSI_30D
2020-01-01,55.3242
2020-01-02,51.1151
2020-01-03,47.8707
2020-01-04,47.8707
2020-01-05,47.8707
2020-01-06,47.073
2020-01-07,48.2984
2020-01-08,50.4559
2020-01-09,51.6049
2020-01-10,53.138
2020-01-11,53.138
2020-01-12,53.138
2020-01-13,54.5288
2020-01-14,53.1306
2020-01-15,53.234
2020-01-16,54.7816
2020-01-17,54.1635
2020-01-18,54.1635
2020-01-19,54.1635
2020-01-20,54.1635
2020-01-21,52.0962
2020-01-22,52.0962
2020-01-23,48.7027
2020-01-24,46.4367
2020-01-25,46.4367
2020-01-26,46.4367
2020-01-27,44.1114
2020-01-28,44.1114
2020-01-29,46.3609
2020-01-30,46.1474
2020-01-31,43.8496
2020-02-01,43.8496
2020-02-02,43.8496
2020-02-03,46.1203
2020-02-04,52.2272
2020-02-05,54.0869
2020-02-06,55.7742
2020-02-07,51.8332
2020-02-08,51.8332
2020-02-09,51.8332
2020-02-10,53.0719
2020-02-11,55.6152
2020-02-12,54.0987
2020-02-13,54.8268
2020-02-14,54.1602
2020-02-15,54.1602
2020-02-16,54.1602
2020-02-17,54.1602
2020-02-18,57.7064
2020-02-19,56.2436
2020-02-20,59.4349
2020-02-21,59.8236
2020-02-22,59.8236
2020-02-23,59.8236
2020-02-24,55.9426
2020-02-25,52.5187
2020-02-26,46.4622
2020-02-27,44.4908
2020-02-28,44.9554
2020-02-29,44.9554
2020-03-01,44.9554
2020-03-02,43.5233
2020-03-03,38.2783
2020-03-04,38.8573
2020-03-05,36.6635
2020-03-06,33.5885
2020-03-07,33.5885
2020-03-08,33.5885
2020-03-09,28.7317
2020-03-10,32.0593
2020-03-11,31.687
2020-03-12,29.4518
2020-03-13,37.8714
2020-03-14,37.8714
2020-03-15,37.8714
2020-03-16,30.7229
2020-03-17,30.2706
2020-03-18,27.0562
2020-03-19,31.5546
2020-03-20,32.1115
2020-03-21,32.1115
2020-03-22,32.1115
2020-03-23,33.1122
2020-03-24,35.9217
2020-03-25,38.8667
2020-03-26,43.1095
2020-03-27,41.7603
2020-03-28,41.7603
2020-03-29,41.7603
2020-03-30,43.1908
2020-03-31,43.2938
2020-04-01,41.7296
2020-04-02,42.6934
2020-04-03,41.9752
2020-04-04,41.9752
2020-04-05,41.9752
2020-04-06,44.6509
2020-04-07,44.0623
2020-04-08,41.8607
2020-04-09,43.9012
2020-04-10,43.9012
2020-04-11,43.9012
2020-04-12,43.9012
2020-04-13,44.6939
2020-04-14,43.7559
2020-04-15,41.1564
2020-04-16,40.2671
2020-04-17,41.238
2020-04-18,41.238
2020-04-19,41.238
2020-04-20,40.4773
2020-04-21,41.4186
2020-04-22,45.6428
2020-04-23,47.1976
2020-04-24,49.4415
2020-04-25,49.4415
2020-04-26,49.4415
2020-04-27,50.6469
2020-04-28,52.0656
2020-04-29,54.0252
2020-04-30,51.6382
2020-05-01,51.9652
2020-05-02,51.9652
2020-05-03,51.9652
2020-05-04,52.204
2020-05-05,50.692
2020-05-06,50.6397
2020-05-07,55.1852
2020-05-08,56.1955
2020-05-09,56.1955
2020-05-10,56.1955
2020-05-11,54.1106
2020-05-12,52.0599
2020-05-13,51.5932
2020-05-14,52.8564
2020-05-15,52.8016
2020-05-16,52.8016
2020-05-17,52.8016
2020-05-18,55.923
2020-05-19,54.6761
2020-05-20,55.4239
2020-05-21,55.1884
2020-05-22,55.0674
2020-05-23,55.0674
2020-05-24,55.0674
2020-05-25,55.0674
2020-05-26,57.2031
2020-05-27,57.3461
2020-05-28,55.3684
2020-05-29,54.4289
2020-05-30,54.4289
2020-05-31,54.4289
2020-06-01,55.4711
2020-06-02,56.1455
2020-06-03,59.4222
2020-06-04,59.1492
2020-06-05,61.1345
2020-06-06,61.1345
2020-06-07,61.1345
2020-06-08,61.8043
2020-06-09,60.4394
2020-06-10,60.7228
2020-06-11,56.3351
2020-06-12,56.3351
2020-06-13,56.3351
2020-06-14,56.3351
2020-06-15,63.0477
2020-06-16,64.1644
2020-06-17,61.3219
2020-06-18,60.8678
2020-06-19,58.8084
2020-06-20,58.8084
2020-06-21,58.8084
2020-06-22,59.7763
2020-06-23,59.6445
2020-06-24,56.5488
2020-06-25,57.8684
2020-06-26,64.9804
2020-06-27,64.9804
2020-06-28,64.9804
2020-06-29,67.255
2020-06-30,66.3876
2020-07-01,65.452
2020-07-02,66.8689
2020-07-03,66.8689
2020-07-04,66.8689
2020-07-05,66.8689
2020-07-06,67.0594
2020-07-07,66.5971
2020-07-08,65.7266
2020-07-09,63.5453
2020-07-10,65.2102
2020-07-11,65.2102
2020-07-12,65.2102
2020-07-13,61.3063
2020-07-14,61.2451
2020-07-15,62.6338
2020-07-16,61.6811
2020-07-17,61.8013
2020-07-18,61.8013
2020-07-19,61.8013
2020-07-20,62.4911
2020-07-21,63.2185
2020-07-22,62.5907
2020-07-23,60.7191
2020-07-24,58.314
2020-07-25,58.314
2020-07-26,58.314
2020-07-27,65.854
2020-07-28,65.4751
2020-07-29,66.0807
2020-07-30,64.2665
2020-07-31,62.246
2020-08-01,62.246
2020-08-02,62.246
2020-08-03,60.5835
2020-08-04,60.7842
2020-08-05,63.115
2020-08-06,62.2853
2020-08-07,61.6404
2020-08-08,61.6404
2020-08-09,61.6404
2020-08-10,61.2468
2020-08-11,61.459
