,SNDR US Equity
,RSI_30D
2020-01-01,46.1609
2020-01-02,48.8578
2020-01-03,51.2946
2020-01-04,51.2946
2020-01-05,51.2946
2020-01-06,49.8041
2020-01-07,51.8475
2020-01-08,51.3966
2020-01-09,51.6575
2020-01-10,53.7142
2020-01-11,53.7142
2020-01-12,53.7142
2020-01-13,56.1278
2020-01-14,58.7951
2020-01-15,61.0411
2020-01-16,61.6956
2020-01-17,60.7455
2020-01-18,60.7455
2020-01-19,60.7455
2020-01-20,60.7455
2020-01-21,56.9168
2020-01-22,54.7559
2020-01-23,54.5695
2020-01-24,51.7455
2020-01-25,51.7455
2020-01-26,51.7455
2020-01-27,50.1855
2020-01-28,50.4431
2020-01-29,52.7194
2020-01-30,57.1668
2020-01-31,47.8536
2020-02-01,47.8536
2020-02-02,47.8536
2020-02-03,51.8428
2020-02-04,50.332
2020-02-05,52.7288
2020-02-06,53.5436
2020-02-07,53.7971
2020-02-08,53.7971
2020-02-09,53.7971
2020-02-10,48.8977
2020-02-11,48.5115
2020-02-12,49.7434
2020-02-13,49.2022
2020-02-14,46.2112
2020-02-15,46.2112
2020-02-16,46.2112
2020-02-17,46.2112
2020-02-18,46.0852
2020-02-19,45.6347
2020-02-20,45.1133
2020-02-21,43.5063
2020-02-22,43.5063
2020-02-23,43.5063
2020-02-24,38.0641
2020-02-25,35.0267
2020-02-26,31.2559
2020-02-27,28.1535
2020-02-28,27.5516
2020-02-29,27.5516
2020-03-01,27.5516
2020-03-02,30.6939
2020-03-03,30.3288
2020-03-04,34.2283
2020-03-05,31.4457
2020-03-06,31.5878
2020-03-07,31.5878
2020-03-08,31.5878
2020-03-09,29.1507
2020-03-10,33.4413
2020-03-11,31.5584
2020-03-12,30.3034
2020-03-13,38.4113
2020-03-14,38.4113
2020-03-15,38.4113
2020-03-16,34.0166
2020-03-17,40.4384
2020-03-18,42.6106
2020-03-19,41.2414
2020-03-20,41.6819
2020-03-21,41.6819
2020-03-22,41.6819
2020-03-23,38.5152
2020-03-24,41.7542
2020-03-25,44.381
2020-03-26,42.5779
2020-03-27,42.3067
2020-03-28,42.3067
2020-03-29,42.3067
2020-03-30,47.109
2020-03-31,48.3289
2020-04-01,45.7294
2020-04-02,46.0629
2020-04-03,45.9655
2020-04-04,45.9655
2020-04-05,45.9655
2020-04-06,48.6249
2020-04-07,49.2077
2020-04-08,50.5495
2020-04-09,52.0375
2020-04-10,52.0375
2020-04-11,52.0375
2020-04-12,52.0375
2020-04-13,49.822
2020-04-14,51.7011
2020-04-15,52.6358
2020-04-16,54.3617
2020-04-17,55.8938
2020-04-18,55.8938
2020-04-19,55.8938
2020-04-20,54.2892
2020-04-21,52.0479
2020-04-22,52.3636
2020-04-23,53.2827
2020-04-24,53.9892
2020-04-25,53.9892
2020-04-26,53.9892
2020-04-27,57.6953
2020-04-28,55.9875
2020-04-29,57.7846
2020-04-30,56.2425
2020-05-01,57.5107
2020-05-02,57.5107
2020-05-03,57.5107
2020-05-04,52.333
2020-05-05,53.8315
2020-05-06,53.0071
2020-05-07,52.9689
2020-05-08,54.3618
2020-05-09,54.3618
2020-05-10,54.3618
2020-05-11,56.5069
2020-05-12,53.7735
2020-05-13,52.4794
2020-05-14,51.6474
2020-05-15,51.609
