,GRA US Equity
,RSI_30D
2020-01-01,60.3717
2020-01-02,60.3717
2020-01-03,58.0779
2020-01-04,58.0779
2020-01-05,58.0779
2020-01-06,55.1235
2020-01-07,54.4738
2020-01-08,55.2758
2020-01-09,54.7174
2020-01-10,56.1574
2020-01-11,56.1574
2020-01-12,56.1574
2020-01-13,57.0563
2020-01-14,58.0417
2020-01-15,61.026
2020-01-16,64.1638
2020-01-17,62.5015
2020-01-18,62.5015
2020-01-19,62.5015
2020-01-20,62.5015
2020-01-21,62.738
2020-01-22,59.9147
2020-01-23,57.5251
2020-01-24,54.2087
2020-01-25,54.2087
2020-01-26,54.2087
2020-01-27,51.2248
2020-01-28,52.8547
2020-01-29,54.0082
2020-01-30,51.6414
2020-01-31,47.3484
2020-02-01,47.3484
2020-02-02,47.3484
2020-02-03,44.8446
2020-02-04,36.7744
2020-02-05,36.3096
2020-02-06,35.2159
2020-02-07,33.3906
2020-02-08,33.3906
2020-02-09,33.3906
2020-02-10,35.2987
2020-02-11,38.5751
2020-02-12,39.6607
2020-02-13,39.9834
2020-02-14,39.5674
2020-02-15,39.5674
2020-02-16,39.5674
2020-02-17,39.5674
2020-02-18,38.7338
2020-02-19,41.6139
2020-02-20,42.6834
2020-02-21,41.1248
2020-02-22,41.1248
2020-02-23,41.1248
2020-02-24,35.4034
2020-02-25,31.4277
2020-02-26,30.2606
2020-02-27,27.0995
2020-02-28,33.7683
2020-02-29,33.7683
2020-03-01,33.7683
2020-03-02,38.5088
2020-03-03,36.7248
2020-03-04,35.7574
2020-03-05,33.1745
2020-03-06,32.3407
2020-03-07,32.3407
2020-03-08,32.3407
2020-03-09,24.9149
2020-03-10,28.5618
2020-03-11,27.7817
2020-03-12,25.3952
2020-03-13,24.269
2020-03-14,24.269
2020-03-15,24.269
2020-03-16,20.0126
2020-03-17,18.9988
2020-03-18,17.3982
2020-03-19,23.3199
2020-03-20,23.8042
2020-03-21,23.8042
2020-03-22,23.8042
2020-03-23,23.5225
2020-03-24,27.0473
2020-03-25,29.7188
2020-03-26,35.1831
2020-03-27,34.6261
2020-03-28,34.6261
2020-03-29,34.6261
2020-03-30,34.0254
2020-03-31,32.7508
2020-04-01,31.5094
2020-04-02,31.9179
2020-04-03,31.7848
2020-04-04,31.7848
2020-04-05,31.7848
2020-04-06,35.9296
2020-04-07,39.1631
2020-04-08,40.2758
2020-04-09,43.1405
2020-04-10,43.1405
2020-04-11,43.1405
2020-04-12,43.1405
2020-04-13,41.2287
2020-04-14,41.1142
2020-04-15,39.3158
2020-04-16,38.4829
2020-04-17,42.0006
2020-04-18,42.0006
2020-04-19,42.0006
2020-04-20,41.5344
2020-04-21,40.3232
2020-04-22,41.5166
2020-04-23,43.4618
2020-04-24,44.8025
2020-04-25,44.8025
2020-04-26,44.8025
2020-04-27,47.2238
2020-04-28,48.7326
2020-04-29,53.5176
2020-04-30,51.3538
2020-05-01,49.9675
2020-05-02,49.9675
2020-05-03,49.9675
2020-05-04,51.2364
2020-05-05,52.9622
2020-05-06,52.1081
2020-05-07,53.0938
2020-05-08,56.028
2020-05-09,56.028
2020-05-10,56.028
2020-05-11,54.906
2020-05-12,52.2667
2020-05-13,48.9193
2020-05-14,49.8176
2020-05-15,50.1408
2020-05-16,50.1408
2020-05-17,50.1408
2020-05-18,53.2364
2020-05-19,53.2364
2020-05-20,54.5962
2020-05-21,54.9692
2020-05-22,55.634
2020-05-23,55.634
2020-05-24,55.634
2020-05-25,55.634
2020-05-26,57.7801
2020-05-27,57.8841
2020-05-28,55.0176
2020-05-29,55.1605
2020-05-30,55.1605
2020-05-31,55.1605
2020-06-01,55.9669
2020-06-02,57.0927
2020-06-03,59.6171
2020-06-04,60.1489
2020-06-05,60.7122
2020-06-06,60.7122
2020-06-07,60.7122
2020-06-08,61.3527
2020-06-09,60.4236
2020-06-10,58.0756
2020-06-11,50.457
2020-06-12,50.6242
2020-06-13,50.6242
2020-06-14,50.6242
2020-06-15,51.1586
2020-06-16,51.8808
2020-06-17,49.3069
2020-06-18,49.6196
2020-06-19,50.2906
2020-06-20,50.2906
2020-06-21,50.2906
2020-06-22,49.9031
2020-06-23,50.223
2020-06-24,47.4158
2020-06-25,49.3382
2020-06-26,48.786
2020-06-27,48.786
2020-06-28,48.786
2020-06-29,50.5933
2020-06-30,51.2084
2020-07-01,52.5824
2020-07-02,52.0628
2020-07-03,52.0628
2020-07-04,52.0628
2020-07-05,52.0628
2020-07-06,51.6631
2020-07-07,50.0038
2020-07-08,49.0019
2020-07-09,46.6005
2020-07-10,47.7547
2020-07-11,47.7547
2020-07-12,47.7547
2020-07-13,47.2937
2020-07-14,48.3999
2020-07-15,51.4061
2020-07-16,51.1689
2020-07-17,50.8202
2020-07-18,50.8202
2020-07-19,50.8202
2020-07-20,48.9881
2020-07-21,50.0269
2020-07-22,50.1658
2020-07-23,50.1498
2020-07-24,49.5763
2020-07-25,49.5763
2020-07-26,49.5763
2020-07-27,50.3152
2020-07-28,48.4942
2020-07-29,50.4186
2020-07-30,46.2137
2020-07-31,44.344
2020-08-01,44.344
2020-08-02,44.344
2020-08-03,43.0145
2020-08-04,44.1336
2020-08-05,44.4249
2020-08-06,44.4099
2020-08-07,46.4813
2020-08-08,46.4813
2020-08-09,46.4813
2020-08-10,46.9602
2020-08-11,47.613
2020-08-12,46.4142
2020-08-13,45.317
2020-08-14,44.2193
2020-08-15,44.2193
2020-08-16,44.2193
2020-08-17,42.9815
2020-08-18,41.5441
2020-08-19,40.0139
2020-08-20,40.3962
2020-08-21,38.5286
2020-08-22,38.5286
2020-08-23,38.5286
2020-08-24,43.0196
2020-08-25,41.249
2020-08-26,40.5553
2020-08-27,42.5745
2020-08-28,42.0457
2020-08-29,42.0457
2020-08-30,42.0457
2020-08-31,39.2846
2020-09-01,42.0973
2020-09-02,44.8213
2020-09-03,42.7702
2020-09-04,44.1031
2020-09-05,44.1031
2020-09-06,44.1031
2020-09-07,44.1031
2020-09-08,44.1426
2020-09-09,44.0458
2020-09-10,44.067
2020-09-11,45.0973
2020-09-12,45.0973
2020-09-13,45.0973
2020-09-14,46.3953
2020-09-15,45.5551
2020-09-16,47.7471
2020-09-17,52.8903
2020-09-18,49.009
2020-09-19,49.009
2020-09-20,49.009
2020-09-21,44.932
2020-09-22,42.3339
2020-09-23,41.3933
2020-09-24,43.8238
2020-09-25,44.0675
2020-09-26,44.0675
2020-09-27,44.0675
2020-09-28,44.8857
2020-09-29,43.067
2020-09-30,42.5616
2020-10-01,41.4659
2020-10-02,42.602
2020-10-03,42.602
2020-10-04,42.602
2020-10-05,43.0593
2020-10-06,42.2365
2020-10-07,43.1868
2020-10-08,45.5459
2020-10-09,45.182
2020-10-10,45.182
2020-10-11,45.182
2020-10-12,44.7243
2020-10-13,43.2767
2020-10-14,50.592
2020-10-15,56.6165
2020-10-16,54.0978
2020-10-17,54.0978
2020-10-18,54.0978
2020-10-19,53.9218
2020-10-20,54.6843
2020-10-21,55.0842
2020-10-22,56.4747
2020-10-23,57.9115
2020-10-24,57.9115
2020-10-25,57.9115
2020-10-26,54.3165
2020-10-27,53.3686
2020-10-28,46.9035
2020-10-29,49.5926
2020-10-30,48.8207
2020-10-31,48.8207
2020-11-01,48.8207
2020-11-02,50.0353
2020-11-03,49.9239
2020-11-04,48.0576
2020-11-05,50.8293
2020-11-06,49.7437
2020-11-07,49.7437
2020-11-08,49.7437
2020-11-09,63.7908
2020-11-10,61.598
2020-11-11,60.8327
2020-11-12,58.3938
2020-11-13,60.4053
2020-11-14,60.4053
2020-11-15,60.4053
2020-11-16,62.6435
2020-11-17,60.687
2020-11-18,59.1826
2020-11-19,59.2802
2020-11-20,60.0218
2020-11-21,60.0218
2020-11-22,60.0218
2020-11-23,60.703
2020-11-24,61.5188
2020-11-25,60.134
2020-11-26,60.134
2020-11-27,60.4855
2020-11-28,60.4855
2020-11-29,60.4855
2020-11-30,58.5532
2020-12-01,59.7115
2020-12-02,59.9172
2020-12-03,59.5858
2020-12-04,61.0993
2020-12-05,61.0993
2020-12-06,61.0993
2020-12-07,60.5303
2020-12-08,59.7799
2020-12-09,58.8151
2020-12-10,58.865
2020-12-11,56.7814
2020-12-12,56.7814
2020-12-13,56.7814
2020-12-14,55.1586
2020-12-15,56.192
2020-12-16,55.8018
2020-12-17,57.9963
2020-12-18,56.7752
2020-12-19,56.7752
2020-12-20,56.7752
2020-12-21,57.6831
2020-12-22,54.6768
2020-12-23,55.1975
2020-12-24,56.2659
2020-12-25,56.2659
2020-12-26,56.2659
2020-12-27,56.2659
2020-12-28,54.9649
2020-12-29,54.4331
2020-12-30,54.5898
2020-12-31,55.2428
2021-01-01,55.2428
2021-01-02,55.2428
2021-01-03,55.2428
2021-01-04,54.0467
2021-01-05,56.6417
2021-01-06,56.079
2021-01-07,55.5488
2021-01-08,56.6256
2021-01-09,56.6256
2021-01-10,56.6256
2021-01-11,61.7903
2021-01-12,61.7049
2021-01-13,59.8854
2021-01-14,59.9142
2021-01-15,65.7576
2021-01-16,65.7576
2021-01-17,65.7576
2021-01-18,65.7576
2021-01-19,62.8721
2021-01-20,62.7906
2021-01-21,62.6228
2021-01-22,61.2883
2021-01-23,61.2883
2021-01-24,61.2883
2021-01-25,58.9174
2021-01-26,57.38
2021-01-27,55.1191
2021-01-28,56.8335
2021-01-29,54.6912
2021-01-30,54.6912
2021-01-31,54.6912
2021-02-01,55.5953
2021-02-02,58.3356
2021-02-03,58.8526
2021-02-04,58.5479
2021-02-05,58.9727
2021-02-06,58.9727
2021-02-07,58.9727
2021-02-08,59.2852
2021-02-09,58.756
2021-02-10,57.647
2021-02-11,56.9355
2021-02-12,56.9527
2021-02-13,56.9527
2021-02-14,56.9527
2021-02-15,56.9527
2021-02-16,56.3713
2021-02-17,56.3475
2021-02-18,54.8616
2021-02-19,55.5269
