,UPS US Equity
,RSI_30D
2020-01-01,49.7869
2020-01-02,49.386
2020-01-03,49.2796
2020-01-04,49.2796
2020-01-05,49.2796
2020-01-06,48.4768
2020-01-07,48.1646
2020-01-08,49.2797
2020-01-09,49.7373
2020-01-10,47.9793
2020-01-11,47.9793
2020-01-12,47.9793
2020-01-13,49.5119
2020-01-14,50.405
2020-01-15,51.5309
2020-01-16,52.6759
2020-01-17,52.6569
2020-01-18,52.6569
2020-01-19,52.6569
2020-01-20,52.6569
2020-01-21,50.3909
2020-01-22,50.1511
2020-01-23,49.5319
2020-01-24,49.0197
2020-01-25,49.0197
2020-01-26,49.0197
2020-01-27,45.8582
2020-01-28,46.7766
2020-01-29,47.5738
2020-01-30,36.3621
2020-01-31,31.8757
2020-02-01,31.8757
2020-02-02,31.8757
2020-02-03,30.5777
2020-02-04,33.13
2020-02-05,37.7917
2020-02-06,38.5745
2020-02-07,35.2638
2020-02-08,35.2638
2020-02-09,35.2638
2020-02-10,35.2177
2020-02-11,38.2263
2020-02-12,39.3116
2020-02-13,38.9943
2020-02-14,40.1765
2020-02-15,40.1765
2020-02-16,40.1765
2020-02-17,40.1765
2020-02-18,40.9601
2020-02-19,41.5331
2020-02-20,41.1925
2020-02-21,37.2021
2020-02-22,37.2021
2020-02-23,37.2021
2020-02-24,33.871
2020-02-25,30.1452
2020-02-26,30.0187
2020-02-27,27.5621
2020-02-28,27.9987
2020-02-29,27.9987
2020-03-01,27.9987
2020-03-02,31.8408
2020-03-03,30.7517
2020-03-04,37.6312
2020-03-05,35.3562
2020-03-06,36.7675
2020-03-07,36.7675
2020-03-08,36.7675
2020-03-09,31.9022
2020-03-10,38.8273
2020-03-11,35.6184
2020-03-12,34.5067
2020-03-13,42.6997
2020-03-14,42.6997
2020-03-15,42.6997
2020-03-16,38.2915
2020-03-17,46.1027
2020-03-18,47.8367
2020-03-19,45.9722
2020-03-20,44.3159
2020-03-21,44.3159
2020-03-22,44.3159
2020-03-23,43.4113
2020-03-24,45.8732
2020-03-25,45.4109
2020-03-26,49.0974
2020-03-27,47.6719
2020-03-28,47.6719
2020-03-29,47.6719
2020-03-30,47.8935
2020-03-31,45.1608
2020-04-01,43.4045
2020-04-02,45.3282
2020-04-03,43.5707
2020-04-04,43.5707
2020-04-05,43.5707
2020-04-06,47.5047
2020-04-07,45.8907
2020-04-08,49.6475
2020-04-09,49.5869
2020-04-10,49.5869
2020-04-11,49.5869
2020-04-12,49.5869
2020-04-13,49.4185
2020-04-14,51.3066
2020-04-15,50.3412
2020-04-16,51.7992
2020-04-17,52.1343
2020-04-18,52.1343
2020-04-19,52.1343
2020-04-20,51.0605
2020-04-21,50.6567
2020-04-22,48.5933
2020-04-23,49.8842
2020-04-24,50.3954
2020-04-25,50.3954
2020-04-26,50.3954
2020-04-27,52.0386
2020-04-28,47.8081
2020-04-29,47.5988
2020-04-30,46.6416
2020-05-01,44.865
2020-05-02,44.865
2020-05-03,44.865
2020-05-04,43.949
2020-05-05,45.7312
2020-05-06,45.9036
2020-05-07,45.8352
2020-05-08,47.4571
2020-05-09,47.4571
2020-05-10,47.4571
2020-05-11,46.7904
2020-05-12,46.0197
2020-05-13,44.5102
2020-05-14,45.3452
2020-05-15,44.8601
2020-05-16,44.8601
2020-05-17,44.8601
2020-05-18,49.1808
2020-05-19,49.4476
2020-05-20,50.0638
2020-05-21,50.1727
2020-05-22,50.537
2020-05-23,50.537
2020-05-24,50.537
2020-05-25,50.537
2020-05-26,50.8468
2020-05-27,53.0627
2020-05-28,53.1483
2020-05-29,53.1383
2020-05-30,53.1383
2020-05-31,53.1383
2020-06-01,52.6957
2020-06-02,54.4218
2020-06-03,56.5727
2020-06-04,56.076
2020-06-05,58.9357
2020-06-06,58.9357
2020-06-07,58.9357
2020-06-08,61.7716
2020-06-09,58.8718
2020-06-10,57.5908
2020-06-11,51.6256
2020-06-12,52.4608
2020-06-13,52.4608
2020-06-14,52.4608
2020-06-15,55.7183
