,UMBF US Equity
,RSI_30D
2020-01-01,57.4663
2020-01-02,58.3708
2020-01-03,57.1965
2020-01-04,57.1965
2020-01-05,57.1965
2020-01-06,53.5727
2020-01-07,50.0743
2020-01-08,51.2954
2020-01-09,53.0762
2020-01-10,50.833
2020-01-11,50.833
2020-01-12,50.833
2020-01-13,52.8613
2020-01-14,51.6525
2020-01-15,50.5619
2020-01-16,54.8849
2020-01-17,53.016
2020-01-18,53.016
2020-01-19,53.016
2020-01-20,53.016
2020-01-21,48.0645
2020-01-22,48.5456
2020-01-23,48.4527
2020-01-24,44.6261
2020-01-25,44.6261
2020-01-26,44.6261
2020-01-27,43.8002
2020-01-28,45.6387
2020-01-29,51.5754
2020-01-30,56.4216
2020-01-31,49.1521
2020-02-01,49.1521
2020-02-02,49.1521
2020-02-03,51.1998
2020-02-04,52.9744
2020-02-05,56.6003
2020-02-06,55.1846
2020-02-07,52.0501
2020-02-08,52.0501
2020-02-09,52.0501
2020-02-10,52.3128
2020-02-11,52.7369
2020-02-12,52.4575
2020-02-13,53.568
2020-02-14,52.8759
2020-02-15,52.8759
2020-02-16,52.8759
2020-02-17,52.8759
2020-02-18,50.7874
2020-02-19,50.7097
2020-02-20,51.7533
2020-02-21,51.0982
2020-02-22,51.0982
2020-02-23,51.0982
2020-02-24,45.5332
2020-02-25,40.5198
2020-02-26,40.3889
2020-02-27,37.046
2020-02-28,32.7311
2020-02-29,32.7311
2020-03-01,32.7311
2020-03-02,40.0976
2020-03-03,37.6155
2020-03-04,41.3496
2020-03-05,39.3116
2020-03-06,36.579
2020-03-07,36.579
2020-03-08,36.579
2020-03-09,27.3976
2020-03-10,34.6188
2020-03-11,30.9724
2020-03-12,30.1108
2020-03-13,36.5921
2020-03-14,36.5921
2020-03-15,36.5921
2020-03-16,34.0742
2020-03-17,39.7431
2020-03-18,36.5164
2020-03-19,36.9059
2020-03-20,34.7473
2020-03-21,34.7473
2020-03-22,34.7473
2020-03-23,33.9399
2020-03-24,38.5136
2020-03-25,37.4688
2020-03-26,41.5632
2020-03-27,39.4108
2020-03-28,39.4108
2020-03-29,39.4108
2020-03-30,40.2936
2020-03-31,40.2151
2020-04-01,38.1215
2020-04-02,38.672
2020-04-03,37.7073
2020-04-04,37.7073
2020-04-05,37.7073
2020-04-06,38.7869
2020-04-07,39.5963
2020-04-08,42.5514
2020-04-09,45.8753
2020-04-10,45.8753
2020-04-11,45.8753
2020-04-12,45.8753
2020-04-13,43.1117
2020-04-14,43.618
2020-04-15,41.2914
2020-04-16,40.9225
2020-04-17,42.7534
2020-04-18,42.7534
2020-04-19,42.7534
2020-04-20,42.9332
2020-04-21,42.2152
2020-04-22,41.4576
2020-04-23,41.8709
2020-04-24,43.286
2020-04-25,43.286
2020-04-26,43.286
2020-04-27,46.142
2020-04-28,47.9328
2020-04-29,50.1105
2020-04-30,49.3044
2020-05-01,47.3581
2020-05-02,47.3581
2020-05-03,47.3581
2020-05-04,47.0875
2020-05-05,45.63
2020-05-06,43.8082
2020-05-07,43.9587
2020-05-08,46.5657
2020-05-09,46.5657
2020-05-10,46.5657
2020-05-11,45.2718
2020-05-12,43.5594
2020-05-13,42.0981
2020-05-14,43.8002
2020-05-15,43.2883
2020-05-16,43.2883
2020-05-17,43.2883
2020-05-18,47.6825
2020-05-19,44.9589
2020-05-20,47.3301
2020-05-21,48.0536
2020-05-22,47.7627
2020-05-23,47.7627
2020-05-24,47.7627
2020-05-25,47.7627
2020-05-26,50.7731
2020-05-27,54.7421
2020-05-28,52.5262
2020-05-29,51.741
2020-05-30,51.741
2020-05-31,51.741
2020-06-01,52.4942
2020-06-02,52.6453
2020-06-03,55.2919
2020-06-04,56.7757
2020-06-05,59.9965
2020-06-06,59.9965
2020-06-07,59.9965
2020-06-08,60.6471
2020-06-09,60.7935
2020-06-10,56.479
