,ENSG US Equity
,RSI_30D
2020-01-01,57.5246
2020-01-02,56.2876
2020-01-03,57.0832
2020-01-04,57.0832
2020-01-05,57.0832
2020-01-06,58.1853
2020-01-07,57.2795
2020-01-08,59.4972
2020-01-09,60.9646
2020-01-10,60.564
2020-01-11,60.564
2020-01-12,60.564
2020-01-13,61.7525
2020-01-14,59.2511
2020-01-15,60.3751
2020-01-16,62.0957
2020-01-17,61.0767
2020-01-18,61.0767
2020-01-19,61.0767
2020-01-20,61.0767
2020-01-21,59.8649
2020-01-22,60.6721
2020-01-23,54.7391
2020-01-24,51.3762
2020-01-25,51.3762
2020-01-26,51.3762
2020-01-27,51.1894
2020-01-28,53.9872
2020-01-29,54.543
2020-01-30,55.5157
2020-01-31,51.8128
2020-02-01,51.8128
2020-02-02,51.8128
2020-02-03,53.5432
2020-02-04,56.0586
2020-02-05,58.8766
2020-02-06,66.9893
2020-02-07,68.31
2020-02-08,68.31
2020-02-09,68.31
2020-02-10,68.6678
2020-02-11,66.7514
2020-02-12,66.7677
2020-02-13,67.4107
2020-02-14,64.1823
2020-02-15,64.1823
2020-02-16,64.1823
2020-02-17,64.1823
2020-02-18,64.594
2020-02-19,64.328
2020-02-20,62.4973
2020-02-21,60.8682
2020-02-22,60.8682
2020-02-23,60.8682
2020-02-24,53.8928
2020-02-25,51.4286
2020-02-26,51.3785
2020-02-27,46.9321
2020-02-28,43.9398
2020-02-29,43.9398
2020-03-01,43.9398
2020-03-02,43.598
2020-03-03,39.3002
2020-03-04,47.6041
2020-03-05,46.3792
2020-03-06,47.6885
2020-03-07,47.6885
2020-03-08,47.6885
2020-03-09,35.6304
2020-03-10,36.2625
2020-03-11,34.21
2020-03-12,29.8537
2020-03-13,30.8973
2020-03-14,30.8973
2020-03-15,30.8973
2020-03-16,26.1307
2020-03-17,31.0482
2020-03-18,33.0629
2020-03-19,41.6059
2020-03-20,39.9746
2020-03-21,39.9746
2020-03-22,39.9746
2020-03-23,39.1592
2020-03-24,45.4214
2020-03-25,43.3437
2020-03-26,43.9978
2020-03-27,42.3833
2020-03-28,42.3833
2020-03-29,42.3833
2020-03-30,47.2601
2020-03-31,46.5714
2020-04-01,39.9268
2020-04-02,42.8428
2020-04-03,43.5272
2020-04-04,43.5272
2020-04-05,43.5272
2020-04-06,46.6077
2020-04-07,45.4973
2020-04-08,47.7267
2020-04-09,49.7486
2020-04-10,49.7486
2020-04-11,49.7486
2020-04-12,49.7486
2020-04-13,47.4881
2020-04-14,48.4365
2020-04-15,46.5985
2020-04-16,47.529
2020-04-17,48.2088
2020-04-18,48.2088
2020-04-19,48.2088
2020-04-20,47.9773
2020-04-21,46.1927
2020-04-22,46.7875
2020-04-23,49.0236
2020-04-24,47.755
2020-04-25,47.755
2020-04-26,47.755
2020-04-27,50.1176
2020-04-28,49.0119
2020-04-29,51.7554
2020-04-30,48.7727
2020-05-01,47.9595
2020-05-02,47.9595
2020-05-03,47.9595
2020-05-04,46.0289
2020-05-05,47.376
2020-05-06,45.8826
2020-05-07,46.4966
2020-05-08,49.311
2020-05-09,49.311
2020-05-10,49.311
2020-05-11,50.2557
2020-05-12,50.1813
2020-05-13,48.4465
2020-05-14,49.5937
2020-05-15,50.2671
2020-05-16,50.2671
2020-05-17,50.2671
2020-05-18,53.1528
2020-05-19,51.7684
2020-05-20,53.3596
2020-05-21,53.8429
2020-05-22,54.6
2020-05-23,54.6
2020-05-24,54.6
2020-05-25,54.6
2020-05-26,55.7006
2020-05-27,57.8082
2020-05-28,55.4896
2020-05-29,54.277
2020-05-30,54.277
2020-05-31,54.277
2020-06-01,53.6168
2020-06-02,53.9209
2020-06-03,55.4599
2020-06-04,54.3482
2020-06-05,57.1778
2020-06-06,57.1778
2020-06-07,57.1778
2020-06-08,58.1038
2020-06-09,56.5755
2020-06-10,55.2713
2020-06-11,50.5574
2020-06-12,51.0451
2020-06-13,51.0451
2020-06-14,51.0451
2020-06-15,51.8472
2020-06-16,52.8365
2020-06-17,51.5635
2020-06-18,51.0874
2020-06-19,50.7044
2020-06-20,50.7044
2020-06-21,50.7044
2020-06-22,50.995
2020-06-23,50.6151
2020-06-24,48.9529
2020-06-25,49.5725
2020-06-26,47.3793
2020-06-27,47.3793
2020-06-28,47.3793
2020-06-29,49.2474
2020-06-30,50.884
2020-07-01,51.6724
2020-07-02,51.5574
2020-07-03,51.5574
2020-07-04,51.5574
2020-07-05,51.5574
2020-07-06,52.4335
2020-07-07,50.0657
2020-07-08,49.8737
2020-07-09,48.7266
2020-07-10,49.6817
2020-07-11,49.6817
2020-07-12,49.6817
2020-07-13,49.3602
2020-07-14,49.919
2020-07-15,54.7604
2020-07-16,54.4988
2020-07-17,55.2362
2020-07-18,55.2362
2020-07-19,55.2362
2020-07-20,53.9547
2020-07-21,55.2805
2020-07-22,55.7077
2020-07-23,55.4258
2020-07-24,54.5848
2020-07-25,54.5848
2020-07-26,54.5848
2020-07-27,56.1356
2020-07-28,54.8169
2020-07-29,55.9946
