,FCN US Equity
,RSI_30D
2020-01-01,48.6127
2020-01-02,52.0504
2020-01-03,54.1695
2020-01-04,54.1695
2020-01-05,54.1695
2020-01-06,54.826
2020-01-07,52.5701
2020-01-08,52.5379
2020-01-09,54.1351
2020-01-10,54.8637
2020-01-11,54.8637
2020-01-12,54.8637
2020-01-13,57.5577
2020-01-14,54.9568
2020-01-15,55.289
2020-01-16,56.0573
2020-01-17,58.0632
2020-01-18,58.0632
2020-01-19,58.0632
2020-01-20,58.0632
2020-01-21,58.2232
2020-01-22,60.4841
2020-01-23,61.8349
2020-01-24,56.5618
2020-01-25,56.5618
2020-01-26,56.5618
2020-01-27,57.5434
2020-01-28,60.8434
2020-01-29,60.0156
2020-01-30,60.9053
2020-01-31,58.04
2020-02-01,58.04
2020-02-02,58.04
2020-02-03,59.0904
2020-02-04,61.5345
2020-02-05,58.7633
2020-02-06,59.6164
2020-02-07,59.0795
2020-02-08,59.0795
2020-02-09,59.0795
2020-02-10,60.3544
2020-02-11,59.957
2020-02-12,61.345
2020-02-13,62.2892
2020-02-14,64.2415
2020-02-15,64.2415
2020-02-16,64.2415
2020-02-17,64.2415
2020-02-18,64.7803
2020-02-19,67.1179
2020-02-20,61.0509
2020-02-21,57.4683
2020-02-22,57.4683
2020-02-23,57.4683
2020-02-24,49.6698
2020-02-25,41.4995
2020-02-26,47.5201
2020-02-27,43.8016
2020-02-28,45.3284
2020-02-29,45.3284
2020-03-01,45.3284
2020-03-02,48.1167
2020-03-03,44.8009
2020-03-04,47.8092
2020-03-05,43.3133
2020-03-06,46.7081
2020-03-07,46.7081
2020-03-08,46.7081
2020-03-09,46.5071
2020-03-10,48.8355
2020-03-11,48.9106
2020-03-12,45.236
2020-03-13,52.8533
2020-03-14,52.8533
2020-03-15,52.8533
2020-03-16,48.9258
2020-03-17,51.3732
2020-03-18,58.7577
2020-03-19,51.661
2020-03-20,48.7573
2020-03-21,48.7573
2020-03-22,48.7573
2020-03-23,44.6057
2020-03-24,50.0393
2020-03-25,50.5051
2020-03-26,45.0617
2020-03-27,49.3764
2020-03-28,49.3764
