,FL US Equity
,RSI_30D
2020-01-01,41.5077
2020-01-02,39.3677
2020-01-03,39.4036
2020-01-04,39.4036
2020-01-05,39.4036
2020-01-06,41.8614
2020-01-07,43.7761
2020-01-08,43.6963
2020-01-09,41.6553
2020-01-10,43.6115
2020-01-11,43.6115
2020-01-12,43.6115
2020-01-13,43.1042
2020-01-14,43.7807
2020-01-15,43.7523
2020-01-16,46.1887
2020-01-17,46.969
2020-01-18,46.969
2020-01-19,46.969
2020-01-20,46.969
2020-01-21,47.0051
2020-01-22,47.6326
2020-01-23,46.2012
2020-01-24,43.8249
2020-01-25,43.8249
2020-01-26,43.8249
2020-01-27,43.0311
2020-01-28,45.0506
2020-01-29,46.7357
2020-01-30,45.8109
2020-01-31,42.5737
2020-02-01,42.5737
2020-02-02,42.5737
2020-02-03,48.3138
2020-02-04,50.2667
2020-02-05,53.5073
2020-02-06,54.1998
2020-02-07,50.9916
2020-02-08,50.9916
2020-02-09,50.9916
2020-02-10,46.7288
2020-02-11,48.3503
2020-02-12,52.7312
2020-02-13,52.2901
2020-02-14,50.5968
2020-02-15,50.5968
2020-02-16,50.5968
2020-02-17,50.5968
2020-02-18,49.1767
2020-02-19,47.9515
2020-02-20,51.0483
2020-02-21,46.5877
2020-02-22,46.5877
2020-02-23,46.5877
2020-02-24,42.7679
2020-02-25,39.0378
2020-02-26,37.2068
2020-02-27,35.9581
2020-02-28,43.222
2020-02-29,43.222
2020-03-01,43.222
2020-03-02,38.8499
2020-03-03,36.016
2020-03-04,40.4193
2020-03-05,36.3227
2020-03-06,35.9595
2020-03-07,35.9595
2020-03-08,35.9595
2020-03-09,34.448
2020-03-10,34.2904
2020-03-11,29.9986
2020-03-12,26.8574
2020-03-13,30.3431
2020-03-14,30.3431
2020-03-15,30.3431
2020-03-16,31.4355
2020-03-17,32.1623
2020-03-18,30.2302
2020-03-19,30.2302
2020-03-20,28.6502
2020-03-21,28.6502
2020-03-22,28.6502
2020-03-23,26.9828
2020-03-24,31.518
2020-03-25,33.7994
2020-03-26,37.1233
2020-03-27,35.9773
2020-03-28,35.9773
2020-03-29,35.9773
2020-03-30,36.2524
2020-03-31,35.8277
2020-04-01,33.8776
2020-04-02,33.6879
2020-04-03,32.0839
2020-04-04,32.0839
2020-04-05,32.0839
2020-04-06,39.0084
2020-04-07,39.8145
2020-04-08,40.7594
2020-04-09,43.7916
2020-04-10,43.7916
2020-04-11,43.7916
2020-04-12,43.7916
2020-04-13,41.5333
2020-04-14,42.0352
2020-04-15,40.8191
2020-04-16,40.5577
2020-04-17,42.5475
2020-04-18,42.5475
2020-04-19,42.5475
2020-04-20,41.8915
2020-04-21,42.5784
2020-04-22,41.0469
2020-04-23,41.8828
2020-04-24,43.6961
2020-04-25,43.6961
2020-04-26,43.6961
2020-04-27,46.6459
