,AAPL US Equity
,RSI_30D
2020-01-01,77.0114
2020-01-02,79.104
2020-01-03,75.9855
2020-01-04,75.9855
2020-01-05,75.9855
2020-01-06,76.755
2020-01-07,75.2707
2020-01-08,76.8474
2020-01-09,78.7296
2020-01-10,78.9223
2020-01-11,78.9223
2020-01-12,78.9223
2020-01-13,80.6406
2020-01-14,76.4771
2020-01-15,75.2193
2020-01-16,76.3885
2020-01-17,77.3767
2020-01-18,77.3767
2020-01-19,77.3767
2020-01-20,77.3767
2020-01-21,75.3575
2020-01-22,75.7007
2020-01-23,76.1656
2020-01-24,75.2698
2020-01-25,75.2698
2020-01-26,75.2698
2020-01-27,66.979
2020-01-28,70.1545
2020-01-29,72.2546
2020-01-30,71.8848
2020-01-31,61.8748
2020-02-01,61.8748
2020-02-02,61.8748
2020-02-03,61.3517
2020-02-04,65.0194
2020-02-05,65.8743
2020-02-06,67.0778
2020-02-07,64.319
2020-02-08,64.319
2020-02-09,64.319
2020-02-10,64.8347
2020-02-11,63.6206
2020-02-12,66.1835
2020-02-13,64.7352
2020-02-14,64.7626
2020-02-15,64.7626
2020-02-16,64.7626
2020-02-17,64.7626
2020-02-18,61.111
2020-02-19,62.796
2020-02-20,60.8364
2020-02-21,56.8303
2020-02-22,56.8303
2020-02-23,56.8303
2020-02-24,49.8633
2020-02-25,45.9088
2020-02-26,47.8449
2020-02-27,41.4243
2020-02-28,41.3762
2020-02-29,41.3762
2020-03-01,41.3762
2020-03-02,50.7708
2020-03-03,47.8151
2020-03-04,51.9107
2020-03-05,48.9996
2020-03-06,47.8989
2020-03-07,47.8989
2020-03-08,47.8989
2020-03-09,42.1436
2020-03-10,47.605
2020-03-11,45.3173
2020-03-12,39.8765
2020-03-13,47.065
2020-03-14,47.065
2020-03-15,47.065
2020-03-16,40.9716
2020-03-17,43.2358
2020-03-18,42.2611
2020-03-19,41.9623
2020-03-20,39.582
2020-03-21,39.582
2020-03-22,39.582
2020-03-23,38.8672
2020-03-24,43.7262
2020-03-25,43.51
2020-03-26,46.1271
2020-03-27,44.3662
2020-03-28,44.3662
2020-03-29,44.3662
2020-03-30,45.781
2020-03-31,45.6926
2020-04-01,43.4586
2020-04-02,44.3049
2020-04-03,43.7123
2020-04-04,43.7123
2020-04-05,43.7123
2020-04-06,48.0163
2020-04-07,47.4742
2020-04-08,48.7807
2020-04-09,49.159
2020-04-10,49.159
2020-04-11,49.159
2020-04-12,49.159
2020-04-13,50.2014
2020-04-14,52.8262
2020-04-15,52.285
2020-04-16,52.7173
2020-04-17,51.8803
2020-04-18,51.8803
2020-04-19,51.8803
2020-04-20,50.6256
2020-04-21,48.8436
2020-04-22,50.4722
2020-04-23,50.2432
2020-04-24,51.9181
2020-04-25,51.9181
2020-04-26,51.9181
2020-04-27,51.9603
2020-04-28,50.9012
2020-04-29,52.8817
2020-04-30,54.151
2020-05-01,53.0001
2020-05-02,53.0001
2020-05-03,53.0001
2020-05-04,53.8769
2020-05-05,54.8151
2020-05-06,55.4688
2020-05-07,56.134
2020-05-08,57.6549
2020-05-09,57.6549
2020-05-10,57.6549
2020-05-11,58.6586
2020-05-12,57.6164
2020-05-13,56.5313
2020-05-14,56.9529
2020-05-15,56.4049
2020-05-16,56.4049
2020-05-17,56.4049
2020-05-18,58.0587
2020-05-19,57.4923
2020-05-20,58.8808
2020-05-21,58.1134
2020-05-22,58.592
2020-05-23,58.592
2020-05-24,58.592
2020-05-25,58.592
2020-05-26,57.8678
2020-05-27,58.2092
2020-05-28,58.2447
2020-05-29,58.1315
2020-05-30,58.1315
2020-05-31,58.1315
2020-06-01,59.1664
2020-06-02,59.5605
2020-06-03,60.037
2020-06-04,58.9073
2020-06-05,61.3725
2020-06-06,61.3725
2020-06-07,61.3725
2020-06-08,61.8776
2020-06-09,64.4606
2020-06-10,66.4376
2020-06-11,59.8454
2020-06-12,60.5388
2020-06-13,60.5388
2020-06-14,60.5388
2020-06-15,61.5317
2020-06-16,63.5878
2020-06-17,63.3989
2020-06-18,63.431
2020-06-19,62.6149
