,DVA US Equity
,RSI_30D
2020-01-01,71.8542
2020-01-02,72.1571
2020-01-03,71.5417
2020-01-04,71.5417
2020-01-05,71.5417
2020-01-06,72.2193
2020-01-07,70.5915
2020-01-08,71.2318
2020-01-09,71.3087
2020-01-10,71.8843
2020-01-11,71.8843
2020-01-12,71.8843
2020-01-13,73.335
2020-01-14,74.4997
2020-01-15,74.9094
2020-01-16,76.1516
2020-01-17,76.7594
2020-01-18,76.7594
2020-01-19,76.7594
2020-01-20,76.7594
2020-01-21,77.2956
2020-01-22,78.0863
2020-01-23,77.8705
2020-01-24,80.8204
2020-01-25,80.8204
2020-01-26,80.8204
2020-01-27,76.2841
2020-01-28,77.2738
2020-01-29,77.475
2020-01-30,75.8541
2020-01-31,66.3196
2020-02-01,66.3196
2020-02-02,66.3196
2020-02-03,64.3696
2020-02-04,66.6336
2020-02-05,68.758
2020-02-06,69.9457
2020-02-07,65.0297
2020-02-08,65.0297
2020-02-09,65.0297
2020-02-10,66.9861
2020-02-11,73.2898
2020-02-12,69.6983
2020-02-13,67.953
2020-02-14,67.3561
2020-02-15,67.3561
2020-02-16,67.3561
2020-02-17,67.3561
2020-02-18,66.0178
2020-02-19,66.1258
2020-02-20,64.1565
2020-02-21,62.8653
2020-02-22,62.8653
2020-02-23,62.8653
2020-02-24,60.1162
2020-02-25,56.3641
2020-02-26,56.344
2020-02-27,52.8174
2020-02-28,49.9411
2020-02-29,49.9411
2020-03-01,49.9411
2020-03-02,56.8944
2020-03-03,49.665
2020-03-04,56.0269
2020-03-05,53.8489
2020-03-06,54.6856
2020-03-07,54.6856
2020-03-08,54.6856
2020-03-09,48.8613
2020-03-10,49.485
2020-03-11,46.2843
2020-03-12,40.0584
2020-03-13,48.4087
2020-03-14,48.4087
2020-03-15,48.4087
2020-03-16,44.873
2020-03-17,48.0346
2020-03-18,48.1435
2020-03-19,44.967
2020-03-20,40.4799
2020-03-21,40.4799
2020-03-22,40.4799
2020-03-23,41.1968
2020-03-24,43.9087
2020-03-25,45.2988
2020-03-26,48.3244
2020-03-27,47.822
2020-03-28,47.822
2020-03-29,47.822
2020-03-30,50.5392
2020-03-31,50.2538
2020-04-01,47.51
2020-04-02,45.7908
2020-04-03,42.4855
2020-04-04,42.4855
2020-04-05,42.4855
2020-04-06,47.0285
2020-04-07,47.7901
2020-04-08,51.4517
2020-04-09,49.8931
2020-04-10,49.8931
2020-04-11,49.8931
2020-04-12,49.8931
2020-04-13,49.0103
2020-04-14,51.3487
2020-04-15,50.9298
2020-04-16,51.2165
2020-04-17,52.3321
2020-04-18,52.3321
2020-04-19,52.3321
2020-04-20,51.8126
2020-04-21,47.9715
2020-04-22,47.8832
2020-04-23,48.6492
2020-04-24,49.1835
