,PAG US Equity
,RSI_30D
2020-01-01,53.6791
2020-01-02,53.3569
2020-01-03,51.9937
2020-01-04,51.9937
2020-01-05,51.9937
2020-01-06,50.011
2020-01-07,48.2414
2020-01-08,47.1665
2020-01-09,44.9977
2020-01-10,45.6719
2020-01-11,45.6719
2020-01-12,45.6719
2020-01-13,46.3894
2020-01-14,47.3361
2020-01-15,46.5203
2020-01-16,48.5462
2020-01-17,47.3899
2020-01-18,47.3899
2020-01-19,47.3899
2020-01-20,47.3899
2020-01-21,46.3854
2020-01-22,47.1841
2020-01-23,50.8216
2020-01-24,48.1081
2020-01-25,48.1081
2020-01-26,48.1081
2020-01-27,47.6922
2020-01-28,48.0407
2020-01-29,49.1697
2020-01-30,47.5838
2020-01-31,43.5925
2020-02-01,43.5925
2020-02-02,43.5925
2020-02-03,45.0078
2020-02-04,44.6108
2020-02-05,58.9418
2020-02-06,53.7113
2020-02-07,54.1648
2020-02-08,54.1648
2020-02-09,54.1648
2020-02-10,54.6247
2020-02-11,57.4467
2020-02-12,58.6945
2020-02-13,58.4646
2020-02-14,57.4994
2020-02-15,57.4994
2020-02-16,57.4994
2020-02-17,57.4994
2020-02-18,57.5992
2020-02-19,59.2346
2020-02-20,60.3375
2020-02-21,60.9836
2020-02-22,60.9836
2020-02-23,60.9836
2020-02-24,54.0961
2020-02-25,47.9452
2020-02-26,45.2596
2020-02-27,40.5406
2020-02-28,42.9271
2020-02-29,42.9271
2020-03-01,42.9271
2020-03-02,44.9278
2020-03-03,41.4347
2020-03-04,43.6624
2020-03-05,39.7519
2020-03-06,41.1884
2020-03-07,41.1884
2020-03-08,41.1884
2020-03-09,36.1869
2020-03-10,39.1054
2020-03-11,36.0517
2020-03-12,29.9578
2020-03-13,33.4944
2020-03-14,33.4944
2020-03-15,33.4944
2020-03-16,27.2555
2020-03-17,25.8387
2020-03-18,23.0082
2020-03-19,25.7828
2020-03-20,25.0644
2020-03-21,25.0644
2020-03-22,25.0644
2020-03-23,24.6202
2020-03-24,30.2503
2020-03-25,35.7019
2020-03-26,35.6864
2020-03-27,35.0715
2020-03-28,35.0715
2020-03-29,35.0715
2020-03-30,36.2371
2020-03-31,35.879
2020-04-01,34.3673
2020-04-02,33.1114
2020-04-03,31.9775
2020-04-04,31.9775
2020-04-05,31.9775
2020-04-06,36.8926
2020-04-07,39.9868
2020-04-08,43.8427
2020-04-09,45.9294
2020-04-10,45.9294
2020-04-11,45.9294
2020-04-12,45.9294
2020-04-13,44.4119
2020-04-14,44.4119
2020-04-15,42.8952
2020-04-16,42.529
2020-04-17,45.5617
2020-04-18,45.5617
2020-04-19,45.5617
2020-04-20,43.395
2020-04-21,42.6765
2020-04-22,42.2722
2020-04-23,43.4831
2020-04-24,45.2157
2020-04-25,45.2157
2020-04-26,45.2157
2020-04-27,47.243
2020-04-28,49.0296
2020-04-29,52.0988
2020-04-30,50.6793
2020-05-01,48.6605
2020-05-02,48.6605
2020-05-03,48.6605
2020-05-04,48.7752
2020-05-05,48.3726
2020-05-06,47.5051
2020-05-07,49.442
2020-05-08,50.972
2020-05-09,50.972
2020-05-10,50.972
2020-05-11,50.3656
2020-05-12,47.9124
2020-05-13,46.1354
2020-05-14,45.2402
2020-05-15,44.8016
2020-05-16,44.8016
2020-05-17,44.8016
2020-05-18,48.7115
2020-05-19,49.646
2020-05-20,49.6583
2020-05-21,50.1256
2020-05-22,49.2188
2020-05-23,49.2188
2020-05-24,49.2188
2020-05-25,49.2188
2020-05-26,51.3475
2020-05-27,54.0598
2020-05-28,52.5316
2020-05-29,51.0773
2020-05-30,51.0773
2020-05-31,51.0773
2020-06-01,51.3659
2020-06-02,52.8181
2020-06-03,55.5188
2020-06-04,55.8513
2020-06-05,60.01
2020-06-06,60.01
2020-06-07,60.01
2020-06-08,60.6684
2020-06-09,59.2378
2020-06-10,56.1657
2020-06-11,52.0737
2020-06-12,53.8893
2020-06-13,53.8893
2020-06-14,53.8893
2020-06-15,54.6525
2020-06-16,55.1354
2020-06-17,53.5534
2020-06-18,54.2666
2020-06-19,51.5083
2020-06-20,51.5083
2020-06-21,51.5083
2020-06-22,52.5236
2020-06-23,54.1815
2020-06-24,50.5907
2020-06-25,49.9767
2020-06-26,49.0649
2020-06-27,49.0649
2020-06-28,49.0649
2020-06-29,51.6425
2020-06-30,51.8475
2020-07-01,52.3151
2020-07-02,52.5534
2020-07-03,52.5534
2020-07-04,52.5534
2020-07-05,52.5534
2020-07-06,54.005
2020-07-07,53.3787
2020-07-08,54.7178
2020-07-09,52.2849
2020-07-10,54.1645
