,KRO US Equity
,RSI_30D
2020-01-01,56.2202
2020-01-02,52.672
2020-01-03,51.2707
2020-01-04,51.2707
2020-01-05,51.2707
2020-01-06,49.3105
2020-01-07,47.7137
2020-01-08,47.1395
2020-01-09,46.2047
2020-01-10,46.7093
2020-01-11,46.7093
2020-01-12,46.7093
2020-01-13,48.2978
2020-01-14,50.6218
2020-01-15,51.0923
2020-01-16,52.1151
2020-01-17,50.2746
2020-01-18,50.2746
2020-01-19,50.2746
2020-01-20,50.2746
2020-01-21,48.1171
2020-01-22,45.6407
2020-01-23,44.4224
2020-01-24,42.6887
2020-01-25,42.6887
2020-01-26,42.6887
2020-01-27,40.1595
2020-01-28,41.9831
2020-01-29,40.8248
2020-01-30,41.3824
2020-01-31,38.6214
2020-02-01,38.6214
2020-02-02,38.6214
2020-02-03,41.9884
2020-02-04,41.9241
2020-02-05,44.8094
2020-02-06,43.0656
2020-02-07,41.2149
2020-02-08,41.2149
2020-02-09,41.2149
2020-02-10,41.9271
2020-02-11,43.6057
2020-02-12,44.046
2020-02-13,43.004
2020-02-14,44.6301
2020-02-15,44.6301
2020-02-16,44.6301
2020-02-17,44.6301
2020-02-18,45.4353
2020-02-19,44.6149
2020-02-20,48.0547
2020-02-21,46.227
2020-02-22,46.227
2020-02-23,46.227
2020-02-24,44.7595
2020-02-25,38.9963
2020-02-26,40.0608
2020-02-27,37.1545
2020-02-28,37.4254
2020-02-29,37.4254
2020-03-01,37.4254
2020-03-02,37.0885
2020-03-03,36.9167
2020-03-04,38.9649
2020-03-05,35.8143
2020-03-06,33.568
2020-03-07,33.568
2020-03-08,33.568
2020-03-09,27.7899
2020-03-10,33.1898
2020-03-11,32.0658
2020-03-12,29.4345
2020-03-13,33.6941
2020-03-14,33.6941
2020-03-15,33.6941
2020-03-16,33.1397
2020-03-17,41.676
2020-03-18,42.3839
2020-03-19,41.2614
2020-03-20,39.1964
2020-03-21,39.1964
2020-03-22,39.1964
2020-03-23,37.3036
2020-03-24,40.46
2020-03-25,42.6982
2020-03-26,44.47
2020-03-27,41.523
2020-03-28,41.523
2020-03-29,41.523
2020-03-30,43.4874
2020-03-31,42.8667
2020-04-01,42.7825
2020-04-02,41.8469
2020-04-03,40.2732
2020-04-04,40.2732
2020-04-05,40.2732
2020-04-06,42.6228
2020-04-07,43.2007
2020-04-08,46.5425
2020-04-09,49.416
2020-04-10,49.416
2020-04-11,49.416
2020-04-12,49.416
2020-04-13,48.1257
2020-04-14,48.1257
2020-04-15,44.9617
2020-04-16,43.6943
2020-04-17,48.0315
2020-04-18,48.0315
2020-04-19,48.0315
2020-04-20,47.2155
2020-04-21,46.8496
2020-04-22,47.377
