,WEC US Equity
,RSI_30D
2020-01-01,52.2593
2020-01-02,47.6194
2020-01-03,49.3202
2020-01-04,49.3202
2020-01-05,49.3202
2020-01-06,49.5284
2020-01-07,48.4979
2020-01-08,48.8752
2020-01-09,51.6536
2020-01-10,53.2423
2020-01-11,53.2423
2020-01-12,53.2423
2020-01-13,56.2443
2020-01-14,57.0159
2020-01-15,59.9618
2020-01-16,62.1988
2020-01-17,62.732
2020-01-18,62.732
2020-01-19,62.732
2020-01-20,62.732
2020-01-21,65.2661
2020-01-22,66.3272
2020-01-23,67.1973
2020-01-24,67.6752
2020-01-25,67.6752
2020-01-26,67.6752
2020-01-27,65.9173
2020-01-28,65.9173
2020-01-29,66.3042
2020-01-30,69.8786
2020-01-31,67.1167
2020-02-01,67.1167
2020-02-02,67.1167
2020-02-03,68.8837
2020-02-04,64.4082
2020-02-05,65.1025
2020-02-06,64.7142
2020-02-07,64.1743
2020-02-08,64.1743
2020-02-09,64.1743
2020-02-10,64.9606
2020-02-11,65.0623
2020-02-12,66.1988
2020-02-13,68.2936
2020-02-14,69.4758
2020-02-15,69.4758
2020-02-16,69.4758
2020-02-17,69.4758
2020-02-18,71.1771
2020-02-19,69.3172
2020-02-20,69.2376
2020-02-21,69.4374
2020-02-22,69.4374
2020-02-23,69.4374
2020-02-24,66.6685
2020-02-25,61.4152
2020-02-26,60.9921
2020-02-27,47.6156
2020-02-28,41.2282
2020-02-29,41.2282
2020-03-01,41.2282
2020-03-02,52.229
2020-03-03,52.0223
2020-03-04,61.5191
2020-03-05,61.3297
2020-03-06,62.0667
2020-03-07,62.0667
2020-03-08,62.0667
2020-03-09,57.6851
2020-03-10,57.1171
2020-03-11,49.8221
2020-03-12,42.6968
2020-03-13,52.172
2020-03-14,52.172
2020-03-15,52.172
2020-03-16,45.4386
2020-03-17,54.2934
2020-03-18,55.8618
2020-03-19,44.9721
2020-03-20,36.4713
2020-03-21,36.4713
2020-03-22,36.4713
2020-03-23,35.1246
2020-03-24,41.6197
2020-03-25,41.9615
2020-03-26,45.7033
2020-03-27,47.0502
2020-03-28,47.0502
2020-03-29,47.0502
2020-03-30,48.6655
2020-03-31,46.7005
2020-04-01,44.4254
2020-04-02,47.0256
2020-04-03,45.6669
2020-04-04,45.6669
2020-04-05,45.6669
2020-04-06,48.9975
2020-04-07,47.2485
2020-04-08,49.5962
2020-04-09,52.5577
2020-04-10,52.5577
2020-04-11,52.5577
2020-04-12,52.5577
2020-04-13,50.9127
2020-04-14,52.9639
2020-04-15,51.6987
2020-04-16,52.6905
2020-04-17,53.3511
2020-04-18,53.3511
2020-04-19,53.3511
2020-04-20,50.9716
2020-04-21,50.5843
2020-04-22,51.2369
2020-04-23,50.1442
2020-04-24,49.8052
2020-04-25,49.8052
2020-04-26,49.8052
2020-04-27,48.5726
2020-04-28,50.3848
2020-04-29,49.5852
2020-04-30,48.052
2020-05-01,46.9155
2020-05-02,46.9155
2020-05-03,46.9155
2020-05-04,47.2244
2020-05-05,47.6155
2020-05-06,45.0324
2020-05-07,45.1584
2020-05-08,45.5324
2020-05-09,45.5324
2020-05-10,45.5324
2020-05-11,45.3231
2020-05-12,45.1383
2020-05-13,45.4245
2020-05-14,45.3925
2020-05-15,45.464
2020-05-16,45.464
2020-05-17,45.464
2020-05-18,47.6867
2020-05-19,47.0327
2020-05-20,47.521
2020-05-21,47.0648
2020-05-22,46.6612
2020-05-23,46.6612
2020-05-24,46.6612
2020-05-25,46.6612
2020-05-26,46.3188
2020-05-27,46.5083
2020-05-28,49.2194
2020-05-29,51.5053
2020-05-30,51.5053
2020-05-31,51.5053
2020-06-01,52.6243
2020-06-02,53.2933
2020-06-03,53.284
2020-06-04,51.9843
2020-06-05,52.2272
2020-06-06,52.2272
2020-06-07,52.2272
