,KNL US Equity
,RSI_30D
2020-01-01,45.7116
2020-01-02,44.4125
2020-01-03,44.4753
2020-01-04,44.4753
2020-01-05,44.4753
2020-01-06,43.609
2020-01-07,41.308
2020-01-08,40.9749
2020-01-09,39.2892
2020-01-10,41.5021
2020-01-11,41.5021
2020-01-12,41.5021
2020-01-13,45.1232
2020-01-14,46.0486
2020-01-15,45.5716
2020-01-16,47.0223
2020-01-17,46.966
2020-01-18,46.966
2020-01-19,46.966
2020-01-20,46.966
2020-01-21,47.6789
2020-01-22,49.5293
2020-01-23,49.5293
2020-01-24,47.6632
2020-01-25,47.6632
2020-01-26,47.6632
2020-01-27,48.2681
2020-01-28,49.8665
2020-01-29,46.8703
2020-01-30,49.1108
2020-01-31,45.4378
2020-02-01,45.4378
2020-02-02,45.4378
2020-02-03,48.3553
2020-02-04,48.5409
2020-02-05,51.9922
2020-02-06,52.7829
2020-02-07,50.7448
2020-02-08,50.7448
2020-02-09,50.7448
2020-02-10,53.0737
2020-02-11,53.6815
2020-02-12,52.5924
2020-02-13,51.2018
2020-02-14,50.6975
2020-02-15,50.6975
2020-02-16,50.6975
2020-02-17,50.6975
2020-02-18,51.6217
2020-02-19,37.1958
2020-02-20,32.9984
2020-02-21,32.3967
2020-02-22,32.3967
2020-02-23,32.3967
2020-02-24,31.5743
2020-02-25,28.0668
2020-02-26,26.1505
2020-02-27,24.2797
2020-02-28,23.9839
2020-02-29,23.9839
2020-03-01,23.9839
2020-03-02,23.9461
2020-03-03,23.0641
2020-03-04,26.1763
2020-03-05,23.9238
2020-03-06,23.0978
2020-03-07,23.0978
2020-03-08,23.0978
2020-03-09,20.2105
2020-03-10,20.1412
2020-03-11,18.647
2020-03-12,16.7271
2020-03-13,25.3706
2020-03-14,25.3706
2020-03-15,25.3706
2020-03-16,22.2317
2020-03-17,21.0434
2020-03-18,20.5881
2020-03-19,21.591
2020-03-20,21.2213
2020-03-21,21.2213
2020-03-22,21.2213
2020-03-23,20.9775
2020-03-24,22.167
2020-03-25,24.7701
2020-03-26,26.0074
2020-03-27,26.6103
2020-03-28,26.6103
2020-03-29,26.6103
2020-03-30,27.4402
2020-03-31,27.6629
2020-04-01,26.3256
2020-04-02,25.9045
2020-04-03,24.8908
2020-04-04,24.8908
2020-04-05,24.8908
2020-04-06,27.8131
2020-04-07,29.1498
2020-04-08,31.0431
2020-04-09,36.2103
2020-04-10,36.2103
2020-04-11,36.2103
2020-04-12,36.2103
2020-04-13,35.7267
2020-04-14,34.9799
2020-04-15,32.7121
2020-04-16,31.5662
2020-04-17,34.5029
2020-04-18,34.5029
2020-04-19,34.5029
2020-04-20,33.8443
2020-04-21,33.4113
2020-04-22,33.2855
2020-04-23,33.9716
2020-04-24,35.263
2020-04-25,35.263
2020-04-26,35.263
2020-04-27,38.4984
2020-04-28,40.5855
2020-04-29,44.8929
2020-04-30,43.6716
2020-05-01,41.8002
2020-05-02,41.8002
2020-05-03,41.8002
2020-05-04,41.6419
2020-05-05,41.7939
2020-05-06,40.0671
2020-05-07,40.9738
2020-05-08,43.8397
2020-05-09,43.8397
2020-05-10,43.8397
2020-05-11,42.092
2020-05-12,39.94
2020-05-13,38.2421
2020-05-14,39.6854
2020-05-15,40.6548
2020-05-16,40.6548
2020-05-17,40.6548
2020-05-18,45.5773
2020-05-19,43.5968
2020-05-20,43.4341
2020-05-21,43.3226
2020-05-22,43.8815
2020-05-23,43.8815
2020-05-24,43.8815
2020-05-25,43.8815
2020-05-26,47.9191
2020-05-27,50.3193
2020-05-28,47.7943
2020-05-29,45.0025
2020-05-30,45.0025
2020-05-31,45.0025
2020-06-01,45.573
2020-06-02,46.3853
2020-06-03,49.5648
2020-06-04,51.4199
2020-06-05,54.8815
2020-06-06,54.8815
2020-06-07,54.8815
2020-06-08,55.3895
2020-06-09,53.7423
2020-06-10,51.8906
2020-06-11,48.7171
2020-06-12,49.4437
2020-06-13,49.4437
