,EOG US Equity
,RSI_30D
2020-01-01,67.046
2020-01-02,67.397
2020-01-03,68.1811
2020-01-04,68.1811
2020-01-05,68.1811
2020-01-06,71.0995
2020-01-07,71.7597
2020-01-08,68.0695
2020-01-09,68.843
2020-01-10,65.2835
2020-01-11,65.2835
2020-01-12,65.2835
2020-01-13,63.9871
2020-01-14,64.7688
2020-01-15,65.1647
2020-01-16,65.7181
2020-01-17,62.617
2020-01-18,62.617
2020-01-19,62.617
2020-01-20,62.617
2020-01-21,60.4263
2020-01-22,58.8336
2020-01-23,56.7801
2020-01-24,53.7313
2020-01-25,53.7313
2020-01-26,53.7313
2020-01-27,49.2926
2020-01-28,49.8401
2020-01-29,47.3749
2020-01-30,48.3164
2020-01-31,44.7705
2020-02-01,44.7705
2020-02-02,44.7705
2020-02-03,43.0412
2020-02-04,46.183
2020-02-05,50.4898
2020-02-06,49.0916
2020-02-07,47.3446
2020-02-08,47.3446
2020-02-09,47.3446
2020-02-10,46.6108
2020-02-11,48.0087
2020-02-12,48.7599
2020-02-13,49.1464
2020-02-14,48.1937
2020-02-15,48.1937
2020-02-16,48.1937
2020-02-17,48.1937
2020-02-18,47.7029
2020-02-19,51.3197
2020-02-20,49.6533
2020-02-21,47.4538
2020-02-22,47.4538
2020-02-23,47.4538
2020-02-24,42.7242
2020-02-25,39.9286
2020-02-26,36.7039
2020-02-27,34.2854
2020-02-28,38.5525
2020-02-29,38.5525
2020-03-01,38.5525
2020-03-02,38.2374
2020-03-03,37.8929
2020-03-04,40.0372
2020-03-05,38.2093
2020-03-06,33.505
2020-03-07,33.505
2020-03-08,33.505
2020-03-09,24.9455
2020-03-10,29.1754
2020-03-11,28.055
2020-03-12,25.6864
2020-03-13,27.9617
2020-03-14,27.9617
2020-03-15,27.9617
2020-03-16,26.606
2020-03-17,26.5305
2020-03-18,26.1178
2020-03-19,29.5871
2020-03-20,31.2002
2020-03-21,31.2002
2020-03-22,31.2002
2020-03-23,31.046
2020-03-24,35.9661
2020-03-25,35.9107
2020-03-26,35.8276
2020-03-27,34.0305
2020-03-28,34.0305
2020-03-29,34.0305
2020-03-30,33.5278
2020-03-31,34.4509
2020-04-01,33.7697
2020-04-02,37.3614
2020-04-03,38.8359
2020-04-04,38.8359
2020-04-05,38.8359
2020-04-06,38.5642
2020-04-07,40.3474
2020-04-08,43.8607
2020-04-09,43.5458
2020-04-10,43.5458
2020-04-11,43.5458
2020-04-12,43.5458
2020-04-13,42.5179
2020-04-14,41.8105
2020-04-15,40.5066
2020-04-16,38.3829
2020-04-17,43.2424
2020-04-18,43.2424
2020-04-19,43.2424
2020-04-20,42.8026
2020-04-21,42.357
2020-04-22,44.7123
2020-04-23,45.64
2020-04-24,45.012
2020-04-25,45.012
2020-04-26,45.012
2020-04-27,46.0654
2020-04-28,46.4611
2020-04-29,48.8769
2020-04-30,48.7027
2020-05-01,46.3117
2020-05-02,46.3117
2020-05-03,46.3117
2020-05-04,48.2515
2020-05-05,47.6848
2020-05-06,47.5091
2020-05-07,49.7612
2020-05-08,52.4445
2020-05-09,52.4445
2020-05-10,52.4445
2020-05-11,50.9997
2020-05-12,50.8916
2020-05-13,49.5163
2020-05-14,48.9402
2020-05-15,49.0551
2020-05-16,49.0551
2020-05-17,49.0551
2020-05-18,53.3639
2020-05-19,51.6733
2020-05-20,53.3814
2020-05-21,53.0597
2020-05-22,53.0196
2020-05-23,53.0196
2020-05-24,53.0196
2020-05-25,53.0196
2020-05-26,52.1639
2020-05-27,53.3598
2020-05-28,52.2187
2020-05-29,51.5181
2020-05-30,51.5181
2020-05-31,51.5181
2020-06-01,52.3472
2020-06-02,55.1793
2020-06-03,55.6879
2020-06-04,55.4323
2020-06-05,59.1041
2020-06-06,59.1041
2020-06-07,59.1041
2020-06-08,61.3229
2020-06-09,58.2409
2020-06-10,54.1462
2020-06-11,49.9112
2020-06-12,51.1636
2020-06-13,51.1636
2020-06-14,51.1636
2020-06-15,50.8303
2020-06-16,52.9362
2020-06-17,50.9344
2020-06-18,51.3385
2020-06-19,50.7334
2020-06-20,50.7334
2020-06-21,50.7334
2020-06-22,50.8476
2020-06-23,50.8868
2020-06-24,47.4483
2020-06-25,49.2474
2020-06-26,47.3899
2020-06-27,47.3899
