,OXM US Equity
,RSI_30D
2020-01-01,56.1157
2020-01-02,58.0176
2020-01-03,57.2521
2020-01-04,57.2521
2020-01-05,57.2521
2020-01-06,58.3229
2020-01-07,57.6922
2020-01-08,55.3968
2020-01-09,49.0033
2020-01-10,49.0992
2020-01-11,49.0992
2020-01-12,49.0992
2020-01-13,51.1144
2020-01-14,51.7298
2020-01-15,51.4052
2020-01-16,53.0145
2020-01-17,52.8421
2020-01-18,52.8421
2020-01-19,52.8421
2020-01-20,52.8421
2020-01-21,50.9977
2020-01-22,51.2637
2020-01-23,50.2436
2020-01-24,48.9362
2020-01-25,48.9362
2020-01-26,48.9362
2020-01-27,45.9741
2020-01-28,46.3195
2020-01-29,48.5425
2020-01-30,51.0666
2020-01-31,44.0076
2020-02-01,44.0076
2020-02-02,44.0076
2020-02-03,45.6334
2020-02-04,49.1025
2020-02-05,50.2527
2020-02-06,49.2681
2020-02-07,45.1262
2020-02-08,45.1262
2020-02-09,45.1262
2020-02-10,44.4656
2020-02-11,44.8324
2020-02-12,47.6916
2020-02-13,46.5816
2020-02-14,45.0561
2020-02-15,45.0561
2020-02-16,45.0561
2020-02-17,45.0561
2020-02-18,41.8722
2020-02-19,41.0842
2020-02-20,42.6433
2020-02-21,42.6433
2020-02-22,42.6433
2020-02-23,42.6433
2020-02-24,39.2073
2020-02-25,35.9252
2020-02-26,35.304
2020-02-27,33.674
2020-02-28,33.1916
2020-02-29,33.1916
2020-03-01,33.1916
2020-03-02,33.8453
2020-03-03,32.3708
2020-03-04,34.3434
2020-03-05,31.5551
2020-03-06,31.6018
2020-03-07,31.6018
2020-03-08,31.6018
2020-03-09,28.5032
2020-03-10,29.6614
2020-03-11,25.2592
2020-03-12,21.8413
2020-03-13,23.1005
2020-03-14,23.1005
2020-03-15,23.1005
2020-03-16,19.7187
2020-03-17,18.2101
2020-03-18,16.8145
2020-03-19,16.7203
2020-03-20,20.9814
2020-03-21,20.9814
2020-03-22,20.9814
2020-03-23,20.6516
2020-03-24,27.2609
2020-03-25,27.5821
2020-03-26,31.7534
2020-03-27,29.0774
2020-03-28,29.0774
2020-03-29,29.0774
2020-03-30,29.0017
2020-03-31,29.5565
2020-04-01,27.8446
2020-04-02,27.3179
2020-04-03,26.9661
2020-04-04,26.9661
2020-04-05,26.9661
2020-04-06,33.6522
2020-04-07,35.3366
2020-04-08,37.0163
2020-04-09,39.3911
2020-04-10,39.3911
2020-04-11,39.3911
2020-04-12,39.3911
2020-04-13,38.1447
2020-04-14,39.6629
2020-04-15,37.9175
2020-04-16,36.6813
2020-04-17,40.3952
2020-04-18,40.3952
2020-04-19,40.3952
2020-04-20,39.3703
2020-04-21,38.198
2020-04-22,37.3207
2020-04-23,38.2566
2020-04-24,39.2706
2020-04-25,39.2706
2020-04-26,39.2706
2020-04-27,43.0444
2020-04-28,47.2405
2020-04-29,50.6599
2020-04-30,45.6936
2020-05-01,45.0117
2020-05-02,45.0117
2020-05-03,45.0117
2020-05-04,44.0594
2020-05-05,44.2542
2020-05-06,43.1498
2020-05-07,43.6669
2020-05-08,45.9248
2020-05-09,45.9248
2020-05-10,45.9248
2020-05-11,44.1294
2020-05-12,42.6043
2020-05-13,41.6465
2020-05-14,42.8417
2020-05-15,42.7486
2020-05-16,42.7486
2020-05-17,42.7486
2020-05-18,45.7745
2020-05-19,44.3275
2020-05-20,44.946
2020-05-21,46.1723
2020-05-22,45.6792
2020-05-23,45.6792
2020-05-24,45.6792
2020-05-25,45.6792
2020-05-26,50.1099
2020-05-27,52.1109
2020-05-28,50.9168
2020-05-29,49.0582
2020-05-30,49.0582
2020-05-31,49.0582
2020-06-01,49.5573
2020-06-02,53.5629
2020-06-03,56.2599
2020-06-04,57.2207
2020-06-05,60.2973
2020-06-06,60.2973
2020-06-07,60.2973
2020-06-08,61.3705
2020-06-09,59.1182
2020-06-10,55.6621
2020-06-11,48.4975
2020-06-12,50.4578
2020-06-13,50.4578
2020-06-14,50.4578
2020-06-15,47.9508
2020-06-16,49.6882
2020-06-17,49.5529
2020-06-18,49.2186
2020-06-19,48.0248
2020-06-20,48.0248
2020-06-21,48.0248
2020-06-22,47.9506
2020-06-23,47.6882
2020-06-24,46.5823
2020-06-25,45.8796
2020-06-26,45.2249
2020-06-27,45.2249
2020-06-28,45.2249
2020-06-29,48.4285
2020-06-30,49.5127
2020-07-01,48.0585
2020-07-02,49.1591
2020-07-03,49.1591
2020-07-04,49.1591
2020-07-05,49.1591
2020-07-06,49.2079
2020-07-07,47.7008
2020-07-08,48.4101
2020-07-09,48.1653
2020-07-10,47.6566
2020-07-11,47.6566
2020-07-12,47.6566
2020-07-13,49.2335
2020-07-14,48.7827
2020-07-15,52.254
2020-07-16,50.8209
2020-07-17,49.2645
2020-07-18,49.2645
2020-07-19,49.2645
2020-07-20,47.5233
2020-07-21,49.9147
2020-07-22,49.6826
2020-07-23,50.3556
2020-07-24,49.4832
2020-07-25,49.4832
2020-07-26,49.4832
2020-07-27,49.9037
2020-07-28,51.1098
2020-07-29,51.823
2020-07-30,50.2697
2020-07-31,48.8833
2020-08-01,48.8833
2020-08-02,48.8833
2020-08-03,48.8597
2020-08-04,50.1192
2020-08-05,52.4463
2020-08-06,49.9961
2020-08-07,52.4349
2020-08-08,52.4349
2020-08-09,52.4349
2020-08-10,54.5943
2020-08-11,54.7776
2020-08-12,55.5527
2020-08-13,54.2785
2020-08-14,54.8371
2020-08-15,54.8371
2020-08-16,54.8371
2020-08-17,53.4448
2020-08-18,49.9505
2020-08-19,50.8161
2020-08-20,50.036
2020-08-21,51.3779
2020-08-22,51.3779
2020-08-23,51.3779
2020-08-24,54.4464
2020-08-25,53.7366
2020-08-26,53.3766
2020-08-27,56.2672
2020-08-28,56.4586
2020-08-29,56.4586
2020-08-30,56.4586
2020-08-31,55.3528
2020-09-01,57.3352
2020-09-02,58.989
2020-09-03,58.6464
2020-09-04,48.6428
2020-09-05,48.6428
2020-09-06,48.6428
2020-09-07,48.6428
2020-09-08,49.692
2020-09-09,49.3056
2020-09-10,50.2633
2020-09-11,51.813
2020-09-12,51.813
2020-09-13,51.813
2020-09-14,52.0035
2020-09-15,51.0258
2020-09-16,52.384
2020-09-17,50.1224
2020-09-18,47.1865
2020-09-19,47.1865
2020-09-20,47.1865
2020-09-21,44.2077
2020-09-22,43.4559
2020-09-23,43.1777
2020-09-24,41.6911
2020-09-25,40.9105
2020-09-26,40.9105
2020-09-27,40.9105
2020-09-28,43.591
2020-09-29,43.0855
2020-09-30,44.1773
2020-10-01,46.526
2020-10-02,47.7052
2020-10-03,47.7052
2020-10-04,47.7052
2020-10-05,49.6678
2020-10-06,49.1229
2020-10-07,48.5587
2020-10-08,51.2527
2020-10-09,50.2055
2020-10-10,50.2055
2020-10-11,50.2055
2020-10-12,49.9723
2020-10-13,49.2073
2020-10-14,49.0802
2020-10-15,50.0355
2020-10-16,49.3914
2020-10-17,49.3914
2020-10-18,49.3914
2020-10-19,47.5223
2020-10-20,47.7318
2020-10-21,49.1686
2020-10-22,51.7583
2020-10-23,53.2398
2020-10-24,53.2398
2020-10-25,53.2398
2020-10-26,51.2567
2020-10-27,50.5441
2020-10-28,46.777
2020-10-29,49.3052
2020-10-30,45.747
2020-10-31,45.747
2020-11-01,45.747
2020-11-02,45.4054
2020-11-03,49.4458
2020-11-04,46.4203
2020-11-05,47.4658
2020-11-06,45.258
2020-11-07,45.258
2020-11-08,45.258
2020-11-09,57.0795
2020-11-10,58.0303
2020-11-11,53.0255
2020-11-12,49.1466
2020-11-13,52.5336
2020-11-14,52.5336
2020-11-15,52.5336
2020-11-16,55.0589
2020-11-17,59.1358
2020-11-18,60.2625
2020-11-19,60.0195
2020-11-20,57.8373
2020-11-21,57.8373
2020-11-22,57.8373
2020-11-23,59.9852
2020-11-24,62.0152
2020-11-25,59.4582
2020-11-26,59.4582
2020-11-27,57.7973
2020-11-28,57.7973
2020-11-29,57.7973
2020-11-30,57.6193
2020-12-01,58.8981
2020-12-02,59.4847
2020-12-03,60.566
2020-12-04,62.4992
2020-12-05,62.4992
2020-12-06,62.4992
2020-12-07,62.4162
2020-12-08,61.654
2020-12-09,59.7143
2020-12-10,56.913
2020-12-11,54.2892
2020-12-12,54.2892
2020-12-13,54.2892
2020-12-14,54.6701
2020-12-15,56.6686
2020-12-16,56.72
2020-12-17,57.6485
2020-12-18,59.5847
2020-12-19,59.5847
2020-12-20,59.5847
2020-12-21,59.9293
2020-12-22,60.7373
2020-12-23,61.3543
2020-12-24,60.7878
2020-12-25,60.7878
2020-12-26,60.7878
2020-12-27,60.7878
2020-12-28,61.9541
2020-12-29,62.4481
2020-12-30,63.7917
2020-12-31,62.2509
2021-01-01,62.2509
2021-01-02,62.2509
2021-01-03,62.2509
2021-01-04,58.7366
2021-01-05,60.3171
2021-01-06,64.2629
2021-01-07,64.7599
2021-01-08,62.3208
2021-01-09,62.3208
2021-01-10,62.3208
2021-01-11,64.7763
2021-01-12,66.7087
2021-01-13,63.7629
2021-01-14,63.4619
2021-01-15,62.9243
2021-01-16,62.9243
2021-01-17,62.9243
2021-01-18,62.9243
2021-01-19,62.2746
2021-01-20,63.7461
2021-01-21,61.7653
2021-01-22,61.7653
2021-01-23,61.7653
2021-01-24,61.7653
2021-01-25,62.6295
2021-01-26,59.0034
2021-01-27,57.9595
2021-01-28,56.6601
2021-01-29,53.7021
2021-01-30,53.7021
2021-01-31,53.7021
2021-02-01,52.7109
2021-02-02,53.1684
2021-02-03,54.2506
2021-02-04,57.8275
2021-02-05,58.3389
2021-02-06,58.3389
2021-02-07,58.3389
2021-02-08,60.4727
2021-02-09,61.1223
2021-02-10,60.0081
2021-02-11,62.3679
2021-02-12,62.8526
2021-02-13,62.8526
2021-02-14,62.8526
2021-02-15,62.8526
2021-02-16,62.4436
2021-02-17,60.889
2021-02-18,58.1784
2021-02-19,60.2745
2021-02-20,60.2745
2021-02-21,60.2745
2021-02-22,61.9032
2021-02-23,62.2101
2021-02-24,64.6871
2021-02-25,59.7282
2021-02-26,59.7027
2021-02-27,59.7027
2021-02-28,59.7027
2021-03-01,62.2164
2021-03-02,62.4419
2021-03-03,63.8447
2021-03-04,60.6744
2021-03-05,61.8838
2021-03-06,61.8838
2021-03-07,61.8838
2021-03-08,65.8588
2021-03-09,66.9907
2021-03-10,67.3379
2021-03-11,68.5517
2021-03-12,70.5566
2021-03-13,70.5566
2021-03-14,70.5566
2021-03-15,71.0779
2021-03-16,67.4404
2021-03-17,64.6439
2021-03-18,63.1956
2021-03-19,63.2683
2021-03-20,63.2683
2021-03-21,63.2683
2021-03-22,61.0219
2021-03-23,55.4237
2021-03-24,54.6071
2021-03-25,56.3062
2021-03-26,60.7031
2021-03-27,60.7031
2021-03-28,60.7031
2021-03-29,56.1584
2021-03-30,57.7823
2021-03-31,58.6948
2021-04-01,56.8573
2021-04-02,56.8573
2021-04-03,56.8573
2021-04-04,56.8573
2021-04-05,58.2249
2021-04-06,58.5158
2021-04-07,56.7672
2021-04-08,56.923
2021-04-09,58.4483
2021-04-10,58.4483
2021-04-11,58.4483
2021-04-12,60.0527
2021-04-13,59.0911
2021-04-14,58.0422
2021-04-15,57.6656
2021-04-16,58.461
2021-04-17,58.461
2021-04-18,58.461
2021-04-19,55.2819
2021-04-20,54.4179
2021-04-21,57.1545
2021-04-22,56.7908
2021-04-23,58.3849
2021-04-24,58.3849
2021-04-25,58.3849
2021-04-26,58.4592
2021-04-27,61.5381
2021-04-28,60.6557
2021-04-29,60.257
2021-04-30,58.2413
2021-05-01,58.2413
2021-05-02,58.2413
2021-05-03,59.5414
2021-05-04,60.591
2021-05-05,60.8111
2021-05-06,61.4464
2021-05-07,61.0079
2021-05-08,61.0079
2021-05-09,61.0079
2021-05-10,57.7401
2021-05-11,57.9794
2021-05-12,51.3814
2021-05-13,55.0142
2021-05-14,58.0417
2021-05-15,58.0417
2021-05-16,58.0417
2021-05-17,59.0265
2021-05-18,56.7834
2021-05-19,54.0178
2021-05-20,54.6848
2021-05-21,54.7544
2021-05-22,54.7544
2021-05-23,54.7544
2021-05-24,55.7567
2021-05-25,54.3048
2021-05-26,57.3699
2021-05-27,58.3866
2021-05-28,57.6582
2021-05-29,57.6582
2021-05-30,57.6582
2021-05-31,57.6582
2021-06-01,58.3964
2021-06-02,56.3299
2021-06-03,56.5343
2021-06-04,55.9803
2021-06-05,55.9803
2021-06-06,55.9803
2021-06-07,57.7921
2021-06-08,58.8486
2021-06-09,59.1221
2021-06-10,65.2813
2021-06-11,65.2559
2021-06-12,65.2559
2021-06-13,65.2559
2021-06-14,61.8656
2021-06-15,61.5373
2021-06-16,61.693
2021-06-17,58.2518
2021-06-18,54.8934
2021-06-19,54.8934
2021-06-20,54.8934
2021-06-21,57.0522
2021-06-22,56.8289
2021-06-23,56.3159
2021-06-24,57.0732
2021-06-25,54.4647
2021-06-26,54.4647
2021-06-27,54.4647
2021-06-28,52.8895
2021-06-29,53.1931
2021-06-30,55.151
2021-07-01,55.0219
2021-07-02,52.8255
2021-07-03,52.8255
2021-07-04,52.8255
2021-07-05,52.8255
2021-07-06,50.7839
2021-07-07,50.455
2021-07-08,50.6204
2021-07-09,56.3494
2021-07-10,56.3494
2021-07-11,56.3494
2021-07-12,57.5559
2021-07-13,58.0886
2021-07-14,55.8298
2021-07-15,49.988
2021-07-16,46.0959
2021-07-17,46.0959
2021-07-18,46.0959
2021-07-19,43.3723
2021-07-20,46.0103
2021-07-21,47.0389
2021-07-22,43.828
2021-07-23,45.2986
2021-07-24,45.2986
2021-07-25,45.2986
2021-07-26,46.4018
2021-07-27,44.2555
2021-07-28,43.8595
2021-07-29,44.7091
2021-07-30,44.3494
2021-07-31,44.3494
2021-08-01,44.3494
2021-08-02,43.5487
2021-08-03,44.12
2021-08-04,42.9442
2021-08-05,43.8211
2021-08-06,46.368
2021-08-07,46.368
2021-08-08,46.368
2021-08-09,46.0208
2021-08-10,50.2785
2021-08-11,52.2321
2021-08-12,50.7333
2021-08-13,50.4719
2021-08-14,50.4719
2021-08-15,50.4719
2021-08-16,50.4615
2021-08-17,47.9597
2021-08-18,47.3964
2021-08-19,47.1352
2021-08-20,49.0566
2021-08-21,49.0566
2021-08-22,49.0566
2021-08-23,49.8028
2021-08-24,51.8931
2021-08-25,52.0625
2021-08-26,49.1101
2021-08-27,52.5869
2021-08-28,52.5869
2021-08-29,52.5869
2021-08-30,51.1838
2021-08-31,48.5456
2021-09-01,51.2091
2021-09-02,51.8684
2021-09-03,52.4824
2021-09-04,52.4824
2021-09-05,52.4824
2021-09-06,52.4824
2021-09-07,47.0022
2021-09-08,47.6733
2021-09-09,48.3082
2021-09-10,47.3184
2021-09-11,47.3184
2021-09-12,47.3184
2021-09-13,48.7311
2021-09-14,45.9836
2021-09-15,46.4742
2021-09-16,45.2754
2021-09-17,45.4046
2021-09-18,45.4046
2021-09-19,45.4046
2021-09-20,43.7996
2021-09-21,44.1831
2021-09-22,46.4393
2021-09-23,47.3556
2021-09-24,49.1439
2021-09-25,49.1439
2021-09-26,49.1439
2021-09-27,53.6472
2021-09-28,53.6974
2021-09-29,54.3108
2021-09-30,49.4224
2021-10-01,51.7071
2021-10-02,51.7071
2021-10-03,51.7071
2021-10-04,52.7312
2021-10-05,53.0543
