,SPB US Equity
,RSI_30D
2020-01-01,72.0557
2020-01-02,70.0304
2020-01-03,69.6327
2020-01-04,69.6327
2020-01-05,69.6327
2020-01-06,70.3917
2020-01-07,66.8279
2020-01-08,66.9328
2020-01-09,65.6085
2020-01-10,66.4439
2020-01-11,66.4439
2020-01-12,66.4439
2020-01-13,66.6487
2020-01-14,65.8174
2020-01-15,65.9572
2020-01-16,66.8973
2020-01-17,67.1369
2020-01-18,67.1369
2020-01-19,67.1369
2020-01-20,67.1369
2020-01-21,59.8851
2020-01-22,57.2787
2020-01-23,58.714
2020-01-24,56.3387
2020-01-25,56.3387
2020-01-26,56.3387
2020-01-27,58.3638
2020-01-28,60.2912
2020-01-29,57.3852
2020-01-30,53.7988
2020-01-31,55.8635
2020-02-01,55.8635
2020-02-02,55.8635
2020-02-03,52.4062
2020-02-04,49.7479
2020-02-05,50.8668
2020-02-06,49.7703
2020-02-07,50.4483
2020-02-08,50.4483
2020-02-09,50.4483
2020-02-10,48.9545
2020-02-11,49.8911
2020-02-12,51.2032
2020-02-13,50.9327
2020-02-14,54.1858
2020-02-15,54.1858
2020-02-16,54.1858
2020-02-17,54.1858
2020-02-18,52.6463
2020-02-19,49.5984
2020-02-20,53.3631
2020-02-21,56.5877
2020-02-22,56.5877
2020-02-23,56.5877
2020-02-24,51.4728
2020-02-25,46.2311
2020-02-26,41.1993
2020-02-27,37.6453
2020-02-28,42.014
2020-02-29,42.014
2020-03-01,42.014
2020-03-02,48.8841
2020-03-03,51.0514
2020-03-04,53.2647
2020-03-05,48.6242
2020-03-06,46.9269
2020-03-07,46.9269
2020-03-08,46.9269
2020-03-09,41.5851
2020-03-10,41.6168
2020-03-11,38.5257
2020-03-12,31.6474
2020-03-13,38.5119
2020-03-14,38.5119
2020-03-15,38.5119
2020-03-16,34.9008
2020-03-17,30.9495
2020-03-18,26.0475
2020-03-19,29.0822
2020-03-20,28.8726
2020-03-21,28.8726
2020-03-22,28.8726
2020-03-23,28.6221
2020-03-24,33.3108
2020-03-25,39.2093
2020-03-26,41.1008
2020-03-27,39.3789
2020-03-28,39.3789
2020-03-29,39.3789
2020-03-30,39.7866
2020-03-31,40.12
2020-04-01,38.2403
2020-04-02,40.3727
2020-04-03,40.0963
2020-04-04,40.0963
2020-04-05,40.0963
2020-04-06,42.0007
2020-04-07,42.7665
2020-04-08,43.1779
2020-04-09,44.5646
2020-04-10,44.5646
2020-04-11,44.5646
2020-04-12,44.5646
2020-04-13,43.4095
2020-04-14,43.613
2020-04-15,41.9554
2020-04-16,42.1288
2020-04-17,43.5456
2020-04-18,43.5456
2020-04-19,43.5456
2020-04-20,42.3034
2020-04-21,42.3884
2020-04-22,41.6349
2020-04-23,42.1056
2020-04-24,42.4486
2020-04-25,42.4486
2020-04-26,42.4486
2020-04-27,44.9559
2020-04-28,46.8466
2020-04-29,49.6905
2020-04-30,49.8294
2020-05-01,48.6585
2020-05-02,48.6585
2020-05-03,48.6585
2020-05-04,48.5285
2020-05-05,49.4524
2020-05-06,47.3171
2020-05-07,49.0696
2020-05-08,51.0572
2020-05-09,51.0572
2020-05-10,51.0572
2020-05-11,48.2676
2020-05-12,47.2947
2020-05-13,44.5362
