,RGP US Equity
,RSI_30D
2020-01-01,69.1079
2020-01-02,69.1079
2020-01-03,77.6843
2020-01-04,77.6843
2020-01-05,77.6843
2020-01-06,64.0937
2020-01-07,62.5182
2020-01-08,62.5182
2020-01-09,58.7925
2020-01-10,58.2505
2020-01-11,58.2505
2020-01-12,58.2505
2020-01-13,59.2702
2020-01-14,58.5655
2020-01-15,58.7179
2020-01-16,59.6388
2020-01-17,58.5135
2020-01-18,58.5135
2020-01-19,58.5135
2020-01-20,58.5135
2020-01-21,53.1846
2020-01-22,55.0015
2020-01-23,55.7551
2020-01-24,52.876
2020-01-25,52.876
2020-01-26,52.876
2020-01-27,49.85
2020-01-28,50.3206
2020-01-29,50.4409
2020-01-30,49.6942
2020-01-31,44.8311
2020-02-01,44.8311
2020-02-02,44.8311
2020-02-03,45.4162
2020-02-04,45.681
2020-02-05,49.1284
2020-02-06,45.6847
2020-02-07,42.3191
2020-02-08,42.3191
2020-02-09,42.3191
2020-02-10,40.3303
2020-02-11,40.0647
2020-02-12,39.9739
2020-02-13,38.9691
2020-02-14,37.3787
2020-02-15,37.3787
2020-02-16,37.3787
2020-02-17,37.3787
2020-02-18,37.2912
2020-02-19,34.2748
2020-02-20,35.4747
2020-02-21,34.106
2020-02-22,34.106
2020-02-23,34.106
2020-02-24,32.5035
2020-02-25,28.482
2020-02-26,27.7825
2020-02-27,25.5635
2020-02-28,27.3211
2020-02-29,27.3211
2020-03-01,27.3211
2020-03-02,29.6135
2020-03-03,26.1475
2020-03-04,30.7887
2020-03-05,28.2389
2020-03-06,30.6166
2020-03-07,30.6166
2020-03-08,30.6166
2020-03-09,26.1755
2020-03-10,28.5578
2020-03-11,29.0958
2020-03-12,24.0089
2020-03-13,27.5727
2020-03-14,27.5727
2020-03-15,27.5727
2020-03-16,24.1248
2020-03-17,33.1669
2020-03-18,28.7518
2020-03-19,30.9612
2020-03-20,32.0836
2020-03-21,32.0836
2020-03-22,32.0836
2020-03-23,31.2489
2020-03-24,34.0115
2020-03-25,33.9778
2020-03-26,40.818
2020-03-27,38.9699
2020-03-28,38.9699
2020-03-29,38.9699
2020-03-30,42.1149
2020-03-31,42.6421
2020-04-01,40.1814
2020-04-02,39.7434
2020-04-03,38.0966
2020-04-04,38.0966
2020-04-05,38.0966
2020-04-06,37.537
2020-04-07,41.5351
2020-04-08,41.5351
2020-04-09,44.4422
2020-04-10,44.4422
2020-04-11,44.4422
2020-04-12,44.4422
2020-04-13,42.9558
2020-04-14,42.2447
2020-04-15,41.225
2020-04-16,40.2961
2020-04-17,42.6359
2020-04-18,42.6359
2020-04-19,42.6359
2020-04-20,43.9083
2020-04-21,42.6385
2020-04-22,43.1957
2020-04-23,44.0391
2020-04-24,42.5996
2020-04-25,42.5996
2020-04-26,42.5996
2020-04-27,44.4771
2020-04-28,46.0805
2020-04-29,47.8011
2020-04-30,47.1686
2020-05-01,46.7257
2020-05-02,46.7257
2020-05-03,46.7257
2020-05-04,44.9316
2020-05-05,45.4586
2020-05-06,43.6348
2020-05-07,45.0745
2020-05-08,47.9946
2020-05-09,47.9946
2020-05-10,47.9946
2020-05-11,46.2971
2020-05-12,43.9485
2020-05-13,42.7134
2020-05-14,44.4481
2020-05-15,45.5076
2020-05-16,45.5076
2020-05-17,45.5076
2020-05-18,49.698
2020-05-19,47.0159
2020-05-20,49.5729
2020-05-21,48.4014
2020-05-22,48.1073
2020-05-23,48.1073
2020-05-24,48.1073
2020-05-25,48.1073
2020-05-26,51.8401
2020-05-27,53.8807
2020-05-28,52.5203
2020-05-29,50.2489
2020-05-30,50.2489
2020-05-31,50.2489
2020-06-01,49.3173
2020-06-02,49.7736
2020-06-03,52.8018
2020-06-04,54.0499
2020-06-05,56.0535
2020-06-06,56.0535
2020-06-07,56.0535
2020-06-08,58.1908
2020-06-09,57.0098
2020-06-10,53.4807
2020-06-11,50.1705
2020-06-12,50.3575
2020-06-13,50.3575
2020-06-14,50.3575
2020-06-15,50.4056
2020-06-16,51.3808
2020-06-17,50.6087
2020-06-18,50.5041
2020-06-19,50.2353
2020-06-20,50.2353
2020-06-21,50.2353
2020-06-22,51.9288
2020-06-23,52.4518
2020-06-24,51.6954
2020-06-25,52.1892
2020-06-26,52.0668
2020-06-27,52.0668
2020-06-28,52.0668
2020-06-29,51.8155
2020-06-30,54.2705
2020-07-01,52.4697
2020-07-02,53.6626
2020-07-03,53.6626
2020-07-04,53.6626
2020-07-05,53.6626
2020-07-06,53.7769
2020-07-07,51.6042
2020-07-08,50.3604
2020-07-09,47.3058
2020-07-10,49.0774
2020-07-11,49.0774
2020-07-12,49.0774
2020-07-13,49.2665
2020-07-14,50.2848
2020-07-15,53.2001
2020-07-16,52.2103
2020-07-17,51.5489
2020-07-18,51.5489
2020-07-19,51.5489
2020-07-20,50.2966
2020-07-21,56.0516
2020-07-22,52.5544
2020-07-23,49.3137
2020-07-24,47.8422
2020-07-25,47.8422
2020-07-26,47.8422
2020-07-27,48.1387
2020-07-28,48.7414
2020-07-29,49.5004
2020-07-30,49.9603
2020-07-31,49.5866
2020-08-01,49.5866
2020-08-02,49.5866
2020-08-03,50.6682
2020-08-04,50.6021
2020-08-05,55.0852
2020-08-06,55.0154
2020-08-07,56.7719
2020-08-08,56.7719
2020-08-09,56.7719
2020-08-10,56.5509
2020-08-11,58.0709
2020-08-12,57.9932
2020-08-13,56.6977
