,BLMN US Equity
,RSI_30D
2020-01-01,63.4164
2020-01-02,63.5724
2020-01-03,60.3759
2020-01-04,60.3759
2020-01-05,60.3759
2020-01-06,62.592
2020-01-07,59.6461
2020-01-08,61.3659
2020-01-09,62.0456
2020-01-10,61.8724
2020-01-11,61.8724
2020-01-12,61.8724
2020-01-13,58.493
2020-01-14,56.8078
2020-01-15,57.8837
2020-01-16,59.7285
2020-01-17,59.8422
2020-01-18,59.8422
2020-01-19,59.8422
2020-01-20,59.8422
2020-01-21,55.5422
2020-01-22,56.0355
2020-01-23,55.0871
2020-01-24,53.3737
2020-01-25,53.3737
2020-01-26,53.3737
2020-01-27,48.9364
2020-01-28,48.4658
2020-01-29,49.259
2020-01-30,46.6267
2020-01-31,49.4227
2020-02-01,49.4227
2020-02-02,49.4227
2020-02-03,47.006
2020-02-04,48.2097
2020-02-05,50.6645
2020-02-06,50.3218
2020-02-07,46.7253
2020-02-08,46.7253
2020-02-09,46.7253
2020-02-10,47.2921
2020-02-11,51.2494
2020-02-12,51.8828
2020-02-13,52.7092
2020-02-14,54.6312
2020-02-15,54.6312
2020-02-16,54.6312
2020-02-17,54.6312
2020-02-18,58.9211
2020-02-19,62.451
2020-02-20,61.7097
2020-02-21,63.9662
2020-02-22,63.9662
2020-02-23,63.9662
2020-02-24,60.1551
2020-02-25,51.5777
2020-02-26,42.3585
2020-02-27,39.6878
2020-02-28,38.2436
2020-02-29,38.2436
2020-03-01,38.2436
2020-03-02,40.5819
2020-03-03,38.7034
2020-03-04,39.6165
2020-03-05,35.4034
2020-03-06,33.2952
2020-03-07,33.2952
2020-03-08,33.2952
2020-03-09,28.1385
2020-03-10,29.7003
2020-03-11,26.0295
2020-03-12,23.2443
2020-03-13,27.309
2020-03-14,27.309
2020-03-15,27.309
2020-03-16,23.0558
2020-03-17,21.7297
2020-03-18,21.029
2020-03-19,22.361
2020-03-20,21.2585
2020-03-21,21.2585
2020-03-22,21.2585
2020-03-23,23.6954
2020-03-24,29.209
2020-03-25,31.0739
2020-03-26,31.4538
2020-03-27,29.7837
2020-03-28,29.7837
2020-03-29,29.7837
2020-03-30,30.1738
2020-03-31,31.3571
2020-04-01,29.8871
2020-04-02,29.7159
2020-04-03,29.4541
2020-04-04,29.4541
2020-04-05,29.4541
2020-04-06,33.1443
2020-04-07,32.8993
2020-04-08,35.874
2020-04-09,40.2129
2020-04-10,40.2129
2020-04-11,40.2129
2020-04-12,40.2129
2020-04-13,39.0457
2020-04-14,40.5124
2020-04-15,38.7002
2020-04-16,39.4959
2020-04-17,42.2258
2020-04-18,42.2258
2020-04-19,42.2258
2020-04-20,41.5119
2020-04-21,41.0403
2020-04-22,42.595
2020-04-23,43.0639
2020-04-24,43.0639
2020-04-25,43.0639
2020-04-26,43.0639
2020-04-27,46.2082
2020-04-28,48.5698
2020-04-29,53.9448
2020-04-30,50.3028
2020-05-01,46.9981
2020-05-02,46.9981
2020-05-03,46.9981
2020-05-04,46.6999
2020-05-05,44.789
2020-05-06,44.9937
2020-05-07,45.748
2020-05-08,49.0267
2020-05-09,49.0267
2020-05-10,49.0267
2020-05-11,49.5425
2020-05-12,46.9158
2020-05-13,44.5973
2020-05-14,45.0611
2020-05-15,46.7022
2020-05-16,46.7022
2020-05-17,46.7022
2020-05-18,48.3482
2020-05-19,48.9902
2020-05-20,49.3907
2020-05-21,50.0874
2020-05-22,48.7863
2020-05-23,48.7863
2020-05-24,48.7863
2020-05-25,48.7863
2020-05-26,49.3936
2020-05-27,52.1017
2020-05-28,50.2136
2020-05-29,50.2395
2020-05-30,50.2395
2020-05-31,50.2395
2020-06-01,50.5324
2020-06-02,50.3929
2020-06-03,52.7154
2020-06-04,55.0927
2020-06-05,56.1837
2020-06-06,56.1837
2020-06-07,56.1837
2020-06-08,57.547
2020-06-09,53.6434
2020-06-10,51.3564
2020-06-11,47.7093
2020-06-12,50.167
2020-06-13,50.167
2020-06-14,50.167
2020-06-15,51.205
2020-06-16,51.074
2020-06-17,49.5271
2020-06-18,50.1623
2020-06-19,48.2768
2020-06-20,48.2768
2020-06-21,48.2768
2020-06-22,46.4216
2020-06-23,48.4701
2020-06-24,46.7703
2020-06-25,46.2033
2020-06-26,44.8107
2020-06-27,44.8107
2020-06-28,44.8107
2020-06-29,47.8759
2020-06-30,48.0563
2020-07-01,48.1563
2020-07-02,46.7856
2020-07-03,46.7856
2020-07-04,46.7856
2020-07-05,46.7856
2020-07-06,47.5355
2020-07-07,46.745
2020-07-08,46.9025
2020-07-09,45.5103
2020-07-10,46.8008
2020-07-11,46.8008
2020-07-12,46.8008
2020-07-13,45.7647
2020-07-14,45.693
2020-07-15,49.6269
2020-07-16,48.4518
2020-07-17,48.285
2020-07-18,48.285
2020-07-19,48.285
2020-07-20,47.5613
2020-07-21,48.2442
2020-07-22,49.1014
2020-07-23,49.4134
2020-07-24,52.1128
2020-07-25,52.1128
2020-07-26,52.1128
2020-07-27,52.1458
2020-07-28,52.3159
2020-07-29,53.3451
2020-07-30,52.7561
2020-07-31,51.7707
2020-08-01,51.7707
2020-08-02,51.7707
2020-08-03,49.4396
2020-08-04,51.047
2020-08-05,51.4554
2020-08-06,51.9082
2020-08-07,53.4792
2020-08-08,53.4792
2020-08-09,53.4792
2020-08-10,54.4325
2020-08-11,54.9467
2020-08-12,55.0592
2020-08-13,56.5184
2020-08-14,57.1095
2020-08-15,57.1095
2020-08-16,57.1095
2020-08-17,54.96
2020-08-18,54.5069
2020-08-19,53.7352
2020-08-20,54.0297
2020-08-21,53.5011
2020-08-22,53.5011
2020-08-23,53.5011
2020-08-24,54.359
2020-08-25,55.3211
2020-08-26,55.0483
2020-08-27,56.7261
2020-08-28,61.2183
2020-08-29,61.2183
2020-08-30,61.2183
2020-08-31,62.0057
2020-09-01,67.4714
2020-09-02,68.0655
2020-09-03,67.9488
2020-09-04,69.568
2020-09-05,69.568
2020-09-06,69.568
2020-09-07,69.568
2020-09-08,68.1435
2020-09-09,68.2835
2020-09-10,67.4859
2020-09-11,65.7147
2020-09-12,65.7147
2020-09-13,65.7147
2020-09-14,67.4517
2020-09-15,66.8371
2020-09-16,64.7618
2020-09-17,60.5302
2020-09-18,57.4349
2020-09-19,57.4349
2020-09-20,57.4349
2020-09-21,54.8293
2020-09-22,55.4992
2020-09-23,52.8749
2020-09-24,55.4128
2020-09-25,57.0396
2020-09-26,57.0396
2020-09-27,57.0396
2020-09-28,58.498
2020-09-29,55.9045
2020-09-30,56.4459
2020-10-01,58.3433
2020-10-02,59.5866
2020-10-03,59.5866
2020-10-04,59.5866
2020-10-05,60.4635
2020-10-06,58.5065
2020-10-07,59.2251
2020-10-08,61.4848
2020-10-09,62.9599
2020-10-10,62.9599
2020-10-11,62.9599
2020-10-12,62.9599
2020-10-13,62.3421
2020-10-14,62.2847
2020-10-15,63.1629
2020-10-16,62.6797
2020-10-17,62.6797
2020-10-18,62.6797
2020-10-19,61.0493
2020-10-20,59.8562
2020-10-21,60.5344
2020-10-22,63.0064
2020-10-23,54.9534
2020-10-24,54.9534
2020-10-25,54.9534
2020-10-26,50.294
2020-10-27,48.3981
2020-10-28,45.5775
2020-10-29,47.1064
2020-10-30,45.5555
2020-10-31,45.5555
2020-11-01,45.5555
2020-11-02,46.8793
2020-11-03,47.7985
2020-11-04,48.2396
2020-11-05,47.8215
2020-11-06,47.6933
2020-11-07,47.6933
2020-11-08,47.6933
2020-11-09,55.2304
2020-11-10,56.199
2020-11-11,53.3257
2020-11-12,52.0964
2020-11-13,53.3434
2020-11-14,53.3434
2020-11-15,53.3434
2020-11-16,56.2777
2020-11-17,56.6779
2020-11-18,57.0316
2020-11-19,58.1626
2020-11-20,57.1893
2020-11-21,57.1893
2020-11-22,57.1893
2020-11-23,58.3781
2020-11-24,60.1473
2020-11-25,60.9057
2020-11-26,60.9057
2020-11-27,58.9708
2020-11-28,58.9708
2020-11-29,58.9708
2020-11-30,57.6077
2020-12-01,58.8646
2020-12-02,59.9158
2020-12-03,60.0946
2020-12-04,60.4596
2020-12-05,60.4596
2020-12-06,60.4596
2020-12-07,57.1099
2020-12-08,56.2262
2020-12-09,57.7766
2020-12-10,59.1208
2020-12-11,56.9764
2020-12-12,56.9764
2020-12-13,56.9764
2020-12-14,58.154
2020-12-15,60.5729
2020-12-16,60.0755
2020-12-17,60.1882
2020-12-18,59.4931
2020-12-19,59.4931
2020-12-20,59.4931
2020-12-21,59.6938
2020-12-22,59.9401
