,CTBI US Equity
,RSI_30D
2020-01-01,66.8591
2020-01-02,66.3978
2020-01-03,64.0218
2020-01-04,64.0218
2020-01-05,64.0218
2020-01-06,62.0773
2020-01-07,57.1779
2020-01-08,60.5591
2020-01-09,59.784
2020-01-10,58.0171
2020-01-11,58.0171
2020-01-12,58.0171
2020-01-13,60.1367
2020-01-14,56.9398
2020-01-15,54.1688
2020-01-16,57.9769
2020-01-17,56.2967
2020-01-18,56.2967
2020-01-19,56.2967
2020-01-20,56.2967
2020-01-21,51.3124
2020-01-22,53.5699
2020-01-23,52.6883
2020-01-24,51.1781
2020-01-25,51.1781
2020-01-26,51.1781
2020-01-27,50.6581
2020-01-28,48.7784
2020-01-29,45.4971
2020-01-30,49.5199
2020-01-31,44.7986
2020-02-01,44.7986
2020-02-02,44.7986
2020-02-03,48.0407
2020-02-04,46.2286
2020-02-05,51.0079
2020-02-06,49.0679
2020-02-07,46.8803
2020-02-08,46.8803
2020-02-09,46.8803
2020-02-10,46.7113
2020-02-11,48.0668
2020-02-12,47.575
2020-02-13,49.0935
2020-02-14,46.701
2020-02-15,46.701
2020-02-16,46.701
2020-02-17,46.701
2020-02-18,44.7433
2020-02-19,43.7131
2020-02-20,44.6621
2020-02-21,43.813
2020-02-22,43.813
2020-02-23,43.813
2020-02-24,39.6772
2020-02-25,36.4532
2020-02-26,34.8366
2020-02-27,30.2765
2020-02-28,29.7214
2020-02-29,29.7214
2020-03-01,29.7214
2020-03-02,36.6776
2020-03-03,33.1159
2020-03-04,36.0213
2020-03-05,32.9275
2020-03-06,30.7128
2020-03-07,30.7128
2020-03-08,30.7128
2020-03-09,24.2143
2020-03-10,34.0109
2020-03-11,31.6559
2020-03-12,26.9081
2020-03-13,37.6535
2020-03-14,37.6535
2020-03-15,37.6535
2020-03-16,33.6292
2020-03-17,40.3565
2020-03-18,36.9025
2020-03-19,40.5974
2020-03-20,37.3371
2020-03-21,37.3371
2020-03-22,37.3371
2020-03-23,36.8115
2020-03-24,39.7623
2020-03-25,39.3614
2020-03-26,41.8196
2020-03-27,40.0345
2020-03-28,40.0345
2020-03-29,40.0345
2020-03-30,42.1628
2020-03-31,41.9866
2020-04-01,40.6788
2020-04-02,41.9827
2020-04-03,41.3149
2020-04-04,41.3149
2020-04-05,41.3149
2020-04-06,43.7467
2020-04-07,43.614
2020-04-08,44.8873
2020-04-09,47.4342
2020-04-10,47.4342
2020-04-11,47.4342
2020-04-12,47.4342
2020-04-13,46.0708
2020-04-14,45.1036
2020-04-15,42.5996
2020-04-16,41.7144
2020-04-17,45.5676
2020-04-18,45.5676
2020-04-19,45.5676
2020-04-20,44.0669
2020-04-21,43.5601
2020-04-22,43.3269
2020-04-23,43.3269
2020-04-24,43.9689
2020-04-25,43.9689
2020-04-26,43.9689
2020-04-27,47.6192
2020-04-28,48.3584
2020-04-29,50.9681
2020-04-30,48.3673
2020-05-01,47.2857
2020-05-02,47.2857
2020-05-03,47.2857
2020-05-04,46.6903
2020-05-05,44.5575
2020-05-06,43.695
2020-05-07,43.695
2020-05-08,46.3232
2020-05-09,46.3232
2020-05-10,46.3232
2020-05-11,44.6508
2020-05-12,42.3131
2020-05-13,41.24
2020-05-14,41.3474
2020-05-15,42.4532
2020-05-16,42.4532
2020-05-17,42.4532
2020-05-18,46.3632
2020-05-19,44.7492
2020-05-20,47.1409
2020-05-21,46.6717
2020-05-22,47.0353
2020-05-23,47.0353
2020-05-24,47.0353
2020-05-25,47.0353
2020-05-26,49.4961
2020-05-27,53.4281
2020-05-28,50.8074
2020-05-29,49.4429
2020-05-30,49.4429
2020-05-31,49.4429
2020-06-01,49.1639
2020-06-02,48.9383
2020-06-03,51.6609
2020-06-04,51.7805
2020-06-05,54.0716
2020-06-06,54.0716
2020-06-07,54.0716
2020-06-08,55.0073
2020-06-09,54.4337
2020-06-10,51.0621
2020-06-11,47.1856
2020-06-12,48.3429
2020-06-13,48.3429
2020-06-14,48.3429
2020-06-15,48.8983
2020-06-16,50.2424
2020-06-17,47.9698
2020-06-18,48.1828
2020-06-19,47.7011
2020-06-20,47.7011
2020-06-21,47.7011
2020-06-22,48.3047
2020-06-23,48.1078
2020-06-24,46.8082
2020-06-25,48.6606
2020-06-26,46.5402
2020-06-27,46.5402
2020-06-28,46.5402
2020-06-29,49.2197
2020-06-30,50.1609
2020-07-01,48.0181
2020-07-02,48.4982
2020-07-03,48.4982
2020-07-04,48.4982
2020-07-05,48.4982
2020-07-06,48.1912
2020-07-07,46.713
2020-07-08,46.091
2020-07-09,43.6686
2020-07-10,46.425
2020-07-11,46.425
2020-07-12,46.425
2020-07-13,47.2954
2020-07-14,47.2608
2020-07-15,52.026
2020-07-16,50.816
2020-07-17,49.6395
2020-07-18,49.6395
2020-07-19,49.6395
2020-07-20,48.2902
2020-07-21,50.8566
2020-07-22,49.3505
2020-07-23,50.4925
2020-07-24,49.7312
2020-07-25,49.7312
2020-07-26,49.7312
2020-07-27,48.2966
2020-07-28,48.8499
2020-07-29,50.0885
2020-07-30,48.7911
2020-07-31,47.2143
2020-08-01,47.2143
2020-08-02,47.2143
2020-08-03,48.8064
2020-08-04,48.4286
2020-08-05,50.2414
2020-08-06,49.7839
2020-08-07,52.5808
2020-08-08,52.5808
2020-08-09,52.5808
2020-08-10,53.9803
2020-08-11,54.3471
2020-08-12,54.1462
2020-08-13,53.1525
2020-08-14,53.5533
2020-08-15,53.5533
2020-08-16,53.5533
2020-08-17,52.8055
2020-08-18,50.4812
2020-08-19,50.4812
2020-08-20,49.746
2020-08-21,48.9396
2020-08-22,48.9396
2020-08-23,48.9396
2020-08-24,51.2296
2020-08-25,51.4136
2020-08-26,49.228
2020-08-27,49.9535
2020-08-28,50.2721
2020-08-29,50.2721
2020-08-30,50.2721
2020-08-31,49.6186
2020-09-01,49.2114
2020-09-02,49.0034
2020-09-03,49.1978
2020-09-04,50.4265
2020-09-05,50.4265
2020-09-06,50.4265
2020-09-07,50.4265
