,LOW US Equity
,RSI_30D
2020-01-01,58.9222
2020-01-02,60.0963
2020-01-03,57.9898
2020-01-04,57.9898
2020-01-05,57.9898
2020-01-06,59.2776
2020-01-07,57.5264
2020-01-08,60.6961
2020-01-09,61.5093
2020-01-10,58.961
2020-01-11,58.961
2020-01-12,58.961
2020-01-13,59.0445
2020-01-14,56.7029
2020-01-15,55.4267
2020-01-16,54.8462
2020-01-17,60.1784
2020-01-18,60.1784
2020-01-19,60.1784
2020-01-20,60.1784
2020-01-21,58.1464
2020-01-22,59.7136
2020-01-23,60.9484
2020-01-24,55.4935
2020-01-25,55.4935
2020-01-26,55.4935
2020-01-27,54.5366
2020-01-28,56.8149
2020-01-29,55.3091
2020-01-30,53.8922
2020-01-31,47.6185
2020-02-01,47.6185
2020-02-02,47.6185
2020-02-03,49.2687
2020-02-04,52.8184
2020-02-05,56.8224
2020-02-06,55.7312
2020-02-07,55.6777
2020-02-08,55.6777
2020-02-09,55.6777
2020-02-10,55.1843
2020-02-11,57.7924
2020-02-12,60.4114
2020-02-13,59.9115
2020-02-14,60.7515
2020-02-15,60.7515
2020-02-16,60.7515
2020-02-17,60.7515
2020-02-18,56.6165
2020-02-19,56.9075
2020-02-20,60.9459
2020-02-21,58.6567
2020-02-22,58.6567
2020-02-23,58.6567
2020-02-24,54.6147
2020-02-25,48.3147
2020-02-26,42.3111
2020-02-27,37.1191
2020-02-28,36.268
2020-02-29,36.268
2020-03-01,36.268
2020-03-02,42.1131
2020-03-03,40.0072
2020-03-04,45.3947
2020-03-05,40.774
2020-03-06,39.1933
2020-03-07,39.1933
2020-03-08,39.1933
2020-03-09,32.6271
2020-03-10,41.5749
2020-03-11,38.9178
2020-03-12,34.5842
2020-03-13,39.5415
2020-03-14,39.5415
2020-03-15,39.5415
2020-03-16,30.7673
2020-03-17,31.5561
2020-03-18,29.0534
2020-03-19,32.1328
2020-03-20,31.1215
2020-03-21,31.1215
2020-03-22,31.1215
2020-03-23,32.0293
2020-03-24,37.6391
2020-03-25,41.0409
2020-03-26,43.2315
2020-03-27,42.808
2020-03-28,42.808
2020-03-29,42.808
2020-03-30,43.6818
2020-03-31,42.6454
2020-04-01,40.5396
2020-04-02,41.8275
2020-04-03,41.5755
2020-04-04,41.5755
2020-04-05,41.5755
2020-04-06,44.9883
2020-04-07,46.0745
2020-04-08,47.7272
2020-04-09,48.1924
2020-04-10,48.1924
2020-04-11,48.1924
2020-04-12,48.1924
2020-04-13,48.1416
2020-04-14,50.0569
2020-04-15,47.8237
2020-04-16,46.9532
2020-04-17,49.2948
2020-04-18,49.2948
2020-04-19,49.2948
2020-04-20,48.3612
2020-04-21,47.4313
2020-04-22,48.6457
2020-04-23,48.6208
2020-04-24,50.6362
2020-04-25,50.6362
2020-04-26,50.6362
2020-04-27,52.2565
2020-04-28,53.0243
2020-04-29,54.3188
2020-04-30,53.5042
2020-05-01,53.334
2020-05-02,53.334
2020-05-03,53.334
2020-05-04,54.8156
2020-05-05,56.209
2020-05-06,55.8717
2020-05-07,57.0296
2020-05-08,58.1699
2020-05-09,58.1699
2020-05-10,58.1699
2020-05-11,57.595
2020-05-12,56.126
2020-05-13,55.5736
2020-05-14,55.5457
2020-05-15,57.4217
2020-05-16,57.4217
2020-05-17,57.4217
2020-05-18,58.98
2020-05-19,59.0535
2020-05-20,59.1185
2020-05-21,61.0639
2020-05-22,61.8913
2020-05-23,61.8913
2020-05-24,61.8913
2020-05-25,61.8913
2020-05-26,62.5761
2020-05-27,64.7381
2020-05-28,64.7905
2020-05-29,65.854
2020-05-30,65.854
2020-05-31,65.854
2020-06-01,64.9171
2020-06-02,66.2017
2020-06-03,66.6106
2020-06-04,62.8081
2020-06-05,63.9791
2020-06-06,63.9791
2020-06-07,63.9791
2020-06-08,63.8338
2020-06-09,62.6927
2020-06-10,62.9852
2020-06-11,57.5578
2020-06-12,58.8153
2020-06-13,58.8153
2020-06-14,58.8153
2020-06-15,59.7965
2020-06-16,62.03
2020-06-17,64.0449
2020-06-18,63.0709
2020-06-19,62.428
2020-06-20,62.428
2020-06-21,62.428
2020-06-22,62.9114
2020-06-23,62.5001
2020-06-24,60.3661
2020-06-25,60.1721
2020-06-26,58.0044
2020-06-27,58.0044
2020-06-28,58.0044
2020-06-29,60.5639
2020-06-30,61.5086
2020-07-01,61.8103
2020-07-02,61.8588
2020-07-03,61.8588
2020-07-04,61.8588
2020-07-05,61.8588
2020-07-06,61.8901
2020-07-07,61.1222
2020-07-08,61.6083
2020-07-09,61.4559
2020-07-10,62.6972
2020-07-11,62.6972
2020-07-12,62.6972
2020-07-13,61.7032
2020-07-14,64.0546
2020-07-15,64.7936
2020-07-16,65.7543
2020-07-17,66.76
2020-07-18,66.76
2020-07-19,66.76
2020-07-20,66.4033
2020-07-21,67.3102
2020-07-22,69.3968
2020-07-23,66.853
2020-07-24,67.1763
2020-07-25,67.1763
2020-07-26,67.1763
2020-07-27,68.4326
2020-07-28,66.6523
2020-07-29,67.2769
2020-07-30,67.5846
2020-07-31,67.1977
2020-08-01,67.1977
2020-08-02,67.1977
2020-08-03,68.0841
2020-08-04,67.2547
2020-08-05,67.6555
2020-08-06,68.2885
2020-08-07,69.3494
2020-08-08,69.3494
2020-08-09,69.3494
2020-08-10,69.964
2020-08-11,70.0631
2020-08-12,71.8319
2020-08-13,70.3823
2020-08-14,68.2974
2020-08-15,68.2974
2020-08-16,68.2974
2020-08-17,70.9606
2020-08-18,70.211
2020-08-19,70.45
2020-08-20,70.6474
2020-08-21,72.6281
2020-08-22,72.6281
2020-08-23,72.6281
2020-08-24,74.8171
2020-08-25,74.9707
2020-08-26,77.189
2020-08-27,71.2284
2020-08-28,70.1299
2020-08-29,70.1299
2020-08-30,70.1299
2020-08-31,69.0016
2020-09-01,70.7248
2020-09-02,72.3168
2020-09-03,61.5983
2020-09-04,56.6323
2020-09-05,56.6323
2020-09-06,56.6323
2020-09-07,56.6323
2020-09-08,54.2933
2020-09-09,58.1958
2020-09-10,57.1497
2020-09-11,59.3901
2020-09-12,59.3901
2020-09-13,59.3901
2020-09-14,61.329
2020-09-15,63.4308
2020-09-16,61.3469
2020-09-17,58.8222
2020-09-18,55.8365
2020-09-19,55.8365
2020-09-20,55.8365
2020-09-21,55.441
2020-09-22,56.6791
2020-09-23,54.3249
2020-09-24,54.2535
2020-09-25,54.9541
2020-09-26,54.9541
2020-09-27,54.9541
2020-09-28,56.9662
2020-09-29,56.6819
2020-09-30,58.9917
2020-10-01,59.7986
2020-10-02,59.1733
2020-10-03,59.1733
2020-10-04,59.1733
2020-10-05,60.4626
2020-10-06,57.2253
2020-10-07,59.4282
2020-10-08,60.866
2020-10-09,62.2278
2020-10-10,62.2278
2020-10-11,62.2278
2020-10-12,61.7568
2020-10-13,63.2529
2020-10-14,61.6036
2020-10-15,63.0745
2020-10-16,63.9463
2020-10-17,63.9463
2020-10-18,63.9463
2020-10-19,61.4574
2020-10-20,62.9485
2020-10-21,60.4988
2020-10-22,57.5895
2020-10-23,58.1595
2020-10-24,58.1595
2020-10-25,58.1595
2020-10-26,54.731
2020-10-27,52.3506
2020-10-28,49.5755
2020-10-29,49.0907
2020-10-30,47.2018
2020-10-31,47.2018
2020-11-01,47.2018
2020-11-02,48.8386
2020-11-03,52.0309
2020-11-04,54.4079
2020-11-05,55.0724
2020-11-06,54.4901
2020-11-07,54.4901
2020-11-08,54.4901
2020-11-09,44.4534
2020-11-10,45.9966
2020-11-11,47.5247
2020-11-12,47.5126
2020-11-13,48.3658
2020-11-14,48.3658
2020-11-15,48.3658
2020-11-16,50.1563
2020-11-17,48.8183
2020-11-18,41.4599
2020-11-19,43.3843
2020-11-20,43.6056
2020-11-21,43.6056
2020-11-22,43.6056
2020-11-23,46.0766
2020-11-24,46.9066
2020-11-25,46.8604
2020-11-26,46.8604
2020-11-27,46.7352
2020-11-28,46.7352
2020-11-29,46.7352
2020-11-30,47.5294
2020-12-01,46.0351
2020-12-02,45.072
2020-12-03,45.1913
2020-12-04,43.9742
2020-12-05,43.9742
2020-12-06,43.9742
2020-12-07,45.5079
2020-12-08,45.0273
2020-12-09,51.3297
2020-12-10,51.3881
2020-12-11,49.7425
2020-12-12,49.7425
2020-12-13,49.7425
2020-12-14,51.2693
2020-12-15,53.3615
2020-12-16,53.2665
2020-12-17,53.4904
2020-12-18,53.2267
2020-12-19,53.2267
2020-12-20,53.2267
2020-12-21,54.0063
2020-12-22,54.202
2020-12-23,52.4062
2020-12-24,52.6592
2020-12-25,52.6592
2020-12-26,52.6592
2020-12-27,52.6592
2020-12-28,52.0446
2020-12-29,50.7846
2020-12-30,50.801
2020-12-31,50.7572
2021-01-01,50.7572
2021-01-02,50.7572
2021-01-03,50.7572
2021-01-04,50.6397
2021-01-05,51.1259
2021-01-06,53.0311
2021-01-07,53.5882
2021-01-08,54.7507
2021-01-09,54.7507
2021-01-10,54.7507
2021-01-11,55.8353
2021-01-12,58.0236
2021-01-13,58.6897
2021-01-14,59.137
2021-01-15,59.8988
2021-01-16,59.8988
2021-01-17,59.8988
2021-01-18,59.8988
2021-01-19,59.9152
2021-01-20,61.2461
2021-01-21,61.1816
2021-01-22,61.2322
2021-01-23,61.2322
2021-01-24,61.2322
2021-01-25,62.6602
2021-01-26,62.1034
2021-01-27,54.5888
