,PNW US Equity
,RSI_30D
2020-01-01,48.7258
2020-01-02,45.761
2020-01-03,46.5334
2020-01-04,46.5334
2020-01-05,46.5334
2020-01-06,46.3141
2020-01-07,45.7687
2020-01-08,45.3418
2020-01-09,49.3117
2020-01-10,51.0957
2020-01-11,51.0957
2020-01-12,51.0957
2020-01-13,52.8137
2020-01-14,54.7996
2020-01-15,56.2118
2020-01-16,57.5827
2020-01-17,57.8104
2020-01-18,57.8104
2020-01-19,57.8104
2020-01-20,57.8104
2020-01-21,60.1143
2020-01-22,60.5005
2020-01-23,63.1269
2020-01-24,65.5
2020-01-25,65.5
2020-01-26,65.5
2020-01-27,66.4595
2020-01-28,64.3718
2020-01-29,66.1462
2020-01-30,67.3733
2020-01-31,66.3176
2020-02-01,66.3176
2020-02-02,66.3176
2020-02-03,67.2668
2020-02-04,65.1266
2020-02-05,66.1159
2020-02-06,65.4869
2020-02-07,65.6185
2020-02-08,65.6185
2020-02-09,65.6185
2020-02-10,67.0125
2020-02-11,66.2713
2020-02-12,66.3483
2020-02-13,69.2034
2020-02-14,69.5607
2020-02-15,69.5607
2020-02-16,69.5607
2020-02-17,69.5607
2020-02-18,71.7862
2020-02-19,70.7394
2020-02-20,69.0045
2020-02-21,72.847
2020-02-22,72.847
2020-02-23,72.847
2020-02-24,64.1311
2020-02-25,57.3526
2020-02-26,54.5354
2020-02-27,47.339
2020-02-28,40.9272
2020-02-29,40.9272
2020-03-01,40.9272
2020-03-02,50.1211
2020-03-03,49.5035
2020-03-04,57.0289
2020-03-05,56.1438
2020-03-06,55.5992
2020-03-07,55.5992
2020-03-08,55.5992
2020-03-09,50.0969
2020-03-10,51.138
2020-03-11,43.5307
2020-03-12,35.7097
2020-03-13,37.5163
2020-03-14,37.5163
2020-03-15,37.5163
2020-03-16,29.6299
2020-03-17,36.5217
2020-03-18,32.0476
2020-03-19,34.5468
2020-03-20,33.2718
2020-03-21,33.2718
2020-03-22,33.2718
2020-03-23,32.1197
2020-03-24,38.8637
2020-03-25,40.0906
2020-03-26,44.8147
2020-03-27,43.8981
2020-03-28,43.8981
2020-03-29,43.8981
2020-03-30,44.4003
2020-03-31,42.9984
2020-04-01,40.4534
2020-04-02,41.1306
2020-04-03,39.3485
2020-04-04,39.3485
2020-04-05,39.3485
2020-04-06,43.6781
2020-04-07,43.2979
2020-04-08,46.7585
2020-04-09,48.8187
2020-04-10,48.8187
2020-04-11,48.8187
2020-04-12,48.8187
2020-04-13,47.341
2020-04-14,48.702
2020-04-15,47.4616
2020-04-16,47.09
2020-04-17,47.6768
2020-04-18,47.6768
2020-04-19,47.6768
2020-04-20,45.7464
2020-04-21,45.1804
2020-04-22,46.5419
2020-04-23,45.4975
2020-04-24,46.4302
2020-04-25,46.4302
2020-04-26,46.4302
2020-04-27,47.5693
2020-04-28,48.4306
2020-04-29,47.4859
2020-04-30,46.47
2020-05-01,45.1201
2020-05-02,45.1201
2020-05-03,45.1201
2020-05-04,44.8168
2020-05-05,45.6133
2020-05-06,43.8731
2020-05-07,43.7091
2020-05-08,45.488
