,BKI US Equity
,RSI_30D
2020-01-01,55.3593
2020-01-02,53.8718
2020-01-03,54.379
2020-01-04,54.379
2020-01-05,54.379
2020-01-06,53.8684
2020-01-07,54.1357
2020-01-08,55.326
2020-01-09,55.8885
2020-01-10,56.2186
2020-01-11,56.2186
2020-01-12,56.2186
2020-01-13,59.5498
2020-01-14,58.7592
2020-01-15,58.9004
2020-01-16,59.3607
2020-01-17,58.6388
2020-01-18,58.6388
2020-01-19,58.6388
2020-01-20,58.6388
2020-01-21,59.7701
2020-01-22,57.5009
2020-01-23,57.9064
2020-01-24,58.1289
2020-01-25,58.1289
2020-01-26,58.1289
2020-01-27,54.2704
2020-01-28,58.0093
2020-01-29,59.1227
2020-01-30,62.079
2020-01-31,59.1298
2020-02-01,59.1298
2020-02-02,59.1298
2020-02-03,61.1958
2020-02-04,63.0063
2020-02-05,62.2246
2020-02-06,61.9734
2020-02-07,63.3508
2020-02-08,63.3508
2020-02-09,63.3508
2020-02-10,64.3646
2020-02-11,63.0445
2020-02-12,63.2266
2020-02-13,65.953
2020-02-14,73.9323
2020-02-15,73.9323
2020-02-16,73.9323
2020-02-17,73.9323
2020-02-18,74.66
2020-02-19,76.2309
2020-02-20,72.0016
2020-02-21,69.3716
2020-02-22,69.3716
2020-02-23,69.3716
2020-02-24,66.7445
2020-02-25,58.845
2020-02-26,57.5563
2020-02-27,49.9898
2020-02-28,48.6211
2020-02-29,48.6211
2020-03-01,48.6211
2020-03-02,53.5956
2020-03-03,51.7011
2020-03-04,56.4598
2020-03-05,51.0969
2020-03-06,48.1585
2020-03-07,48.1585
2020-03-08,48.1585
2020-03-09,42.3057
2020-03-10,48.053
2020-03-11,44.4967
2020-03-12,43.0948
2020-03-13,47.8965
2020-03-14,47.8965
2020-03-15,47.8965
2020-03-16,39.6894
2020-03-17,40.916
2020-03-18,42.1596
2020-03-19,39.5658
2020-03-20,35.7908
2020-03-21,35.7908
2020-03-22,35.7908
2020-03-23,38.2346
2020-03-24,39.5525
2020-03-25,38.2809
2020-03-26,44.6894
2020-03-27,43.2193
2020-03-28,43.2193
2020-03-29,43.2193
2020-03-30,45.2985
2020-03-31,44.5128
2020-04-01,44.5352
2020-04-02,46.1299
2020-04-03,44.5889
2020-04-04,44.5889
2020-04-05,44.5889
2020-04-06,49.439
2020-04-07,48.9647
2020-04-08,50.2937
2020-04-09,50.5159
2020-04-10,50.5159
2020-04-11,50.5159
2020-04-12,50.5159
2020-04-13,50.3466
2020-04-14,52.8305
2020-04-15,51.514
2020-04-16,52.6532
2020-04-17,54.4425
2020-04-18,54.4425
2020-04-19,54.4425
2020-04-20,54.3486
2020-04-21,52.68
2020-04-22,54.3346
2020-04-23,55.4682
2020-04-24,55.6878
2020-04-25,55.6878
2020-04-26,55.6878
2020-04-27,57.6798
2020-04-28,57.6007
2020-04-29,58.1161
2020-04-30,56.905
2020-05-01,55.7577
2020-05-02,55.7577
2020-05-03,55.7577
2020-05-04,55.5782
2020-05-05,58.6586
2020-05-06,58.7196
2020-05-07,58.9288
2020-05-08,58.8209
2020-05-09,58.8209
2020-05-10,58.8209
2020-05-11,59.7361
2020-05-12,57.4255
2020-05-13,58.031
2020-05-14,58.4462
2020-05-15,59.1889
2020-05-16,59.1889
2020-05-17,59.1889
2020-05-18,60.5672
2020-05-19,59.4345
2020-05-20,60.2501
2020-05-21,57.811
2020-05-22,59.16
2020-05-23,59.16
2020-05-24,59.16
2020-05-25,59.16
2020-05-26,58.8645
2020-05-27,56.9095
2020-05-28,59.3912
2020-05-29,61.3611
2020-05-30,61.3611
2020-05-31,61.3611
2020-06-01,61.3611
2020-06-02,61.5005
2020-06-03,58.6018
2020-06-04,54.0137
2020-06-05,55.052
2020-06-06,55.052
2020-06-07,55.052
2020-06-08,56.9972
2020-06-09,58.3263
2020-06-10,58.5331
2020-06-11,55.1055
2020-06-12,51.8143
2020-06-13,51.8143
2020-06-14,51.8143
2020-06-15,53.2971
2020-06-16,53.537
2020-06-17,56.1147
2020-06-18,53.0256
2020-06-19,50.6959
2020-06-20,50.6959
2020-06-21,50.6959
2020-06-22,52.0724
2020-06-23,51.9123
2020-06-24,49.6441
2020-06-25,52.4079
2020-06-26,51.7136
2020-06-27,51.7136
2020-06-28,51.7136
