,WTS US Equity
,RSI_30D
2020-01-01,63.3631
2020-01-02,64.0306
2020-01-03,64.497
2020-01-04,64.497
2020-01-05,64.497
2020-01-06,60.9765
2020-01-07,58.2838
2020-01-08,59.1365
2020-01-09,59.5068
2020-01-10,57.3887
2020-01-11,57.3887
2020-01-12,57.3887
2020-01-13,60.991
2020-01-14,60.8563
2020-01-15,60.2709
2020-01-16,62.7766
2020-01-17,63.8433
2020-01-18,63.8433
2020-01-19,63.8433
2020-01-20,63.8433
2020-01-21,62.6995
2020-01-22,65.0288
2020-01-23,63.3908
2020-01-24,62.055
2020-01-25,62.055
2020-01-26,62.055
2020-01-27,59.8574
2020-01-28,60.2668
2020-01-29,55.3666
2020-01-30,59.5159
2020-01-31,54.8964
2020-02-01,54.8964
2020-02-02,54.8964
2020-02-03,56.6892
2020-02-04,59.4984
2020-02-05,62.6489
2020-02-06,61.0033
2020-02-07,53.8593
2020-02-08,53.8593
2020-02-09,53.8593
2020-02-10,56.1992
2020-02-11,64.8641
2020-02-12,65.7677
2020-02-13,63.3809
2020-02-14,63.0551
2020-02-15,63.0551
2020-02-16,63.0551
2020-02-17,63.0551
2020-02-18,62.6995
2020-02-19,60.345
2020-02-20,61.694
2020-02-21,60.3154
2020-02-22,60.3154
2020-02-23,60.3154
2020-02-24,53.278
2020-02-25,47.5399
2020-02-26,46.2099
2020-02-27,43.5731
2020-02-28,41.1917
2020-02-29,41.1917
2020-03-01,41.1917
2020-03-02,44.055
2020-03-03,45.273
2020-03-04,50.0807
2020-03-05,45.9793
2020-03-06,44.184
2020-03-07,44.184
2020-03-08,44.184
2020-03-09,41.8316
2020-03-10,45.9282
2020-03-11,41.2509
2020-03-12,32.8859
2020-03-13,40.8335
2020-03-14,40.8335
2020-03-15,40.8335
2020-03-16,33.0377
2020-03-17,41.4134
2020-03-18,37.7148
2020-03-19,37.5287
2020-03-20,37.4188
2020-03-21,37.4188
2020-03-22,37.4188
2020-03-23,36.0243
2020-03-24,40.9205
2020-03-25,40.5749
2020-03-26,44.9926
2020-03-27,43.079
2020-03-28,43.079
2020-03-29,43.079
2020-03-30,43.832
2020-03-31,45.7489
2020-04-01,40.7628
2020-04-02,42.6869
2020-04-03,41.7672
2020-04-04,41.7672
2020-04-05,41.7672
2020-04-06,44.8285
2020-04-07,43.8019
2020-04-08,45.2684
2020-04-09,47.1837
2020-04-10,47.1837
2020-04-11,47.1837
2020-04-12,47.1837
2020-04-13,45.76
2020-04-14,45.8731
2020-04-15,43.9463
2020-04-16,43.3494
2020-04-17,46.148
2020-04-18,46.148
2020-04-19,46.148
2020-04-20,44.8601
2020-04-21,43.5405
2020-04-22,44.5934
2020-04-23,43.9072
2020-04-24,44.9009
2020-04-25,44.9009
2020-04-26,44.9009
2020-04-27,45.8723
2020-04-28,47.9962
2020-04-29,51.0458
2020-04-30,48.1432
2020-05-01,47.9224
2020-05-02,47.9224
2020-05-03,47.9224
2020-05-04,47.7494
2020-05-05,47.6574
2020-05-06,47.3053
2020-05-07,45.5401
2020-05-08,47.4404
2020-05-09,47.4404
2020-05-10,47.4404
2020-05-11,45.5075
2020-05-12,44.0025
2020-05-13,43.0175
2020-05-14,42.9882
2020-05-15,43.3472
2020-05-16,43.3472
2020-05-17,43.3472
2020-05-18,47.1067
2020-05-19,46.2531
2020-05-20,47.3888
2020-05-21,47.4115
2020-05-22,47.8227
2020-05-23,47.8227
2020-05-24,47.8227
2020-05-25,47.8227
2020-05-26,50.3391
2020-05-27,52.6176
2020-05-28,51.5472
2020-05-29,50.579
2020-05-30,50.579
2020-05-31,50.579
2020-06-01,49.8845
2020-06-02,51.046
2020-06-03,52.9818
2020-06-04,52.9652
2020-06-05,56.3406
2020-06-06,56.3406
2020-06-07,56.3406
2020-06-08,56.2268
2020-06-09,53.6494
2020-06-10,51.4463
2020-06-11,47.2738
2020-06-12,47.6496
2020-06-13,47.6496
2020-06-14,47.6496
2020-06-15,48.0961
2020-06-16,48.9961
2020-06-17,48.384
2020-06-18,47.9214
2020-06-19,48.3027
2020-06-20,48.3027
2020-06-21,48.3027
2020-06-22,48.5507
2020-06-23,49.3319
2020-06-24,46.0246
2020-06-25,47.1752
2020-06-26,46.2931
2020-06-27,46.2931
2020-06-28,46.2931
2020-06-29,48.5683
2020-06-30,48.8135
2020-07-01,47.5201
2020-07-02,48.5332
2020-07-03,48.5332
2020-07-04,48.5332
2020-07-05,48.5332
2020-07-06,48.7627
2020-07-07,47.0883
2020-07-08,46.9711
2020-07-09,46.9711
2020-07-10,48.0257
2020-07-11,48.0257
2020-07-12,48.0257
2020-07-13,47.9958
2020-07-14,49.7449
2020-07-15,53.0051
2020-07-16,52.8513
2020-07-17,52.6595
2020-07-18,52.6595
2020-07-19,52.6595
2020-07-20,51.9934
2020-07-21,53.2691
2020-07-22,52.9085
2020-07-23,53.9407
2020-07-24,52.3577
2020-07-25,52.3577
2020-07-26,52.3577
2020-07-27,53.4183
2020-07-28,52.0693
2020-07-29,53.9946
2020-07-30,51.2496
2020-07-31,51.4328
2020-08-01,51.4328
2020-08-02,51.4328
2020-08-03,53.7913
2020-08-04,54.6591
2020-08-05,57.6226
2020-08-06,56.691
2020-08-07,59.0121
2020-08-08,59.0121
2020-08-09,59.0121
2020-08-10,60.2579
2020-08-11,61.8942
2020-08-12,61.8654
2020-08-13,61.5102
2020-08-14,61.6715
2020-08-15,61.6715
2020-08-16,61.6715
2020-08-17,62.3625
2020-08-18,62.1532
2020-08-19,61.2212
2020-08-20,60.5783
2020-08-21,60.6222
2020-08-22,60.6222
2020-08-23,60.6222
2020-08-24,61.9792
2020-08-25,62.1099
2020-08-26,62.3443
2020-08-27,62.7305
2020-08-28,64.8368
2020-08-29,64.8368
2020-08-30,64.8368
2020-08-31,61.2122
2020-09-01,62.0605
2020-09-02,63.311
2020-09-03,61.3667
2020-09-04,61.3295
2020-09-05,61.3295
2020-09-06,61.3295
2020-09-07,61.3295
2020-09-08,61.4862
2020-09-09,63.6754
