,WBS US Equity
,RSI_30D
2020-01-01,62.2795
2020-01-02,62.2795
2020-01-03,61.5033
2020-01-04,61.5033
2020-01-05,61.5033
2020-01-06,59.1762
2020-01-07,57.7315
2020-01-08,60.2781
2020-01-09,61.3724
2020-01-10,57.5457
2020-01-11,57.5457
2020-01-12,57.5457
2020-01-13,58.5887
2020-01-14,58.4077
2020-01-15,55.0637
2020-01-16,57.3252
2020-01-17,57.1153
2020-01-18,57.1153
2020-01-19,57.1153
2020-01-20,57.1153
2020-01-21,53.2808
2020-01-22,53.2484
2020-01-23,45.4359
2020-01-24,45.5268
2020-01-25,45.5268
2020-01-26,45.5268
2020-01-27,41.2623
2020-01-28,42.2265
2020-01-29,39.1194
2020-01-30,39.5951
2020-01-31,37.0966
2020-02-01,37.0966
2020-02-02,37.0966
2020-02-03,38.6972
2020-02-04,42.1969
2020-02-05,48.3978
2020-02-06,46.5437
2020-02-07,44.4066
2020-02-08,44.4066
2020-02-09,44.4066
2020-02-10,44.6405
2020-02-11,45.1711
2020-02-12,46.3154
2020-02-13,47.0335
2020-02-14,45.0481
2020-02-15,45.0481
2020-02-16,45.0481
2020-02-17,45.0481
2020-02-18,43.4593
2020-02-19,45.5826
2020-02-20,48.5668
2020-02-21,44.7683
2020-02-22,44.7683
2020-02-23,44.7683
2020-02-24,41.0776
2020-02-25,37.4643
2020-02-26,36.5708
2020-02-27,34.0773
2020-02-28,31.6623
2020-02-29,31.6623
2020-03-01,31.6623
2020-03-02,37.9923
2020-03-03,33.714
2020-03-04,35.5952
2020-03-05,32.8583
2020-03-06,31.5421
2020-03-07,31.5421
2020-03-08,31.5421
2020-03-09,26.7529
2020-03-10,35.266
2020-03-11,32.9874
2020-03-12,30.119
2020-03-13,34.6916
2020-03-14,34.6916
2020-03-15,34.6916
2020-03-16,30.3953
2020-03-17,31.9936
2020-03-18,29.1448
2020-03-19,29.2289
2020-03-20,29.199
2020-03-21,29.199
2020-03-22,29.199
2020-03-23,28.1395
2020-03-24,31.3394
2020-03-25,31.0481
2020-03-26,33.6012
2020-03-27,32.9492
2020-03-28,32.9492
2020-03-29,32.9492
2020-03-30,35.0929
2020-03-31,35.5388
2020-04-01,33.6694
2020-04-02,34.4823
2020-04-03,34.8589
2020-04-04,34.8589
2020-04-05,34.8589
2020-04-06,37.2421
2020-04-07,38.0611
2020-04-08,40.6182
2020-04-09,42.4129
2020-04-10,42.4129
2020-04-11,42.4129
2020-04-12,42.4129
2020-04-13,41.2289
2020-04-14,40.4101
2020-04-15,38.7537
2020-04-16,38.2519
2020-04-17,40.3357
2020-04-18,40.3357
2020-04-19,40.3357
2020-04-20,40.249
2020-04-21,39.7487
2020-04-22,39.8548
2020-04-23,40.7041
2020-04-24,40.9237
2020-04-25,40.9237
2020-04-26,40.9237
2020-04-27,44.207
2020-04-28,45.7872
2020-04-29,49.1368
2020-04-30,47.585
2020-05-01,46.22
2020-05-02,46.22
2020-05-03,46.22
2020-05-04,45.234
2020-05-05,44.3128
2020-05-06,43.2825
2020-05-07,43.9182
2020-05-08,45.7885
2020-05-09,45.7885
2020-05-10,45.7885
2020-05-11,43.8065
2020-05-12,41.9514
2020-05-13,40.2014
2020-05-14,42.1108
2020-05-15,41.7659
2020-05-16,41.7659
2020-05-17,41.7659
2020-05-18,46.4538
2020-05-19,44.6891
2020-05-20,46.3527
2020-05-21,46.781
2020-05-22,46.3599
2020-05-23,46.3599
2020-05-24,46.3599
2020-05-25,46.3599
2020-05-26,50.8408
2020-05-27,53.0756
2020-05-28,51.9367
2020-05-29,51.0225
2020-05-30,51.0225
2020-05-31,51.0225
2020-06-01,51.2872
2020-06-02,50.9312
2020-06-03,53.0488
2020-06-04,54.735
2020-06-05,57.3819
2020-06-06,57.3819
2020-06-07,57.3819
2020-06-08,59.9797
2020-06-09,58.9049
2020-06-10,54.3969
2020-06-11,49.9005
2020-06-12,51.2967
2020-06-13,51.2967
2020-06-14,51.2967
2020-06-15,51.6452
2020-06-16,53.152
2020-06-17,51.3775
2020-06-18,51.3119
2020-06-19,50.9216
2020-06-20,50.9216
2020-06-21,50.9216
2020-06-22,50.0257
2020-06-23,49.724
2020-06-24,47.7344
2020-06-25,49.0402
2020-06-26,46.3668
2020-06-27,46.3668
2020-06-28,46.3668
2020-06-29,48.8804
2020-06-30,49.9766
2020-07-01,47.9044
2020-07-02,47.6425
2020-07-03,47.6425
2020-07-04,47.6425
2020-07-05,47.6425
2020-07-06,48.315
2020-07-07,46.1169
2020-07-08,45.9074
2020-07-09,44.4326
2020-07-10,46.5546
2020-07-11,46.5546
2020-07-12,46.5546
2020-07-13,46.8346
2020-07-14,45.8813
2020-07-15,48.8029
2020-07-16,48.2981
2020-07-17,46.6438
2020-07-18,46.6438
2020-07-19,46.6438
2020-07-20,45.9559
2020-07-21,48.8389
2020-07-22,48.4841
2020-07-23,49.5581
2020-07-24,49.1992
2020-07-25,49.1992
2020-07-26,49.1992
2020-07-27,47.965
2020-07-28,48.0844
2020-07-29,50.0489
2020-07-30,49.7968
2020-07-31,49.5901
