,MKC/V US Equity
,RSI_30D
2020-01-01,57.1374
2020-01-02,51.006
2020-01-03,54.9515
2020-01-04,54.9515
2020-01-05,54.9515
2020-01-06,54.6884
2020-01-07,54.1939
2020-01-08,52.4828
2020-01-09,43.532
2020-01-10,47.6787
2020-01-11,47.6787
2020-01-12,47.6787
2020-01-13,49.1348
2020-01-14,49.6918
2020-01-15,52.6728
2020-01-16,49.9681
2020-01-17,51.9687
2020-01-18,51.9687
2020-01-19,51.9687
2020-01-20,51.9687
2020-01-21,53.3813
2020-01-22,55.622
2020-01-23,56.1806
2020-01-24,56.3051
2020-01-25,56.3051
2020-01-26,56.3051
2020-01-27,56.7398
2020-01-28,48.9015
2020-01-29,48.9015
2020-01-30,47.7305
2020-01-31,46.7557
2020-02-01,46.7557
2020-02-02,46.7557
2020-02-03,45.9011
2020-02-04,44.8436
2020-02-05,43.9565
2020-02-06,44.9395
2020-02-07,45.1216
2020-02-08,45.1216
2020-02-09,45.1216
2020-02-10,45.1216
2020-02-11,47.0229
2020-02-12,47.0229
2020-02-13,50.0576
2020-02-14,50.8762
2020-02-15,50.8762
2020-02-16,50.8762
2020-02-17,50.8762
2020-02-18,48.6752
2020-02-19,48.222
2020-02-20,46.3308
2020-02-21,45.9381
2020-02-22,45.9381
2020-02-23,45.9381
2020-02-24,45.4546
2020-02-25,42.4383
2020-02-26,37.4293
2020-02-27,35.5549
2020-02-28,31.6463
2020-02-29,31.6463
2020-03-01,31.6463
2020-03-02,40.2135
2020-03-03,39.1128
2020-03-04,41.5204
2020-03-05,40.9619
2020-03-06,38.8994
2020-03-07,38.8994
2020-03-08,38.8994
2020-03-09,38.8994
2020-03-10,38.8994
2020-03-11,38.8994
2020-03-12,29.7313
2020-03-13,32.5196
2020-03-14,32.5196
2020-03-15,32.5196
2020-03-16,26.9271
2020-03-17,37.9697
2020-03-18,39.7679
2020-03-19,35.3529
2020-03-20,35.1966
2020-03-21,35.1966
2020-03-22,35.1966
2020-03-23,31.9011
2020-03-24,34.8712
2020-03-25,38.5424
2020-03-26,41.6811
2020-03-27,42.0768
2020-03-28,42.0768
2020-03-29,42.0768
2020-03-30,46.8464
2020-03-31,46.7399
2020-04-01,44.5378
2020-04-02,48.2045
2020-04-03,48.2688
2020-04-04,48.2688
2020-04-05,48.2688
