,GATX US Equity
,RSI_30D
2020-01-01,59.2908
2020-01-02,60.4316
2020-01-03,59.2056
2020-01-04,59.2056
2020-01-05,59.2056
2020-01-06,55.8704
2020-01-07,55.6424
2020-01-08,54.4922
2020-01-09,53.8272
2020-01-10,52.6261
2020-01-11,52.6261
2020-01-12,52.6261
2020-01-13,52.9726
2020-01-14,49.2932
2020-01-15,48.9133
2020-01-16,50.8719
2020-01-17,45.4423
2020-01-18,45.4423
2020-01-19,45.4423
2020-01-20,45.4423
2020-01-21,41.1787
2020-01-22,41.63
2020-01-23,55.4704
2020-01-24,54.1147
2020-01-25,54.1147
2020-01-26,54.1147
2020-01-27,49.1606
2020-01-28,49.8719
2020-01-29,49.0627
2020-01-30,48.8285
2020-01-31,44.9743
2020-02-01,44.9743
2020-02-02,44.9743
2020-02-03,45.4872
2020-02-04,48.0287
2020-02-05,50.2102
2020-02-06,48.1517
2020-02-07,45.9571
2020-02-08,45.9571
2020-02-09,45.9571
2020-02-10,48.6169
2020-02-11,49.4368
2020-02-12,51.1619
2020-02-13,49.1983
2020-02-14,47.4393
2020-02-15,47.4393
2020-02-16,47.4393
2020-02-17,47.4393
2020-02-18,48.2189
2020-02-19,49.1018
2020-02-20,52.1987
2020-02-21,52.0443
2020-02-22,52.0443
2020-02-23,52.0443
2020-02-24,46.0357
2020-02-25,44.5933
2020-02-26,44.1121
2020-02-27,41.2025
2020-02-28,40.4744
2020-02-29,40.4744
2020-03-01,40.4744
2020-03-02,42.6959
2020-03-03,41.3588
2020-03-04,44.4514
2020-03-05,42.437
2020-03-06,40.7738
2020-03-07,40.7738
2020-03-08,40.7738
2020-03-09,32.3007
2020-03-10,38.4648
2020-03-11,33.9947
2020-03-12,30.8513
2020-03-13,41.7994
2020-03-14,41.7994
2020-03-15,41.7994
2020-03-16,36.585
2020-03-17,40.517
2020-03-18,36.8041
2020-03-19,39.3097
2020-03-20,38.0219
2020-03-21,38.0219
2020-03-22,38.0219
2020-03-23,37.9785
2020-03-24,41.9819
2020-03-25,42.6462
2020-03-26,44.1488
2020-03-27,41.867
2020-03-28,41.867
2020-03-29,41.867
2020-03-30,43.5871
