,NMIH US Equity
,RSI_30D
2020-01-01,59.8288
2020-01-02,55.7203
2020-01-03,55.9951
2020-01-04,55.9951
2020-01-05,55.9951
2020-01-06,55.3729
2020-01-07,53.4847
2020-01-08,54.602
2020-01-09,54.6771
2020-01-10,54.3055
2020-01-11,54.3055
2020-01-12,54.3055
2020-01-13,55.3263
2020-01-14,54.6943
2020-01-15,57.1484
2020-01-16,58.5137
2020-01-17,59.872
2020-01-18,59.872
2020-01-19,59.872
2020-01-20,59.872
2020-01-21,57.4646
2020-01-22,58.3132
2020-01-23,55.666
2020-01-24,55.1771
2020-01-25,55.1771
2020-01-26,55.1771
2020-01-27,52.7336
2020-01-28,54.7653
2020-01-29,54.8054
2020-01-30,54.5547
2020-01-31,51.2103
2020-02-01,51.2103
2020-02-02,51.2103
2020-02-03,54.8228
2020-02-04,56.2852
2020-02-05,56.9305
2020-02-06,57.6532
2020-02-07,58.6726
2020-02-08,58.6726
2020-02-09,58.6726
2020-02-10,60.1431
2020-02-11,64.6052
2020-02-12,46.6017
2020-02-13,42.1603
2020-02-14,43.2327
2020-02-15,43.2327
2020-02-16,43.2327
2020-02-17,43.2327
2020-02-18,42.822
2020-02-19,43.4129
2020-02-20,41.8345
2020-02-21,40.3548
2020-02-22,40.3548
2020-02-23,40.3548
2020-02-24,37.9233
2020-02-25,35.9763
2020-02-26,35.636
2020-02-27,32.7153
2020-02-28,29.9339
2020-02-29,29.9339
2020-03-01,29.9339
2020-03-02,34.5732
2020-03-03,34.0668
2020-03-04,37.3234
2020-03-05,36.3559
2020-03-06,35.7802
2020-03-07,35.7802
2020-03-08,35.7802
2020-03-09,31.9118
2020-03-10,34.8965
2020-03-11,31.0169
2020-03-12,29.5286
2020-03-13,28.8898
2020-03-14,28.8898
2020-03-15,28.8898
2020-03-16,26.3504
2020-03-17,28.9233
2020-03-18,24.488
2020-03-19,23.9908
2020-03-20,22.4637
2020-03-21,22.4637
2020-03-22,22.4637
2020-03-23,21.1273
2020-03-24,24.2359
2020-03-25,27.1538
2020-03-26,32.1274
2020-03-27,31.7895
2020-03-28,31.7895
2020-03-29,31.7895
2020-03-30,30.9742
2020-03-31,29.6827
2020-04-01,28.9616
2020-04-02,28.9104
2020-04-03,27.7734
2020-04-04,27.7734
2020-04-05,27.7734
2020-04-06,30.1092
2020-04-07,32.0368
2020-04-08,34.133
2020-04-09,35.4121
2020-04-10,35.4121
2020-04-11,35.4121
2020-04-12,35.4121
2020-04-13,34.3266
2020-04-14,34.5464
2020-04-15,33.7291
2020-04-16,33.0235
2020-04-17,35.6929
2020-04-18,35.6929
2020-04-19,35.6929
2020-04-20,34.0368
2020-04-21,33.3427
2020-04-22,33.3037
2020-04-23,36.09
2020-04-24,36.8231
2020-04-25,36.8231
2020-04-26,36.8231
2020-04-27,38.2631
2020-04-28,40.0969
2020-04-29,44.1332
2020-04-30,42.368
2020-05-01,40.9192
2020-05-02,40.9192
2020-05-03,40.9192
2020-05-04,41.912
2020-05-05,42.3548
2020-05-06,42.4265
2020-05-07,46.058
2020-05-08,45.3048
2020-05-09,45.3048
2020-05-10,45.3048
2020-05-11,44.8684
2020-05-12,42.6684
2020-05-13,41.0415
2020-05-14,43.9195
2020-05-15,42.7075
2020-05-16,42.7075
2020-05-17,42.7075
2020-05-18,45.3899
2020-05-19,45.8605
2020-05-20,47.789
2020-05-21,47.032
2020-05-22,46.951
2020-05-23,46.951
2020-05-24,46.951
2020-05-25,46.951
2020-05-26,50.2103
2020-05-27,53.3752
2020-05-28,49.2306
2020-05-29,48.9859
2020-05-30,48.9859
2020-05-31,48.9859
2020-06-01,50.3244
2020-06-02,50.3035
2020-06-03,52.05
2020-06-04,51.0457
2020-06-05,55.593
2020-06-06,55.593
2020-06-07,55.593
2020-06-08,57.0108
2020-06-09,53.1731
2020-06-10,51.8473
2020-06-11,48.5344
2020-06-12,51.4629
2020-06-13,51.4629
2020-06-14,51.4629
2020-06-15,51.5174
2020-06-16,52.2573
2020-06-17,51.5052
2020-06-18,51.1962
2020-06-19,50.7968
2020-06-20,50.7968
2020-06-21,50.7968
2020-06-22,51.2318
2020-06-23,52.1588
2020-06-24,49.2942
2020-06-25,49.5991
2020-06-26,46.7731
2020-06-27,46.7731
2020-06-28,46.7731
2020-06-29,48.814
2020-06-30,49.5106
2020-07-01,48.4867
2020-07-02,48.7153
2020-07-03,48.7153
2020-07-04,48.7153
2020-07-05,48.7153
2020-07-06,49.0427
2020-07-07,46.0447
2020-07-08,46.559
2020-07-09,44.6712
2020-07-10,46.0294
2020-07-11,46.0294
2020-07-12,46.0294
2020-07-13,45.6857
2020-07-14,45.0763
2020-07-15,48.4311
2020-07-16,47.0133
2020-07-17,46.5656
2020-07-18,46.5656
2020-07-19,46.5656
2020-07-20,46.4512
2020-07-21,47.4659
2020-07-22,47.7623
2020-07-23,47.3104
2020-07-24,46.6009
2020-07-25,46.6009
2020-07-26,46.6009
2020-07-27,45.7393
2020-07-28,46.875
2020-07-29,48.203
2020-07-30,49.1383
2020-07-31,50.2137
2020-08-01,50.2137
2020-08-02,50.2137
2020-08-03,51.2511
2020-08-04,50.3171
2020-08-05,51.5832
2020-08-06,50.7126
2020-08-07,52.0578
2020-08-08,52.0578
2020-08-09,52.0578
2020-08-10,54.2944
2020-08-11,55.6926
2020-08-12,54.7749
2020-08-13,52.8079
2020-08-14,53.8681
2020-08-15,53.8681
2020-08-16,53.8681
2020-08-17,53.1073
2020-08-18,51.8942
2020-08-19,50.6962
2020-08-20,50.9564
2020-08-21,50.9217
2020-08-22,50.9217
2020-08-23,50.9217
2020-08-24,53.1374
2020-08-25,53.4296
2020-08-26,52.2318
2020-08-27,53.6102
2020-08-28,54.795
2020-08-29,54.795
2020-08-30,54.795
2020-08-31,54.1983
2020-09-01,54.6749
2020-09-02,56.8003
2020-09-03,57.254
2020-09-04,57.6483
2020-09-05,57.6483
2020-09-06,57.6483
2020-09-07,57.6483
2020-09-08,54.3219
2020-09-09,56.8317
2020-09-10,56.1929
2020-09-11,58.5696
2020-09-12,58.5696
2020-09-13,58.5696
2020-09-14,58.7883
2020-09-15,58.651
2020-09-16,59.5311
2020-09-17,57.0647
2020-09-18,55.6253
2020-09-19,55.6253
2020-09-20,55.6253
2020-09-21,49.4193
2020-09-22,50.9985
2020-09-23,48.4511
2020-09-24,48.6029
2020-09-25,50.884
2020-09-26,50.884
2020-09-27,50.884
2020-09-28,53.4753
2020-09-29,52.4692
2020-09-30,53.3767
2020-10-01,56.1106
2020-10-02,59.19
2020-10-03,59.19
2020-10-04,59.19
2020-10-05,62.2273
2020-10-06,64.0403
2020-10-07,66.0668
2020-10-08,67.2881
2020-10-09,66.3348
2020-10-10,66.3348
2020-10-11,66.3348
2020-10-12,67.0375
2020-10-13,64.2624
2020-10-14,62.4245
2020-10-15,65.0561
2020-10-16,64.4722
2020-10-17,64.4722
2020-10-18,64.4722
2020-10-19,64.799
2020-10-20,66.2005
2020-10-21,65.0153
2020-10-22,66.1305
2020-10-23,67.4068
2020-10-24,67.4068
2020-10-25,67.4068
2020-10-26,61.5552
2020-10-27,57.3326
2020-10-28,54.1314
2020-10-29,55.7198
2020-10-30,55.3168
2020-10-31,55.3168
2020-11-01,55.3168
2020-11-02,56.2178
2020-11-03,57.9456
2020-11-04,58.8248
2020-11-05,58.7501
2020-11-06,55.8851
2020-11-07,55.8851
2020-11-08,55.8851
2020-11-09,58.464
2020-11-10,59.7815
2020-11-11,58.8897
2020-11-12,55.6681
2020-11-13,56.8087
2020-11-14,56.8087
2020-11-15,56.8087
2020-11-16,58.8432
2020-11-17,59.0733
2020-11-18,56.4262
2020-11-19,56.2832
2020-11-20,55.7354
2020-11-21,55.7354
2020-11-22,55.7354
2020-11-23,55.4377
2020-11-24,57.7987
2020-11-25,56.7994
2020-11-26,56.7994
2020-11-27,55.3155
2020-11-28,55.3155
2020-11-29,55.3155
2020-11-30,52.102
2020-12-01,53.787
2020-12-02,54.9706
2020-12-03,54.1249
2020-12-04,56.7862
2020-12-05,56.7862
2020-12-06,56.7862
2020-12-07,55.7709
2020-12-08,56.9792
2020-12-09,59.0404
2020-12-10,59.3166
2020-12-11,55.5934
2020-12-12,55.5934
2020-12-13,55.5934
2020-12-14,54.6327
2020-12-15,56.8576
2020-12-16,58.4321
2020-12-17,55.2298
2020-12-18,54.5821
2020-12-19,54.5821
2020-12-20,54.5821
2020-12-21,53.5004
2020-12-22,52.6017
2020-12-23,52.347
2020-12-24,51.791
2020-12-25,51.791
2020-12-26,51.791
2020-12-27,51.791
2020-12-28,51.8263
2020-12-29,50.1923
2020-12-30,50.6045
2020-12-31,51.3987
2021-01-01,51.3987
2021-01-02,51.3987
2021-01-03,51.3987
2021-01-04,48.8821
2021-01-05,51.3464
2021-01-06,54.5869
2021-01-07,56.8562
2021-01-08,56.2015
2021-01-09,56.2015
2021-01-10,56.2015
2021-01-11,56.749
2021-01-12,56.3631
2021-01-13,54.4896
2021-01-14,57.136
2021-01-15,56.1526
2021-01-16,56.1526
2021-01-17,56.1526
2021-01-18,56.1526
2021-01-19,56.5562
2021-01-20,56.7961
2021-01-21,51.6138
2021-01-22,48.9112
2021-01-23,48.9112
2021-01-24,48.9112
2021-01-25,49.8173
2021-01-26,47.8424
2021-01-27,43.8464
2021-01-28,47.898
2021-01-29,44.9762
2021-01-30,44.9762
2021-01-31,44.9762
2021-02-01,46.7977
2021-02-02,46.9757
2021-02-03,45.7407
2021-02-04,48.3348
2021-02-05,48.1035
2021-02-06,48.1035
2021-02-07,48.1035
2021-02-08,50.618
2021-02-09,51.3295
2021-02-10,51.4673
2021-02-11,50.5422
2021-02-12,49.1885
2021-02-13,49.1885
2021-02-14,49.1885
2021-02-15,49.1885
2021-02-16,52.7941
2021-02-17,50.4348
2021-02-18,49.45
2021-02-19,52.5961
2021-02-20,52.5961
2021-02-21,52.5961
2021-02-22,51.5499
2021-02-23,52.6913
2021-02-24,54.9821
2021-02-25,50.2978
2021-02-26,50.3972
2021-02-27,50.3972
2021-02-28,50.3972
2021-03-01,54.419
2021-03-02,53.4385
2021-03-03,53.6545
2021-03-04,51.1645
2021-03-05,50.5493
2021-03-06,50.5493
2021-03-07,50.5493
2021-03-08,50.7196
2021-03-09,53.6579
2021-03-10,54.999
2021-03-11,55.7083
2021-03-12,55.7083
2021-03-13,55.7083
2021-03-14,55.7083
2021-03-15,56.5056
2021-03-16,55.2302
2021-03-17,57.3504
2021-03-18,55.9387
2021-03-19,52.9635
2021-03-20,52.9635
2021-03-21,52.9635
2021-03-22,51.0173
2021-03-23,48.7031
2021-03-24,47.1377
2021-03-25,48.5146
2021-03-26,49.071
2021-03-27,49.071
2021-03-28,49.071
2021-03-29,47.8236
2021-03-30,49.6398
2021-03-31,51.355
2021-04-01,49.7152
2021-04-02,49.7152
2021-04-03,49.7152
