,BRKL US Equity
,RSI_30D
2020-01-01,61.8902
2020-01-02,61.3294
2020-01-03,60.3859
2020-01-04,60.3859
2020-01-05,60.3859
2020-01-06,58.1643
2020-01-07,54.0503
2020-01-08,54.9432
2020-01-09,54.189
2020-01-10,52.5315
2020-01-11,52.5315
2020-01-12,52.5315
2020-01-13,53.1248
2020-01-14,52.7835
2020-01-15,52.006
2020-01-16,54.979
2020-01-17,54.979
2020-01-18,54.979
2020-01-19,54.979
2020-01-20,54.979
2020-01-21,50.6724
2020-01-22,49.7058
2020-01-23,51.3847
2020-01-24,47.1227
2020-01-25,47.1227
2020-01-26,47.1227
2020-01-27,46.0452
2020-01-28,44.843
2020-01-29,41.0595
2020-01-30,47.18
2020-01-31,42.8192
2020-02-01,42.8192
2020-02-02,42.8192
2020-02-03,47.9339
2020-02-04,49.1878
2020-02-05,52.5562
2020-02-06,49.8001
2020-02-07,48.2082
2020-02-08,48.2082
2020-02-09,48.2082
2020-02-10,48.8127
2020-02-11,50.2543
2020-02-12,49.8909
2020-02-13,51.1785
2020-02-14,49.9149
2020-02-15,49.9149
2020-02-16,49.9149
2020-02-17,49.9149
2020-02-18,47.9551
2020-02-19,47.354
2020-02-20,48.9428
2020-02-21,47.5811
2020-02-22,47.5811
2020-02-23,47.5811
2020-02-24,44.0113
2020-02-25,39.9141
2020-02-26,39.3139
2020-02-27,36.1555
2020-02-28,33.1374
2020-02-29,33.1374
2020-03-01,33.1374
2020-03-02,41.6964
2020-03-03,38.4056
2020-03-04,38.7466
2020-03-05,35.5565
2020-03-06,34.373
2020-03-07,34.373
2020-03-08,34.373
2020-03-09,27.3182
2020-03-10,35.4457
2020-03-11,31.3285
2020-03-12,28.0934
2020-03-13,32.7036
2020-03-14,32.7036
2020-03-15,32.7036
2020-03-16,28.6179
2020-03-17,34.85
2020-03-18,33.4673
2020-03-19,35.0785
2020-03-20,32.6851
2020-03-21,32.6851
2020-03-22,32.6851
2020-03-23,31.5709
2020-03-24,37.0074
2020-03-25,36.3331
2020-03-26,40.1978
2020-03-27,38.486
2020-03-28,38.486
2020-03-29,38.486
2020-03-30,39.9892
2020-03-31,40.4564
2020-04-01,38.5259
2020-04-02,39.9033
2020-04-03,37.3714
2020-04-04,37.3714
2020-04-05,37.3714
2020-04-06,40.8455
2020-04-07,41.3895
2020-04-08,43.1117
2020-04-09,48.5215
2020-04-10,48.5215
2020-04-11,48.5215
2020-04-12,48.5215
2020-04-13,45.1107
2020-04-14,43.909
2020-04-15,41.4916
2020-04-16,40.4033
2020-04-17,42.7128
2020-04-18,42.7128
2020-04-19,42.7128
2020-04-20,42.6471
2020-04-21,41.7169
2020-04-22,41.5829
2020-04-23,42.302
2020-04-24,42.6429
2020-04-25,42.6429
2020-04-26,42.6429
2020-04-27,45.2709
2020-04-28,46.3346
2020-04-29,48.668
2020-04-30,42.4609
2020-05-01,39.9062
2020-05-02,39.9062
2020-05-03,39.9062
2020-05-04,39.3094
2020-05-05,38.5345
2020-05-06,39.1076
2020-05-07,39.7374
2020-05-08,41.3307
2020-05-09,41.3307
2020-05-10,41.3307
2020-05-11,39.8128
2020-05-12,38.9443
2020-05-13,38.7339
2020-05-14,38.6162
2020-05-15,38.409
2020-05-16,38.409
2020-05-17,38.409
2020-05-18,42.1535
2020-05-19,40.2547
2020-05-20,42.8905
2020-05-21,42.5915
2020-05-22,42.3623
2020-05-23,42.3623
2020-05-24,42.3623
2020-05-25,42.3623
2020-05-26,45.0147
2020-05-27,49.0063
2020-05-28,46.7676
2020-05-29,44.4915
2020-05-30,44.4915
2020-05-31,44.4915
2020-06-01,44.7273
2020-06-02,44.7758
2020-06-03,47.2671
2020-06-04,48.4016
2020-06-05,51.1318
2020-06-06,51.1318
2020-06-07,51.1318
2020-06-08,51.9865
2020-06-09,49.6938
2020-06-10,48.1852
2020-06-11,45.3375
2020-06-12,45.7403
2020-06-13,45.7403
2020-06-14,45.7403
2020-06-15,45.5972
2020-06-16,48.0477
2020-06-17,46.7659
2020-06-18,47.4904
2020-06-19,47.0488
2020-06-20,47.0488
2020-06-21,47.0488
2020-06-22,47.6282
2020-06-23,46.7312
2020-06-24,46.3607
2020-06-25,47.1198
2020-06-26,45.4103
2020-06-27,45.4103
2020-06-28,45.4103
2020-06-29,48.5229
2020-06-30,49.4987
2020-07-01,46.8856
2020-07-02,46.3234
2020-07-03,46.3234
2020-07-04,46.3234
2020-07-05,46.3234
2020-07-06,47.0891
2020-07-07,45.6924
2020-07-08,45.4042
2020-07-09,44.2492
2020-07-10,46.1105
2020-07-11,46.1105
2020-07-12,46.1105
2020-07-13,46.666
2020-07-14,46.5354
2020-07-15,49.1556
2020-07-16,48.8495
2020-07-17,47.4869
2020-07-18,47.4869
2020-07-19,47.4869
2020-07-20,45.8924
2020-07-21,49.6013
2020-07-22,48.5008
2020-07-23,50.5441
2020-07-24,50.3718
2020-07-25,50.3718
2020-07-26,50.3718
2020-07-27,49.442
2020-07-28,48.9743
2020-07-29,50.4882
2020-07-30,48.9265
2020-07-31,48.2437
2020-08-01,48.2437
2020-08-02,48.2437
2020-08-03,48.0327
2020-08-04,47.5105
2020-08-05,49.4822
2020-08-06,49.1221
2020-08-07,53.2202
2020-08-08,53.2202
2020-08-09,53.2202
2020-08-10,54.4075
2020-08-11,54.8813
2020-08-12,55.0925
2020-08-13,52.5824
2020-08-14,53.3158
2020-08-15,53.3158
2020-08-16,53.3158
2020-08-17,51.7322
2020-08-18,49.9532
2020-08-19,50.4372
2020-08-20,48.6972
2020-08-21,47.6097
2020-08-22,47.6097
2020-08-23,47.6097
2020-08-24,50.1298
2020-08-25,50.1298
2020-08-26,48.6279
2020-08-27,49.595
2020-08-28,49.2263
2020-08-29,49.2263
2020-08-30,49.2263
2020-08-31,48.2612
2020-09-01,48.382
2020-09-02,48.5064
2020-09-03,49.0147
2020-09-04,50.2838
2020-09-05,50.2838
2020-09-06,50.2838
2020-09-07,50.2838
2020-09-08,46.7523
2020-09-09,46.2937
2020-09-10,45.2976
2020-09-11,45.0662
2020-09-12,45.0662
2020-09-13,45.0662
2020-09-14,46.755
2020-09-15,45.0056
2020-09-16,44.381
2020-09-17,44.2222
2020-09-18,44.5301
2020-09-19,44.5301
2020-09-20,44.5301
2020-09-21,40.6608
2020-09-22,39.8021
2020-09-23,38.236
2020-09-24,39.8148
2020-09-25,41.6246
2020-09-26,41.6246
2020-09-27,41.6246
2020-09-28,43.6855
2020-09-29,42.9021
2020-09-30,42.955
2020-10-01,43.2813
2020-10-02,44.5391
2020-10-03,44.5391
2020-10-04,44.5391
2020-10-05,47.4732
2020-10-06,47.7794
2020-10-07,49.0094
2020-10-08,50.8073
2020-10-09,49.7982
2020-10-10,49.7982
2020-10-11,49.7982
2020-10-12,51.2992
2020-10-13,48.7843
2020-10-14,48.0053
2020-10-15,50.1169
2020-10-16,51.0696
2020-10-17,51.0696
2020-10-18,51.0696
2020-10-19,50.1313
2020-10-20,51.3638
2020-10-21,52.1789
2020-10-22,55.3706
2020-10-23,56.8162
2020-10-24,56.8162
2020-10-25,56.8162
2020-10-26,55.6507
2020-10-27,51.7521
2020-10-28,51.0744
2020-10-29,51.2269
2020-10-30,51.8989
2020-10-31,51.8989
2020-11-01,51.8989
2020-11-02,55.0528
2020-11-03,57.3148
2020-11-04,51.4249
2020-11-05,53.6639
2020-11-06,52.6595
2020-11-07,52.6595
2020-11-08,52.6595
2020-11-09,64.3829
2020-11-10,66.6918
2020-11-11,62.6717
2020-11-12,60.8426
2020-11-13,62.175
2020-11-14,62.175
2020-11-15,62.175
2020-11-16,65.4509
2020-11-17,65.0974
2020-11-18,63.501
2020-11-19,63.501
2020-11-20,62.7688
2020-11-21,62.7688
2020-11-22,62.7688
2020-11-23,63.3696
2020-11-24,66.1438
2020-11-25,63.2091
2020-11-26,63.2091
2020-11-27,61.6182
2020-11-28,61.6182
2020-11-29,61.6182
2020-11-30,57.2308
2020-12-01,58.1042
2020-12-02,59.0275
2020-12-03,58.693
2020-12-04,61.0344
2020-12-05,61.0344
2020-12-06,61.0344
2020-12-07,60.0891
2020-12-08,60.7184
2020-12-09,60.7184
2020-12-10,59.6208
2020-12-11,58.4369
2020-12-12,58.4369
2020-12-13,58.4369
2020-12-14,58.5679
2020-12-15,59.7484
2020-12-16,58.6912
2020-12-17,56.9843
2020-12-18,58.4429
2020-12-19,58.4429
2020-12-20,58.4429
2020-12-21,55.0411
2020-12-22,54.1596
2020-12-23,56.8744
2020-12-24,56.51
2020-12-25,56.51
2020-12-26,56.51
2020-12-27,56.51
2020-12-28,57.9052
2020-12-29,55.9554
2020-12-30,56.955
2020-12-31,57.8041
2021-01-01,57.8041
2021-01-02,57.8041
2021-01-03,57.8041
2021-01-04,57.6082
2021-01-05,58.1584
2021-01-06,64.8583
2021-01-07,65.4494
2021-01-08,61.8304
2021-01-09,61.8304
2021-01-10,61.8304
2021-01-11,62.5256
2021-01-12,63.8318
2021-01-13,62.1747
2021-01-14,63.3892
2021-01-15,62.1121
2021-01-16,62.1121
2021-01-17,62.1121
2021-01-18,62.1121
2021-01-19,63.1748
2021-01-20,62.5696
2021-01-21,59.5221
2021-01-22,60.1057
2021-01-23,60.1057
2021-01-24,60.1057
2021-01-25,60.4984
2021-01-26,59.0941
2021-01-27,55.1232
2021-01-28,56.9063
2021-01-29,54.9198
2021-01-30,54.9198
2021-01-31,54.9198
2021-02-01,56.0031
2021-02-02,57.0703
2021-02-03,55.0445
2021-02-04,57.2561
2021-02-05,56.2405
2021-02-06,56.2405
2021-02-07,56.2405
2021-02-08,58.5238
2021-02-09,60.4638
2021-02-10,60.5275
2021-02-11,59.0879
2021-02-12,57.2425
2021-02-13,57.2425
2021-02-14,57.2425
2021-02-15,57.2425
2021-02-16,58.8518
2021-02-17,59.4017
2021-02-18,59.8182
2021-02-19,62.1611
2021-02-20,62.1611
2021-02-21,62.1611
2021-02-22,64.0801
2021-02-23,65.142
2021-02-24,66.9394
2021-02-25,64.3644
2021-02-26,63.1087
2021-02-27,63.1087
2021-02-28,63.1087
2021-03-01,65.0207
2021-03-02,63.5017
2021-03-03,65.1845
2021-03-04,66.0227
2021-03-05,68.0392
2021-03-06,68.0392
2021-03-07,68.0392
2021-03-08,70.4723
2021-03-09,67.402
2021-03-10,69.5207
2021-03-11,70.0952
2021-03-12,71.3829
2021-03-13,71.3829
2021-03-14,71.3829
2021-03-15,67.5704
2021-03-16,65.3838
2021-03-17,64.8178
2021-03-18,65.0266
2021-03-19,64.6298
2021-03-20,64.6298
2021-03-21,64.6298
2021-03-22,59.7283
2021-03-23,56.9774
2021-03-24,57.7326
2021-03-25,59.184
2021-03-26,61.0392
2021-03-27,61.0392
2021-03-28,61.0392
2021-03-29,57.3577
2021-03-30,58.7927
2021-03-31,56.341
2021-04-01,56.6526
2021-04-02,56.6526
2021-04-03,56.6526
2021-04-04,56.6526
2021-04-05,57.5308
2021-04-06,57.7206
2021-04-07,56.5012
2021-04-08,56.7711
2021-04-09,57.4539
2021-04-10,57.4539
2021-04-11,57.4539
2021-04-12,57.867
2021-04-13,54.9249
2021-04-14,57.509
2021-04-15,58.1132
2021-04-16,59.1807
2021-04-17,59.1807
2021-04-18,59.1807
2021-04-19,59.3148
2021-04-20,54.4149
2021-04-21,56.9813
2021-04-22,55.4963
2021-04-23,58.8567
2021-04-24,58.8567
2021-04-25,58.8567
2021-04-26,56.336
2021-04-27,56.1673
2021-04-28,56.7038
2021-04-29,58.1607
2021-04-30,60.2369
2021-05-01,60.2369
2021-05-02,60.2369
2021-05-03,61.4367
2021-05-04,62.6604
2021-05-05,62.95
2021-05-06,64.2688
2021-05-07,64.8871
2021-05-08,64.8871
2021-05-09,64.8871
2021-05-10,62.3503
2021-05-11,59.7409
2021-05-12,56.4806
2021-05-13,60.9813
2021-05-14,61.7657
2021-05-15,61.7657
2021-05-16,61.7657
2021-05-17,62.2702
2021-05-18,60.4371
2021-05-19,60.617
2021-05-20,61.225
2021-05-21,62.5411
2021-05-22,62.5411
2021-05-23,62.5411
2021-05-24,60.3266
2021-05-25,55.631
2021-05-26,57.2545
2021-05-27,58.693
2021-05-28,59.4902
2021-05-29,59.4902
2021-05-30,59.4902
2021-05-31,59.4902
2021-06-01,60.2231
2021-06-02,58.5784
2021-06-03,58.3039
2021-06-04,58.1161
2021-06-05,58.1161
2021-06-06,58.1161
2021-06-07,58.7349
2021-06-08,59.1512
2021-06-09,56.0327
2021-06-10,53.2208
2021-06-11,53.6092
2021-06-12,53.6092
2021-06-13,53.6092
2021-06-14,52.0012
2021-06-15,52.8944
2021-06-16,55.02
2021-06-17,48.7048
2021-06-18,43.4739
2021-06-19,43.4739
2021-06-20,43.4739
2021-06-21,47.8218
2021-06-22,47.2284
2021-06-23,45.8551
2021-06-24,48.0146
2021-06-25,48.4546
2021-06-26,48.4546
2021-06-27,48.4546
2021-06-28,45.221
2021-06-29,44.3462
2021-06-30,44.0316
2021-07-01,44.7614
2021-07-02,42.7739
2021-07-03,42.7739
2021-07-04,42.7739
2021-07-05,42.7739
2021-07-06,40.4938
2021-07-07,39.9717
2021-07-08,38.4889
2021-07-09,42.0796
2021-07-10,42.0796
2021-07-11,42.0796
