,COLB US Equity
,RSI_30D
2020-01-01,62.5303
2020-01-02,62.2591
2020-01-03,61.0075
2020-01-04,61.0075
2020-01-05,61.0075
2020-01-06,57.3548
2020-01-07,54.5288
2020-01-08,53.9255
2020-01-09,51.88
2020-01-10,51.6187
2020-01-11,51.6187
2020-01-12,51.6187
2020-01-13,54.3542
2020-01-14,54.5852
2020-01-15,51.9992
2020-01-16,55.34
2020-01-17,55.7247
2020-01-18,55.7247
2020-01-19,55.7247
2020-01-20,55.7247
2020-01-21,49.8255
2020-01-22,49.4759
2020-01-23,55.2659
2020-01-24,55.7561
2020-01-25,55.7561
2020-01-26,55.7561
2020-01-27,54.3093
2020-01-28,53.4845
2020-01-29,51.3914
2020-01-30,53.2308
2020-01-31,47.6366
2020-02-01,47.6366
2020-02-02,47.6366
2020-02-03,51.8453
2020-02-04,54.5524
2020-02-05,57.6916
2020-02-06,56.2257
2020-02-07,52.0223
2020-02-08,52.0223
2020-02-09,52.0223
2020-02-10,53.4114
2020-02-11,53.822
2020-02-12,53.4884
2020-02-13,55.041
2020-02-14,52.7011
2020-02-15,52.7011
2020-02-16,52.7011
2020-02-17,52.7011
2020-02-18,49.6674
2020-02-19,50.7468
2020-02-20,51.7017
2020-02-21,48.7898
2020-02-22,48.7898
2020-02-23,48.7898
2020-02-24,43.7352
2020-02-25,38.4858
2020-02-26,36.9371
2020-02-27,34.0229
2020-02-28,31.2791
2020-02-29,31.2791
2020-03-01,31.2791
2020-03-02,38.7842
2020-03-03,36.5832
2020-03-04,38.9717
2020-03-05,33.8691
2020-03-06,33.0208
2020-03-07,33.0208
2020-03-08,33.0208
2020-03-09,26.6371
2020-03-10,33.44
2020-03-11,30.6808
2020-03-12,29.0049
2020-03-13,34.1364
2020-03-14,34.1364
2020-03-15,34.1364
2020-03-16,30.4688
2020-03-17,38.8027
2020-03-18,36.8552
2020-03-19,37.5126
2020-03-20,33.8018
2020-03-21,33.8018
2020-03-22,33.8018
2020-03-23,31.1954
2020-03-24,35.6146
2020-03-25,34.3203
2020-03-26,40.0119
2020-03-27,39.0648
2020-03-28,39.0648
2020-03-29,39.0648
2020-03-30,41.2075
2020-03-31,41.457
2020-04-01,40.3238
2020-04-02,42.1306
2020-04-03,38.6058
2020-04-04,38.6058
2020-04-05,38.6058
2020-04-06,40.6826
2020-04-07,40.4223
2020-04-08,42.5866
2020-04-09,45.6428
2020-04-10,45.6428
2020-04-11,45.6428
2020-04-12,45.6428
2020-04-13,43.5038
2020-04-14,43.4798
2020-04-15,41.6087
2020-04-16,40.2948
2020-04-17,42.7971
2020-04-18,42.7971
2020-04-19,42.7971
2020-04-20,42.749
2020-04-21,42.3425
2020-04-22,42.0293
2020-04-23,42.6785
2020-04-24,42.7859
2020-04-25,42.7859
2020-04-26,42.7859
2020-04-27,45.5077
2020-04-28,46.3367
2020-04-29,48.7323
2020-04-30,46.5812
2020-05-01,42.9325
2020-05-02,42.9325
2020-05-03,42.9325
2020-05-04,42.7258
2020-05-05,41.2865
2020-05-06,40.7413
2020-05-07,41.5215
2020-05-08,43.5885
2020-05-09,43.5885
2020-05-10,43.5885
2020-05-11,41.7511
2020-05-12,39.9943
2020-05-13,38.9778
2020-05-14,39.5857
2020-05-15,39.4677
2020-05-16,39.4677
2020-05-17,39.4677
2020-05-18,43.3704
2020-05-19,41.7495
2020-05-20,44.3251
2020-05-21,44.5605
2020-05-22,43.9249
2020-05-23,43.9249
2020-05-24,43.9249
2020-05-25,43.9249
2020-05-26,47.1446
2020-05-27,50.838
2020-05-28,48.7503
2020-05-29,47.506
2020-05-30,47.506
2020-05-31,47.506
2020-06-01,47.9585
2020-06-02,47.5035
2020-06-03,50.7217
2020-06-04,51.1551
2020-06-05,55.4344
2020-06-06,55.4344
2020-06-07,55.4344
2020-06-08,57.3599
2020-06-09,56.5062
2020-06-10,53.7477
2020-06-11,49.4767
2020-06-12,50.4521
2020-06-13,50.4521
2020-06-14,50.4521
2020-06-15,51.0639
