,ROK US Equity
,RSI_30D
2020-01-01,68.97
2020-01-02,70.8644
2020-01-03,66.6149
2020-01-04,66.6149
2020-01-05,66.6149
2020-01-06,67.6905
2020-01-07,67.107
2020-01-08,68.155
2020-01-09,69.3226
2020-01-10,66.3962
2020-01-11,66.3962
2020-01-12,66.3962
2020-01-13,67.4155
2020-01-14,62.5664
2020-01-15,61.7301
2020-01-16,63.9824
2020-01-17,63.3208
2020-01-18,63.3208
2020-01-19,63.3208
2020-01-20,63.3208
2020-01-21,59.6981
2020-01-22,56.9447
2020-01-23,59.2977
2020-01-24,56.4766
2020-01-25,56.4766
2020-01-26,56.4766
2020-01-27,50.8506
2020-01-28,53.1402
2020-01-29,52.6787
2020-01-30,51.4219
2020-01-31,48.6414
2020-02-01,48.6414
2020-02-02,48.6414
2020-02-03,51.1567
2020-02-04,57.0341
2020-02-05,58.9152
2020-02-06,58.6937
2020-02-07,56.5756
2020-02-08,56.5756
2020-02-09,56.5756
2020-02-10,57.334
2020-02-11,57.4319
2020-02-12,58.7536
2020-02-13,54.408
2020-02-14,54.8146
2020-02-15,54.8146
2020-02-16,54.8146
2020-02-17,54.8146
2020-02-18,53.0869
2020-02-19,54.3304
2020-02-20,57.861
2020-02-21,60.4549
2020-02-22,60.4549
2020-02-23,60.4549
2020-02-24,54.776
2020-02-25,50.411
2020-02-26,49.2327
2020-02-27,43.6965
2020-02-28,42.2166
2020-02-29,42.2166
2020-03-01,42.2166
2020-03-02,47.0847
2020-03-03,43.5267
2020-03-04,48.5524
2020-03-05,44.2172
2020-03-06,42.2125
2020-03-07,42.2125
2020-03-08,42.2125
2020-03-09,33.234
2020-03-10,41.4693
2020-03-11,38.4511
2020-03-12,35.9567
2020-03-13,42.675
2020-03-14,42.675
2020-03-15,42.675
2020-03-16,39.3613
2020-03-17,40.0535
2020-03-18,34.24
2020-03-19,36.5743
2020-03-20,34.9428
2020-03-21,34.9428
2020-03-22,34.9428
2020-03-23,33.7935
2020-03-24,40.7904
2020-03-25,44.4159
2020-03-26,45.7009
2020-03-27,43.9605
2020-03-28,43.9605
2020-03-29,43.9605
2020-03-30,44.1852
2020-03-31,43.8781
2020-04-01,42.2513
2020-04-02,44.0413
2020-04-03,43.3656
2020-04-04,43.3656
2020-04-05,43.3656
2020-04-06,46.4491
2020-04-07,47.1961
2020-04-08,49.311
2020-04-09,49.2687
2020-04-10,49.2687
2020-04-11,49.2687
2020-04-12,49.2687
2020-04-13,47.4017
2020-04-14,48.3289
2020-04-15,47.0537
2020-04-16,47.0511
2020-04-17,49.8757
2020-04-18,49.8757
2020-04-19,49.8757
2020-04-20,49.8615
2020-04-21,48.6854
2020-04-22,49.2109
2020-04-23,50.172
2020-04-24,51.7462
2020-04-25,51.7462
2020-04-26,51.7462
2020-04-27,53.7861
2020-04-28,57.5607
2020-04-29,57.7833
2020-04-30,55.2769
2020-05-01,53.2772
2020-05-02,53.2772
2020-05-03,53.2772
2020-05-04,54.5561
2020-05-05,55.3762
2020-05-06,54.7832
2020-05-07,55.2868
2020-05-08,55.6902
2020-05-09,55.6902
2020-05-10,55.6902
2020-05-11,55.9518
2020-05-12,54.2091
2020-05-13,53.5927
2020-05-14,54.8808
2020-05-15,57.2255
2020-05-16,57.2255
2020-05-17,57.2255
2020-05-18,59.2547
2020-05-19,58.2599
2020-05-20,59.2109
2020-05-21,58.2803
2020-05-22,57.6554
2020-05-23,57.6554
2020-05-24,57.6554
2020-05-25,57.6554
2020-05-26,61.4612
2020-05-27,62.3148
2020-05-28,61.1239
2020-05-29,61.022
2020-05-30,61.022
2020-05-31,61.022
2020-06-01,60.3753
2020-06-02,61.2087
2020-06-03,61.9766
2020-06-04,62.5955
2020-06-05,63.9537
2020-06-06,63.9537
2020-06-07,63.9537
2020-06-08,63.0737
2020-06-09,60.4589
2020-06-10,59.581
2020-06-11,54.3867
2020-06-12,55.1007
2020-06-13,55.1007
2020-06-14,55.1007
2020-06-15,55.869
2020-06-16,56.9537
2020-06-17,56.135
2020-06-18,55.1697
2020-06-19,54.9299
2020-06-20,54.9299
2020-06-21,54.9299
2020-06-22,55.4603
2020-06-23,54.5911
2020-06-24,52.9123
2020-06-25,54.175
2020-06-26,52.8206
2020-06-27,52.8206
2020-06-28,52.8206
2020-06-29,54.1952
2020-06-30,55.8884
2020-07-01,54.6811
2020-07-02,54.8788
2020-07-03,54.8788
2020-07-04,54.8788
2020-07-05,54.8788
2020-07-06,56.3263
2020-07-07,54.7368
2020-07-08,55.0864
2020-07-09,54.6137
2020-07-10,54.3644
2020-07-11,54.3644
2020-07-12,54.3644
2020-07-13,54.7733
2020-07-14,57.924
2020-07-15,59.1274
2020-07-16,59.6261
