,CAKE US Equity
,RSI_30D
2020-01-01,48.7341
2020-01-02,49.0638
2020-01-03,48.4195
2020-01-04,48.4195
2020-01-05,48.4195
2020-01-06,51.3058
2020-01-07,50.3048
2020-01-08,51.0827
2020-01-09,51.3855
2020-01-10,50.417
2020-01-11,50.417
2020-01-12,50.417
2020-01-13,50.2863
2020-01-14,50.814
2020-01-15,49.856
2020-01-16,53.8429
2020-01-17,48.4444
2020-01-18,48.4444
2020-01-19,48.4444
2020-01-20,48.4444
2020-01-21,50.2563
2020-01-22,49.225
2020-01-23,50.8217
2020-01-24,50.4117
2020-01-25,50.4117
2020-01-26,50.4117
2020-01-27,47.3707
2020-01-28,47.6646
2020-01-29,48.8628
2020-01-30,49.0447
2020-01-31,47.1827
2020-02-01,47.1827
2020-02-02,47.1827
2020-02-03,45.7513
2020-02-04,49.1787
2020-02-05,52.441
2020-02-06,53.632
2020-02-07,50.7463
2020-02-08,50.7463
2020-02-09,50.7463
2020-02-10,53.0959
2020-02-11,52.268
2020-02-12,52.4744
2020-02-13,51.8776
2020-02-14,52.9838
2020-02-15,52.9838
2020-02-16,52.9838
2020-02-17,52.9838
2020-02-18,52.464
2020-02-19,54.6723
2020-02-20,58.4699
2020-02-21,58.0294
2020-02-22,58.0294
2020-02-23,58.0294
2020-02-24,56.5241
2020-02-25,47.5073
2020-02-26,42.3501
2020-02-27,39.1076
2020-02-28,40.6836
2020-02-29,40.6836
2020-03-01,40.6836
2020-03-02,41.8872
2020-03-03,39.1043
2020-03-04,42.4076
2020-03-05,35.1193
2020-03-06,35.872
2020-03-07,35.872
2020-03-08,35.872
2020-03-09,32.4881
2020-03-10,32.1524
2020-03-11,28.0674
2020-03-12,24.6532
2020-03-13,29.4826
2020-03-14,29.4826
2020-03-15,29.4826
2020-03-16,24.254
2020-03-17,27.8633
2020-03-18,31.8568
2020-03-19,31.5696
2020-03-20,27.9843
2020-03-21,27.9843
2020-03-22,27.9843
2020-03-23,27.893
2020-03-24,33.9104
2020-03-25,33.621
2020-03-26,34.918
2020-03-27,32.0631
2020-03-28,32.0631
2020-03-29,32.0631
2020-03-30,32.5874
2020-03-31,33.549
2020-04-01,32.427
2020-04-02,31.9236
2020-04-03,32.639
2020-04-04,32.639
2020-04-05,32.639
2020-04-06,34.8504
2020-04-07,34.4392
2020-04-08,38.0358
2020-04-09,40.7388
2020-04-10,40.7388
2020-04-11,40.7388
2020-04-12,40.7388
2020-04-13,39.3752
2020-04-14,39.5338
2020-04-15,37.9322
2020-04-16,38.3956
2020-04-17,40.0814
2020-04-18,40.0814
2020-04-19,40.0814
2020-04-20,40.4286
2020-04-21,40.2791
2020-04-22,42.1842
2020-04-23,40.2624
2020-04-24,40.7707
2020-04-25,40.7707
2020-04-26,40.7707
2020-04-27,43.2189
2020-04-28,45.3067
2020-04-29,49.7924
2020-04-30,47.0645
2020-05-01,44.4365
2020-05-02,44.4365
2020-05-03,44.4365
2020-05-04,44.3061
2020-05-05,43.7034
2020-05-06,44.0029
2020-05-07,45.41
2020-05-08,48.1941
2020-05-09,48.1941
2020-05-10,48.1941
2020-05-11,46.74
2020-05-12,44.1791
2020-05-13,42.8882
2020-05-14,42.8096
2020-05-15,43.3221
2020-05-16,43.3221
2020-05-17,43.3221
2020-05-18,45.3723
2020-05-19,45.8567
2020-05-20,45.703
2020-05-21,45.703
2020-05-22,45.7207
2020-05-23,45.7207
2020-05-24,45.7207
2020-05-25,45.7207
2020-05-26,48.0505
2020-05-27,51.6952
2020-05-28,48.8851
2020-05-29,48.4437
2020-05-30,48.4437
2020-05-31,48.4437
2020-06-01,47.3757
2020-06-02,47.6656
2020-06-03,53.0479
2020-06-04,55.603
2020-06-05,58.126
2020-06-06,58.126
2020-06-07,58.126
2020-06-08,60.0364
2020-06-09,55.3102
2020-06-10,52.4736
2020-06-11,48.7821
2020-06-12,51.3843
2020-06-13,51.3843
2020-06-14,51.3843
2020-06-15,52.4914
2020-06-16,52.1502
2020-06-17,51.1323
2020-06-18,51.6468
2020-06-19,49.4244
2020-06-20,49.4244
2020-06-21,49.4244
2020-06-22,48.9105
2020-06-23,51.3086
2020-06-24,48.6092
2020-06-25,48.1874
2020-06-26,45.8349
2020-06-27,45.8349
2020-06-28,45.8349
2020-06-29,49.4613
2020-06-30,49.7024
2020-07-01,48.1572
2020-07-02,47.907
2020-07-03,47.907
2020-07-04,47.907
2020-07-05,47.907
2020-07-06,48.5905
2020-07-07,47.3329
2020-07-08,47.8489
2020-07-09,47.1185
2020-07-10,48.3115
2020-07-11,48.3115
2020-07-12,48.3115
2020-07-13,47.3375
2020-07-14,46.6837
2020-07-15,50.8939
2020-07-16,49.9419
2020-07-17,49.8501
2020-07-18,49.8501
2020-07-19,49.8501
2020-07-20,48.9192
2020-07-21,49.911
2020-07-22,51.5028
2020-07-23,52.1214
2020-07-24,53.3904
2020-07-25,53.3904
2020-07-26,53.3904
2020-07-27,53.2114
2020-07-28,54.1809
2020-07-29,56.1088
2020-07-30,53.9846
2020-07-31,51.4184
2020-08-01,51.4184
2020-08-02,51.4184
2020-08-03,50.1343
2020-08-04,51.0449
2020-08-05,51.6537
2020-08-06,53.1927
2020-08-07,54.4482
2020-08-08,54.4482
2020-08-09,54.4482
2020-08-10,55.2544
2020-08-11,56.2633
2020-08-12,56.5689
2020-08-13,56.2267
2020-08-14,56.5327
2020-08-15,56.5327
2020-08-16,56.5327
2020-08-17,54.4333
2020-08-18,54.0226
2020-08-19,53.0206
2020-08-20,53.4092
2020-08-21,53.9414
2020-08-22,53.9414
2020-08-23,53.9414
2020-08-24,56.2759
2020-08-25,56.4071
2020-08-26,55.8133
2020-08-27,58.328
2020-08-28,62.2847
2020-08-29,62.2847
2020-08-30,62.2847
2020-08-31,59.1937
2020-09-01,61.1261
2020-09-02,61.9511
2020-09-03,62.1358
2020-09-04,61.5944
2020-09-05,61.5944
2020-09-06,61.5944
2020-09-07,61.5944
2020-09-08,61.4099
2020-09-09,61.1662
2020-09-10,57.5194
2020-09-11,54.0648
2020-09-12,54.0648
2020-09-13,54.0648
2020-09-14,58.4725
