,TILE US Equity
,RSI_30D
2020-01-01,55.6732
2020-01-02,54.7625
2020-01-03,53.9457
2020-01-04,53.9457
2020-01-05,53.9457
2020-01-06,55.0074
2020-01-07,54.6067
2020-01-08,53.6962
2020-01-09,50.4114
2020-01-10,51.4506
2020-01-11,51.4506
2020-01-12,51.4506
2020-01-13,51.9488
2020-01-14,52.7692
2020-01-15,54.9782
2020-01-16,59.5217
2020-01-17,61.0636
2020-01-18,61.0636
2020-01-19,61.0636
2020-01-20,61.0636
2020-01-21,49.3157
2020-01-22,52.7122
2020-01-23,53.5837
2020-01-24,51.4702
2020-01-25,51.4702
2020-01-26,51.4702
2020-01-27,50.9505
2020-01-28,52.7146
2020-01-29,51.8655
2020-01-30,51.7871
2020-01-31,49.0256
2020-02-01,49.0256
2020-02-02,49.0256
2020-02-03,48.9881
2020-02-04,51.3388
2020-02-05,53.3092
2020-02-06,53.6686
2020-02-07,48.9166
2020-02-08,48.9166
2020-02-09,48.9166
2020-02-10,49.8208
2020-02-11,52.2957
2020-02-12,51.829
2020-02-13,50.9664
2020-02-14,51.1195
2020-02-15,51.1195
2020-02-16,51.1195
2020-02-17,51.1195
2020-02-18,48.7585
2020-02-19,50.0318
2020-02-20,52.3293
2020-02-21,52.6298
2020-02-22,52.6298
2020-02-23,52.6298
2020-02-24,48.664
2020-02-25,45.8074
2020-02-26,49.3448
2020-02-27,44.1589
2020-02-28,39.9758
2020-02-29,39.9758
2020-03-01,39.9758
2020-03-02,40.1282
2020-03-03,38.3649
2020-03-04,41.191
2020-03-05,37.403
2020-03-06,40.7561
2020-03-07,40.7561
2020-03-08,40.7561
2020-03-09,35.3395
2020-03-10,36.6789
2020-03-11,33.0654
2020-03-12,25.1309
2020-03-13,29.0861
2020-03-14,29.0861
2020-03-15,29.0861
2020-03-16,25.1555
2020-03-17,29.2483
2020-03-18,24.387
2020-03-19,26.3965
2020-03-20,26.4825
2020-03-21,26.4825
2020-03-22,26.4825
2020-03-23,27.3171
2020-03-24,30.4141
2020-03-25,30.3028
2020-03-26,30.8971
2020-03-27,31.3901
2020-03-28,31.3901
2020-03-29,31.3901
2020-03-30,33.4878
2020-03-31,33.4428
2020-04-01,32.8715
2020-04-02,32.5039
2020-04-03,31.568
2020-04-04,31.568
2020-04-05,31.568
2020-04-06,35.3268
2020-04-07,37.8432
2020-04-08,40.7311
2020-04-09,44.3006
2020-04-10,44.3006
2020-04-11,44.3006
2020-04-12,44.3006
2020-04-13,42.6264
2020-04-14,43.0867
2020-04-15,40.774
2020-04-16,40.0419
2020-04-17,42.5325
2020-04-18,42.5325
2020-04-19,42.5325
2020-04-20,41.4304
2020-04-21,40.7856
2020-04-22,39.8375
2020-04-23,41.3314
2020-04-24,41.1552
2020-04-25,41.1552
2020-04-26,41.1552
2020-04-27,43.3614
2020-04-28,44.933
2020-04-29,48.2827
2020-04-30,45.9811
2020-05-01,45.2793
2020-05-02,45.2793
2020-05-03,45.2793
2020-05-04,45.0209
2020-05-05,44.3982
2020-05-06,43.4493
2020-05-07,43.962
2020-05-08,45.8249
2020-05-09,45.8249
2020-05-10,45.8249
2020-05-11,44.3013
2020-05-12,42.0967
2020-05-13,41.1791
2020-05-14,40.5021
2020-05-15,40.9227
2020-05-16,40.9227
2020-05-17,40.9227
2020-05-18,45.5468
2020-05-19,44.9203
2020-05-20,44.3592
2020-05-21,44.4041
2020-05-22,44.3671
2020-05-23,44.3671
2020-05-24,44.3671
2020-05-25,44.3671
2020-05-26,47.9592
2020-05-27,51.1794
2020-05-28,48.5813
2020-05-29,46.2273
2020-05-30,46.2273
2020-05-31,46.2273
2020-06-01,46.1911
2020-06-02,46.6661
2020-06-03,50.412
2020-06-04,50.2314
2020-06-05,54.3151
2020-06-06,54.3151
2020-06-07,54.3151
2020-06-08,54.564
2020-06-09,52.6158
2020-06-10,48.5607
2020-06-11,45.7216
2020-06-12,46.0038
2020-06-13,46.0038
2020-06-14,46.0038
2020-06-15,46.5785
2020-06-16,46.7878
2020-06-17,45.2123
2020-06-18,44.9573
2020-06-19,44.6781
2020-06-20,44.6781
2020-06-21,44.6781
2020-06-22,43.6498
2020-06-23,44.8904
2020-06-24,43.2974
2020-06-25,43.5441
2020-06-26,42.2141
2020-06-27,42.2141
2020-06-28,42.2141
2020-06-29,46.3325
2020-06-30,46.5642
2020-07-01,44.0086
2020-07-02,44.4934
2020-07-03,44.4934
2020-07-04,44.4934
2020-07-05,44.4934
2020-07-06,46.3671
2020-07-07,44.3422
2020-07-08,43.6463
2020-07-09,42.4218
2020-07-10,42.8366
2020-07-11,42.8366
2020-07-12,42.8366
2020-07-13,43.2594
2020-07-14,43.6367
2020-07-15,46.577
2020-07-16,47.8338
2020-07-17,47.6483
2020-07-18,47.6483
2020-07-19,47.6483
2020-07-20,45.8544
2020-07-21,46.6535
2020-07-22,47.9256
2020-07-23,48.56
2020-07-24,48.3569
2020-07-25,48.3569
2020-07-26,48.3569
2020-07-27,49.3165
2020-07-28,49.5658
2020-07-29,50.2965
2020-07-30,48.2389
2020-07-31,47.9646
2020-08-01,47.9646
2020-08-02,47.9646
2020-08-03,48.7484
2020-08-04,48.458
2020-08-05,49.6375
2020-08-06,49.0267
2020-08-07,51.1713
2020-08-08,51.1713
2020-08-09,51.1713
2020-08-10,49.0963
2020-08-11,50.3703
2020-08-12,49.4952
2020-08-13,49.4634
2020-08-14,50.3206
2020-08-15,50.3206
2020-08-16,50.3206
2020-08-17,48.8695
2020-08-18,46.118
2020-08-19,45.103
2020-08-20,44.9225
2020-08-21,43.6574
2020-08-22,43.6574
2020-08-23,43.6574
2020-08-24,45.7641
2020-08-25,44.8959
2020-08-26,43.8808
2020-08-27,46.8564
2020-08-28,48.2225
2020-08-29,48.2225
2020-08-30,48.2225
2020-08-31,46.404
2020-09-01,44.9025
2020-09-02,44.4377
2020-09-03,44.0285
2020-09-04,43.0198
2020-09-05,43.0198
2020-09-06,43.0198
2020-09-07,43.0198
2020-09-08,42.0847
2020-09-09,41.4938
2020-09-10,42.677
