,CW US Equity
,RSI_30D
2020-01-01,63.1022
2020-01-02,65.7809
2020-01-03,66.1361
2020-01-04,66.1361
2020-01-05,66.1361
2020-01-06,66.2762
2020-01-07,68.2155
2020-01-08,67.6506
2020-01-09,68.8191
2020-01-10,63.5498
2020-01-11,63.5498
2020-01-12,63.5498
2020-01-13,65.5523
2020-01-14,64.6711
2020-01-15,67.31
2020-01-16,68.9913
2020-01-17,68.1017
2020-01-18,68.1017
2020-01-19,68.1017
2020-01-20,68.1017
2020-01-21,66.4797
2020-01-22,65.4264
2020-01-23,66.0175
2020-01-24,65.0006
2020-01-25,65.0006
2020-01-26,65.0006
2020-01-27,63.5692
2020-01-28,65.7197
2020-01-29,65.7314
2020-01-30,65.7314
2020-01-31,58.8385
2020-02-01,58.8385
2020-02-02,58.8385
2020-02-03,58.6799
2020-02-04,61.6979
2020-02-05,63.6889
2020-02-06,61.7061
2020-02-07,59.838
2020-02-08,59.838
2020-02-09,59.838
2020-02-10,59.9436
2020-02-11,61.0177
2020-02-12,61.7125
2020-02-13,60.3683
2020-02-14,57.2252
2020-02-15,57.2252
2020-02-16,57.2252
2020-02-17,57.2252
2020-02-18,56.2732
2020-02-19,56.8939
2020-02-20,53.6828
2020-02-21,53.5144
2020-02-22,53.5144
2020-02-23,53.5144
2020-02-24,46.3895
2020-02-25,37.8981
2020-02-26,35.1067
2020-02-27,29.3184
2020-02-28,27.3855
2020-02-29,27.3855
2020-03-01,27.3855
2020-03-02,36.2605
2020-03-03,35.2529
2020-03-04,40.0407
2020-03-05,36.1424
2020-03-06,35.1934
2020-03-07,35.1934
2020-03-08,35.1934
2020-03-09,28.6739
2020-03-10,31.3288
2020-03-11,28.1341
2020-03-12,22.3025
2020-03-13,30.9947
2020-03-14,30.9947
2020-03-15,30.9947
2020-03-16,27.1597
2020-03-17,28.1102
2020-03-18,27.1489
2020-03-19,28.3739
2020-03-20,27.141
2020-03-21,27.141
2020-03-22,27.141
2020-03-23,26.7515
2020-03-24,32.1415
2020-03-25,34.7917
2020-03-26,40.4371
2020-03-27,38.8014
2020-03-28,38.8014
2020-03-29,38.8014
2020-03-30,38.0162
2020-03-31,38.5642
2020-04-01,36.5937
2020-04-02,36.5569
2020-04-03,35.5899
2020-04-04,35.5899
2020-04-05,35.5899
2020-04-06,40.0644
2020-04-07,41.4455
2020-04-08,43.3631
2020-04-09,45.0561
2020-04-10,45.0561
2020-04-11,45.0561
2020-04-12,45.0561
2020-04-13,43.5865
2020-04-14,43.5783
2020-04-15,42.3296
2020-04-16,40.9452
2020-04-17,44.5266
2020-04-18,44.5266
2020-04-19,44.5266
2020-04-20,43.5182
2020-04-21,41.9135
2020-04-22,43.0165
2020-04-23,43.0987
2020-04-24,43.8086
2020-04-25,43.8086
2020-04-26,43.8086
2020-04-27,45.8926
2020-04-28,47.6724
2020-04-29,49.9871
2020-04-30,48.7425
2020-05-01,46.6054
2020-05-02,46.6054
2020-05-03,46.6054
2020-05-04,45.4874
2020-05-05,45.8262
2020-05-06,44.6682
2020-05-07,43.026
2020-05-08,46.8836
2020-05-09,46.8836
2020-05-10,46.8836
2020-05-11,45.4406
2020-05-12,42.9849
2020-05-13,41.6861
2020-05-14,41.5668
2020-05-15,41.668
2020-05-16,41.668
2020-05-17,41.668
2020-05-18,46.5148
2020-05-19,45.4074
2020-05-20,45.3251
2020-05-21,46.0781
2020-05-22,45.7232
2020-05-23,45.7232
2020-05-24,45.7232
2020-05-25,45.7232
2020-05-26,48.8445
2020-05-27,52.4524
2020-05-28,50.7642
2020-05-29,49.8751
2020-05-30,49.8751
2020-05-31,49.8751
2020-06-01,50.1295
2020-06-02,50.1242
2020-06-03,52.7335
2020-06-04,53.0245
2020-06-05,55.772
2020-06-06,55.772
2020-06-07,55.772
2020-06-08,57.639
2020-06-09,54.1641
2020-06-10,49.9785
2020-06-11,45.6153
2020-06-12,47.586
2020-06-13,47.586
2020-06-14,47.586
2020-06-15,47.3496
2020-06-16,47.9352
2020-06-17,46.4339
2020-06-18,45.6656
2020-06-19,44.2666
2020-06-20,44.2666
2020-06-21,44.2666
2020-06-22,44.727
2020-06-23,44.4169
2020-06-24,41.7445
2020-06-25,42.5635
2020-06-26,42.5757
2020-06-27,42.5757
2020-06-28,42.5757
2020-06-29,45.8907
2020-06-30,45.564
2020-07-01,44.5215
2020-07-02,44.9922
2020-07-03,44.9922
2020-07-04,44.9922
2020-07-05,44.9922
2020-07-06,45.5752
2020-07-07,44.2637
2020-07-08,44.7815
2020-07-09,43.1189
2020-07-10,44.2789
2020-07-11,44.2789
2020-07-12,44.2789
2020-07-13,43.7695
2020-07-14,44.1021
2020-07-15,47.6654
2020-07-16,48.5235
2020-07-17,48.6912
2020-07-18,48.6912
2020-07-19,48.6912
2020-07-20,46.9925
2020-07-21,48.1462
2020-07-22,48.3759
2020-07-23,48.7559
2020-07-24,48.2747
