,M US Equity
,RSI_30D
2020-01-01,60.2064
2020-01-02,56.8991
2020-01-03,56.9501
2020-01-04,56.9501
2020-01-05,56.9501
2020-01-06,59.7561
2020-01-07,62.2983
2020-01-08,64.0696
2020-01-09,61.3646
2020-01-10,61.7925
2020-01-11,61.7925
2020-01-12,61.7925
2020-01-13,62.0964
2020-01-14,61.9508
2020-01-15,58.8108
2020-01-16,59.3437
2020-01-17,59.5407
2020-01-18,59.5407
2020-01-19,59.5407
2020-01-20,59.5407
2020-01-21,55.5078
2020-01-22,56.3515
2020-01-23,55.8042
2020-01-24,53.843
2020-01-25,53.843
2020-01-26,53.843
2020-01-27,51.2719
2020-01-28,54.0523
2020-01-29,54.0523
2020-01-30,53.7842
2020-01-31,48.3288
2020-02-01,48.3288
2020-02-02,48.3288
2020-02-03,51.2909
2020-02-04,51.3474
2020-02-05,56.4726
2020-02-06,53.4981
2020-02-07,50.473
2020-02-08,50.473
2020-02-09,50.473
2020-02-10,49.5766
2020-02-11,50.2752
2020-02-12,53.5525
2020-02-13,52.1092
2020-02-14,51.7209
2020-02-15,51.7209
2020-02-16,51.7209
2020-02-17,51.7209
2020-02-18,48.5157
2020-02-19,49.6981
2020-02-20,51.5302
2020-02-21,49.352
2020-02-22,49.352
2020-02-23,49.352
2020-02-24,45.5618
2020-02-25,41.9315
2020-02-26,38.1909
2020-02-27,35.926
2020-02-28,37.7525
2020-02-29,37.7525
2020-03-01,37.7525
2020-03-02,36.9598
2020-03-03,35.8566
2020-03-04,35.9148
2020-03-05,32.6089
2020-03-06,32.3522
2020-03-07,32.3522
2020-03-08,32.3522
2020-03-09,29.5205
2020-03-10,29.3202
2020-03-11,27.2625
2020-03-12,23.6589
2020-03-13,27.3842
2020-03-14,27.3842
2020-03-15,27.3842
2020-03-16,24.838
2020-03-17,24.8199
2020-03-18,23.919
2020-03-19,26.6192
2020-03-20,25.3468
2020-03-21,25.3468
2020-03-22,25.3468
2020-03-23,23.2687
2020-03-24,27.5832
2020-03-25,32.0038
2020-03-26,30.6392
2020-03-27,29.834
2020-03-28,29.834
2020-03-29,29.834
2020-03-30,29.5208
2020-03-31,28.6269
2020-04-01,27.7209
2020-04-02,27.8193
2020-04-03,29.6051
2020-04-04,29.6051
2020-04-05,29.6051
2020-04-06,33.4829
2020-04-07,34.7525
2020-04-08,35.2094
2020-04-09,38.1229
2020-04-10,38.1229
2020-04-11,38.1229
2020-04-12,38.1229
2020-04-13,36.8059
2020-04-14,36.986
2020-04-15,35.7472
2020-04-16,35.889
2020-04-17,36.6602
2020-04-18,36.6602
2020-04-19,36.6602
2020-04-20,34.9998
2020-04-21,34.7595
2020-04-22,33.6959
2020-04-23,34.0612
2020-04-24,34.7517
2020-04-25,34.7517
2020-04-26,34.7517
2020-04-27,37.2614
2020-04-28,39.7103
2020-04-29,40.1052
2020-04-30,39.4044
2020-05-01,37.7784
2020-05-02,37.7784
2020-05-03,37.7784
2020-05-04,37.4903
2020-05-05,37.1323
2020-05-06,36.574
2020-05-07,37.0921
2020-05-08,38.7594
2020-05-09,38.7594
2020-05-10,38.7594
2020-05-11,38.3964
2020-05-12,37.3822
2020-05-13,37.565
2020-05-14,37.5272
2020-05-15,39.4177
2020-05-16,39.4177
2020-05-17,39.4177
2020-05-18,40.1052
2020-05-19,38.6611
2020-05-20,38.6611
2020-05-21,40.6223
2020-05-22,39.9182
2020-05-23,39.9182
2020-05-24,39.9182
2020-05-25,39.9182
2020-05-26,45.7546
2020-05-27,51.853
2020-05-28,49.2495
2020-05-29,47.1565
2020-05-30,47.1565
2020-05-31,47.1565
2020-06-01,47.2059
2020-06-02,50.0547
2020-06-03,53.9739
2020-06-04,55.3824
2020-06-05,57.5334
2020-06-06,57.5334
2020-06-07,57.5334
2020-06-08,60.2918
2020-06-09,56.9554
2020-06-10,52.8201
2020-06-11,48.2242
2020-06-12,50.2725
2020-06-13,50.2725
2020-06-14,50.2725
2020-06-15,49.8569
2020-06-16,51.552
2020-06-17,49.6609
2020-06-18,50.2009
2020-06-19,48.6209
2020-06-20,48.6209
2020-06-21,48.6209
2020-06-22,49.4242
2020-06-23,49.7088
2020-06-24,48.2246
2020-06-25,47.1231
2020-06-26,45.2887
2020-06-27,45.2887
2020-06-28,45.2887
2020-06-29,47.9108
2020-06-30,49.0064
2020-07-01,47.8062
2020-07-02,48.7582
2020-07-03,48.7582
2020-07-04,48.7582
2020-07-05,48.7582
2020-07-06,47.9764
2020-07-07,47.7679
2020-07-08,49.1399
2020-07-09,48.137
2020-07-10,48.795
2020-07-11,48.795
2020-07-12,48.795
2020-07-13,47.897
2020-07-14,48.6787
2020-07-15,50.9619
2020-07-16,49.4449
2020-07-17,48.3286
2020-07-18,48.3286
2020-07-19,48.3286
2020-07-20,47.2257
2020-07-21,49.1755
2020-07-22,47.5898
2020-07-23,48.6478
2020-07-24,47.6063
2020-07-25,47.6063
2020-07-26,47.6063
2020-07-27,46.4833
2020-07-28,47.6543
2020-07-29,47.9754
2020-07-30,46.6432
2020-07-31,45.8625
2020-08-01,45.8625
2020-08-02,45.8625
2020-08-03,46.0959
2020-08-04,46.2755
2020-08-05,47.8924
2020-08-06,47.0248
2020-08-07,49.2822
2020-08-08,49.2822
2020-08-09,49.2822
2020-08-10,52.1675
2020-08-11,51.526
2020-08-12,52.0253
2020-08-13,51.1175
2020-08-14,52.3783
2020-08-15,52.3783
2020-08-16,52.3783
2020-08-17,52.1254
2020-08-18,48.4927
2020-08-19,48.3185
2020-08-20,46.9237
2020-08-21,46.8072
2020-08-22,46.8072
2020-08-23,46.8072
2020-08-24,49.0949
2020-08-25,48.8465
2020-08-26,48.4661
2020-08-27,49.2162
2020-08-28,51.4113
2020-08-29,51.4113
2020-08-30,51.4113
2020-08-31,51.5426
2020-09-01,51.8121
2020-09-02,52.0877
2020-09-03,55.7528
2020-09-04,56.0015
2020-09-05,56.0015
2020-09-06,56.0015
2020-09-07,56.0015
2020-09-08,55.7583
2020-09-09,55.18
2020-09-10,53.9398
2020-09-11,51.1642
2020-09-12,51.1642
2020-09-13,51.1642
2020-09-14,52.2535
2020-09-15,49.7291
2020-09-16,50.5528
2020-09-17,49.635
2020-09-18,48.87
2020-09-19,48.87
2020-09-20,48.87
2020-09-21,45.5988
2020-09-22,45.3199
2020-09-23,44.201
2020-09-24,43.6436
2020-09-25,43.6436
2020-09-26,43.6436
2020-09-27,43.6436
2020-09-28,43.1343
2020-09-29,41.0799
2020-09-30,41.3787
2020-10-01,42.7795
2020-10-02,44.4471
2020-10-03,44.4471
2020-10-04,44.4471
2020-10-05,44.9354
2020-10-06,42.9814
2020-10-07,44.4799
2020-10-08,47.6132
2020-10-09,47.1131
2020-10-10,47.1131
2020-10-11,47.1131
2020-10-12,46.9431
2020-10-13,46.2524
2020-10-14,46.1646
2020-10-15,47.7055
2020-10-16,46.6917
2020-10-17,46.6917
2020-10-18,46.6917
2020-10-19,46.1384
2020-10-20,48.656
2020-10-21,50.4529
2020-10-22,54.8978
2020-10-23,56.702
2020-10-24,56.702
2020-10-25,56.702
2020-10-26,52.0066
2020-10-27,49.3637
2020-10-28,46.5879
2020-10-29,47.3979
2020-10-30,47.4894
2020-10-31,47.4894
2020-11-01,47.4894
2020-11-02,46.4036
2020-11-03,50.9547
2020-11-04,48.2142
2020-11-05,49.7395
2020-11-06,50.8217
2020-11-07,50.8217
2020-11-08,50.8217
2020-11-09,58.7988
2020-11-10,59.1024
2020-11-11,56.1893
2020-11-12,52.8598
2020-11-13,55.275
2020-11-14,55.275
2020-11-15,55.275
2020-11-16,59.1381
2020-11-17,63.041
2020-11-18,63.9096
2020-11-19,64.7663
2020-11-20,63.6962
2020-11-21,63.6962
2020-11-22,63.6962
2020-11-23,69.2031
2020-11-24,70.7232
2020-11-25,71.1811
2020-11-26,71.1811
2020-11-27,69.9684
2020-11-28,69.9684
2020-11-29,69.9684
2020-11-30,65.0749
2020-12-01,65.8093
2020-12-02,67.8692
2020-12-03,68.8066
2020-12-04,70.4264
2020-12-05,70.4264
2020-12-06,70.4264
2020-12-07,70.0425
2020-12-08,68.8772
2020-12-09,69.4037
2020-12-10,69.5105
2020-12-11,64.6863
2020-12-12,64.6863
2020-12-13,64.6863
2020-12-14,59.5172
2020-12-15,61.2676
2020-12-16,58.34
2020-12-17,58.9574
2020-12-18,59.0023
2020-12-19,59.0023
2020-12-20,59.0023
2020-12-21,59.141
2020-12-22,56.9483
2020-12-23,61.431
2020-12-24,59.0154
2020-12-25,59.0154
2020-12-26,59.0154
2020-12-27,59.0154
2020-12-28,62.6535
2020-12-29,61.7193
2020-12-30,63.6623
2020-12-31,59.0142
2021-01-01,59.0142
2021-01-02,59.0142
2021-01-03,59.0142
2021-01-04,58.8433
2021-01-05,59.5304
2021-01-06,63.6651
2021-01-07,61.8556
2021-01-08,62.1428
2021-01-09,62.1428
2021-01-10,62.1428
2021-01-11,63.1476
2021-01-12,64.572
2021-01-13,65.3162
2021-01-14,67.4689
2021-01-15,62.3871
2021-01-16,62.3871
2021-01-17,62.3871
2021-01-18,62.3871
2021-01-19,60.0742
2021-01-20,58.7334
2021-01-21,58.6251
2021-01-22,60.7226
2021-01-23,60.7226
2021-01-24,60.7226
2021-01-25,65.2754
2021-01-26,69.3682
2021-01-27,73.3107
2021-01-28,63.6285
2021-01-29,61.5647
2021-01-30,61.5647
2021-01-31,61.5647
2021-02-01,60.3047
2021-02-02,56.6351
2021-02-03,59.2987
2021-02-04,60.331
2021-02-05,59.9287
2021-02-06,59.9287
2021-02-07,59.9287
2021-02-08,61.0283
2021-02-09,60.1182
2021-02-10,60.2459
2021-02-11,59.7705
2021-02-12,58.4581
2021-02-13,58.4581
2021-02-14,58.4581
2021-02-15,58.4581
2021-02-16,59.0222
2021-02-17,57.4878
2021-02-18,55.9823
2021-02-19,57.9318
2021-02-20,57.9318
2021-02-21,57.9318
2021-02-22,58.8314
2021-02-23,60.5216
2021-02-24,58.1348
2021-02-25,59.3361
2021-02-26,57.2717
2021-02-27,57.2717
2021-02-28,57.2717
2021-03-01,57.6009
2021-03-02,57.2277
2021-03-03,59.1441
2021-03-04,56.1688
2021-03-05,56.0877
2021-03-06,56.0877
2021-03-07,56.0877
2021-03-08,60.1896
2021-03-09,61.8205
2021-03-10,61.1409
2021-03-11,61.4151
2021-03-12,65.6307
2021-03-13,65.6307
2021-03-14,65.6307
2021-03-15,69.7604
2021-03-16,67.1693
2021-03-17,65.4527
2021-03-18,61.7332
2021-03-19,61.6962
2021-03-20,61.6962
2021-03-21,61.6962
2021-03-22,58.3317
2021-03-23,52.908
2021-03-24,50.5214
2021-03-25,53.5752
2021-03-26,53.546
2021-03-27,53.546
2021-03-28,53.546
2021-03-29,51.9344
2021-03-30,53.7665
2021-03-31,52.6397
2021-04-01,51.265
2021-04-02,51.265
2021-04-03,51.265
2021-04-04,51.265
2021-04-05,51.4603
2021-04-06,52.3908
2021-04-07,51.9228
2021-04-08,52.5079
2021-04-09,54.1252
2021-04-10,54.1252
2021-04-11,54.1252
2021-04-12,55.0582
2021-04-13,53.5891
2021-04-14,54.1193
2021-04-15,53.8717
2021-04-16,53.9961
2021-04-17,53.9961
2021-04-18,53.9961
2021-04-19,54.0602
2021-04-20,51.1141
2021-04-21,53.3181
2021-04-22,54.0538
2021-04-23,54.1188
2021-04-24,54.1188
2021-04-25,54.1188
2021-04-26,52.3555
2021-04-27,55.5172
2021-04-28,54.2877
2021-04-29,53.0348
2021-04-30,52.2783
2021-05-01,52.2783
2021-05-02,52.2783
2021-05-03,56.5426
2021-05-04,55.8056
2021-05-05,54.6044
