,CSGS US Equity
,RSI_30D
2020-01-01,49.1299
2020-01-02,50.6857
2020-01-03,50.7445
2020-01-04,50.7445
2020-01-05,50.7445
2020-01-06,49.0795
2020-01-07,46.2537
2020-01-08,47.3311
2020-01-09,49.5172
2020-01-10,48.1486
2020-01-11,48.1486
2020-01-12,48.1486
2020-01-13,51.9215
2020-01-14,46.9121
2020-01-15,47.4282
2020-01-16,49.1059
2020-01-17,48.0572
2020-01-18,48.0572
2020-01-19,48.0572
2020-01-20,48.0572
2020-01-21,46.8885
2020-01-22,48.264
2020-01-23,49.5005
2020-01-24,47.6702
2020-01-25,47.6702
2020-01-26,47.6702
2020-01-27,47.2593
2020-01-28,48.6332
2020-01-29,48.0861
2020-01-30,49.1147
2020-01-31,44.6245
2020-02-01,44.6245
2020-02-02,44.6245
2020-02-03,46.2561
2020-02-04,48.0819
2020-02-05,50.9275
2020-02-06,48.0906
2020-02-07,45.883
2020-02-08,45.883
2020-02-09,45.883
2020-02-10,49.3248
2020-02-11,50.5934
2020-02-12,50.6466
2020-02-13,51.7495
2020-02-14,52.1006
2020-02-15,52.1006
2020-02-16,52.1006
2020-02-17,52.1006
2020-02-18,52.0705
2020-02-19,53.3006
2020-02-20,53.413
2020-02-21,50.1057
2020-02-22,50.1057
2020-02-23,50.1057
2020-02-24,45.8905
2020-02-25,40.2452
2020-02-26,39.4662
2020-02-27,37.4719
2020-02-28,33.7827
2020-02-29,33.7827
2020-03-01,33.7827
2020-03-02,37.7208
2020-03-03,37.2657
2020-03-04,38.5343
2020-03-05,33.8718
2020-03-06,34.999
2020-03-07,34.999
2020-03-08,34.999
2020-03-09,30.2407
2020-03-10,35.2154
2020-03-11,34.1802
2020-03-12,31.2447
2020-03-13,37.1951
2020-03-14,37.1951
2020-03-15,37.1951
2020-03-16,36.4958
2020-03-17,40.0167
2020-03-18,43.9482
2020-03-19,40.3498
2020-03-20,36.7796
2020-03-21,36.7796
2020-03-22,36.7796
2020-03-23,37.3604
2020-03-24,38.5474
2020-03-25,39.6921
2020-03-26,44.464
2020-03-27,42.7281
2020-03-28,42.7281
2020-03-29,42.7281
2020-03-30,43.9193
2020-03-31,43.8396
2020-04-01,42.4322
2020-04-02,42.6299
2020-04-03,43.3978
2020-04-04,43.3978
2020-04-05,43.3978
2020-04-06,48.9666
2020-04-07,47.6053
2020-04-08,50.5563
2020-04-09,51.8783
2020-04-10,51.8783
2020-04-11,51.8783
2020-04-12,51.8783
2020-04-13,51.5026
2020-04-14,53.1973
2020-04-15,53.0485
2020-04-16,52.4083
2020-04-17,53.6716
2020-04-18,53.6716
2020-04-19,53.6716
2020-04-20,53.6716
2020-04-21,50.1527
2020-04-22,51.4067
2020-04-23,52.3292
2020-04-24,52.1526
2020-04-25,52.1526
2020-04-26,52.1526
2020-04-27,53.3417
2020-04-28,54.7442
2020-04-29,57.5492
2020-04-30,53.9772
2020-05-01,53.2858
2020-05-02,53.2858
2020-05-03,53.2858
2020-05-04,52.1172
2020-05-05,52.6864
2020-05-06,54.2925
2020-05-07,49.9269
2020-05-08,51.1826
2020-05-09,51.1826
2020-05-10,51.1826
2020-05-11,49.7903
2020-05-12,46.6284
2020-05-13,45.2607
2020-05-14,44.9935
2020-05-15,45.6207
2020-05-16,45.6207
2020-05-17,45.6207
2020-05-18,49.2638
2020-05-19,48.0571
2020-05-20,49.2906
2020-05-21,49.6514
2020-05-22,50.5866
2020-05-23,50.5866
2020-05-24,50.5866
2020-05-25,50.5866
2020-05-26,51.9709
2020-05-27,53.356
2020-05-28,51.5942
2020-05-29,52.1108
2020-05-30,52.1108
2020-05-31,52.1108
2020-06-01,52.8909
2020-06-02,54.1778
2020-06-03,54.0556
2020-06-04,53.1665
2020-06-05,55.188
2020-06-06,55.188
2020-06-07,55.188
2020-06-08,53.5926
2020-06-09,51.3305
2020-06-10,51.8375
2020-06-11,46.73
2020-06-12,46.5732
2020-06-13,46.5732
2020-06-14,46.5732
2020-06-15,46.5015
2020-06-16,48.1536
2020-06-17,46.6088
2020-06-18,46.5529
2020-06-19,45.4268
2020-06-20,45.4268
2020-06-21,45.4268
2020-06-22,45.0138
2020-06-23,44.2943
2020-06-24,41.9744
2020-06-25,41.5841
2020-06-26,39.5275
2020-06-27,39.5275
2020-06-28,39.5275
2020-06-29,42.6116
2020-06-30,41.8694
2020-07-01,42.5351
2020-07-02,41.6399
2020-07-03,41.6399
2020-07-04,41.6399
2020-07-05,41.6399
2020-07-06,40.8059
2020-07-07,38.9129
2020-07-08,38.7751
2020-07-09,36.8028
2020-07-10,42.3037
2020-07-11,42.3037
2020-07-12,42.3037
2020-07-13,41.9297
2020-07-14,43.9556
2020-07-15,45.9077
2020-07-16,45.2012
2020-07-17,45.6816
2020-07-18,45.6816
2020-07-19,45.6816
2020-07-20,44.8279
2020-07-21,46.1902
2020-07-22,44.999
2020-07-23,43.532
2020-07-24,42.5553
2020-07-25,42.5553
2020-07-26,42.5553
2020-07-27,44.7031
2020-07-28,44.9885
2020-07-29,46.9707
2020-07-30,46.9252
2020-07-31,47.7358
2020-08-01,47.7358
2020-08-02,47.7358
2020-08-03,49.4116
2020-08-04,50.963
2020-08-05,52.2102
2020-08-06,49.9552
2020-08-07,52.0487
2020-08-08,52.0487
2020-08-09,52.0487
2020-08-10,52.4816
2020-08-11,53.4241
2020-08-12,52.8954
2020-08-13,52.0815
2020-08-14,53.3365
2020-08-15,53.3365
2020-08-16,53.3365
2020-08-17,53.5676
2020-08-18,52.4335
2020-08-19,52.1032
2020-08-20,50.7795
2020-08-21,50.4182
2020-08-22,50.4182
2020-08-23,50.4182
2020-08-24,50.9894
2020-08-25,51.2037
2020-08-26,50.1347
2020-08-27,50.9059
2020-08-28,49.4554
2020-08-29,49.4554
2020-08-30,49.4554
2020-08-31,47.331
2020-09-01,46.9264
2020-09-02,49.3387
2020-09-03,44.8774
2020-09-04,42.7689
2020-09-05,42.7689
2020-09-06,42.7689
2020-09-07,42.7689
2020-09-08,38.9799
2020-09-09,38.2386
2020-09-10,38.7498
2020-09-11,38.1432
2020-09-12,38.1432
2020-09-13,38.1432
2020-09-14,38.0598
2020-09-15,38.7334
2020-09-16,40.352
2020-09-17,41.8633
2020-09-18,43.7168
2020-09-19,43.7168
2020-09-20,43.7168
2020-09-21,44.0557
2020-09-22,45.3789
2020-09-23,43.8167
2020-09-24,43.9732
2020-09-25,46.3684
2020-09-26,46.3684
2020-09-27,46.3684
2020-09-28,48.2153
2020-09-29,48.2153
2020-09-30,47.5149
2020-10-01,47.7504
2020-10-02,49.1665
2020-10-03,49.1665
2020-10-04,49.1665
2020-10-05,51.0351
2020-10-06,49.4986
2020-10-07,48.3319
2020-10-08,49.9078
2020-10-09,50.261
2020-10-10,50.261
2020-10-11,50.261
2020-10-12,51.5945
2020-10-13,49.7285
2020-10-14,50.6516
2020-10-15,54.2419
2020-10-16,53.7311
2020-10-17,53.7311
2020-10-18,53.7311
2020-10-19,49.5477
2020-10-20,48.2765
2020-10-21,46.1855
2020-10-22,44.8347
2020-10-23,44.5238
2020-10-24,44.5238
2020-10-25,44.5238
2020-10-26,43.6881
2020-10-27,41.7947
2020-10-28,38.0478
2020-10-29,38.8319
2020-10-30,37.6714
2020-10-31,37.6714
2020-11-01,37.6714
2020-11-02,40.5653
2020-11-03,45.812
2020-11-04,44.5312
2020-11-05,48.4452
2020-11-06,47.2945
2020-11-07,47.2945
2020-11-08,47.2945
2020-11-09,54.7043
2020-11-10,58.2005
2020-11-11,58.1659
2020-11-12,52.0709
2020-11-13,55.046
2020-11-14,55.046
2020-11-15,55.046
2020-11-16,57.5376
2020-11-17,53.541
2020-11-18,52.7716
2020-11-19,52.8717
2020-11-20,53.332
2020-11-21,53.332
2020-11-22,53.332
2020-11-23,54.3821
2020-11-24,57.6963
2020-11-25,55.5484
2020-11-26,55.5484
2020-11-27,55.5725
2020-11-28,55.5725
2020-11-29,55.5725
2020-11-30,54.5627
2020-12-01,53.9177
2020-12-02,54.7522
2020-12-03,54.3002
2020-12-04,56.8537
2020-12-05,56.8537
2020-12-06,56.8537
2020-12-07,57.1853
2020-12-08,56.4942
2020-12-09,56.3884
2020-12-10,53.8509
2020-12-11,53.5436
2020-12-12,53.5436
2020-12-13,53.5436
2020-12-14,60.0434
2020-12-15,61.3734
2020-12-16,61.3376
2020-12-17,61.753
2020-12-18,60.2645
2020-12-19,60.2645
2020-12-20,60.2645
2020-12-21,56.3313
2020-12-22,54.9403
2020-12-23,55.9582
2020-12-24,56.8602
2020-12-25,56.8602
2020-12-26,56.8602
2020-12-27,56.8602
2020-12-28,57.6259
2020-12-29,56.1678
2020-12-30,54.9401
2020-12-31,55.9642
2021-01-01,55.9642
2021-01-02,55.9642
2021-01-03,55.9642
2021-01-04,55.3855
2021-01-05,54.4749
2021-01-06,57.6446
2021-01-07,58.4339
2021-01-08,56.5178
2021-01-09,56.5178
2021-01-10,56.5178
2021-01-11,53.4599
2021-01-12,53.4599
2021-01-13,50.9555
2021-01-14,49.7984
2021-01-15,48.4332
2021-01-16,48.4332
2021-01-17,48.4332
2021-01-18,48.4332
2021-01-19,52.358
2021-01-20,54.697
2021-01-21,55.1526
2021-01-22,56.3446
2021-01-23,56.3446
2021-01-24,56.3446
2021-01-25,54.0109
2021-01-26,54.337
2021-01-27,48.2839
2021-01-28,48.1363
2021-01-29,47.5056
2021-01-30,47.5056
2021-01-31,47.5056
2021-02-01,49.8985
2021-02-02,51.8323
2021-02-03,50.6133
2021-02-04,51.7561
2021-02-05,52.4937
2021-02-06,52.4937
2021-02-07,52.4937
2021-02-08,53.4749
2021-02-09,56.1121
2021-02-10,57.6571
2021-02-11,58.2275
2021-02-12,59.465
2021-02-13,59.465
2021-02-14,59.465
2021-02-15,59.465
2021-02-16,60.4144
2021-02-17,61.2744
2021-02-18,61.0251
2021-02-19,54.2152
2021-02-20,54.2152
2021-02-21,54.2152
2021-02-22,56.8583
2021-02-23,55.3957
2021-02-24,56.8713
2021-02-25,56.4421
2021-02-26,53.7159
2021-02-27,53.7159
2021-02-28,53.7159
2021-03-01,54.5315
2021-03-02,51.7041
2021-03-03,51.9495
2021-03-04,51.5767
2021-03-05,53.6718
2021-03-06,53.6718
2021-03-07,53.6718
2021-03-08,56.1611
2021-03-09,56.9217
2021-03-10,59.4805
2021-03-11,60.5522
2021-03-12,60.8329
2021-03-13,60.8329
2021-03-14,60.8329
2021-03-15,57.7054
2021-03-16,58.6555
2021-03-17,56.7344
2021-03-18,55.9904
2021-03-19,57.6923
2021-03-20,57.6923
2021-03-21,57.6923
2021-03-22,58.0055
2021-03-23,56.2813
2021-03-24,55.3149
2021-03-25,56.3992
2021-03-26,59.0153
2021-03-27,59.0153
2021-03-28,59.0153
2021-03-29,57.0267
2021-03-30,50.5119
2021-03-31,46.311
2021-04-01,49.3491
2021-04-02,49.3491
2021-04-03,49.3491
2021-04-04,49.3491
2021-04-05,49.4388
2021-04-06,49.9885
2021-04-07,49.5858
2021-04-08,50.8924
2021-04-09,51.8108
2021-04-10,51.8108
2021-04-11,51.8108
2021-04-12,51.4397
2021-04-13,51.9575
2021-04-14,51.5664
2021-04-15,52.5735
2021-04-16,52.844
2021-04-17,52.844
2021-04-18,52.844
2021-04-19,52.1897
2021-04-20,49.4688
2021-04-21,51.682
2021-04-22,50.6094
2021-04-23,51.2589
2021-04-24,51.2589
2021-04-25,51.2589
2021-04-26,51.697
2021-04-27,48.8221
2021-04-28,48.1299
2021-04-29,49.8338
2021-04-30,49.0012
2021-05-01,49.0012
2021-05-02,49.0012
2021-05-03,50.328
2021-05-04,50.4457
2021-05-05,48.7723
2021-05-06,48.0267
2021-05-07,47.0095
2021-05-08,47.0095
2021-05-09,47.0095
2021-05-10,48.9457
2021-05-11,44.8057
2021-05-12,42.4745
2021-05-13,47.8448
2021-05-14,48.5599
