,EVR US Equity
,RSI_30D
2020-01-01,47.4708
2020-01-02,49.3858
2020-01-03,45.2282
2020-01-04,45.2282
2020-01-05,45.2282
2020-01-06,46.1501
2020-01-07,45.3603
2020-01-08,49.1748
2020-01-09,48.7774
2020-01-10,47.9393
2020-01-11,47.9393
2020-01-12,47.9393
2020-01-13,47.6265
2020-01-14,49.0626
2020-01-15,49.0235
2020-01-16,53.038
2020-01-17,52.9547
2020-01-18,52.9547
2020-01-19,52.9547
2020-01-20,52.9547
2020-01-21,53.0882
2020-01-22,53.919
2020-01-23,50.5381
2020-01-24,47.5889
2020-01-25,47.5889
2020-01-26,47.5889
2020-01-27,44.5414
2020-01-28,45.7258
2020-01-29,57.9129
2020-01-30,55.3385
2020-01-31,50.9696
2020-02-01,50.9696
2020-02-02,50.9696
2020-02-03,50.5477
2020-02-04,51.6998
2020-02-05,55.1116
2020-02-06,57.7
2020-02-07,55.5292
2020-02-08,55.5292
2020-02-09,55.5292
2020-02-10,56.5072
2020-02-11,57.0336
2020-02-12,57.9976
2020-02-13,55.4407
2020-02-14,54.9981
2020-02-15,54.9981
2020-02-16,54.9981
2020-02-17,54.9981
2020-02-18,54.8973
2020-02-19,56.5709
2020-02-20,56.5845
2020-02-21,52.3437
2020-02-22,52.3437
2020-02-23,52.3437
2020-02-24,48.704
2020-02-25,44.8588
2020-02-26,41.2322
2020-02-27,39.6162
2020-02-28,37.4651
2020-02-29,37.4651
2020-03-01,37.4651
2020-03-02,39.7584
2020-03-03,36.9181
2020-03-04,39.6554
2020-03-05,35.4452
2020-03-06,34.9964
2020-03-07,34.9964
2020-03-08,34.9964
2020-03-09,29.1911
2020-03-10,32.0269
2020-03-11,29.8349
2020-03-12,25.7833
2020-03-13,32.479
2020-03-14,32.479
2020-03-15,32.479
2020-03-16,28.8506
2020-03-17,29.2594
2020-03-18,26.5971
2020-03-19,30.3756
2020-03-20,28.828
2020-03-21,28.828
2020-03-22,28.828
2020-03-23,29.0592
2020-03-24,36.3244
2020-03-25,36.651
2020-03-26,38.713
2020-03-27,38.6752
2020-03-28,38.6752
2020-03-29,38.6752
2020-03-30,38.8342
2020-03-31,38.4731
2020-04-01,38.2163
2020-04-02,39.6832
2020-04-03,39.8167
2020-04-04,39.8167
2020-04-05,39.8167
2020-04-06,41.677
2020-04-07,45.0131
2020-04-08,47.3859
2020-04-09,47.552
2020-04-10,47.552
2020-04-11,47.552
2020-04-12,47.552
2020-04-13,46.4747
2020-04-14,45.2935
2020-04-15,43.9409
2020-04-16,43.8165
2020-04-17,47.6072
2020-04-18,47.6072
2020-04-19,47.6072
2020-04-20,46.1129
2020-04-21,44.6698
2020-04-22,42.5267
2020-04-23,43.7651
2020-04-24,42.3696
2020-04-25,42.3696
2020-04-26,42.3696
2020-04-27,45.3037
2020-04-28,45.8528
2020-04-29,47.8951
2020-04-30,46.2077
2020-05-01,44.9583
2020-05-02,44.9583
2020-05-03,44.9583
2020-05-04,44.6368
2020-05-05,43.867
2020-05-06,43.3889
2020-05-07,45.8132
2020-05-08,47.8197
2020-05-09,47.8197
2020-05-10,47.8197
2020-05-11,47.0229
2020-05-12,46.0552
