,DE US Equity
,RSI_30D
2020-01-01,51.5118
2020-01-02,55.7126
2020-01-03,53.953
2020-01-04,53.953
2020-01-05,53.953
2020-01-06,55.356
2020-01-07,51.4081
2020-01-08,53.806
2020-01-09,55.5902
2020-01-10,50.6281
2020-01-11,50.6281
2020-01-12,50.6281
2020-01-13,52.0199
2020-01-14,50.8096
2020-01-15,49.9667
2020-01-16,52.7253
2020-01-17,53.4848
2020-01-18,53.4848
2020-01-19,53.4848
2020-01-20,53.4848
2020-01-21,49.3916
2020-01-22,47.9321
2020-01-23,48.9356
2020-01-24,46.9192
2020-01-25,46.9192
2020-01-26,46.9192
2020-01-27,40.7892
2020-01-28,40.5488
2020-01-29,38.3511
2020-01-30,39.4939
2020-01-31,37.5749
2020-02-01,37.5749
2020-02-02,37.5749
2020-02-03,37.3597
2020-02-04,44.3431
2020-02-05,48.16
2020-02-06,48.6341
2020-02-07,47.3944
2020-02-08,47.3944
2020-02-09,47.3944
2020-02-10,48.1603
2020-02-11,50.0827
2020-02-12,51.5279
2020-02-13,50.4971
2020-02-14,48.0
2020-02-15,48.0
2020-02-16,48.0
2020-02-17,48.0
2020-02-18,46.4369
2020-02-19,45.2568
2020-02-20,46.1862
2020-02-21,56.1188
2020-02-22,56.1188
2020-02-23,56.1188
2020-02-24,51.4057
2020-02-25,47.5423
2020-02-26,47.7528
2020-02-27,43.1545
2020-02-28,41.0818
2020-02-29,41.0818
2020-03-01,41.0818
2020-03-02,46.6957
2020-03-03,43.183
2020-03-04,46.753
2020-03-05,44.5628
2020-03-06,47.7113
2020-03-07,47.7113
2020-03-08,47.7113
2020-03-09,40.9196
2020-03-10,43.858
2020-03-11,40.0922
2020-03-12,34.8315
2020-03-13,39.3837
2020-03-14,39.3837
2020-03-15,39.3837
2020-03-16,33.9677
2020-03-17,37.1183
2020-03-18,33.9712
2020-03-19,36.4032
2020-03-20,34.4682
2020-03-21,34.4682
2020-03-22,34.4682
2020-03-23,34.3552
2020-03-24,40.5851
2020-03-25,41.5474
2020-03-26,45.4387
2020-03-27,44.2934
2020-03-28,44.2934
2020-03-29,44.2934
2020-03-30,46.7091
2020-03-31,45.7924
2020-04-01,44.472
2020-04-02,46.5014
2020-04-03,45.3425
2020-04-04,45.3425
2020-04-05,45.3425
2020-04-06,48.105
2020-04-07,47.8945
2020-04-08,49.249
2020-04-09,48.9094
2020-04-10,48.9094
2020-04-11,48.9094
2020-04-12,48.9094
2020-04-13,46.9553
2020-04-14,46.4169
2020-04-15,45.5053
2020-04-16,43.8135
2020-04-17,47.047
2020-04-18,47.047
2020-04-19,47.047
2020-04-20,46.6683
2020-04-21,45.6075
2020-04-22,46.4431
2020-04-23,46.7971
2020-04-24,47.4044
2020-04-25,47.4044
2020-04-26,47.4044
2020-04-27,47.838
2020-04-28,48.6
2020-04-29,50.814
2020-04-30,49.9937
2020-05-01,47.3319
2020-05-02,47.3319
2020-05-03,47.3319
2020-05-04,45.42
2020-05-05,46.3635
2020-05-06,45.2576
2020-05-07,46.9355
2020-05-08,47.3667
2020-05-09,47.3667
2020-05-10,47.3667
2020-05-11,46.5411
2020-05-12,44.6927
2020-05-13,43.1436
2020-05-14,43.612
2020-05-15,43.3144
2020-05-16,43.3144
2020-05-17,43.3144
2020-05-18,48.7585
2020-05-19,48.0558
2020-05-20,50.6459
2020-05-21,50.8517
2020-05-22,49.9469
2020-05-23,49.9469
2020-05-24,49.9469
2020-05-25,49.9469
2020-05-26,52.9647
2020-05-27,55.008
2020-05-28,54.9154
2020-05-29,54.4225
2020-05-30,54.4225
2020-05-31,54.4225
2020-06-01,53.0123
2020-06-02,54.5693
2020-06-03,56.6743
2020-06-04,57.7214
2020-06-05,59.7346
2020-06-06,59.7346
2020-06-07,59.7346
2020-06-08,60.4641
2020-06-09,58.3704
2020-06-10,56.4446
2020-06-11,51.8423
2020-06-12,53.3818
2020-06-13,53.3818
2020-06-14,53.3818
2020-06-15,53.5796
2020-06-16,54.7051
2020-06-17,53.3851
2020-06-18,53.0811
2020-06-19,53.0811
2020-06-20,53.0811
2020-06-21,53.0811
2020-06-22,52.9249
2020-06-23,52.6149
2020-06-24,50.8336
2020-06-25,52.7232
2020-06-26,50.0071
2020-06-27,50.0071
2020-06-28,50.0071
2020-06-29,52.5578
2020-06-30,54.0928
2020-07-01,53.9354
2020-07-02,54.4157
2020-07-03,54.4157
2020-07-04,54.4157
2020-07-05,54.4157
2020-07-06,55.477
2020-07-07,54.6152
2020-07-08,54.4311
2020-07-09,54.0014
2020-07-10,54.7306
2020-07-11,54.7306
2020-07-12,54.7306
2020-07-13,57.0493
2020-07-14,59.6347
2020-07-15,60.8391
2020-07-16,61.2742
2020-07-17,62.5648
2020-07-18,62.5648
2020-07-19,62.5648
2020-07-20,60.7351
2020-07-21,61.5283
2020-07-22,61.4167
2020-07-23,61.9697
2020-07-24,60.9637
2020-07-25,60.9637
2020-07-26,60.9637
2020-07-27,61.2701
2020-07-28,61.1098
2020-07-29,63.2236
2020-07-30,61.5098
2020-07-31,60.1886
2020-08-01,60.1886
2020-08-02,60.1886
2020-08-03,60.8474
2020-08-04,61.0965
2020-08-05,63.4112
2020-08-06,62.1443
2020-08-07,63.2353
2020-08-08,63.2353
2020-08-09,63.2353
2020-08-10,66.1255
2020-08-11,67.4906
2020-08-12,66.7258
2020-08-13,64.3949
2020-08-14,65.1259
2020-08-15,65.1259
2020-08-16,65.1259
2020-08-17,65.9512
2020-08-18,65.213
2020-08-19,65.0904
2020-08-20,64.2949
2020-08-21,68.101
2020-08-22,68.101
2020-08-23,68.101
2020-08-24,70.3941
2020-08-25,70.4686
2020-08-26,72.4099
2020-08-27,71.3516
2020-08-28,71.3772
