,RMBS US Equity
,RSI_30D
2020-01-01,54.0211
2020-01-02,55.4613
2020-01-03,54.2146
2020-01-04,54.2146
2020-01-05,54.2146
2020-01-06,52.3338
2020-01-07,54.8139
2020-01-08,53.4852
2020-01-09,57.0733
2020-01-10,56.3983
2020-01-11,56.3983
2020-01-12,56.3983
2020-01-13,59.1476
2020-01-14,57.0066
2020-01-15,54.3298
2020-01-16,56.9244
2020-01-17,57.2486
2020-01-18,57.2486
2020-01-19,57.2486
2020-01-20,57.2486
2020-01-21,56.3708
2020-01-22,56.968
2020-01-23,60.3379
2020-01-24,61.5253
2020-01-25,61.5253
2020-01-26,61.5253
2020-01-27,57.4135
2020-01-28,60.7166
2020-01-29,66.7617
2020-01-30,67.3728
2020-01-31,64.4124
2020-02-01,64.4124
2020-02-02,64.4124
2020-02-03,65.6507
2020-02-04,67.8166
2020-02-05,69.1279
2020-02-06,68.0018
2020-02-07,63.8912
2020-02-08,63.8912
2020-02-09,63.8912
2020-02-10,65.0365
2020-02-11,65.1922
2020-02-12,65.5624
2020-02-13,64.9498
2020-02-14,61.8605
2020-02-15,61.8605
2020-02-16,61.8605
2020-02-17,61.8605
2020-02-18,62.3387
2020-02-19,62.5814
2020-02-20,59.7913
2020-02-21,57.0655
2020-02-22,57.0655
2020-02-23,57.0655
2020-02-24,50.8619
2020-02-25,46.5996
2020-02-26,46.8263
2020-02-27,43.337
2020-02-28,43.9652
2020-02-29,43.9652
2020-03-01,43.9652
2020-03-02,46.4235
2020-03-03,44.957
2020-03-04,45.652
2020-03-05,41.0635
2020-03-06,39.3117
2020-03-07,39.3117
2020-03-08,39.3117
2020-03-09,33.5277
2020-03-10,35.8002
2020-03-11,33.4353
2020-03-12,27.9318
2020-03-13,31.8872
2020-03-14,31.8872
2020-03-15,31.8872
2020-03-16,28.9103
2020-03-17,37.3374
2020-03-18,34.9769
2020-03-19,39.5118
2020-03-20,36.4873
2020-03-21,36.4873
2020-03-22,36.4873
2020-03-23,36.1165
2020-03-24,41.2345
2020-03-25,43.6501
2020-03-26,46.3497
2020-03-27,43.8114
2020-03-28,43.8114
2020-03-29,43.8114
2020-03-30,44.3056
2020-03-31,43.3351
2020-04-01,42.2286
2020-04-02,43.988
2020-04-03,43.1234
2020-04-04,43.1234
2020-04-05,43.1234
2020-04-06,47.4364
2020-04-07,47.1094
2020-04-08,46.6766
2020-04-09,48.8813
2020-04-10,48.8813
2020-04-11,48.8813
2020-04-12,48.8813
2020-04-13,48.0797
2020-04-14,49.2037
2020-04-15,48.3731
2020-04-16,48.9545
2020-04-17,48.9165
2020-04-18,48.9165
2020-04-19,48.9165
2020-04-20,47.8412
2020-04-21,45.8311
2020-04-22,46.7736
2020-04-23,48.0072
2020-04-24,48.3488
2020-04-25,48.3488
2020-04-26,48.3488
2020-04-27,50.3322
2020-04-28,50.3742
2020-04-29,53.1182
2020-04-30,49.9217
2020-05-01,49.227
2020-05-02,49.227
2020-05-03,49.227
2020-05-04,50.8098
2020-05-05,57.2334
2020-05-06,59.5781
2020-05-07,58.4442
2020-05-08,59.1556
2020-05-09,59.1556
2020-05-10,59.1556
2020-05-11,59.4986
2020-05-12,56.3813
2020-05-13,55.3527
2020-05-14,56.1458
2020-05-15,55.0894
2020-05-16,55.0894
2020-05-17,55.0894
2020-05-18,58.6756
2020-05-19,57.4341
2020-05-20,59.5074
2020-05-21,57.5805
2020-05-22,58.3503
2020-05-23,58.3503
2020-05-24,58.3503
2020-05-25,58.3503
2020-05-26,57.6736
2020-05-27,58.1423
2020-05-28,56.0777
2020-05-29,57.2977
2020-05-30,57.2977
2020-05-31,57.2977
2020-06-01,57.2038
2020-06-02,57.6349
2020-06-03,57.5849
2020-06-04,58.552
2020-06-05,58.2876
2020-06-06,58.2876
2020-06-07,58.2876
2020-06-08,58.902
2020-06-09,60.2276
2020-06-10,57.9089
2020-06-11,51.6845
2020-06-12,52.1869
2020-06-13,52.1869
2020-06-14,52.1869
2020-06-15,53.4388
2020-06-16,55.1401
2020-06-17,54.5024
2020-06-18,52.5209
2020-06-19,53.1441
2020-06-20,53.1441
2020-06-21,53.1441
2020-06-22,52.6511
2020-06-23,53.652
2020-06-24,51.5478
2020-06-25,51.5945
2020-06-26,49.2352
2020-06-27,49.2352
2020-06-28,49.2352
2020-06-29,50.693
2020-06-30,53.2836
2020-07-01,51.9229
2020-07-02,52.3888
2020-07-03,52.3888
2020-07-04,52.3888
2020-07-05,52.3888
2020-07-06,52.8144
2020-07-07,50.3811
2020-07-08,51.3674
2020-07-09,51.8134
2020-07-10,51.2196
2020-07-11,51.2196
2020-07-12,51.2196
2020-07-13,49.5636
2020-07-14,50.2612
2020-07-15,51.4632
2020-07-16,50.2625
2020-07-17,49.8985
2020-07-18,49.8985
2020-07-19,49.8985
2020-07-20,52.4476
2020-07-21,51.8606
2020-07-22,50.2885
2020-07-23,49.9405
2020-07-24,48.7764
2020-07-25,48.7764
2020-07-26,48.7764
2020-07-27,50.0413
2020-07-28,48.2795
2020-07-29,49.5951
2020-07-30,49.5042
2020-07-31,50.8702
2020-08-01,50.8702
2020-08-02,50.8702
2020-08-03,55.5619
2020-08-04,51.9162
2020-08-05,50.1562
2020-08-06,50.7508
2020-08-07,51.2095
2020-08-08,51.2095
2020-08-09,51.2095
2020-08-10,50.2413
2020-08-11,48.8964
2020-08-12,50.0641
2020-08-13,49.7854
2020-08-14,49.595
2020-08-15,49.595
2020-08-16,49.595
2020-08-17,50.1213
2020-08-18,48.6118
2020-08-19,47.0811
2020-08-20,43.2644
2020-08-21,42.2292
2020-08-22,42.2292
2020-08-23,42.2292
2020-08-24,41.6862
2020-08-25,43.1607
2020-08-26,42.959
2020-08-27,41.9451
2020-08-28,44.9772
2020-08-29,44.9772
2020-08-30,44.9772
2020-08-31,43.6054
2020-09-01,47.4277
2020-09-02,50.0699
2020-09-03,46.5599
2020-09-04,46.1559
2020-09-05,46.1559
2020-09-06,46.1559
2020-09-07,46.1559
2020-09-08,43.4274
2020-09-09,44.0558
2020-09-10,43.8877
2020-09-11,44.1083
2020-09-12,44.1083
2020-09-13,44.1083
2020-09-14,46.2927
2020-09-15,47.1474
2020-09-16,49.635
2020-09-17,48.4554
2020-09-18,47.1669
2020-09-19,47.1669
2020-09-20,47.1669
2020-09-21,45.5385
2020-09-22,44.9823
2020-09-23,43.6943
2020-09-24,45.0129
2020-09-25,44.8212
2020-09-26,44.8212
2020-09-27,44.8212
2020-09-28,48.3113
2020-09-29,48.2427
2020-09-30,47.8909
2020-10-01,48.9689
2020-10-02,46.4819
2020-10-03,46.4819
2020-10-04,46.4819
2020-10-05,48.1174
2020-10-06,48.0451
2020-10-07,49.9143
2020-10-08,51.7114
2020-10-09,53.7843
2020-10-10,53.7843
2020-10-11,53.7843
2020-10-12,53.5384
2020-10-13,53.3701
2020-10-14,52.9824
2020-10-15,53.7926
2020-10-16,52.631
2020-10-17,52.631
2020-10-18,52.631
2020-10-19,52.361
2020-10-20,52.8612
2020-10-21,51.7373
2020-10-22,51.8256
2020-10-23,51.9166
2020-10-24,51.9166
2020-10-25,51.9166
2020-10-26,50.7271
2020-10-27,50.1329
2020-10-28,47.1794
2020-10-29,50.2136
2020-10-30,47.5692
2020-10-31,47.5692
2020-11-01,47.5692
2020-11-02,46.097
2020-11-03,52.2163
2020-11-04,56.5669
2020-11-05,59.3401
2020-11-06,56.8373
2020-11-07,56.8373
2020-11-08,56.8373
2020-11-09,57.0381
2020-11-10,56.4046
2020-11-11,58.5155
2020-11-12,59.5609
2020-11-13,60.8062
2020-11-14,60.8062
2020-11-15,60.8062
2020-11-16,62.6664
2020-11-17,60.8066
2020-11-18,57.3763
2020-11-19,59.6665
2020-11-20,60.0977
2020-11-21,60.0977
2020-11-22,60.0977
2020-11-23,61.4383
2020-11-24,61.8003
2020-11-25,59.0291
2020-11-26,59.0291
2020-11-27,60.3606
2020-11-28,60.3606
2020-11-29,60.3606
2020-11-30,57.5944
2020-12-01,59.4526
2020-12-02,61.9506
2020-12-03,62.2939
2020-12-04,67.3258
2020-12-05,67.3258
2020-12-06,67.3258
2020-12-07,68.3839
2020-12-08,71.524
2020-12-09,64.7836
2020-12-10,65.6624
2020-12-11,63.4777
2020-12-12,63.4777
2020-12-13,63.4777
2020-12-14,64.3967
2020-12-15,66.3174
2020-12-16,63.175
2020-12-17,62.5025
2020-12-18,61.9717
2020-12-19,61.9717
2020-12-20,61.9717
2020-12-21,61.6236
2020-12-22,62.0886
2020-12-23,59.8766
2020-12-24,59.7979
2020-12-25,59.7979
2020-12-26,59.7979
2020-12-27,59.7979
2020-12-28,59.3139
2020-12-29,56.9307
2020-12-30,59.1386
2020-12-31,58.581
2021-01-01,58.581
2021-01-02,58.581
2021-01-03,58.581
2021-01-04,58.8106
2021-01-05,61.9974
2021-01-06,63.3271
2021-01-07,65.8461
2021-01-08,64.7386
2021-01-09,64.7386
2021-01-10,64.7386
2021-01-11,66.9917
2021-01-12,70.4397
2021-01-13,68.1486
2021-01-14,69.4694
2021-01-15,68.4901
2021-01-16,68.4901
2021-01-17,68.4901
2021-01-18,68.4901
2021-01-19,71.8434
2021-01-20,67.0949
2021-01-21,67.5874
2021-01-22,67.6589
2021-01-23,67.6589
2021-01-24,67.6589
2021-01-25,67.428
2021-01-26,63.7516
2021-01-27,58.4375
2021-01-28,58.4602
2021-01-29,56.2999
2021-01-30,56.2999
2021-01-31,56.2999
2021-02-01,58.7356
2021-02-02,58.4468
2021-02-03,56.7778
2021-02-04,56.9977
2021-02-05,58.4081
2021-02-06,58.4081
2021-02-07,58.4081
2021-02-08,61.0084
2021-02-09,61.4459
2021-02-10,60.5325
2021-02-11,64.6321
2021-02-12,67.1533
2021-02-13,67.1533
2021-02-14,67.1533
2021-02-15,67.1533
2021-02-16,67.1878
2021-02-17,67.5761
2021-02-18,67.426
2021-02-19,68.1217
2021-02-20,68.1217
2021-02-21,68.1217
