,UVE US Equity
,RSI_30D
2020-01-01,46.5826
2020-01-02,44.5488
2020-01-03,44.6083
2020-01-04,44.6083
2020-01-05,44.6083
2020-01-06,42.7553
2020-01-07,39.9389
2020-01-08,38.3074
2020-01-09,39.5214
2020-01-10,36.8376
2020-01-11,36.8376
2020-01-12,36.8376
2020-01-13,37.1621
2020-01-14,36.9266
2020-01-15,40.9896
2020-01-16,42.3316
2020-01-17,40.2239
2020-01-18,40.2239
2020-01-19,40.2239
2020-01-20,40.2239
2020-01-21,41.7545
2020-01-22,40.9306
2020-01-23,41.1833
2020-01-24,40.161
2020-01-25,40.161
2020-01-26,40.161
2020-01-27,37.9974
2020-01-28,37.9146
2020-01-29,35.5488
2020-01-30,36.4526
2020-01-31,34.3447
2020-02-01,34.3447
2020-02-02,34.3447
2020-02-03,34.122
2020-02-04,35.7032
2020-02-05,42.2241
2020-02-06,42.4054
2020-02-07,41.3321
2020-02-08,41.3321
2020-02-09,41.3321
2020-02-10,39.7702
2020-02-11,40.0307
2020-02-12,39.8524
2020-02-13,38.8675
2020-02-14,38.5538
2020-02-15,38.5538
2020-02-16,38.5538
2020-02-17,38.5538
2020-02-18,37.3081
2020-02-19,36.3533
2020-02-20,33.9816
2020-02-21,33.2466
2020-02-22,33.2466
2020-02-23,33.2466
2020-02-24,33.2466
2020-02-25,31.017
2020-02-26,31.8187
2020-02-27,28.7433
2020-02-28,25.0803
2020-02-29,25.0803
2020-03-01,25.0803
2020-03-02,30.7022
2020-03-03,28.1359
2020-03-04,35.3873
2020-03-05,35.7719
2020-03-06,38.7879
2020-03-07,38.7879
2020-03-08,38.7879
2020-03-09,38.2242
2020-03-10,39.4031
2020-03-11,36.7463
2020-03-12,27.7467
2020-03-13,37.8613
2020-03-14,37.8613
2020-03-15,37.8613
2020-03-16,34.2315
2020-03-17,37.1521
2020-03-18,31.8676
2020-03-19,33.4554
2020-03-20,31.6135
2020-03-21,31.6135
2020-03-22,31.6135
2020-03-23,32.8013
2020-03-24,39.4497
2020-03-25,36.9246
2020-03-26,39.7732
2020-03-27,38.6552
2020-03-28,38.6552
2020-03-29,38.6552
2020-03-30,40.8769
2020-03-31,40.8769
2020-04-01,37.5822
2020-04-02,39.9791
2020-04-03,39.2089
2020-04-04,39.2089
2020-04-05,39.2089
2020-04-06,42.1551
2020-04-07,40.8894
2020-04-08,41.5542
2020-04-09,44.2245
2020-04-10,44.2245
2020-04-11,44.2245
2020-04-12,44.2245
2020-04-13,42.8247
2020-04-14,43.6229
2020-04-15,40.978
2020-04-16,40.978
2020-04-17,43.7109
2020-04-18,43.7109
2020-04-19,43.7109
2020-04-20,43.8115
2020-04-21,44.0185
2020-04-22,43.5825
2020-04-23,43.4552
2020-04-24,44.1301
2020-04-25,44.1301
2020-04-26,44.1301
2020-04-27,46.1792
2020-04-28,46.2893
2020-04-29,48.3138
2020-04-30,46.2427
2020-05-01,45.182
2020-05-02,45.182
2020-05-03,45.182
2020-05-04,44.5941
2020-05-05,43.8156
2020-05-06,43.8156
2020-05-07,44.4757
2020-05-08,48.1376
2020-05-09,48.1376
2020-05-10,48.1376
2020-05-11,45.9287
2020-05-12,43.458
2020-05-13,42.9195
2020-05-14,43.2044
2020-05-15,44.788
2020-05-16,44.788
2020-05-17,44.788
2020-05-18,47.9697
2020-05-19,46.2529
2020-05-20,47.6908
2020-05-21,48.3039
2020-05-22,47.347
2020-05-23,47.347
2020-05-24,47.347
2020-05-25,47.347
2020-05-26,48.6987
2020-05-27,50.4813
2020-05-28,48.5364
2020-05-29,47.9463
2020-05-30,47.9463
2020-05-31,47.9463
2020-06-01,47.4912
2020-06-02,48.9328
2020-06-03,51.1064
2020-06-04,50.8576
2020-06-05,52.6463
2020-06-06,52.6463
2020-06-07,52.6463
2020-06-08,53.7493
2020-06-09,53.2763
2020-06-10,50.3312
2020-06-11,48.1878
2020-06-12,48.8637
2020-06-13,48.8637
2020-06-14,48.8637
2020-06-15,47.8491
2020-06-16,48.7498
2020-06-17,46.918
2020-06-18,46.7947
2020-06-19,45.9821
2020-06-20,45.9821
2020-06-21,45.9821
2020-06-22,46.7547
2020-06-23,45.7238
2020-06-24,44.6109
2020-06-25,46.0092
2020-06-26,44.5547
2020-06-27,44.5547
2020-06-28,44.5547
2020-06-29,46.7972
2020-06-30,48.3617
2020-07-01,47.2328
2020-07-02,46.8896
2020-07-03,46.8896
2020-07-04,46.8896
2020-07-05,46.8896
2020-07-06,47.0885
2020-07-07,46.4765
2020-07-08,45.4697
2020-07-09,43.5858
2020-07-10,46.6354
2020-07-11,46.6354
2020-07-12,46.6354
2020-07-13,46.419
2020-07-14,46.0873
2020-07-15,48.255
2020-07-16,48.8391
2020-07-17,47.9197
2020-07-18,47.9197
2020-07-19,47.9197
2020-07-20,47.2004
2020-07-21,49.1736
2020-07-22,48.6305
2020-07-23,48.9891
2020-07-24,49.3549
2020-07-25,49.3549
2020-07-26,49.3549
2020-07-27,47.2937
2020-07-28,46.9485
2020-07-29,47.4937
2020-07-30,50.075
2020-07-31,49.6462
2020-08-01,49.6462
2020-08-02,49.6462
2020-08-03,50.4269
2020-08-04,50.8701
2020-08-05,53.3622
2020-08-06,55.474
2020-08-07,59.5095
2020-08-08,59.5095
2020-08-09,59.5095
2020-08-10,59.8483
2020-08-11,61.0835
2020-08-12,61.1957
2020-08-13,60.4739
2020-08-14,59.5057
2020-08-15,59.5057
2020-08-16,59.5057
2020-08-17,57.3108
2020-08-18,56.6102
2020-08-19,57.724
2020-08-20,54.4286
2020-08-21,53.9812
2020-08-22,53.9812
2020-08-23,53.9812
2020-08-24,55.126
2020-08-25,55.9757
2020-08-26,52.2247
2020-08-27,52.6228
2020-08-28,52.3408
2020-08-29,52.3408
2020-08-30,52.3408
2020-08-31,50.8195
2020-09-01,51.4681
2020-09-02,51.5232
2020-09-03,50.807
2020-09-04,51.2162
