,SON US Equity
,RSI_30D
2020-01-01,60.2404
2020-01-02,55.926
2020-01-03,53.3834
2020-01-04,53.3834
2020-01-05,53.3834
2020-01-06,48.8327
2020-01-07,44.9434
2020-01-08,44.1126
2020-01-09,44.1571
2020-01-10,44.9728
2020-01-11,44.9728
2020-01-12,44.9728
2020-01-13,48.4359
2020-01-14,50.568
2020-01-15,50.7271
2020-01-16,53.3661
2020-01-17,51.3172
2020-01-18,51.3172
2020-01-19,51.3172
2020-01-20,51.3172
2020-01-21,50.3781
2020-01-22,48.425
2020-01-23,50.0204
2020-01-24,47.5617
2020-01-25,47.5617
2020-01-26,47.5617
2020-01-27,47.0679
2020-01-28,46.078
2020-01-29,45.5822
2020-01-30,45.1951
2020-01-31,41.5125
2020-02-01,41.5125
2020-02-02,41.5125
2020-02-03,44.5659
2020-02-04,47.4064
2020-02-05,51.025
2020-02-06,49.6424
2020-02-07,45.7587
2020-02-08,45.7587
2020-02-09,45.7587
2020-02-10,42.7141
2020-02-11,41.8441
2020-02-12,42.3468
2020-02-13,45.6285
2020-02-14,43.0911
2020-02-15,43.0911
2020-02-16,43.0911
2020-02-17,43.0911
2020-02-18,42.9083
2020-02-19,42.1073
2020-02-20,44.26
2020-02-21,44.9924
2020-02-22,44.9924
2020-02-23,44.9924
2020-02-24,37.3722
2020-02-25,33.0108
2020-02-26,32.1088
2020-02-27,29.1625
2020-02-28,26.648
2020-02-29,26.648
2020-03-01,26.648
2020-03-02,35.2583
2020-03-03,35.0022
2020-03-04,40.1848
2020-03-05,36.7665
2020-03-06,37.4998
2020-03-07,37.4998
2020-03-08,37.4998
2020-03-09,33.3866
2020-03-10,40.4928
2020-03-11,36.1613
2020-03-12,32.1801
2020-03-13,37.9423
2020-03-14,37.9423
2020-03-15,37.9423
2020-03-16,31.9944
2020-03-17,41.7327
2020-03-18,36.5349
2020-03-19,36.1983
2020-03-20,37.9991
2020-03-21,37.9991
2020-03-22,37.9991
2020-03-23,34.5689
2020-03-24,40.0512
2020-03-25,39.4967
2020-03-26,42.4815
2020-03-27,41.1623
2020-03-28,41.1623
2020-03-29,41.1623
2020-03-30,46.1331
2020-03-31,45.6204
2020-04-01,44.8469
2020-04-02,45.2662
2020-04-03,43.9739
2020-04-04,43.9739
2020-04-05,43.9739
2020-04-06,47.4393
2020-04-07,47.0311
2020-04-08,49.137
2020-04-09,50.5109
2020-04-10,50.5109
2020-04-11,50.5109
2020-04-12,50.5109
2020-04-13,49.3266
2020-04-14,50.3339
2020-04-15,48.6227
2020-04-16,47.6041
2020-04-17,49.9455
2020-04-18,49.9455
2020-04-19,49.9455
2020-04-20,47.4788
2020-04-21,46.6232
2020-04-22,47.2048
2020-04-23,47.0416
2020-04-24,47.195
2020-04-25,47.195
2020-04-26,47.195
2020-04-27,49.0618
2020-04-28,50.0048
2020-04-29,51.3566
2020-04-30,49.3053
2020-05-01,49.2248
2020-05-02,49.2248
2020-05-03,49.2248
2020-05-04,47.9981
2020-05-05,47.2851
2020-05-06,46.7521
2020-05-07,48.0547
2020-05-08,51.1335
2020-05-09,51.1335
2020-05-10,51.1335
