,ED US Equity
,RSI_30D
2020-01-01,52.6793
2020-01-02,47.7401
2020-01-03,47.0876
2020-01-04,47.0876
2020-01-05,47.0876
2020-01-06,46.2629
2020-01-07,44.4042
2020-01-08,42.5562
2020-01-09,42.322
2020-01-10,44.4654
2020-01-11,44.4654
2020-01-12,44.4654
2020-01-13,45.4959
2020-01-14,45.4668
2020-01-15,49.4153
2020-01-16,50.0807
2020-01-17,53.3176
2020-01-18,53.3176
2020-01-19,53.3176
2020-01-20,53.3176
2020-01-21,54.9826
2020-01-22,55.8929
2020-01-23,59.9772
2020-01-24,61.8824
2020-01-25,61.8824
2020-01-26,61.8824
2020-01-27,61.1652
2020-01-28,62.8785
2020-01-29,63.4419
2020-01-30,64.0924
2020-01-31,61.3088
2020-02-01,61.3088
2020-02-02,61.3088
2020-02-03,60.7555
2020-02-04,56.1752
2020-02-05,58.3097
2020-02-06,58.4799
2020-02-07,56.1417
2020-02-08,56.1417
2020-02-09,56.1417
2020-02-10,56.9165
2020-02-11,57.1774
2020-02-12,56.0883
2020-02-13,58.1372
2020-02-14,59.8003
2020-02-15,59.8003
2020-02-16,59.8003
2020-02-17,59.8003
2020-02-18,61.7569
2020-02-19,60.0142
2020-02-20,61.6802
2020-02-21,48.5317
2020-02-22,48.5317
2020-02-23,48.5317
2020-02-24,45.5845
2020-02-25,44.2067
2020-02-26,43.0294
2020-02-27,35.2304
2020-02-28,29.8036
2020-02-29,29.8036
2020-03-01,29.8036
2020-03-02,41.9005
2020-03-03,41.0169
2020-03-04,47.8874
2020-03-05,47.2997
2020-03-06,47.7929
2020-03-07,47.7929
2020-03-08,47.7929
2020-03-09,48.9665
2020-03-10,50.0965
2020-03-11,45.9701
2020-03-12,42.5796
2020-03-13,48.7546
2020-03-14,48.7546
2020-03-15,48.7546
2020-03-16,39.9151
2020-03-17,54.324
2020-03-18,52.7887
2020-03-19,43.6002
2020-03-20,39.2258
2020-03-21,39.2258
2020-03-22,39.2258
2020-03-23,35.6536
2020-03-24,39.7021
2020-03-25,40.0199
2020-03-26,43.6685
2020-03-27,45.0408
2020-03-28,45.0408
2020-03-29,45.0408
2020-03-30,46.9516
2020-03-31,45.3772
2020-04-01,45.1535
2020-04-02,46.0843
2020-04-03,45.4615
2020-04-04,45.4615
2020-04-05,45.4615
2020-04-06,47.6978
2020-04-07,46.9829
2020-04-08,49.6825
2020-04-09,52.3224
2020-04-10,52.3224
2020-04-11,52.3224
2020-04-12,52.3224
2020-04-13,50.2647
2020-04-14,53.0148
2020-04-15,51.4765
2020-04-16,52.3603
2020-04-17,53.0665
2020-04-18,53.0665
2020-04-19,53.0665
2020-04-20,50.322
2020-04-21,49.0515
2020-04-22,49.4714
2020-04-23,47.9529
2020-04-24,48.5533
2020-04-25,48.5533
2020-04-26,48.5533
2020-04-27,48.5747
2020-04-28,48.89
2020-04-29,47.6117
2020-04-30,45.9193
2020-05-01,44.8876
2020-05-02,44.8876
2020-05-03,44.8876
2020-05-04,44.7601
2020-05-05,45.1672
2020-05-06,43.0086
2020-05-07,42.801
2020-05-08,42.9022
2020-05-09,42.9022
2020-05-10,42.9022
2020-05-11,41.8307
2020-05-12,41.6295
2020-05-13,41.5353
2020-05-14,41.7243
2020-05-15,40.7552
2020-05-16,40.7552
2020-05-17,40.7552
2020-05-18,43.6634
2020-05-19,41.9365
2020-05-20,41.829
2020-05-21,41.1896
2020-05-22,41.483
2020-05-23,41.483
2020-05-24,41.483
2020-05-25,41.483
2020-05-26,42.6331
2020-05-27,42.7024
2020-05-28,44.8806
2020-05-29,46.9769
2020-05-30,46.9769
2020-05-31,46.9769
2020-06-01,46.9878
2020-06-02,46.7389
2020-06-03,47.7132
2020-06-04,46.8373
2020-06-05,47.4315
2020-06-06,47.4315
2020-06-07,47.4315
2020-06-08,50.174
2020-06-09,49.0506
2020-06-10,49.341
2020-06-11,46.8229
2020-06-12,47.683
2020-06-13,47.683
2020-06-14,47.683
2020-06-15,47.9528
2020-06-16,48.907
2020-06-17,47.6398
2020-06-18,47.1483
2020-06-19,43.3684
2020-06-20,43.3684
2020-06-21,43.3684
2020-06-22,43.3475
2020-06-23,42.8335
2020-06-24,43.6826
2020-06-25,42.6713
2020-06-26,43.6501
2020-06-27,43.6501
2020-06-28,43.6501
2020-06-29,45.7131
2020-06-30,44.7932
2020-07-01,46.4859
2020-07-02,47.4965
2020-07-03,47.4965
2020-07-04,47.4965
2020-07-05,47.4965
2020-07-06,46.5864
2020-07-07,45.8189
2020-07-08,45.728
2020-07-09,44.7824
2020-07-10,46.0173
2020-07-11,46.0173
2020-07-12,46.0173
2020-07-13,45.5791
2020-07-14,45.5958
2020-07-15,44.6574
2020-07-16,45.2404
2020-07-17,48.9961
2020-07-18,48.9961
2020-07-19,48.9961
2020-07-20,47.7651
2020-07-21,49.4205
2020-07-22,51.7173
2020-07-23,52.4567
2020-07-24,51.3445
2020-07-25,51.3445
2020-07-26,51.3445
2020-07-27,50.0022
2020-07-28,52.5083
2020-07-29,53.0259
2020-07-30,53.3967
2020-07-31,53.1976
2020-08-01,53.1976
2020-08-02,53.1976
2020-08-03,51.5346
2020-08-04,51.5165
2020-08-05,47.6378
2020-08-06,48.1069
2020-08-07,50.2187
2020-08-08,50.2187
2020-08-09,50.2187
2020-08-10,50.6897
2020-08-11,47.0722
2020-08-12,48.8533
2020-08-13,48.0339
2020-08-14,47.6292
2020-08-15,47.6292
2020-08-16,47.6292
2020-08-17,49.2512
2020-08-18,48.7225
2020-08-19,48.8956
2020-08-20,46.9984
2020-08-21,46.6384
2020-08-22,46.6384
2020-08-23,46.6384
2020-08-24,50.7732
2020-08-25,48.377
2020-08-26,44.665
2020-08-27,45.2303
2020-08-28,44.9844
2020-08-29,44.9844
2020-08-30,44.9844
2020-08-31,45.8374
2020-09-01,43.0584
2020-09-02,48.034
2020-09-03,48.3417
2020-09-04,49.5061
2020-09-05,49.5061
2020-09-06,49.5061
2020-09-07,49.5061
2020-09-08,49.077
2020-09-09,49.2854
2020-09-10,49.0212
2020-09-11,48.963
2020-09-12,48.963
2020-09-13,48.963
2020-09-14,51.8776
2020-09-15,52.3531
2020-09-16,54.5992
2020-09-17,55.052
2020-09-18,50.7572
2020-09-19,50.7572
2020-09-20,50.7572
2020-09-21,48.7609
2020-09-22,50.4287
2020-09-23,49.6894
2020-09-24,50.8852
2020-09-25,54.2762
2020-09-26,54.2762
2020-09-27,54.2762
2020-09-28,55.232
2020-09-29,56.3643
2020-09-30,57.7381
2020-10-01,59.7219
2020-10-02,60.8413
2020-10-03,60.8413
2020-10-04,60.8413
2020-10-05,61.0865
2020-10-06,62.3517
2020-10-07,62.4581
2020-10-08,64.5896
2020-10-09,64.9894
2020-10-10,64.9894
2020-10-11,64.9894
2020-10-12,65.4791
2020-10-13,63.9285
2020-10-14,63.7095
2020-10-15,62.3287
2020-10-16,62.2171
2020-10-17,62.2171
2020-10-18,62.2171
2020-10-19,59.7015
2020-10-20,59.1846
2020-10-21,58.4408
2020-10-22,60.5493
2020-10-23,60.8455
2020-10-24,60.8455
2020-10-25,60.8455
2020-10-26,62.8988
2020-10-27,63.4382
2020-10-28,55.6378
2020-10-29,54.6988
2020-10-30,51.7346
2020-10-31,51.7346
2020-11-01,51.7346
2020-11-02,54.3157
2020-11-03,57.1459
2020-11-04,53.246
2020-11-05,53.5627
2020-11-06,49.616
2020-11-07,49.616
2020-11-08,49.616
2020-11-09,52.3984
2020-11-10,57.0413
2020-11-11,56.3108
2020-11-12,53.9102
2020-11-13,55.7179
2020-11-14,55.7179
2020-11-15,55.7179
2020-11-16,57.3851
2020-11-17,52.2586
2020-11-18,49.605
2020-11-19,48.6387
2020-11-20,49.1424
2020-11-21,49.1424
2020-11-22,49.1424
2020-11-23,49.4607
2020-11-24,50.8914
2020-11-25,51.3835
2020-11-26,51.3835
2020-11-27,49.7443
2020-11-28,49.7443
2020-11-29,49.7443
2020-11-30,47.0902
2020-12-01,48.3286
2020-12-02,48.555
2020-12-03,46.5837
2020-12-04,45.5587
2020-12-05,45.5587
2020-12-06,45.5587
2020-12-07,44.7605
2020-12-08,44.2824
2020-12-09,43.7302
2020-12-10,42.2155
2020-12-11,41.895
2020-12-12,41.895
2020-12-13,41.895
2020-12-14,40.6353
2020-12-15,42.0532
2020-12-16,39.9613
2020-12-17,39.7486
2020-12-18,38.9727
2020-12-19,38.9727
2020-12-20,38.9727
2020-12-21,37.0619
2020-12-22,36.5978
2020-12-23,37.7271
2020-12-24,38.7218
2020-12-25,38.7218
2020-12-26,38.7218
