,BJRI US Equity
,RSI_30D
2020-01-01,54.3286
2020-01-02,54.784
2020-01-03,54.3913
2020-01-04,54.3913
2020-01-05,54.3913
2020-01-06,56.9671
2020-01-07,56.645
2020-01-08,57.6803
2020-01-09,58.7654
2020-01-10,57.459
2020-01-11,57.459
2020-01-12,57.459
2020-01-13,55.3381
2020-01-14,55.5322
2020-01-15,55.3766
2020-01-16,57.9595
2020-01-17,56.4449
2020-01-18,56.4449
2020-01-19,56.4449
2020-01-20,56.4449
2020-01-21,54.5662
2020-01-22,55.8965
2020-01-23,54.8004
2020-01-24,57.9449
2020-01-25,57.9449
2020-01-26,57.9449
2020-01-27,55.797
2020-01-28,55.6424
2020-01-29,59.3481
2020-01-30,56.3467
2020-01-31,55.0535
2020-02-01,55.0535
2020-02-02,55.0535
2020-02-03,54.3787
2020-02-04,56.1205
2020-02-05,59.7018
2020-02-06,61.2566
2020-02-07,58.8469
2020-02-08,58.8469
2020-02-09,58.8469
2020-02-10,59.9003
2020-02-11,58.7413
2020-02-12,57.2045
2020-02-13,55.9283
2020-02-14,58.1945
2020-02-15,58.1945
2020-02-16,58.1945
2020-02-17,58.1945
2020-02-18,58.4788
2020-02-19,60.407
2020-02-20,61.6556
2020-02-21,48.8744
2020-02-22,48.8744
2020-02-23,48.8744
2020-02-24,46.5862
2020-02-25,43.9448
2020-02-26,41.7765
2020-02-27,37.0283
2020-02-28,39.2475
2020-02-29,39.2475
2020-03-01,39.2475
2020-03-02,41.1039
2020-03-03,38.995
2020-03-04,40.202
2020-03-05,34.8523
2020-03-06,36.5559
2020-03-07,36.5559
2020-03-08,36.5559
2020-03-09,32.152
2020-03-10,31.815
2020-03-11,28.2876
2020-03-12,25.9715
2020-03-13,29.7676
2020-03-14,29.7676
2020-03-15,29.7676
2020-03-16,24.7524
2020-03-17,23.482
2020-03-18,21.479
2020-03-19,24.2264
2020-03-20,24.2264
2020-03-21,24.2264
2020-03-22,24.2264
2020-03-23,26.5139
2020-03-24,31.7355
2020-03-25,32.3387
2020-03-26,35.324
2020-03-27,34.0405
2020-03-28,34.0405
2020-03-29,34.0405
2020-03-30,33.3299
2020-03-31,34.966
2020-04-01,33.3121
2020-04-02,33.0486
2020-04-03,33.6816
2020-04-04,33.6816
2020-04-05,33.6816
2020-04-06,36.7874
2020-04-07,38.5784
2020-04-08,41.0283
2020-04-09,42.5814
2020-04-10,42.5814
2020-04-11,42.5814
2020-04-12,42.5814
2020-04-13,41.6486
2020-04-14,41.378
2020-04-15,40.8097
2020-04-16,40.5711
2020-04-17,42.5399
2020-04-18,42.5399
2020-04-19,42.5399
2020-04-20,41.7612
2020-04-21,41.6227
2020-04-22,42.4128
2020-04-23,41.6833
2020-04-24,41.8425
2020-04-25,41.8425
2020-04-26,41.8425
2020-04-27,43.9632
2020-04-28,45.7499
2020-04-29,50.9745
2020-04-30,49.7677
2020-05-01,47.3239
2020-05-02,47.3239
2020-05-03,47.3239
2020-05-04,47.9238
2020-05-05,46.7593
2020-05-06,46.0376
2020-05-07,47.5817
2020-05-08,49.6434
2020-05-09,49.6434
2020-05-10,49.6434
2020-05-11,48.0963
2020-05-12,46.0776
2020-05-13,44.2528
2020-05-14,44.163
2020-05-15,44.728
2020-05-16,44.728
2020-05-17,44.728
2020-05-18,47.6841
2020-05-19,47.7721
2020-05-20,47.3192
2020-05-21,47.8308
2020-05-22,47.9892
2020-05-23,47.9892
2020-05-24,47.9892
2020-05-25,47.9892
2020-05-26,50.1343
2020-05-27,54.193
2020-05-28,51.5027
2020-05-29,51.0865
2020-05-30,51.0865
2020-05-31,51.0865
2020-06-01,51.2031
2020-06-02,51.7678
2020-06-03,55.3154
2020-06-04,57.3993
2020-06-05,58.6192
2020-06-06,58.6192
2020-06-07,58.6192
2020-06-08,59.6103
2020-06-09,56.5032
2020-06-10,53.4771
2020-06-11,49.1566
2020-06-12,50.9297
2020-06-13,50.9297
2020-06-14,50.9297
2020-06-15,51.8057
2020-06-16,51.6323
2020-06-17,50.4676
2020-06-18,50.7549
2020-06-19,48.7934
2020-06-20,48.7934
2020-06-21,48.7934
2020-06-22,47.8511
2020-06-23,51.2729
2020-06-24,48.1193
2020-06-25,48.4851
2020-06-26,46.5823
2020-06-27,46.5823
2020-06-28,46.5823
2020-06-29,48.5445
2020-06-30,48.6557
2020-07-01,47.8704
2020-07-02,46.337
2020-07-03,46.337
2020-07-04,46.337
2020-07-05,46.337
2020-07-06,46.4672
2020-07-07,44.822
2020-07-08,45.097
2020-07-09,43.2037
2020-07-10,43.8315
2020-07-11,43.8315
2020-07-12,43.8315
2020-07-13,43.2382
2020-07-14,42.6692
2020-07-15,47.7061
2020-07-16,46.6279
2020-07-17,46.462
2020-07-18,46.462
2020-07-19,46.462
2020-07-20,45.265
2020-07-21,46.6683
2020-07-22,47.1357
2020-07-23,47.52
2020-07-24,50.9288
2020-07-25,50.9288
2020-07-26,50.9288
2020-07-27,48.5413
2020-07-28,49.4392
2020-07-29,51.5418
2020-07-30,50.3463
2020-07-31,49.4182
2020-08-01,49.4182
2020-08-02,49.4182
2020-08-03,48.6452
2020-08-04,50.6334
2020-08-05,51.0881
2020-08-06,52.0891
2020-08-07,53.8543
2020-08-08,53.8543
2020-08-09,53.8543
2020-08-10,54.9381
2020-08-11,56.3416
2020-08-12,58.16
2020-08-13,57.319
2020-08-14,58.3521
2020-08-15,58.3521
2020-08-16,58.3521
2020-08-17,56.5996
2020-08-18,56.6162
2020-08-19,57.5094
2020-08-20,58.2642
2020-08-21,59.132
2020-08-22,59.132
2020-08-23,59.132
2020-08-24,60.5358
2020-08-25,60.9393
2020-08-26,60.5805
2020-08-27,62.3341
2020-08-28,67.8509
2020-08-29,67.8509
2020-08-30,67.8509
2020-08-31,66.0207
2020-09-01,67.6174
2020-09-02,68.8274
2020-09-03,69.3677
2020-09-04,69.7028
2020-09-05,69.7028
2020-09-06,69.7028
2020-09-07,69.7028
2020-09-08,70.1915
2020-09-09,70.7493
2020-09-10,72.3336
2020-09-11,67.2642
2020-09-12,67.2642
2020-09-13,67.2642
2020-09-14,69.061
2020-09-15,69.6025
2020-09-16,67.4896
2020-09-17,63.3659
2020-09-18,61.2501
2020-09-19,61.2501
2020-09-20,61.2501
2020-09-21,58.7667
2020-09-22,58.8268
2020-09-23,55.5612
2020-09-24,55.4184
2020-09-25,53.8636
2020-09-26,53.8636
2020-09-27,53.8636
2020-09-28,55.446
2020-09-29,52.5015
2020-09-30,52.4036
2020-10-01,53.8462
2020-10-02,54.3236
2020-10-03,54.3236
2020-10-04,54.3236
2020-10-05,53.2681
2020-10-06,53.4179
2020-10-07,54.9853
2020-10-08,57.4702
2020-10-09,58.6265
2020-10-10,58.6265
2020-10-11,58.6265
2020-10-12,57.4326
2020-10-13,56.0437
2020-10-14,56.1351
2020-10-15,57.4182
2020-10-16,56.9504
2020-10-17,56.9504
2020-10-18,56.9504
2020-10-19,57.1972
2020-10-20,57.4496
2020-10-21,56.1329
2020-10-22,59.8284
2020-10-23,52.9327
2020-10-24,52.9327
2020-10-25,52.9327
2020-10-26,51.3697
2020-10-27,48.2621
2020-10-28,46.4723
2020-10-29,47.3352
2020-10-30,46.8965
2020-10-31,46.8965
2020-11-01,46.8965
2020-11-02,49.8049
2020-11-03,50.491
2020-11-04,50.0539
2020-11-05,52.2727
2020-11-06,53.0448
2020-11-07,53.0448
2020-11-08,53.0448
2020-11-09,63.6149
2020-11-10,64.5299
2020-11-11,58.9476
2020-11-12,57.7363
2020-11-13,59.97
2020-11-14,59.97
2020-11-15,59.97
2020-11-16,61.7975
2020-11-17,61.1492
2020-11-18,60.1016
2020-11-19,59.9013
2020-11-20,56.6771
2020-11-21,56.6771
2020-11-22,56.6771
2020-11-23,57.4524
2020-11-24,59.0258
2020-11-25,55.4643
2020-11-26,55.4643
2020-11-27,54.2397
2020-11-28,54.2397
2020-11-29,54.2397
2020-11-30,50.8735
2020-12-01,52.3789
2020-12-02,54.0314
2020-12-03,55.3289
2020-12-04,56.6928
2020-12-05,56.6928
2020-12-06,56.6928
2020-12-07,53.2748
2020-12-08,51.48
2020-12-09,53.573
2020-12-10,53.923
2020-12-11,49.2794
2020-12-12,49.2794
2020-12-13,49.2794
2020-12-14,48.9188
2020-12-15,50.4051
2020-12-16,51.9871
2020-12-17,54.4719
2020-12-18,53.8351
2020-12-19,53.8351
2020-12-20,53.8351
2020-12-21,55.465
2020-12-22,58.5579
2020-12-23,59.0214
2020-12-24,58.077
2020-12-25,58.077
2020-12-26,58.077
2020-12-27,58.077
2020-12-28,56.026
2020-12-29,56.0818
2020-12-30,56.1537
2020-12-31,56.8125
2021-01-01,56.8125
2021-01-02,56.8125
2021-01-03,56.8125
2021-01-04,54.7695
2021-01-05,58.0496
2021-01-06,60.6749
2021-01-07,62.4213
2021-01-08,63.8858
2021-01-09,63.8858
2021-01-10,63.8858
2021-01-11,63.9426
2021-01-12,65.0125
2021-01-13,65.115
2021-01-14,66.5136
2021-01-15,66.6919
2021-01-16,66.6919
2021-01-17,66.6919
2021-01-18,66.6919
2021-01-19,68.4919
2021-01-20,65.7888
2021-01-21,63.3712
2021-01-22,61.3262
2021-01-23,61.3262
2021-01-24,61.3262
2021-01-25,61.3649
2021-01-26,59.938
2021-01-27,62.6708
2021-01-28,64.013
2021-01-29,61.8973
