,PUMP US Equity
,RSI_30D
2020-01-01,66.4501
2020-01-02,64.13
2020-01-03,65.8973
2020-01-04,65.8973
2020-01-05,65.8973
2020-01-06,68.8775
2020-01-07,65.3518
2020-01-08,61.6463
2020-01-09,60.4641
2020-01-10,59.2879
2020-01-11,59.2879
2020-01-12,59.2879
2020-01-13,59.5207
2020-01-14,61.1297
2020-01-15,59.8121
2020-01-16,61.9609
2020-01-17,59.5345
2020-01-18,59.5345
2020-01-19,59.5345
2020-01-20,59.5345
2020-01-21,59.3627
2020-01-22,56.9817
2020-01-23,52.4718
2020-01-24,50.4082
2020-01-25,50.4082
2020-01-26,50.4082
2020-01-27,48.7001
2020-01-28,51.0344
2020-01-29,51.2369
2020-01-30,52.655
2020-01-31,48.5514
2020-02-01,48.5514
2020-02-02,48.5514
2020-02-03,45.7389
2020-02-04,48.4831
2020-02-05,51.7638
2020-02-06,47.8255
2020-02-07,48.2018
2020-02-08,48.2018
2020-02-09,48.2018
2020-02-10,47.5513
2020-02-11,47.9477
2020-02-12,50.4033
2020-02-13,52.0654
2020-02-14,52.6731
2020-02-15,52.6731
2020-02-16,52.6731
2020-02-17,52.6731
2020-02-18,51.7235
2020-02-19,55.1307
2020-02-20,53.2219
2020-02-21,50.2642
2020-02-22,50.2642
2020-02-23,50.2642
2020-02-24,45.1822
2020-02-25,50.2682
2020-02-26,46.845
2020-02-27,42.0282
2020-02-28,44.8791
2020-02-29,44.8791
2020-03-01,44.8791
2020-03-02,45.3512
2020-03-03,43.1023
2020-03-04,44.7078
2020-03-05,42.3195
2020-03-06,38.2388
2020-03-07,38.2388
2020-03-08,38.2388
2020-03-09,30.4113
2020-03-10,29.8427
2020-03-11,29.8205
2020-03-12,31.0922
2020-03-13,30.5201
2020-03-14,30.5201
2020-03-15,30.5201
2020-03-16,27.7474
2020-03-17,26.769
2020-03-18,25.8084
2020-03-19,28.9724
2020-03-20,28.5732
2020-03-21,28.5732
2020-03-22,28.5732
2020-03-23,28.9993
2020-03-24,30.1312
2020-03-25,30.5131
2020-03-26,31.7808
2020-03-27,31.2172
2020-03-28,31.2172
2020-03-29,31.2172
2020-03-30,30.8825
2020-03-31,32.8312
2020-04-01,32.088
2020-04-02,35.3406
2020-04-03,36.9562
2020-04-04,36.9562
2020-04-05,36.9562
2020-04-06,39.46
2020-04-07,39.1916
2020-04-08,43.0012
2020-04-09,42.5656
2020-04-10,42.5656
2020-04-11,42.5656
2020-04-12,42.5656
2020-04-13,42.0153
2020-04-14,41.4607
2020-04-15,40.9391
2020-04-16,37.7131
2020-04-17,41.3996
2020-04-18,41.3996
2020-04-19,41.3996
2020-04-20,40.5945
2020-04-21,40.2424
2020-04-22,41.8085
2020-04-23,44.3721
2020-04-24,43.2136
2020-04-25,43.2136
2020-04-26,43.2136
2020-04-27,42.8663
2020-04-28,44.0551
2020-04-29,47.3559
2020-04-30,46.3014
2020-05-01,45.1775
2020-05-02,45.1775
2020-05-03,45.1775
2020-05-04,45.7327
2020-05-05,46.1939
2020-05-06,44.9213
2020-05-07,46.242
2020-05-08,49.215
2020-05-09,49.215
2020-05-10,49.215
2020-05-11,48.2787
2020-05-12,48.9815
2020-05-13,46.5509
2020-05-14,47.0734
2020-05-15,47.1802
2020-05-16,47.1802
2020-05-17,47.1802
2020-05-18,50.4884
2020-05-19,49.2421
2020-05-20,51.2345
2020-05-21,51.5298
2020-05-22,50.1683
2020-05-23,50.1683
2020-05-24,50.1683
2020-05-25,50.1683
2020-05-26,51.4941
2020-05-27,51.6476
2020-05-28,50.8156
2020-05-29,50.5907
2020-05-30,50.5907
2020-05-31,50.5907
2020-06-01,50.8158
2020-06-02,49.8179
2020-06-03,48.8259
2020-06-04,54.4056
2020-06-05,57.7115
2020-06-06,57.7115
2020-06-07,57.7115
2020-06-08,62.5295
2020-06-09,61.0895
2020-06-10,55.9266
2020-06-11,50.9893
2020-06-12,53.5041
2020-06-13,53.5041
2020-06-14,53.5041
2020-06-15,53.2262
2020-06-16,53.5176
2020-06-17,51.0278
2020-06-18,51.6859
2020-06-19,50.7916
2020-06-20,50.7916
2020-06-21,50.7916
2020-06-22,51.2508
2020-06-23,50.9068
2020-06-24,48.8705
2020-06-25,49.4679
2020-06-26,48.2528
2020-06-27,48.2528
2020-06-28,48.2528
2020-06-29,49.0299
2020-06-30,49.5524
2020-07-01,48.6243
2020-07-02,48.3123
2020-07-03,48.3123
2020-07-04,48.3123
2020-07-05,48.3123
2020-07-06,50.345
2020-07-07,48.9981
2020-07-08,48.8899
2020-07-09,46.2475
2020-07-10,45.9904
2020-07-11,45.9904
2020-07-12,45.9904
2020-07-13,45.2615
2020-07-14,47.5349
2020-07-15,52.4991
2020-07-16,50.7335
2020-07-17,50.8936
2020-07-18,50.8936
2020-07-19,50.8936
2020-07-20,49.9968
2020-07-21,54.2691
2020-07-22,51.3364
2020-07-23,52.7808
2020-07-24,52.5028
2020-07-25,52.5028
2020-07-26,52.5028
2020-07-27,53.0147
2020-07-28,51.0236
2020-07-29,52.5
2020-07-30,51.1888
2020-07-31,50.6764
2020-08-01,50.6764
2020-08-02,50.6764
2020-08-03,51.568
2020-08-04,52.7281
2020-08-05,55.1116
2020-08-06,53.5595
2020-08-07,53.373
2020-08-08,53.373
2020-08-09,53.373
2020-08-10,56.2627
2020-08-11,56.1319
2020-08-12,56.7562
2020-08-13,55.9327
2020-08-14,56.3152
2020-08-15,56.3152
2020-08-16,56.3152
2020-08-17,55.8851
2020-08-18,53.8296
2020-08-19,54.3684
2020-08-20,52.4002
2020-08-21,50.5087
2020-08-22,50.5087
2020-08-23,50.5087
2020-08-24,52.9556
2020-08-25,53.444
2020-08-26,53.1586
2020-08-27,54.4791
2020-08-28,55.5291
2020-08-29,55.5291
2020-08-30,55.5291
2020-08-31,53.8658
2020-09-01,55.0065
2020-09-02,53.5604
2020-09-03,51.4258
2020-09-04,51.135
2020-09-05,51.135
2020-09-06,51.135
2020-09-07,51.135
2020-09-08,47.7158
2020-09-09,48.1549
2020-09-10,46.0223
2020-09-11,45.6303
2020-09-12,45.6303
2020-09-13,45.6303
2020-09-14,44.2653
2020-09-15,44.1352
2020-09-16,46.0223
2020-09-17,45.3335
2020-09-18,44.3718
2020-09-19,44.3718
2020-09-20,44.3718
2020-09-21,40.9682
2020-09-22,40.3639
2020-09-23,38.5407
2020-09-24,37.9684
2020-09-25,38.0635
2020-09-26,38.0635
2020-09-27,38.0635
2020-09-28,40.1526
2020-09-29,42.2589
2020-09-30,40.6502
2020-10-01,42.0201
2020-10-02,40.9765
2020-10-03,40.9765
2020-10-04,40.9765
2020-10-05,42.0924
2020-10-06,42.0239
2020-10-07,42.9837
2020-10-08,44.963
2020-10-09,45.2439
2020-10-10,45.2439
2020-10-11,45.2439
2020-10-12,45.5315
2020-10-13,44.5629
2020-10-14,44.6644
2020-10-15,45.5916
2020-10-16,43.5773
2020-10-17,43.5773
2020-10-18,43.5773
2020-10-19,43.0041
2020-10-20,44.5143
2020-10-21,42.9177
2020-10-22,44.5422
2020-10-23,45.6096
2020-10-24,45.6096
2020-10-25,45.6096
2020-10-26,44.9826
2020-10-27,43.9121
2020-10-28,40.814
2020-10-29,41.5063
2020-10-30,42.0902
2020-10-31,42.0902
2020-11-01,42.0902
2020-11-02,44.7165
2020-11-03,44.1759
2020-11-04,43.0978
2020-11-05,41.9504
2020-11-06,41.2513
2020-11-07,41.2513
2020-11-08,41.2513
2020-11-09,51.9227
2020-11-10,52.0103
2020-11-11,52.7228
2020-11-12,51.6324
2020-11-13,53.0921
2020-11-14,53.0921
2020-11-15,53.0921
2020-11-16,57.4133
2020-11-17,57.5689
2020-11-18,57.7286
2020-11-19,58.7719
2020-11-20,56.8729
2020-11-21,56.8729
2020-11-22,56.8729
2020-11-23,61.7601
2020-11-24,66.3163
2020-11-25,64.6172
2020-11-26,64.6172
2020-11-27,61.6553
2020-11-28,61.6553
2020-11-29,61.6553
2020-11-30,55.6498
2020-12-01,58.4415
2020-12-02,58.7468
2020-12-03,59.2423
2020-12-04,62.125
2020-12-05,62.125
2020-12-06,62.125
2020-12-07,60.1491
2020-12-08,61.7508
2020-12-09,61.5679
2020-12-10,63.5233
2020-12-11,64.7939
2020-12-12,64.7939
2020-12-13,64.7939
2020-12-14,64.12
2020-12-15,67.6503
2020-12-16,65.4909
2020-12-17,63.9306
2020-12-18,60.2611
2020-12-19,60.2611
2020-12-20,60.2611
2020-12-21,59.421
2020-12-22,60.8875
2020-12-23,62.1396
2020-12-24,61.0842
2020-12-25,61.0842
2020-12-26,61.0842
2020-12-27,61.0842
2020-12-28,60.0294
2020-12-29,59.8513
2020-12-30,60.0963
2020-12-31,59.5325
2021-01-01,59.5325
2021-01-02,59.5325
2021-01-03,59.5325
2021-01-04,60.6775
2021-01-05,63.6342
2021-01-06,65.6135
2021-01-07,63.3947
2021-01-08,63.561
2021-01-09,63.561
2021-01-10,63.561
2021-01-11,61.5369
2021-01-12,63.5388
2021-01-13,59.4251
2021-01-14,61.7586
2021-01-15,57.8155
2021-01-16,57.8155
2021-01-17,57.8155
2021-01-18,57.8155
2021-01-19,58.6864
2021-01-20,58.1893
2021-01-21,57.3517
2021-01-22,60.0299
2021-01-23,60.0299
2021-01-24,60.0299
2021-01-25,57.8583
2021-01-26,58.9225
2021-01-27,55.7659
2021-01-28,59.8198
2021-01-29,55.6579
2021-01-30,55.6579
2021-01-31,55.6579
2021-02-01,56.4966
2021-02-02,56.5532
2021-02-03,57.4141
2021-02-04,60.0354
2021-02-05,63.5197
2021-02-06,63.5197
2021-02-07,63.5197
2021-02-08,64.6275
2021-02-09,63.1206
2021-02-10,63.8548
2021-02-11,60.5798
2021-02-12,61.1684
2021-02-13,61.1684
2021-02-14,61.1684
2021-02-15,61.1684
2021-02-16,63.4282
2021-02-17,62.4106
2021-02-18,58.9488
2021-02-19,59.8013
2021-02-20,59.8013
2021-02-21,59.8013
2021-02-22,63.4079
2021-02-23,63.7956
2021-02-24,67.9351
2021-02-25,66.3797
2021-02-26,67.3732
2021-02-27,67.3732
2021-02-28,67.3732
2021-03-01,69.3513
2021-03-02,64.2604
2021-03-03,65.1427
2021-03-04,66.4632
2021-03-05,70.2729
2021-03-06,70.2729
2021-03-07,70.2729
2021-03-08,71.9612
2021-03-09,63.7994
2021-03-10,64.8087
2021-03-11,64.5267
2021-03-12,64.5267
2021-03-13,64.5267
2021-03-14,64.5267
2021-03-15,61.6558
2021-03-16,57.4761
2021-03-17,58.4715
2021-03-18,55.3916
2021-03-19,56.1999
2021-03-20,56.1999
2021-03-21,56.1999
2021-03-22,55.7027
2021-03-23,51.8579
2021-03-24,52.3618
2021-03-25,54.1412
2021-03-26,54.5092
2021-03-27,54.5092
2021-03-28,54.5092
2021-03-29,52.0149
2021-03-30,52.915
2021-03-31,52.8174
2021-04-01,54.8425
2021-04-02,54.8425
2021-04-03,54.8425
2021-04-04,54.8425
2021-04-05,53.6762
2021-04-06,52.0339
2021-04-07,52.2172
2021-04-08,51.4042
2021-04-09,49.7516
2021-04-10,49.7516
2021-04-11,49.7516
2021-04-12,50.1535
2021-04-13,49.9983
2021-04-14,53.5184
2021-04-15,52.2326
2021-04-16,49.3212
2021-04-17,49.3212
2021-04-18,49.3212
2021-04-19,49.3212
2021-04-20,44.8187
2021-04-21,45.0349
2021-04-22,44.4492
2021-04-23,45.9049
2021-04-24,45.9049
2021-04-25,45.9049
2021-04-26,46.9014
2021-04-27,46.5564
2021-04-28,50.8816
2021-04-29,50.7767
2021-04-30,47.9619
2021-05-01,47.9619
2021-05-02,47.9619
2021-05-03,53.2725
2021-05-04,51.4776
2021-05-05,50.5477
2021-05-06,51.919
2021-05-07,54.2712
2021-05-08,54.2712
2021-05-09,54.2712
2021-05-10,52.8816
2021-05-11,53.203
2021-05-12,52.4106
2021-05-13,50.392
2021-05-14,52.0099
2021-05-15,52.0099
2021-05-16,52.0099
2021-05-17,53.9858
2021-05-18,51.2322
2021-05-19,49.0822
2021-05-20,48.4134
2021-05-21,49.2312
2021-05-22,49.2312
2021-05-23,49.2312
2021-05-24,48.2908
2021-05-25,46.3157
2021-05-26,47.7185
2021-05-27,49.1973
2021-05-28,48.9925
2021-05-29,48.9925
2021-05-30,48.9925
2021-05-31,48.9925
2021-06-01,51.8928
2021-06-02,55.9209
2021-06-03,55.4791
2021-06-04,55.84
2021-06-05,55.84
2021-06-06,55.84
2021-06-07,54.3028
2021-06-08,53.3462
