,CXT US Equity
,RSI_30D
2020-01-01,57.7245
2020-01-02,59.8956
2020-01-03,57.7277
2020-01-04,57.7277
2020-01-05,57.7277
2020-01-06,57.8815
2020-01-07,56.5247
2020-01-08,57.0959
2020-01-09,58.369
2020-01-10,54.9172
2020-01-11,54.9172
2020-01-12,54.9172
2020-01-13,57.7991
2020-01-14,57.2731
2020-01-15,57.0048
2020-01-16,58.2984
2020-01-17,57.4876
2020-01-18,57.4876
2020-01-19,57.4876
2020-01-20,57.4876
2020-01-21,52.751
2020-01-22,52.6023
2020-01-23,52.2975
2020-01-24,52.5582
2020-01-25,52.5582
2020-01-26,52.5582
2020-01-27,47.7923
2020-01-28,51.9938
2020-01-29,54.4055
2020-01-30,55.2746
2020-01-31,51.6949
2020-02-01,51.6949
2020-02-02,51.6949
2020-02-03,54.1367
2020-02-04,56.3797
2020-02-05,59.065
2020-02-06,58.0027
2020-02-07,55.4472
2020-02-08,55.4472
2020-02-09,55.4472
2020-02-10,56.7493
2020-02-11,56.3471
2020-02-12,56.9414
2020-02-13,55.0281
2020-02-14,53.6357
2020-02-15,53.6357
2020-02-16,53.6357
2020-02-17,53.6357
2020-02-18,52.4262
2020-02-19,49.9181
2020-02-20,50.7238
2020-02-21,48.2706
2020-02-22,48.2706
2020-02-23,48.2706
2020-02-24,41.7939
2020-02-25,36.3832
2020-02-26,33.4449
2020-02-27,29.6205
2020-02-28,27.0319
2020-02-29,27.0319
2020-03-01,27.0319
2020-03-02,34.0643
2020-03-03,31.9385
2020-03-04,34.2288
2020-03-05,30.7758
2020-03-06,29.8538
2020-03-07,29.8538
2020-03-08,29.8538
2020-03-09,25.6375
2020-03-10,30.4986
2020-03-11,28.215
2020-03-12,24.5133
2020-03-13,30.9287
2020-03-14,30.9287
2020-03-15,30.9287
2020-03-16,26.8626
2020-03-17,29.6362
2020-03-18,26.6235
2020-03-19,27.5911
2020-03-20,26.431
2020-03-21,26.431
2020-03-22,26.431
2020-03-23,25.902
2020-03-24,30.8371
2020-03-25,33.2749
2020-03-26,36.9155
2020-03-27,36.5004
2020-03-28,36.5004
2020-03-29,36.5004
2020-03-30,36.845
2020-03-31,36.6178
2020-04-01,35.366
2020-04-02,35.2643
2020-04-03,34.6513
2020-04-04,34.6513
2020-04-05,34.6513
2020-04-06,37.8744
2020-04-07,39.9695
2020-04-08,42.5662
2020-04-09,42.6816
2020-04-10,42.6816
2020-04-11,42.6816
2020-04-12,42.6816
2020-04-13,41.5783
2020-04-14,42.8308
2020-04-15,40.6436
2020-04-16,40.2952
2020-04-17,43.2489
2020-04-18,43.2489
2020-04-19,43.2489
2020-04-20,41.8765
2020-04-21,40.5201
2020-04-22,41.5421
2020-04-23,42.8402
2020-04-24,42.5358
2020-04-25,42.5358
2020-04-26,42.5358
2020-04-27,45.2327
2020-04-28,45.8263
2020-04-29,48.1432
2020-04-30,46.0432
2020-05-01,43.8144
2020-05-02,43.8144
2020-05-03,43.8144
2020-05-04,43.034
2020-05-05,43.7941
2020-05-06,42.6105
2020-05-07,44.2655
2020-05-08,46.6662
2020-05-09,46.6662
2020-05-10,46.6662
2020-05-11,44.7718
2020-05-12,42.5613
2020-05-13,41.3485
2020-05-14,42.2004
2020-05-15,42.1276
2020-05-16,42.1276
2020-05-17,42.1276
2020-05-18,46.9615
2020-05-19,45.4401
2020-05-20,46.9661
2020-05-21,46.8147
2020-05-22,46.6755
2020-05-23,46.6755
2020-05-24,46.6755
2020-05-25,46.6755
2020-05-26,50.1579
2020-05-27,53.197
2020-05-28,51.6663
2020-05-29,50.3325
2020-05-30,50.3325
2020-05-31,50.3325
2020-06-01,51.1541
2020-06-02,51.6657
2020-06-03,54.1262
2020-06-04,56.0583
2020-06-05,58.3488
2020-06-06,58.3488
2020-06-07,58.3488
2020-06-08,58.9499
2020-06-09,56.1678
2020-06-10,52.3521
2020-06-11,47.3274
2020-06-12,48.6814
2020-06-13,48.6814
2020-06-14,48.6814
2020-06-15,48.7136
2020-06-16,50.9554
2020-06-17,49.5986
2020-06-18,49.1684
2020-06-19,48.651
2020-06-20,48.651
2020-06-21,48.651
2020-06-22,49.084
2020-06-23,49.0583
2020-06-24,48.0019
2020-06-25,49.4958
2020-06-26,49.9458
2020-06-27,49.9458
2020-06-28,49.9458
2020-06-29,52.1595
2020-06-30,52.731
2020-07-01,50.293
2020-07-02,51.2082
2020-07-03,51.2082
2020-07-04,51.2082
2020-07-05,51.2082
2020-07-06,51.9043
2020-07-07,49.7219
2020-07-08,49.4081
2020-07-09,47.1418
2020-07-10,48.2434
2020-07-11,48.2434
2020-07-12,48.2434
2020-07-13,49.8792
2020-07-14,51.5311
2020-07-15,53.6797
2020-07-16,53.2519
2020-07-17,53.4391
2020-07-18,53.4391
2020-07-19,53.4391
2020-07-20,51.9744
2020-07-21,53.0989
2020-07-22,53.8187
2020-07-23,54.0651
2020-07-24,53.545
2020-07-25,53.545
2020-07-26,53.545
2020-07-27,54.401
2020-07-28,49.3979
2020-07-29,49.6261
2020-07-30,48.8983
2020-07-31,48.933
2020-08-01,48.933
2020-08-02,48.933
2020-08-03,50.0668
2020-08-04,50.0195
2020-08-05,51.5376
2020-08-06,51.4744
2020-08-07,53.2986
2020-08-08,53.2986
2020-08-09,53.2986
2020-08-10,55.7141
2020-08-11,55.8563
2020-08-12,54.9993
2020-08-13,53.6863
2020-08-14,53.5596
2020-08-15,53.5596
2020-08-16,53.5596
2020-08-17,51.981
2020-08-18,49.3989
2020-08-19,50.0671
2020-08-20,49.1276
2020-08-21,47.8148
2020-08-22,47.8148
2020-08-23,47.8148
2020-08-24,50.1797
2020-08-25,49.256
2020-08-26,49.3128
2020-08-27,49.5028
2020-08-28,50.601
2020-08-29,50.601
2020-08-30,50.601
2020-08-31,48.1838
2020-09-01,49.967
2020-09-02,51.4485
2020-09-03,48.6023
2020-09-04,48.9618
2020-09-05,48.9618
2020-09-06,48.9618
2020-09-07,48.9618
2020-09-08,46.6015
2020-09-09,47.5818
2020-09-10,44.8126
2020-09-11,45.6112
2020-09-12,45.6112
2020-09-13,45.6112
2020-09-14,46.3343
2020-09-15,44.3941
2020-09-16,43.9811
2020-09-17,46.426
2020-09-18,44.1996
2020-09-19,44.1996
2020-09-20,44.1996
2020-09-21,41.0229
2020-09-22,41.6331
2020-09-23,40.3261
2020-09-24,40.1467
2020-09-25,40.2933
2020-09-26,40.2933
2020-09-27,40.2933
2020-09-28,42.9316
2020-09-29,41.7804
2020-09-30,41.6885
2020-10-01,40.7342
2020-10-02,41.3705
2020-10-03,41.3705
2020-10-04,41.3705
2020-10-05,42.1877
2020-10-06,42.8353
2020-10-07,44.5867
2020-10-08,45.1851
2020-10-09,45.3623
2020-10-10,45.3623
2020-10-11,45.3623
2020-10-12,48.3559
2020-10-13,46.8412
2020-10-14,46.8606
2020-10-15,49.4128
2020-10-16,50.5854
2020-10-17,50.5854
2020-10-18,50.5854
2020-10-19,49.6734
2020-10-20,52.2194
2020-10-21,50.0671
2020-10-22,52.6312
2020-10-23,51.6355
2020-10-24,51.6355
2020-10-25,51.6355
2020-10-26,49.4619
2020-10-27,47.0187
2020-10-28,43.367
2020-10-29,43.9063
2020-10-30,44.4534
2020-10-31,44.4534
2020-11-01,44.4534
2020-11-02,47.8019
2020-11-03,49.363
2020-11-04,47.3328
2020-11-05,51.4318
2020-11-06,48.5563
2020-11-07,48.5563
2020-11-08,48.5563
2020-11-09,58.6039
2020-11-10,61.1766
2020-11-11,58.4759
2020-11-12,56.3837
2020-11-13,58.3973
2020-11-14,58.3973
2020-11-15,58.3973
2020-11-16,62.297
2020-11-17,61.9411
2020-11-18,61.2472
2020-11-19,61.6243
2020-11-20,62.3719
2020-11-21,62.3719
2020-11-22,62.3719
2020-11-23,64.7869
2020-11-24,67.9835
2020-11-25,67.1038
2020-11-26,67.1038
2020-11-27,66.2602
