,FE US Equity
,RSI_30D
2020-01-01,53.1429
2020-01-02,46.0798
2020-01-03,45.669
2020-01-04,45.669
2020-01-05,45.669
2020-01-06,46.3056
2020-01-07,46.1193
2020-01-08,46.8568
2020-01-09,48.6736
2020-01-10,47.1398
2020-01-11,47.1398
2020-01-12,47.1398
2020-01-13,48.0962
2020-01-14,50.0382
2020-01-15,52.8119
2020-01-16,54.8967
2020-01-17,56.5805
2020-01-18,56.5805
2020-01-19,56.5805
2020-01-20,56.5805
2020-01-21,57.9717
2020-01-22,61.1384
2020-01-23,63.3647
2020-01-24,63.9224
2020-01-25,63.9224
2020-01-26,63.9224
2020-01-27,62.2079
2020-01-28,64.2396
2020-01-29,65.4894
2020-01-30,65.5339
2020-01-31,63.9139
2020-02-01,63.9139
2020-02-02,63.9139
2020-02-03,67.0616
2020-02-04,66.9764
2020-02-05,68.7024
2020-02-06,66.3778
2020-02-07,66.2062
2020-02-08,66.2062
2020-02-09,66.2062
2020-02-10,66.7838
2020-02-11,67.5775
2020-02-12,67.0252
2020-02-13,69.1956
2020-02-14,70.2098
2020-02-15,70.2098
2020-02-16,70.2098
2020-02-17,70.2098
2020-02-18,70.3712
2020-02-19,69.2071
2020-02-20,65.8277
2020-02-21,63.8565
2020-02-22,63.8565
2020-02-23,63.8565
2020-02-24,56.3924
2020-02-25,46.0786
2020-02-26,43.3007
2020-02-27,35.5271
2020-02-28,30.8256
2020-02-29,30.8256
2020-03-01,30.8256
2020-03-02,43.5162
2020-03-03,39.7324
2020-03-04,48.3021
2020-03-05,44.8025
2020-03-06,43.2641
2020-03-07,43.2641
2020-03-08,43.2641
2020-03-09,36.2343
2020-03-10,41.8007
2020-03-11,38.6556
2020-03-12,32.2894
2020-03-13,38.4741
2020-03-14,38.4741
2020-03-15,38.4741
2020-03-16,31.0003
2020-03-17,40.9367
2020-03-18,38.0943
2020-03-19,36.9896
2020-03-20,35.4851
2020-03-21,35.4851
2020-03-22,35.4851
2020-03-23,34.5583
2020-03-24,38.0736
2020-03-25,38.1037
2020-03-26,42.664
2020-03-27,42.5924
2020-03-28,42.5924
2020-03-29,42.5924
2020-03-30,45.1658
2020-03-31,44.7051
2020-04-01,43.3862
2020-04-02,44.9685
2020-04-03,42.746
2020-04-04,42.746
2020-04-05,42.746
2020-04-06,47.2337
2020-04-07,46.2548
2020-04-08,49.6053
2020-04-09,51.3337
2020-04-10,51.3337
2020-04-11,51.3337
2020-04-12,51.3337
2020-04-13,50.3696
2020-04-14,52.1168
2020-04-15,50.3084
2020-04-16,51.3538
2020-04-17,52.8753
2020-04-18,52.8753
2020-04-19,52.8753
2020-04-20,50.7819
2020-04-21,49.2686
2020-04-22,50.4758
2020-04-23,49.0667
2020-04-24,48.2355
2020-04-25,48.2355
2020-04-26,48.2355
2020-04-27,49.7124
2020-04-28,48.6624
2020-04-29,48.3105
2020-04-30,47.0011
2020-05-01,46.4822
2020-05-02,46.4822
2020-05-03,46.4822
2020-05-04,46.9752
2020-05-05,47.6731
2020-05-06,46.0082
2020-05-07,46.3239
2020-05-08,46.9201
2020-05-09,46.9201
2020-05-10,46.9201
2020-05-11,46.6726
2020-05-12,45.5403
2020-05-13,44.7865
2020-05-14,46.3078
2020-05-15,45.3559
2020-05-16,45.3559
2020-05-17,45.3559
2020-05-18,48.3398
2020-05-19,47.2402
2020-05-20,47.1219
2020-05-21,47.3775
2020-05-22,47.7433
2020-05-23,47.7433
2020-05-24,47.7433
2020-05-25,47.7433
2020-05-26,47.8682
2020-05-27,49.0388
2020-05-28,51.3511
2020-05-29,50.5835
2020-05-30,50.5835
2020-05-31,50.5835
2020-06-01,51.4563
2020-06-02,52.0001
