,CTRA US Equity
,RSI_30D
2020-01-01,50.7603
2020-01-02,49.594
2020-01-03,49.9246
2020-01-04,49.9246
2020-01-05,49.9246
2020-01-06,50.8582
2020-01-07,51.526
2020-01-08,47.0906
2020-01-09,49.8248
2020-01-10,51.2857
2020-01-11,51.2857
2020-01-12,51.2857
2020-01-13,49.347
2020-01-14,51.3753
2020-01-15,50.269
2020-01-16,50.4638
2020-01-17,46.9165
2020-01-18,46.9165
2020-01-19,46.9165
2020-01-20,46.9165
2020-01-21,40.1851
2020-01-22,39.7733
2020-01-23,39.3072
2020-01-24,36.6835
2020-01-25,36.6835
2020-01-26,36.6835
2020-01-27,35.7627
2020-01-28,37.8887
2020-01-29,36.221
2020-01-30,36.1787
2020-01-31,35.2434
2020-02-01,35.2434
2020-02-02,35.2434
2020-02-03,35.7898
2020-02-04,37.7311
2020-02-05,41.1195
2020-02-06,40.6224
2020-02-07,39.9725
2020-02-08,39.9725
2020-02-09,39.9725
2020-02-10,40.0488
2020-02-11,40.9039
2020-02-12,42.4477
2020-02-13,43.2906
2020-02-14,41.7384
2020-02-15,41.7384
2020-02-16,41.7384
2020-02-17,41.7384
2020-02-18,45.4831
2020-02-19,47.5746
2020-02-20,46.0516
2020-02-21,43.4065
2020-02-22,43.4065
2020-02-23,43.4065
2020-02-24,44.5525
2020-02-25,42.0738
2020-02-26,42.5149
2020-02-27,36.9377
2020-02-28,39.9156
2020-02-29,39.9156
2020-03-01,39.9156
2020-03-02,43.957
2020-03-03,45.427
2020-03-04,46.337
2020-03-05,46.2306
2020-03-06,54.1259
2020-03-07,54.1259
2020-03-08,54.1259
2020-03-09,56.4958
2020-03-10,56.7182
2020-03-11,52.6527
2020-03-12,51.7589
2020-03-13,61.1171
2020-03-14,61.1171
2020-03-15,61.1171
2020-03-16,55.1339
2020-03-17,61.2938
2020-03-18,58.8051
2020-03-19,52.8255
2020-03-20,46.6798
2020-03-21,46.6798
2020-03-22,46.6798
2020-03-23,44.577
2020-03-24,51.0413
2020-03-25,51.3336
2020-03-26,52.4286
2020-03-27,50.6182
2020-03-28,50.6182
2020-03-29,50.6182
2020-03-30,53.9353
2020-03-31,53.0072
2020-04-01,51.4335
2020-04-02,51.5957
2020-04-03,53.3417
2020-04-04,53.3417
2020-04-05,53.3417
2020-04-06,55.7065
2020-04-07,55.9548
2020-04-08,57.931
2020-04-09,56.9199
2020-04-10,56.9199
2020-04-11,56.9199
2020-04-12,56.9199
2020-04-13,57.1694
2020-04-14,58.5595
2020-04-15,59.6483
2020-04-16,57.2952
2020-04-17,61.1429
2020-04-18,61.1429
2020-04-19,61.1429
2020-04-20,62.127
2020-04-21,60.777
2020-04-22,59.71
2020-04-23,57.4226
2020-04-24,58.3925
2020-04-25,58.3925
2020-04-26,58.3925
2020-04-27,59.9272
2020-04-28,58.0529
2020-04-29,58.6129
2020-04-30,60.6225
2020-05-01,55.9902
2020-05-02,55.9902
2020-05-03,55.9902
2020-05-04,56.0894
2020-05-05,56.4196
2020-05-06,53.8731
2020-05-07,54.8863
2020-05-08,56.2722
2020-05-09,56.2722
2020-05-10,56.2722
2020-05-11,52.6128
2020-05-12,51.5661
2020-05-13,51.1729
2020-05-14,50.8029
2020-05-15,49.5673
2020-05-16,49.5673
2020-05-17,49.5673
2020-05-18,50.2557
2020-05-19,49.4308
2020-05-20,51.6415
2020-05-21,50.7239
2020-05-22,51.5821
2020-05-23,51.5821
2020-05-24,51.5821
2020-05-25,51.5821
2020-05-26,53.3561
2020-05-27,55.8793
2020-05-28,52.4334
2020-05-29,53.946
2020-05-30,53.946
2020-05-31,53.946
2020-06-01,53.9119
2020-06-02,55.0295
2020-06-03,55.4414
