,BALY US Equity
,RSI_30D
2020-01-01,58.0195
2020-01-02,55.664
2020-01-03,55.1011
2020-01-04,55.1011
2020-01-05,55.1011
2020-01-06,58.2099
2020-01-07,57.502
2020-01-08,58.8207
2020-01-09,59.6079
2020-01-10,61.4038
2020-01-11,61.4038
2020-01-12,61.4038
2020-01-13,56.172
2020-01-14,55.5075
2020-01-15,56.7582
2020-01-16,57.1416
2020-01-17,55.986
2020-01-18,55.986
2020-01-19,55.986
2020-01-20,55.986
2020-01-21,54.9013
2020-01-22,56.2427
2020-01-23,57.5
2020-01-24,57.8509
2020-01-25,57.8509
2020-01-26,57.8509
2020-01-27,58.1064
2020-01-28,60.0602
2020-01-29,60.4516
2020-01-30,62.2228
2020-01-31,58.834
2020-02-01,58.834
2020-02-02,58.834
2020-02-03,55.503
2020-02-04,54.4614
2020-02-05,56.7693
2020-02-06,57.228
2020-02-07,56.4026
2020-02-08,56.4026
2020-02-09,56.4026
2020-02-10,57.6147
2020-02-11,68.8949
2020-02-12,69.8397
2020-02-13,68.0891
2020-02-14,68.4826
2020-02-15,68.4826
2020-02-16,68.4826
2020-02-17,68.4826
2020-02-18,68.2816
2020-02-19,68.3457
2020-02-20,67.5691
2020-02-21,66.7135
2020-02-22,66.7135
2020-02-23,66.7135
2020-02-24,64.7351
2020-02-25,56.2327
2020-02-26,52.8993
2020-02-27,50.2512
2020-02-28,47.3952
2020-02-29,47.3952
2020-03-01,47.3952
2020-03-02,46.921
2020-03-03,46.7889
2020-03-04,43.7726
2020-03-05,36.3651
2020-03-06,35.7566
2020-03-07,35.7566
2020-03-08,35.7566
2020-03-09,31.4068
2020-03-10,31.7646
2020-03-11,28.3159
2020-03-12,23.3935
2020-03-13,23.4865
2020-03-14,23.4865
2020-03-15,23.4865
2020-03-16,18.6978
2020-03-17,17.4949
2020-03-18,14.9066
2020-03-19,18.5012
2020-03-20,17.7117
2020-03-21,17.7117
2020-03-22,17.7117
2020-03-23,18.1721
2020-03-24,27.7564
2020-03-25,33.861
2020-03-26,37.1294
2020-03-27,35.477
2020-03-28,35.477
2020-03-29,35.477
2020-03-30,34.8252
2020-03-31,35.705
2020-04-01,33.2182
2020-04-02,32.7174
2020-04-03,32.1788
2020-04-04,32.1788
2020-04-05,32.1788
2020-04-06,36.5268
2020-04-07,36.7165
2020-04-08,40.2275
2020-04-09,41.0511
2020-04-10,41.0511
2020-04-11,41.0511
2020-04-12,41.0511
2020-04-13,39.8089
2020-04-14,40.7252
2020-04-15,38.8734
2020-04-16,38.2342
2020-04-17,38.1286
2020-04-18,38.1286
2020-04-19,38.1286
2020-04-20,37.3812
2020-04-21,37.5621
2020-04-22,37.4502
2020-04-23,38.0232
2020-04-24,43.5049
2020-04-25,43.5049
2020-04-26,43.5049
2020-04-27,44.404
2020-04-28,46.3338
2020-04-29,48.7081
2020-04-30,48.254
2020-05-01,46.6191
2020-05-02,46.6191
2020-05-03,46.6191
2020-05-04,46.5376
2020-05-05,46.7064
2020-05-06,46.296
2020-05-07,47.6972
2020-05-08,49.8021
2020-05-09,49.8021
2020-05-10,49.8021
2020-05-11,50.3016
2020-05-12,49.2633
2020-05-13,46.8885
2020-05-14,47.3263
2020-05-15,48.0302
2020-05-16,48.0302
2020-05-17,48.0302
2020-05-18,51.851
2020-05-19,53.1834
2020-05-20,55.3223
2020-05-21,55.8387
2020-05-22,56.5104
2020-05-23,56.5104
2020-05-24,56.5104
2020-05-25,56.5104
2020-05-26,58.4707
2020-05-27,60.4724
2020-05-28,59.3876
2020-05-29,59.8707
2020-05-30,59.8707
2020-05-31,59.8707
2020-06-01,61.603
2020-06-02,62.0269
2020-06-03,63.5048
2020-06-04,63.3413
2020-06-05,65.4396
2020-06-06,65.4396
2020-06-07,65.4396
2020-06-08,66.9994
2020-06-09,64.4531
2020-06-10,63.8338
2020-06-11,57.4072
2020-06-12,58.6547
2020-06-13,58.6547
2020-06-14,58.6547
2020-06-15,59.1341
2020-06-16,60.7049
2020-06-17,61.6765
2020-06-18,60.4339
2020-06-19,59.4368
2020-06-20,59.4368
2020-06-21,59.4368
2020-06-22,59.8315
2020-06-23,60.7872
2020-06-24,54.3335
2020-06-25,54.2262
2020-06-26,52.5356
2020-06-27,52.5356
