,PRA US Equity
,RSI_30D
2020-01-01,34.9801
2020-01-02,36.5554
2020-01-03,40.0133
2020-01-04,40.0133
2020-01-05,40.0133
2020-01-06,39.481
2020-01-07,37.7794
2020-01-08,35.7013
2020-01-09,37.0727
2020-01-10,35.3813
2020-01-11,35.3813
2020-01-12,35.3813
2020-01-13,36.0009
2020-01-14,36.4735
2020-01-15,40.6307
2020-01-16,42.8805
2020-01-17,45.5487
2020-01-18,45.5487
2020-01-19,45.5487
2020-01-20,45.5487
2020-01-21,44.3695
2020-01-22,48.9669
2020-01-23,33.0207
2020-01-24,30.5579
2020-01-25,30.5579
2020-01-26,30.5579
2020-01-27,28.7814
2020-01-28,27.5393
2020-01-29,25.7927
2020-01-30,27.2611
2020-01-31,27.2611
2020-02-01,27.2611
2020-02-02,27.2611
2020-02-03,31.0173
2020-02-04,33.4372
2020-02-05,37.8125
2020-02-06,37.5705
2020-02-07,37.3233
2020-02-08,37.3233
2020-02-09,37.3233
2020-02-10,38.9392
2020-02-11,41.3094
2020-02-12,40.5415
2020-02-13,41.6634
2020-02-14,41.086
2020-02-15,41.086
2020-02-16,41.086
2020-02-17,41.086
2020-02-18,40.096
2020-02-19,40.1922
2020-02-20,39.2152
2020-02-21,40.4139
2020-02-22,40.4139
2020-02-23,40.4139
2020-02-24,37.4236
2020-02-25,35.1887
2020-02-26,34.4787
2020-02-27,31.7512
2020-02-28,26.6547
2020-02-29,26.6547
2020-03-01,26.6547
2020-03-02,31.3511
2020-03-03,28.8467
2020-03-04,30.5472
2020-03-05,27.4736
2020-03-06,27.3009
2020-03-07,27.3009
2020-03-08,27.3009
2020-03-09,22.9464
2020-03-10,25.4005
2020-03-11,23.7043
2020-03-12,22.4968
2020-03-13,28.0767
2020-03-14,28.0767
2020-03-15,28.0767
2020-03-16,26.1762
2020-03-17,37.2349
2020-03-18,37.3593
2020-03-19,41.8445
2020-03-20,40.5349
2020-03-21,40.5349
2020-03-22,40.5349
2020-03-23,39.7041
2020-03-24,42.0681
2020-03-25,41.1198
2020-03-26,41.3822
2020-03-27,38.5236
2020-03-28,38.5236
2020-03-29,38.5236
2020-03-30,42.6454
2020-03-31,42.579
2020-04-01,38.4755
2020-04-02,38.6371
2020-04-03,37.0274
2020-04-04,37.0274
2020-04-05,37.0274
2020-04-06,40.3772
2020-04-07,40.362
2020-04-08,39.0088
2020-04-09,42.2708
2020-04-10,42.2708
2020-04-11,42.2708
2020-04-12,42.2708
2020-04-13,38.8604
2020-04-14,38.0594
2020-04-15,36.5413
2020-04-16,38.3206
2020-04-17,41.662
2020-04-18,41.662
2020-04-19,41.662
2020-04-20,40.6685
2020-04-21,40.5508
2020-04-22,40.3846
2020-04-23,39.7864
2020-04-24,39.05
2020-04-25,39.05
2020-04-26,39.05
2020-04-27,41.5674
2020-04-28,42.4104
2020-04-29,45.1537
2020-04-30,43.0821
2020-05-01,41.0378
2020-05-02,41.0378
2020-05-03,41.0378
2020-05-04,41.6691
2020-05-05,40.7188
2020-05-06,40.141
2020-05-07,42.2146
2020-05-08,35.8246
2020-05-09,35.8246
2020-05-10,35.8246
2020-05-11,36.3931
2020-05-12,35.0443
2020-05-13,33.1099
2020-05-14,32.5866
2020-05-15,33.1694
2020-05-16,33.1694
2020-05-17,33.1694
2020-05-18,35.104
2020-05-19,33.8863
2020-05-20,36.3374
2020-05-21,36.2834
2020-05-22,36.1167
2020-05-23,36.1167
2020-05-24,36.1167
2020-05-25,36.1167
2020-05-26,36.9162
2020-05-27,38.5327
2020-05-28,37.5376
2020-05-29,36.6784
2020-05-30,36.6784
2020-05-31,36.6784
2020-06-01,36.4362
2020-06-02,38.5354
2020-06-03,41.2212
2020-06-04,39.679
2020-06-05,43.3715
2020-06-06,43.3715
2020-06-07,43.3715
2020-06-08,45.0551
2020-06-09,43.6587
2020-06-10,42.5532
2020-06-11,39.9926
2020-06-12,40.7116
2020-06-13,40.7116
2020-06-14,40.7116
2020-06-15,40.4941
2020-06-16,41.5379
2020-06-17,40.5224
2020-06-18,41.3157
2020-06-19,40.6464
2020-06-20,40.6464
2020-06-21,40.6464
2020-06-22,39.7638
2020-06-23,41.1662
2020-06-24,40.0171
2020-06-25,41.8585
2020-06-26,40.699
2020-06-27,40.699
2020-06-28,40.699
2020-06-29,43.1556
2020-06-30,43.7582
2020-07-01,42.1699
2020-07-02,43.0096
2020-07-03,43.0096
2020-07-04,43.0096
2020-07-05,43.0096
2020-07-06,43.2297
2020-07-07,42.0129
2020-07-08,42.4463
2020-07-09,44.6707
2020-07-10,44.784
2020-07-11,44.784
2020-07-12,44.784
2020-07-13,46.2073
2020-07-14,47.3583
2020-07-15,48.9834
2020-07-16,48.6673
2020-07-17,48.0789
2020-07-18,48.0789
2020-07-19,48.0789
2020-07-20,46.5184
2020-07-21,49.1516
2020-07-22,48.0227
2020-07-23,48.6903
2020-07-24,47.9698
2020-07-25,47.9698
2020-07-26,47.9698
2020-07-27,46.893
2020-07-28,46.1782
2020-07-29,46.9504
2020-07-30,45.817
2020-07-31,45.8846
2020-08-01,45.8846
2020-08-02,45.8846
2020-08-03,45.0705
2020-08-04,43.7792
2020-08-05,46.9253
2020-08-06,47.8973
2020-08-07,50.4848
2020-08-08,50.4848
2020-08-09,50.4848
2020-08-10,51.298
2020-08-11,49.3627
2020-08-12,47.6877
2020-08-13,46.9551
2020-08-14,48.0221
2020-08-15,48.0221
2020-08-16,48.0221
2020-08-17,47.1673
2020-08-18,47.103
2020-08-19,46.9048
2020-08-20,46.769
2020-08-21,46.456
2020-08-22,46.456
2020-08-23,46.456
2020-08-24,49.2289
2020-08-25,49.1918
2020-08-26,47.0276
2020-08-27,48.5747
2020-08-28,49.6283
2020-08-29,49.6283
2020-08-30,49.6283
2020-08-31,49.1652
2020-09-01,48.425
2020-09-02,48.6355
2020-09-03,47.6694
2020-09-04,48.6369
2020-09-05,48.6369
2020-09-06,48.6369
2020-09-07,48.6369
2020-09-08,45.5482
2020-09-09,44.2077
2020-09-10,43.4003
2020-09-11,45.686
2020-09-12,45.686
2020-09-13,45.686
2020-09-14,47.0846
2020-09-15,44.8494
2020-09-16,45.4498
2020-09-17,46.4245
2020-09-18,48.1586
2020-09-19,48.1586
2020-09-20,48.1586
2020-09-21,47.4067
2020-09-22,47.2794
2020-09-23,46.3748
2020-09-24,47.561
2020-09-25,49.7644
2020-09-26,49.7644
2020-09-27,49.7644
2020-09-28,52.0739
2020-09-29,51.4976
2020-09-30,52.7596
2020-10-01,52.9405
2020-10-02,53.4021
2020-10-03,53.4021
2020-10-04,53.4021
2020-10-05,50.5308
2020-10-06,49.3065
2020-10-07,50.546
2020-10-08,52.6997
2020-10-09,54.9115
2020-10-10,54.9115
2020-10-11,54.9115
2020-10-12,57.3534
2020-10-13,51.9808
2020-10-14,49.049
2020-10-15,49.7596
2020-10-16,49.3591
2020-10-17,49.3591
2020-10-18,49.3591
2020-10-19,48.9065
2020-10-20,49.5761
2020-10-21,50.9071
2020-10-22,51.7078
2020-10-23,52.4627
2020-10-24,52.4627
2020-10-25,52.4627
2020-10-26,49.3692
2020-10-27,48.1841
2020-10-28,49.2922
2020-10-29,52.493
2020-10-30,50.9054
2020-10-31,50.9054
2020-11-01,50.9054
2020-11-02,51.8008
2020-11-03,53.8625
2020-11-04,49.4387
2020-11-05,50.2287
2020-11-06,43.2044
2020-11-07,43.2044
2020-11-08,43.2044
2020-11-09,50.5651
2020-11-10,50.8646
2020-11-11,50.5085
2020-11-12,49.7086
2020-11-13,52.0646
2020-11-14,52.0646
2020-11-15,52.0646
2020-11-16,54.7336
2020-11-17,54.8049
2020-11-18,54.6713
2020-11-19,53.0214
2020-11-20,51.3323
2020-11-21,51.3323
2020-11-22,51.3323
2020-11-23,52.6915
2020-11-24,57.2012
2020-11-25,57.6058
2020-11-26,57.6058
2020-11-27,53.6288
2020-11-28,53.6288
2020-11-29,53.6288
2020-11-30,51.1787
2020-12-01,51.8502
2020-12-02,51.484
2020-12-03,51.4005
2020-12-04,53.3187
2020-12-05,53.3187
2020-12-06,53.3187
2020-12-07,51.6405
2020-12-08,53.429
2020-12-09,56.4024
2020-12-10,58.6663
2020-12-11,58.3437
2020-12-12,58.3437
2020-12-13,58.3437
2020-12-14,58.9114
2020-12-15,59.6804
2020-12-16,59.2316
2020-12-17,59.442
2020-12-18,60.9026
2020-12-19,60.9026
2020-12-20,60.9026
2020-12-21,58.161
2020-12-22,54.0307
2020-12-23,55.4234
2020-12-24,58.1195
2020-12-25,58.1195
2020-12-26,58.1195
2020-12-27,58.1195
2020-12-28,57.9288
2020-12-29,54.8555
2020-12-30,55.2278
2020-12-31,54.9932
2021-01-01,54.9932
2021-01-02,54.9932
2021-01-03,54.9932
2021-01-04,56.4105
2021-01-05,56.1141
2021-01-06,61.7311
2021-01-07,61.5801
2021-01-08,61.3731
2021-01-09,61.3731
2021-01-10,61.3731
2021-01-11,59.3101
2021-01-12,61.3911
2021-01-13,60.5132
2021-01-14,61.1221
2021-01-15,62.0307
2021-01-16,62.0307
2021-01-17,62.0307
2021-01-18,62.0307
2021-01-19,65.1223
2021-01-20,64.0327
2021-01-21,56.2018
2021-01-22,56.5093
2021-01-23,56.5093
2021-01-24,56.5093
2021-01-25,56.9265
2021-01-26,54.1075
2021-01-27,52.2795
2021-01-28,52.1946
2021-01-29,51.6312
2021-01-30,51.6312
2021-01-31,51.6312
2021-02-01,53.5849
2021-02-02,53.4482
2021-02-03,52.3879
2021-02-04,56.6782
2021-02-05,57.3938
2021-02-06,57.3938
2021-02-07,57.3938
2021-02-08,59.5043
2021-02-09,62.7868
2021-02-10,63.8267
2021-02-11,64.8979
