,RDN US Equity
,RSI_30D
2020-01-01,54.8765
2020-01-02,52.6416
2020-01-03,51.2671
2020-01-04,51.2671
2020-01-05,51.2671
2020-01-06,49.9188
2020-01-07,48.4135
2020-01-08,48.3193
2020-01-09,52.0813
2020-01-10,49.683
2020-01-11,49.683
2020-01-12,49.683
2020-01-13,49.4944
2020-01-14,49.4944
2020-01-15,50.1026
2020-01-16,54.0167
2020-01-17,54.1981
2020-01-18,54.1981
2020-01-19,54.1981
2020-01-20,54.1981
2020-01-21,52.4854
2020-01-22,53.8067
2020-01-23,55.3658
2020-01-24,52.1524
2020-01-25,52.1524
2020-01-26,52.1524
2020-01-27,51.029
2020-01-28,50.823
2020-01-29,49.1806
2020-01-30,51.6073
2020-01-31,47.5912
2020-02-01,47.5912
2020-02-02,47.5912
2020-02-03,51.9327
2020-02-04,53.6593
2020-02-05,56.7903
2020-02-06,50.7022
2020-02-07,48.3036
2020-02-08,48.3036
2020-02-09,48.3036
2020-02-10,49.0516
2020-02-11,50.0486
2020-02-12,47.3339
2020-02-13,46.9465
2020-02-14,45.1132
2020-02-15,45.1132
2020-02-16,45.1132
2020-02-17,45.1132
2020-02-18,45.8425
2020-02-19,40.8582
2020-02-20,45.5188
2020-02-21,44.1454
2020-02-22,44.1454
2020-02-23,44.1454
2020-02-24,42.1558
2020-02-25,38.4016
2020-02-26,36.4391
2020-02-27,33.2053
2020-02-28,31.3548
2020-02-29,31.3548
2020-03-01,31.3548
2020-03-02,42.3579
2020-03-03,44.0394
2020-03-04,46.3192
2020-03-05,44.0708
2020-03-06,42.4044
2020-03-07,42.4044
2020-03-08,42.4044
2020-03-09,35.2433
2020-03-10,34.3762
2020-03-11,29.822
2020-03-12,27.6469
2020-03-13,30.6837
2020-03-14,30.6837
2020-03-15,30.6837
2020-03-16,25.0451
2020-03-17,29.0436
2020-03-18,23.1979
2020-03-19,39.0123
2020-03-20,34.0222
2020-03-21,34.0222
2020-03-22,34.0222
2020-03-23,29.7682
2020-03-24,32.1679
2020-03-25,36.0084
2020-03-26,41.5337
2020-03-27,39.9987
2020-03-28,39.9987
2020-03-29,39.9987
2020-03-30,39.0991
2020-03-31,37.7182
2020-04-01,35.8108
2020-04-02,36.0253
2020-04-03,33.9256
2020-04-04,33.9256
2020-04-05,33.9256
2020-04-06,37.184
2020-04-07,41.0872
2020-04-08,42.0373
2020-04-09,44.4016
2020-04-10,44.4016
2020-04-11,44.4016
2020-04-12,44.4016
2020-04-13,42.8843
2020-04-14,42.8149
2020-04-15,41.9439
2020-04-16,41.2163
2020-04-17,42.7763
2020-04-18,42.7763
2020-04-19,42.7763
2020-04-20,41.7321
2020-04-21,40.7881
2020-04-22,41.5548
2020-04-23,42.5123
2020-04-24,43.0785
2020-04-25,43.0785
2020-04-26,43.0785
2020-04-27,44.3593
2020-04-28,45.9875
2020-04-29,48.3999
2020-04-30,46.7703
2020-05-01,45.0315
2020-05-02,45.0315
2020-05-03,45.0315
2020-05-04,44.8286
2020-05-05,45.2116
2020-05-06,45.4293
2020-05-07,47.8719
2020-05-08,46.919
2020-05-09,46.919
2020-05-10,46.919
2020-05-11,47.1367
2020-05-12,45.0715
2020-05-13,43.7317
2020-05-14,46.2018
2020-05-15,45.7822
2020-05-16,45.7822
2020-05-17,45.7822
2020-05-18,47.6383
2020-05-19,47.7498
2020-05-20,50.559
2020-05-21,49.4712
2020-05-22,48.8374
2020-05-23,48.8374
2020-05-24,48.8374
2020-05-25,48.8374
2020-05-26,50.6767
2020-05-27,53.431
2020-05-28,50.4295
2020-05-29,50.2791
2020-05-30,50.2791
2020-05-31,50.2791
2020-06-01,51.9724
2020-06-02,52.4955
2020-06-03,52.6235
2020-06-04,52.9516
2020-06-05,55.6621
2020-06-06,55.6621
2020-06-07,55.6621
2020-06-08,57.2543
2020-06-09,54.137
2020-06-10,51.5832
2020-06-11,47.8353
2020-06-12,49.5891
2020-06-13,49.5891
2020-06-14,49.5891
2020-06-15,49.6107
2020-06-16,50.5977
2020-06-17,49.7465
2020-06-18,49.9071
2020-06-19,48.9591
2020-06-20,48.9591
2020-06-21,48.9591
2020-06-22,48.9357
2020-06-23,49.6591
2020-06-24,46.842
2020-06-25,47.6678
2020-06-26,46.4546
2020-06-27,46.4546
2020-06-28,46.4546
2020-06-29,48.3127
2020-06-30,48.8814
2020-07-01,47.4337
2020-07-02,47.7322
2020-07-03,47.7322
2020-07-04,47.7322
2020-07-05,47.7322
2020-07-06,47.5291
2020-07-07,44.7935
2020-07-08,45.4374
2020-07-09,43.4819
2020-07-10,45.1496
2020-07-11,45.1496
2020-07-12,45.1496
2020-07-13,44.8562
2020-07-14,45.2549
2020-07-15,48.2895
2020-07-16,46.8923
2020-07-17,45.7553
2020-07-18,45.7553
2020-07-19,45.7553
2020-07-20,45.1886
2020-07-21,46.2836
2020-07-22,46.6302
2020-07-23,46.2096
2020-07-24,47.1306
2020-07-25,47.1306
2020-07-26,47.1306
2020-07-27,46.0242
2020-07-28,47.435
2020-07-29,49.1694
2020-07-30,49.4623
2020-07-31,49.5626
2020-08-01,49.5626
2020-08-02,49.5626
2020-08-03,49.7344
2020-08-04,49.4902
2020-08-05,50.5665
2020-08-06,50.5665
2020-08-07,52.1663
2020-08-08,52.1663
2020-08-09,52.1663
2020-08-10,52.6705
2020-08-11,54.0657
2020-08-12,53.0291
2020-08-13,50.6194
2020-08-14,50.3826
2020-08-15,50.3826
2020-08-16,50.3826
2020-08-17,50.7007
2020-08-18,49.9144
2020-08-19,49.4137
2020-08-20,48.6978
2020-08-21,48.7661
2020-08-22,48.7661
2020-08-23,48.7661
2020-08-24,51.7364
2020-08-25,51.0961
2020-08-26,49.2928
2020-08-27,50.9925
2020-08-28,52.171
2020-08-29,52.171
2020-08-30,52.171
2020-08-31,51.7419
2020-09-01,52.1938
2020-09-02,54.4443
2020-09-03,54.0828
2020-09-04,54.0298
2020-09-05,54.0298
2020-09-06,54.0298
2020-09-07,54.0298
2020-09-08,50.6886
2020-09-09,51.1692
2020-09-10,50.5575
2020-09-11,51.4088
2020-09-12,51.4088
2020-09-13,51.4088
2020-09-14,53.1275
2020-09-15,52.7964
2020-09-16,52.1241
2020-09-17,52.1766
2020-09-18,49.5357
2020-09-19,49.5357
2020-09-20,49.5357
2020-09-21,45.159
2020-09-22,46.7804
2020-09-23,44.3482
2020-09-24,44.1655
2020-09-25,45.6707
2020-09-26,45.6707
2020-09-27,45.6707
2020-09-28,49.5154
2020-09-29,47.4601
2020-09-30,47.5673
2020-10-01,49.3321
2020-10-02,53.0935
2020-10-03,53.0935
2020-10-04,53.0935
2020-10-05,55.4351
2020-10-06,57.8227
2020-10-07,60.796
2020-10-08,61.0509
2020-10-09,59.8997
2020-10-10,59.8997
