,CHRW US Equity
,RSI_30D
2020-01-01,43.9812
2020-01-02,43.3727
2020-01-03,43.2222
2020-01-04,43.2222
2020-01-05,43.2222
2020-01-06,41.2013
2020-01-07,45.1083
2020-01-08,46.091
2020-01-09,47.3703
2020-01-10,48.7483
2020-01-11,48.7483
2020-01-12,48.7483
2020-01-13,49.4233
2020-01-14,51.9093
2020-01-15,55.0126
2020-01-16,56.0192
2020-01-17,49.5911
2020-01-18,49.5911
2020-01-19,49.5911
2020-01-20,49.5911
2020-01-21,48.6627
2020-01-22,48.8645
2020-01-23,47.9606
2020-01-24,47.6388
2020-01-25,47.6388
2020-01-26,47.6388
2020-01-27,45.6163
2020-01-28,44.6111
2020-01-29,38.0412
2020-01-30,37.0684
2020-01-31,36.5411
2020-02-01,36.5411
2020-02-02,36.5411
2020-02-03,36.2742
2020-02-04,36.7746
2020-02-05,37.9434
2020-02-06,39.8382
2020-02-07,41.5951
2020-02-08,41.5951
2020-02-09,41.5951
2020-02-10,39.4216
2020-02-11,39.1319
2020-02-12,40.4894
2020-02-13,38.7177
2020-02-14,38.5418
2020-02-15,38.5418
2020-02-16,38.5418
2020-02-17,38.5418
2020-02-18,39.5831
2020-02-19,41.9643
2020-02-20,44.8878
2020-02-21,44.4213
2020-02-22,44.4213
2020-02-23,44.4213
2020-02-24,40.5325
2020-02-25,40.0956
2020-02-26,39.8047
2020-02-27,37.1767
2020-02-28,35.8498
2020-02-29,35.8498
2020-03-01,35.8498
2020-03-02,38.6296
2020-03-03,36.1511
2020-03-04,41.525
2020-03-05,36.5625
2020-03-06,36.2181
2020-03-07,36.2181
2020-03-08,36.2181
2020-03-09,32.6063
2020-03-10,36.6501
2020-03-11,35.9417
2020-03-12,32.1087
2020-03-13,36.0922
2020-03-14,36.0922
2020-03-15,36.0922
2020-03-16,34.8655
2020-03-17,40.5171
2020-03-18,40.8918
2020-03-19,40.0668
2020-03-20,39.9086
2020-03-21,39.9086
2020-03-22,39.9086
2020-03-23,39.1937
2020-03-24,39.7106
2020-03-25,38.3402
2020-03-26,44.0474
2020-03-27,40.4142
2020-03-28,40.4142
2020-03-29,40.4142
2020-03-30,44.1901
2020-03-31,45.5356
2020-04-01,46.0287
2020-04-02,49.0591
2020-04-03,48.1429
2020-04-04,48.1429
2020-04-05,48.1429
2020-04-06,53.1293
2020-04-07,52.4525
2020-04-08,53.5434
2020-04-09,53.9891
2020-04-10,53.9891
2020-04-11,53.9891
2020-04-12,53.9891
2020-04-13,51.4974
2020-04-14,51.1468
2020-04-15,51.0569
2020-04-16,54.9212
2020-04-17,54.9324
2020-04-18,54.9324
2020-04-19,54.9324
2020-04-20,52.3718
2020-04-21,50.6333
2020-04-22,51.3942
2020-04-23,49.9802
2020-04-24,52.2061
2020-04-25,52.2061
2020-04-26,52.2061
2020-04-27,54.2647
2020-04-28,54.2235
2020-04-29,50.5832
2020-04-30,50.1274
2020-05-01,50.0367
2020-05-02,50.0367
2020-05-03,50.0367
2020-05-04,48.8739
2020-05-05,50.4662
2020-05-06,49.5275
2020-05-07,51.5517
2020-05-08,53.8806
2020-05-09,53.8806
2020-05-10,53.8806
2020-05-11,54.6125
2020-05-12,52.2122
2020-05-13,50.9303
2020-05-14,51.4475
2020-05-15,51.8779
2020-05-16,51.8779
2020-05-17,51.8779
2020-05-18,58.2654
2020-05-19,55.5786
2020-05-20,57.3741
2020-05-21,57.6726
2020-05-22,57.6055
2020-05-23,57.6055
2020-05-24,57.6055
2020-05-25,57.6055
2020-05-26,58.0486
2020-05-27,60.1325
2020-05-28,60.8695
2020-05-29,61.156
2020-05-30,61.156
2020-05-31,61.156
2020-06-01,60.3602
2020-06-02,62.014
2020-06-03,63.6944
2020-06-04,61.9446
2020-06-05,62.7491
2020-06-06,62.7491
2020-06-07,62.7491
2020-06-08,64.8147
2020-06-09,61.3475
2020-06-10,59.8802
2020-06-11,54.6675
2020-06-12,53.2145
2020-06-13,53.2145
2020-06-14,53.2145
2020-06-15,53.7041
2020-06-16,53.646
2020-06-17,54.3482
2020-06-18,53.1666
2020-06-19,52.9985
2020-06-20,52.9985
2020-06-21,52.9985
2020-06-22,51.9028
2020-06-23,52.2908
2020-06-24,54.0383
2020-06-25,52.081
2020-06-26,51.0462
2020-06-27,51.0462
2020-06-28,51.0462
2020-06-29,52.6676
2020-06-30,54.5096
2020-07-01,54.5519
2020-07-02,54.6824
2020-07-03,54.6824
2020-07-04,54.6824
2020-07-05,54.6824
2020-07-06,56.1728
2020-07-07,56.1542
2020-07-08,56.599
2020-07-09,57.1535
2020-07-10,59.1107
2020-07-11,59.1107
2020-07-12,59.1107
2020-07-13,58.7997
2020-07-14,61.2335
2020-07-15,62.7088
2020-07-16,63.9751
2020-07-17,64.4373
2020-07-18,64.4373
2020-07-19,64.4373
2020-07-20,62.2489
2020-07-21,62.6241
2020-07-22,61.7623
2020-07-23,61.8053
2020-07-24,63.0081
2020-07-25,63.0081
2020-07-26,63.0081
2020-07-27,65.2075
2020-07-28,63.8817
2020-07-29,72.4479
2020-07-30,68.8729
2020-07-31,69.02
2020-08-01,69.02
2020-08-02,69.02
2020-08-03,68.6425
2020-08-04,70.4275
2020-08-05,70.4727
2020-08-06,69.6999
2020-08-07,70.3063
2020-08-08,70.3063
2020-08-09,70.3063
2020-08-10,71.1131
2020-08-11,68.0957
2020-08-12,68.4879
2020-08-13,67.2278
2020-08-14,67.1366
2020-08-15,67.1366
2020-08-16,67.1366
2020-08-17,67.3657
2020-08-18,66.5971
2020-08-19,67.1663
2020-08-20,68.4673
