,ECVT US Equity
,RSI_30D
2020-01-01,64.321
2020-01-02,58.6183
2020-01-03,56.0481
2020-01-04,56.0481
2020-01-05,56.0481
2020-01-06,55.8989
2020-01-07,53.8245
2020-01-08,51.6981
2020-01-09,50.0613
2020-01-10,48.8611
2020-01-11,48.8611
2020-01-12,48.8611
2020-01-13,53.8238
2020-01-14,54.4106
2020-01-15,53.8444
2020-01-16,54.9359
2020-01-17,55.4207
2020-01-18,55.4207
2020-01-19,55.4207
2020-01-20,55.4207
2020-01-21,49.9965
2020-01-22,47.5287
2020-01-23,48.19
2020-01-24,46.6099
2020-01-25,46.6099
2020-01-26,46.6099
2020-01-27,44.742
2020-01-28,43.6119
2020-01-29,41.1397
2020-01-30,41.2894
2020-01-31,38.9336
2020-02-01,38.9336
2020-02-02,38.9336
2020-02-03,46.7263
2020-02-04,50.4021
2020-02-05,53.0217
2020-02-06,52.791
2020-02-07,50.408
2020-02-08,50.408
2020-02-09,50.408
2020-02-10,47.5531
2020-02-11,43.152
2020-02-12,41.3818
2020-02-13,39.9293
2020-02-14,41.2333
2020-02-15,41.2333
2020-02-16,41.2333
2020-02-17,41.2333
2020-02-18,41.2333
2020-02-19,40.9737
2020-02-20,40.9737
2020-02-21,41.8872
2020-02-22,41.8872
2020-02-23,41.8872
2020-02-24,36.1064
2020-02-25,31.2608
2020-02-26,33.449
2020-02-27,28.63
2020-02-28,31.1937
2020-02-29,31.1937
2020-03-01,31.1937
2020-03-02,29.6148
2020-03-03,26.7689
2020-03-04,27.0934
2020-03-05,24.6455
2020-03-06,24.3652
2020-03-07,24.3652
2020-03-08,24.3652
2020-03-09,19.5611
2020-03-10,19.5611
2020-03-11,19.4627
2020-03-12,17.0076
2020-03-13,24.7886
2020-03-14,24.7886
2020-03-15,24.7886
2020-03-16,24.2802
2020-03-17,28.3604
2020-03-18,25.9755
2020-03-19,34.6994
2020-03-20,31.758
2020-03-21,31.758
2020-03-22,31.758
2020-03-23,32.5427
2020-03-24,39.8122
2020-03-25,40.4658
2020-03-26,44.2705
2020-03-27,40.7574
2020-03-28,40.7574
2020-03-29,40.7574
2020-03-30,40.4032
2020-03-31,41.5966
2020-04-01,40.8519
2020-04-02,41.783
2020-04-03,39.3861
2020-04-04,39.3861
2020-04-05,39.3861
2020-04-06,43.5829
2020-04-07,42.5555
2020-04-08,43.6996
2020-04-09,45.9279
2020-04-10,45.9279
2020-04-11,45.9279
2020-04-12,45.9279
2020-04-13,44.8984
2020-04-14,45.2611
2020-04-15,40.8778
2020-04-16,38.3757
2020-04-17,42.6699
2020-04-18,42.6699
2020-04-19,42.6699
2020-04-20,42.0142
2020-04-21,41.1727
2020-04-22,41.2628
2020-04-23,43.1552
2020-04-24,45.5738
2020-04-25,45.5738
2020-04-26,45.5738
2020-04-27,47.0714
2020-04-28,47.3213
2020-04-29,51.029
2020-04-30,49.7059
2020-05-01,47.3525
2020-05-02,47.3525
2020-05-03,47.3525
2020-05-04,47.3157
2020-05-05,47.358
2020-05-06,46.852
2020-05-07,46.9872
2020-05-08,49.596
2020-05-09,49.596
2020-05-10,49.596
2020-05-11,47.8217
2020-05-12,45.5854
2020-05-13,44.7127
2020-05-14,45.5566
2020-05-15,46.9979
2020-05-16,46.9979
2020-05-17,46.9979
2020-05-18,49.0245
2020-05-19,47.9704
2020-05-20,50.9387
2020-05-21,50.7625
2020-05-22,50.6718
2020-05-23,50.6718
2020-05-24,50.6718
2020-05-25,50.6718
2020-05-26,52.7666
2020-05-27,54.9517
2020-05-28,53.4085
2020-05-29,54.2393
2020-05-30,54.2393
2020-05-31,54.2393
2020-06-01,54.4076
2020-06-02,56.2781
2020-06-03,57.5979
2020-06-04,57.0045
2020-06-05,61.1451
2020-06-06,61.1451
2020-06-07,61.1451
2020-06-08,62.4378
2020-06-09,59.2705
2020-06-10,55.9841
2020-06-11,50.7369
2020-06-12,52.9964
2020-06-13,52.9964
2020-06-14,52.9964
2020-06-15,53.3714
2020-06-16,53.4866
2020-06-17,51.6395
2020-06-18,51.885
2020-06-19,53.2758
2020-06-20,53.2758
2020-06-21,53.2758
2020-06-22,52.491
2020-06-23,52.9549
2020-06-24,50.8087
2020-06-25,52.6223
2020-06-26,51.4086
2020-06-27,51.4086
2020-06-28,51.4086
2020-06-29,53.7434
2020-06-30,53.9515
2020-07-01,53.014
2020-07-02,54.0572
2020-07-03,54.0572
2020-07-04,54.0572
2020-07-05,54.0572
2020-07-06,54.6646
2020-07-07,52.8573
2020-07-08,51.8938
2020-07-09,50.4908
2020-07-10,51.791
2020-07-11,51.791
2020-07-12,51.791
2020-07-13,51.791
2020-07-14,52.3857
2020-07-15,53.4259
2020-07-16,55.348
2020-07-17,55.6792
2020-07-18,55.6792
2020-07-19,55.6792
2020-07-20,53.679
2020-07-21,55.1496
2020-07-22,54.8494
2020-07-23,54.9509
2020-07-24,54.257
2020-07-25,54.257
2020-07-26,54.257
2020-07-27,55.0575
2020-07-28,52.0425
2020-07-29,53.0943
2020-07-30,48.5174
2020-07-31,46.9282
2020-08-01,46.9282
2020-08-02,46.9282
2020-08-03,46.6647
2020-08-04,46.3952
2020-08-05,47.7683
2020-08-06,47.3689
2020-08-07,46.8479
2020-08-08,46.8479
2020-08-09,46.8479
2020-08-10,49.4672
2020-08-11,51.4588
2020-08-12,50.1574
2020-08-13,48.5838
2020-08-14,46.83
2020-08-15,46.83
2020-08-16,46.83
2020-08-17,49.0497
2020-08-18,47.7534
2020-08-19,46.9368
2020-08-20,45.8363
2020-08-21,45.2586
2020-08-22,45.2586
2020-08-23,45.2586
2020-08-24,47.5824
2020-08-25,46.2677
2020-08-26,45.0959
2020-08-27,45.4532
2020-08-28,45.4532
2020-08-29,45.4532
2020-08-30,45.4532
2020-08-31,44.1018
2020-09-01,44.4127
2020-09-02,49.7593
2020-09-03,45.3672
2020-09-04,45.9159
2020-09-05,45.9159
2020-09-06,45.9159
2020-09-07,45.9159
2020-09-08,43.9195
2020-09-09,43.5834
2020-09-10,43.072
2020-09-11,44.64
2020-09-12,44.64
2020-09-13,44.64
2020-09-14,46.0313
2020-09-15,44.9849
2020-09-16,45.0609
2020-09-17,45.9112
2020-09-18,46.4567
2020-09-19,46.4567
2020-09-20,46.4567
2020-09-21,40.4831
2020-09-22,38.5166
2020-09-23,37.4759
2020-09-24,37.1789
2020-09-25,37.9419
2020-09-26,37.9419
2020-09-27,37.9419
2020-09-28,38.0284
2020-09-29,38.6477
2020-09-30,38.8284
2020-10-01,38.0176
2020-10-02,40.4966
2020-10-03,40.4966
2020-10-04,40.4966
2020-10-05,43.3607
2020-10-06,43.7848
2020-10-07,44.9782
2020-10-08,44.4897
2020-10-09,47.282
2020-10-10,47.282
2020-10-11,47.282
2020-10-12,47.1334
2020-10-13,45.0107
2020-10-14,46.7225
2020-10-15,48.4651
2020-10-16,58.8693
2020-10-17,58.8693
2020-10-18,58.8693
