,HCC US Equity
,RSI_30D
2020-01-01,49.4056
2020-01-02,51.4792
2020-01-03,52.3281
2020-01-04,52.3281
2020-01-05,52.3281
2020-01-06,50.9664
2020-01-07,52.6124
2020-01-08,53.1814
2020-01-09,47.9485
2020-01-10,50.6829
2020-01-11,50.6829
2020-01-12,50.6829
2020-01-13,53.6528
2020-01-14,55.2752
2020-01-15,56.4076
2020-01-16,57.7165
2020-01-17,53.5774
2020-01-18,53.5774
2020-01-19,53.5774
2020-01-20,53.5774
2020-01-21,50.0196
2020-01-22,50.2401
2020-01-23,47.6999
2020-01-24,44.9461
2020-01-25,44.9461
2020-01-26,44.9461
2020-01-27,43.215
2020-01-28,43.1837
2020-01-29,42.4525
2020-01-30,42.801
2020-01-31,41.0337
2020-02-01,41.0337
2020-02-02,41.0337
2020-02-03,42.724
2020-02-04,49.0816
2020-02-05,51.4509
2020-02-06,50.0342
2020-02-07,46.677
2020-02-08,46.677
2020-02-09,46.677
2020-02-10,46.2952
2020-02-11,46.9313
2020-02-12,48.4907
2020-02-13,49.4421
2020-02-14,48.3756
2020-02-15,48.3756
2020-02-16,48.3756
2020-02-17,48.3756
2020-02-18,48.7946
2020-02-19,47.1048
2020-02-20,39.6417
2020-02-21,40.8583
2020-02-22,40.8583
2020-02-23,40.8583
2020-02-24,38.866
2020-02-25,38.5843
2020-02-26,37.5603
2020-02-27,40.1091
2020-02-28,41.6975
2020-02-29,41.6975
2020-03-01,41.6975
2020-03-02,44.6942
2020-03-03,43.6369
2020-03-04,45.597
2020-03-05,41.8997
2020-03-06,40.363
2020-03-07,40.363
2020-03-08,40.363
2020-03-09,34.8889
2020-03-10,37.1999
2020-03-11,35.7046
2020-03-12,30.869
2020-03-13,37.6365
2020-03-14,37.6365
2020-03-15,37.6365
2020-03-16,42.9029
2020-03-17,44.8882
2020-03-18,40.8643
2020-03-19,38.8883
2020-03-20,37.0946
2020-03-21,37.0946
2020-03-22,37.0946
2020-03-23,36.4057
2020-03-24,36.9325
2020-03-25,38.0473
2020-03-26,36.5208
2020-03-27,34.935
2020-03-28,34.935
2020-03-29,34.935
2020-03-30,36.5369
