,ES US Equity
,RSI_30D
2020-01-01,53.9161
2020-01-02,48.1508
2020-01-03,47.103
2020-01-04,47.103
2020-01-05,47.103
2020-01-06,48.5126
2020-01-07,46.7099
2020-01-08,46.9366
2020-01-09,49.0193
2020-01-10,52.045
2020-01-11,52.045
2020-01-12,52.045
2020-01-13,54.1092
2020-01-14,55.9642
2020-01-15,59.5188
2020-01-16,60.506
2020-01-17,62.5866
2020-01-18,62.5866
2020-01-19,62.5866
2020-01-20,62.5866
2020-01-21,64.7083
2020-01-22,64.9961
2020-01-23,67.3644
2020-01-24,68.3434
2020-01-25,68.3434
2020-01-26,68.3434
2020-01-27,66.7446
2020-01-28,67.4955
2020-01-29,68.5451
2020-01-30,69.9184
2020-01-31,67.0737
2020-02-01,67.0737
2020-02-02,67.0737
2020-02-03,66.9639
2020-02-04,60.7558
2020-02-05,60.4037
2020-02-06,61.2071
2020-02-07,60.2421
2020-02-08,60.2421
2020-02-09,60.2421
2020-02-10,61.9333
2020-02-11,61.2847
2020-02-12,61.4605
2020-02-13,64.0367
2020-02-14,66.2912
2020-02-15,66.2912
2020-02-16,66.2912
2020-02-17,66.2912
2020-02-18,68.295
2020-02-19,66.4819
2020-02-20,68.7534
2020-02-21,69.2485
2020-02-22,69.2485
2020-02-23,69.2485
2020-02-24,66.6073
2020-02-25,60.758
2020-02-26,60.9133
2020-02-27,50.6962
2020-02-28,44.6756
2020-02-29,44.6756
2020-03-01,44.6756
2020-03-02,57.0282
2020-03-03,55.8456
2020-03-04,63.2621
2020-03-05,61.3522
2020-03-06,59.527
2020-03-07,59.527
2020-03-08,59.527
2020-03-09,53.7107
2020-03-10,51.7559
2020-03-11,47.5337
2020-03-12,42.0563
2020-03-13,49.0053
2020-03-14,49.0053
2020-03-15,49.0053
2020-03-16,39.576
2020-03-17,48.6146
2020-03-18,47.9051
2020-03-19,41.8498
2020-03-20,37.2397
2020-03-21,37.2397
2020-03-22,37.2397
2020-03-23,34.4831
2020-03-24,41.263
2020-03-25,41.5753
2020-03-26,45.9935
2020-03-27,47.3307
2020-03-28,47.3307
2020-03-29,47.3307
2020-03-30,48.9163
2020-03-31,46.0181
2020-04-01,44.8952
2020-04-02,46.8882
2020-04-03,44.7424
2020-04-04,44.7424
2020-04-05,44.7424
2020-04-06,48.7728
2020-04-07,47.5929
2020-04-08,49.5444
2020-04-09,52.97
2020-04-10,52.97
2020-04-11,52.97
2020-04-12,52.97
2020-04-13,51.1704
2020-04-14,53.4363
2020-04-15,52.1107
2020-04-16,52.538
2020-04-17,53.4128
2020-04-18,53.4128
2020-04-19,53.4128
2020-04-20,51.3176
2020-04-21,51.0063
2020-04-22,51.4393
2020-04-23,50.6109
2020-04-24,50.6166
2020-04-25,50.6166
2020-04-26,50.6166
2020-04-27,50.0221
2020-04-28,50.4137
2020-04-29,48.6835
2020-04-30,47.1164
2020-05-01,46.6337
2020-05-02,46.6337
2020-05-03,46.6337
2020-05-04,47.26
2020-05-05,47.3905
2020-05-06,44.5516
2020-05-07,45.5363
2020-05-08,45.6448
2020-05-09,45.6448
2020-05-10,45.6448
2020-05-11,45.1668
2020-05-12,44.3249
2020-05-13,45.0858
2020-05-14,45.5854
2020-05-15,44.9939
2020-05-16,44.9939
2020-05-17,44.9939
2020-05-18,47.7136
2020-05-19,47.0017
2020-05-20,47.9394
2020-05-21,47.5083
2020-05-22,47.2356
2020-05-23,47.2356
2020-05-24,47.2356
2020-05-25,47.2356
2020-05-26,46.8876
2020-05-27,46.4626
2020-05-28,49.4637
2020-05-29,51.762
2020-05-30,51.762
2020-05-31,51.762
2020-06-01,53.234
2020-06-02,53.3828
2020-06-03,54.2929
2020-06-04,52.9991
2020-06-05,53.8101
2020-06-06,53.8101
2020-06-07,53.8101
2020-06-08,54.8202
2020-06-09,52.438
2020-06-10,53.2732
2020-06-11,51.4695
2020-06-12,51.4317
2020-06-13,51.4317
2020-06-14,51.4317
2020-06-15,51.383
2020-06-16,51.3026
2020-06-17,52.1261
2020-06-18,51.7956
2020-06-19,49.8653
2020-06-20,49.8653
2020-06-21,49.8653
2020-06-22,51.1918
2020-06-23,50.3478
2020-06-24,49.3152
2020-06-25,49.2506
2020-06-26,48.6894
2020-06-27,48.6894
2020-06-28,48.6894
2020-06-29,50.1189
2020-06-30,50.3267
2020-07-01,52.4227
2020-07-02,51.8812
2020-07-03,51.8812
2020-07-04,51.8812
2020-07-05,51.8812
2020-07-06,50.8802
2020-07-07,51.4426
2020-07-08,52.4138
2020-07-09,51.6616
2020-07-10,52.7327
2020-07-11,52.7327
2020-07-12,52.7327
2020-07-13,53.3473
2020-07-14,53.9421
2020-07-15,51.9165
2020-07-16,52.9589
2020-07-17,55.462
2020-07-18,55.462
2020-07-19,55.462
2020-07-20,53.6719
2020-07-21,54.3656
2020-07-22,57.2731
2020-07-23,57.7262
2020-07-24,56.8685
2020-07-25,56.8685
2020-07-26,56.8685
2020-07-27,55.6553
2020-07-28,57.3913
2020-07-29,57.8066
2020-07-30,57.9157
2020-07-31,57.0508
2020-08-01,57.0508
2020-08-02,57.0508
2020-08-03,56.0658
2020-08-04,57.0963
2020-08-05,53.6106
2020-08-06,53.4813
2020-08-07,54.7787
2020-08-08,54.7787
2020-08-09,54.7787
2020-08-10,53.983
2020-08-11,50.047
2020-08-12,52.6872
2020-08-13,52.7014
2020-08-14,51.4701
2020-08-15,51.4701
2020-08-16,51.4701
2020-08-17,51.9378
2020-08-18,51.0835
2020-08-19,49.8918
2020-08-20,49.0168
2020-08-21,50.4648
2020-08-22,50.4648
2020-08-23,50.4648
2020-08-24,49.3645
2020-08-25,47.8123
2020-08-26,46.3521
2020-08-27,46.845
2020-08-28,47.7462
2020-08-29,47.7462
2020-08-30,47.7462
2020-08-31,49.4471
2020-09-01,46.0643
2020-09-02,50.8338
2020-09-03,50.1965
2020-09-04,50.1965
2020-09-05,50.1965
2020-09-06,50.1965
2020-09-07,50.1965
2020-09-08,48.8193
2020-09-09,49.7413
2020-09-10,45.7963
2020-09-11,44.0554
2020-09-12,44.0554
2020-09-13,44.0554
2020-09-14,45.4196
2020-09-15,47.2985
2020-09-16,47.2306
2020-09-17,44.983
2020-09-18,40.6833
2020-09-19,40.6833
2020-09-20,40.6833
2020-09-21,39.6116
2020-09-22,41.4355
2020-09-23,40.5254
2020-09-24,43.608
2020-09-25,47.8681
2020-09-26,47.8681
2020-09-27,47.8681
2020-09-28,48.1404
2020-09-29,48.7271
2020-09-30,49.6118
2020-10-01,52.5891
2020-10-02,54.9101
2020-10-03,54.9101
2020-10-04,54.9101
2020-10-05,58.1427
2020-10-06,59.7221
2020-10-07,60.4637
2020-10-08,61.6765
2020-10-09,61.2238
2020-10-10,61.2238
2020-10-11,61.2238
2020-10-12,62.2625
2020-10-13,61.4792
2020-10-14,59.8627
2020-10-15,58.3147
2020-10-16,58.8582
2020-10-17,58.8582
2020-10-18,58.8582
2020-10-19,58.1911
2020-10-20,59.7993
2020-10-21,59.4728
2020-10-22,60.6397
2020-10-23,58.6636
2020-10-24,58.6636
2020-10-25,58.6636
2020-10-26,58.1682
2020-10-27,58.3954
2020-10-28,52.5504
2020-10-29,51.7387
2020-10-30,49.6411
2020-10-31,49.6411
2020-11-01,49.6411
2020-11-02,54.9163
2020-11-03,56.873
2020-11-04,55.6331
2020-11-05,56.9146
2020-11-06,57.7198
2020-11-07,57.7198
2020-11-08,57.7198
2020-11-09,58.751
2020-11-10,58.9306
2020-11-11,59.9844
2020-11-12,55.8674
2020-11-13,57.2763
2020-11-14,57.2763
2020-11-15,57.2763
2020-11-16,58.8569
2020-11-17,53.9986
2020-11-18,50.7637
2020-11-19,48.423
2020-11-20,49.1077
2020-11-21,49.1077
2020-11-22,49.1077
2020-11-23,47.8531
2020-11-24,47.3761
2020-11-25,48.9552
2020-11-26,48.9552
2020-11-27,48.1763
2020-11-28,48.1763
2020-11-29,48.1763
2020-11-30,47.5193
2020-12-01,48.7417
2020-12-02,48.6262
2020-12-03,46.4464
2020-12-04,44.491
2020-12-05,44.491
2020-12-06,44.491
2020-12-07,46.685
2020-12-08,46.1193
2020-12-09,45.5483
2020-12-10,45.0197
2020-12-11,45.219
2020-12-12,45.219
2020-12-13,45.219
2020-12-14,44.6664
2020-12-15,47.0403
2020-12-16,45.0249
2020-12-17,45.698
2020-12-18,43.8954
2020-12-19,43.8954
2020-12-20,43.8954
2020-12-21,43.1783
2020-12-22,42.9435
2020-12-23,41.85
2020-12-24,44.6108
2020-12-25,44.6108
2020-12-26,44.6108
2020-12-27,44.6108
2020-12-28,46.5117
2020-12-29,46.8299
2020-12-30,47.1335
2020-12-31,49.6407
2021-01-01,49.6407
2021-01-02,49.6407
2021-01-03,49.6407
2021-01-04,45.8298
2021-01-05,47.1109
2021-01-06,54.4385
2021-01-07,53.3329
2021-01-08,56.1596
2021-01-09,56.1596
2021-01-10,56.1596
2021-01-11,54.0294
2021-01-12,54.476
2021-01-13,55.545
2021-01-14,54.3817
2021-01-15,52.4554
2021-01-16,52.4554
2021-01-17,52.4554
2021-01-18,52.4554
2021-01-19,49.8437
2021-01-20,50.6961
2021-01-21,49.8023
2021-01-22,50.3201
2021-01-23,50.3201
2021-01-24,50.3201
2021-01-25,55.2333
2021-01-26,54.4595
2021-01-27,51.9018
2021-01-28,52.9276
2021-01-29,49.9641
2021-01-30,49.9641
2021-01-31,49.9641
2021-02-01,50.4887
2021-02-02,51.2466
2021-02-03,50.8162
2021-02-04,51.331
2021-02-05,50.3955
2021-02-06,50.3955
2021-02-07,50.3955
2021-02-08,46.2369
2021-02-09,46.6939
2021-02-10,49.64
2021-02-11,47.783
2021-02-12,45.9698
2021-02-13,45.9698
2021-02-14,45.9698
2021-02-15,45.9698
2021-02-16,43.8894
2021-02-17,41.5347
2021-02-18,41.9711
2021-02-19,40.3539
2021-02-20,40.3539
2021-02-21,40.3539
2021-02-22,36.5937
2021-02-23,39.7753
2021-02-24,39.6683
2021-02-25,40.5979
2021-02-26,39.1021
2021-02-27,39.1021
2021-02-28,39.1021
2021-03-01,41.675
2021-03-02,41.6604
2021-03-03,38.3912
2021-03-04,37.7231
2021-03-05,44.3793
2021-03-06,44.3793
2021-03-07,44.3793
2021-03-08,44.3214
2021-03-09,46.2066
2021-03-10,46.2609
2021-03-11,44.9165
2021-03-12,47.258
2021-03-13,47.258
2021-03-14,47.258
2021-03-15,48.4189
2021-03-16,48.3681
2021-03-17,47.0398
2021-03-18,46.0832
2021-03-19,47.5732
2021-03-20,47.5732
2021-03-21,47.5732
2021-03-22,47.7864
2021-03-23,51.8734
2021-03-24,53.827
2021-03-25,54.486
2021-03-26,54.0076
2021-03-27,54.0076
2021-03-28,54.0076
2021-03-29,55.942
2021-03-30,54.5906
2021-03-31,55.1006
2021-04-01,54.8457
2021-04-02,54.8457
