,AWR US Equity
,RSI_30D
2020-01-01,41.5473
2020-01-02,39.9454
2020-01-03,41.8911
2020-01-04,41.8911
2020-01-05,41.8911
2020-01-06,38.8113
2020-01-07,37.5862
2020-01-08,36.5147
2020-01-09,37.4665
2020-01-10,37.8281
2020-01-11,37.8281
2020-01-12,37.8281
2020-01-13,40.2408
2020-01-14,39.2677
2020-01-15,42.2715
2020-01-16,45.8669
2020-01-17,47.0792
2020-01-18,47.0792
2020-01-19,47.0792
2020-01-20,47.0792
2020-01-21,50.5405
2020-01-22,51.9094
2020-01-23,53.2266
2020-01-24,53.7076
2020-01-25,53.7076
2020-01-26,53.7076
2020-01-27,52.4151
2020-01-28,53.3041
2020-01-29,54.3005
2020-01-30,55.0003
2020-01-31,49.5327
2020-02-01,49.5327
2020-02-02,49.5327
2020-02-03,51.295
2020-02-04,49.303
2020-02-05,50.949
2020-02-06,52.4122
2020-02-07,53.4076
2020-02-08,53.4076
2020-02-09,53.4076
2020-02-10,55.1336
2020-02-11,55.0545
2020-02-12,56.0547
2020-02-13,58.7963
2020-02-14,61.2854
2020-02-15,61.2854
2020-02-16,61.2854
2020-02-17,61.2854
2020-02-18,60.6821
2020-02-19,54.9768
2020-02-20,51.9767
2020-02-21,51.8155
2020-02-22,51.8155
2020-02-23,51.8155
2020-02-24,49.8943
2020-02-25,46.3984
2020-02-26,45.6761
2020-02-27,36.8953
2020-02-28,30.6985
2020-02-29,30.6985
2020-03-01,30.6985
2020-03-02,38.4252
2020-03-03,39.6216
2020-03-04,49.0648
2020-03-05,48.7965
2020-03-06,49.6775
2020-03-07,49.6775
2020-03-08,49.6775
2020-03-09,43.2572
2020-03-10,44.7694
2020-03-11,41.0294
2020-03-12,34.5803
2020-03-13,40.5378
2020-03-14,40.5378
2020-03-15,40.5378
2020-03-16,33.252
2020-03-17,44.9856
2020-03-18,54.3039
2020-03-19,53.8964
2020-03-20,49.9567
2020-03-21,49.9567
2020-03-22,49.9567
2020-03-23,44.1646
2020-03-24,46.8687
2020-03-25,45.6121
2020-03-26,47.83
2020-03-27,47.8249
2020-03-28,47.8249
2020-03-29,47.8249
2020-03-30,49.8214
2020-03-31,48.3105
