,ROST US Equity
,RSI_30D
2020-01-01,54.0284
2020-01-02,54.778
2020-01-03,54.8338
2020-01-04,54.8338
2020-01-05,54.8338
2020-01-06,55.9023
2020-01-07,58.3521
2020-01-08,58.9547
2020-01-09,63.5945
2020-01-10,60.2603
2020-01-11,60.2603
2020-01-12,60.2603
2020-01-13,58.5706
2020-01-14,56.3686
2020-01-15,53.8989
2020-01-16,54.3853
2020-01-17,53.612
2020-01-18,53.612
2020-01-19,53.612
2020-01-20,53.612
2020-01-21,53.8323
2020-01-22,52.9864
2020-01-23,54.5034
2020-01-24,49.4485
2020-01-25,49.4485
2020-01-26,49.4485
2020-01-27,47.747
2020-01-28,47.0658
2020-01-29,46.6748
2020-01-30,46.5036
2020-01-31,42.9027
2020-02-01,42.9027
2020-02-02,42.9027
2020-02-03,46.4385
2020-02-04,51.2384
2020-02-05,55.1792
2020-02-06,54.1376
2020-02-07,52.7152
2020-02-08,52.7152
2020-02-09,52.7152
2020-02-10,54.0783
2020-02-11,56.3373
2020-02-12,56.8859
2020-02-13,57.7102
2020-02-14,59.4624
2020-02-15,59.4624
2020-02-16,59.4624
2020-02-17,59.4624
2020-02-18,60.4816
2020-02-19,61.1225
2020-02-20,62.3438
2020-02-21,61.0441
2020-02-22,61.0441
2020-02-23,61.0441
2020-02-24,57.5185
2020-02-25,48.7607
2020-02-26,52.5228
2020-02-27,42.8732
2020-02-28,39.5975
2020-02-29,39.5975
2020-03-01,39.5975
2020-03-02,44.0738
2020-03-03,41.3403
2020-03-04,41.8003
2020-03-05,35.1922
2020-03-06,36.278
2020-03-07,36.278
2020-03-08,36.278
2020-03-09,31.2001
2020-03-10,39.2434
2020-03-11,37.1441
2020-03-12,33.1266
2020-03-13,34.628
2020-03-14,34.628
2020-03-15,34.628
2020-03-16,26.7805
2020-03-17,25.3835
2020-03-18,22.6958
2020-03-19,26.8958
2020-03-20,26.5692
2020-03-21,26.5692
2020-03-22,26.5692
2020-03-23,26.2752
2020-03-24,33.0483
2020-03-25,39.4957
2020-03-26,42.0578
2020-03-27,40.7932
2020-03-28,40.7932
2020-03-29,40.7932
2020-03-30,42.1617
2020-03-31,43.3869
2020-04-01,40.8786
2020-04-02,40.1878
2020-04-03,38.3434
2020-04-04,38.3434
2020-04-05,38.3434
2020-04-06,45.287
2020-04-07,44.3029
2020-04-08,46.4562
2020-04-09,46.3207
2020-04-10,46.3207
2020-04-11,46.3207
2020-04-12,46.3207
2020-04-13,45.5496
2020-04-14,47.6082
2020-04-15,46.5041
2020-04-16,45.8784
2020-04-17,48.2597
2020-04-18,48.2597
2020-04-19,48.2597
2020-04-20,45.8591
2020-04-21,44.1959
2020-04-22,44.8315
2020-04-23,44.2786
2020-04-24,45.8714
2020-04-25,45.8714
2020-04-26,45.8714
2020-04-27,48.7038
2020-04-28,49.5778
2020-04-29,51.8176
2020-04-30,48.978
2020-05-01,47.8342
2020-05-02,47.8342
2020-05-03,47.8342
2020-05-04,47.5613
2020-05-05,47.7668
2020-05-06,47.817
2020-05-07,48.3804
2020-05-08,49.3014
2020-05-09,49.3014
2020-05-10,49.3014
2020-05-11,48.9034
2020-05-12,46.6376
2020-05-13,45.1191
2020-05-14,45.6243
2020-05-15,46.1309
2020-05-16,46.1309
2020-05-17,46.1309
2020-05-18,49.4142
2020-05-19,48.9846
2020-05-20,49.5972
2020-05-21,53.0823
2020-05-22,51.2494
2020-05-23,51.2494
2020-05-24,51.2494
2020-05-25,51.2494
2020-05-26,51.6651
2020-05-27,52.7592
2020-05-28,53.7785
2020-05-29,52.9093
2020-05-30,52.9093
2020-05-31,52.9093
2020-06-01,53.0531
2020-06-02,54.0274
2020-06-03,54.8284
2020-06-04,53.9654
2020-06-05,56.0979
2020-06-06,56.0979
2020-06-07,56.0979
2020-06-08,56.2646
2020-06-09,55.3559
