,ALSN US Equity
,RSI_30D
2020-01-01,55.8775
2020-01-02,57.674
2020-01-03,55.0696
2020-01-04,55.0696
2020-01-05,55.0696
2020-01-06,55.298
2020-01-07,55.5982
2020-01-08,57.7817
2020-01-09,58.0366
2020-01-10,56.1092
2020-01-11,56.1092
2020-01-12,56.1092
2020-01-13,57.3739
2020-01-14,58.1293
2020-01-15,55.224
2020-01-16,56.4189
2020-01-17,53.8289
2020-01-18,53.8289
2020-01-19,53.8289
2020-01-20,53.8289
2020-01-21,50.1219
2020-01-22,47.3522
2020-01-23,48.2622
2020-01-24,46.5958
2020-01-25,46.5958
2020-01-26,46.5958
2020-01-27,42.086
2020-01-28,43.4235
2020-01-29,43.1506
2020-01-30,44.5524
2020-01-31,40.4275
2020-02-01,40.4275
2020-02-02,40.4275
2020-02-03,41.5864
2020-02-04,44.6223
2020-02-05,49.4083
2020-02-06,44.7981
2020-02-07,41.1945
2020-02-08,41.1945
2020-02-09,41.1945
2020-02-10,40.2024
2020-02-11,42.7879
2020-02-12,45.7142
2020-02-13,44.3172
2020-02-14,44.0437
2020-02-15,44.0437
2020-02-16,44.0437
2020-02-17,44.0437
2020-02-18,45.0327
2020-02-19,45.4509
2020-02-20,43.8833
2020-02-21,45.4021
2020-02-22,45.4021
2020-02-23,45.4021
2020-02-24,44.2441
2020-02-25,41.9775
2020-02-26,38.7998
2020-02-27,37.5458
2020-02-28,36.0896
2020-02-29,36.0896
2020-03-01,36.0896
2020-03-02,39.2248
2020-03-03,36.3169
2020-03-04,38.7324
2020-03-05,35.6652
2020-03-06,34.8937
2020-03-07,34.8937
2020-03-08,34.8937
2020-03-09,29.4392
2020-03-10,32.8842
2020-03-11,32.492
2020-03-12,28.0681
2020-03-13,29.6197
2020-03-14,29.6197
2020-03-15,29.6197
2020-03-16,29.257
2020-03-17,28.5341
2020-03-18,31.7609
2020-03-19,30.2706
2020-03-20,26.9399
2020-03-21,26.9399
2020-03-22,26.9399
2020-03-23,24.8603
2020-03-24,30.3463
2020-03-25,36.416
2020-03-26,40.4104
2020-03-27,39.2787
2020-03-28,39.2787
2020-03-29,39.2787
2020-03-30,39.8978
2020-03-31,39.1241
2020-04-01,36.4547
2020-04-02,37.6602
2020-04-03,35.8543
2020-04-04,35.8543
2020-04-05,35.8543
2020-04-06,42.9808
2020-04-07,43.4332
2020-04-08,45.7582
2020-04-09,45.5522
2020-04-10,45.5522
2020-04-11,45.5522
2020-04-12,45.5522
2020-04-13,43.8107
2020-04-14,46.0766
2020-04-15,44.1404
2020-04-16,43.8472
2020-04-17,45.9899
2020-04-18,45.9899
2020-04-19,45.9899
2020-04-20,44.523
2020-04-21,43.428
2020-04-22,43.0628
2020-04-23,44.926
2020-04-24,44.897
2020-04-25,44.897
2020-04-26,44.897
2020-04-27,46.571
2020-04-28,48.8455
2020-04-29,52.0674
2020-04-30,49.7672
2020-05-01,48.7008
2020-05-02,48.7008
2020-05-03,48.7008
2020-05-04,48.0219
2020-05-05,48.4611
2020-05-06,48.7539
2020-05-07,49.5734
2020-05-08,51.8446
2020-05-09,51.8446
2020-05-10,51.8446
2020-05-11,49.2096
2020-05-12,46.9647
2020-05-13,45.0659
2020-05-14,46.3932
2020-05-15,46.3303
2020-05-16,46.3303
2020-05-17,46.3303
2020-05-18,50.4007
2020-05-19,49.0681
2020-05-20,50.3915
2020-05-21,50.1696
2020-05-22,49.6993
2020-05-23,49.6993
2020-05-24,49.6993
2020-05-25,49.6993
2020-05-26,53.1954
2020-05-27,54.5161
2020-05-28,52.4914
2020-05-29,52.818
2020-05-30,52.818
2020-05-31,52.818
2020-06-01,52.9852
2020-06-02,53.054
2020-06-03,55.0782
2020-06-04,56.9654
2020-06-05,58.2375
2020-06-06,58.2375
2020-06-07,58.2375
2020-06-08,58.821
2020-06-09,57.3379
2020-06-10,54.8954
2020-06-11,49.3633
2020-06-12,50.5516
2020-06-13,50.5516
2020-06-14,50.5516
2020-06-15,50.8499
2020-06-16,51.2968
2020-06-17,50.4988
2020-06-18,49.7552
2020-06-19,49.16
2020-06-20,49.16
2020-06-21,49.16
2020-06-22,49.4425
2020-06-23,49.6699
2020-06-24,46.3199
2020-06-25,46.6897
2020-06-26,46.9565
2020-06-27,46.9565
2020-06-28,46.9565
2020-06-29,49.9373
2020-06-30,49.8533
2020-07-01,47.9147
2020-07-02,48.538
2020-07-03,48.538
2020-07-04,48.538
2020-07-05,48.538
2020-07-06,49.7162
2020-07-07,48.5236
2020-07-08,47.7904
2020-07-09,45.0368
2020-07-10,46.7549
2020-07-11,46.7549
2020-07-12,46.7549
2020-07-13,47.7867
2020-07-14,48.79
2020-07-15,50.7698
2020-07-16,51.811
2020-07-17,50.8175
2020-07-18,50.8175
2020-07-19,50.8175
2020-07-20,50.46
2020-07-21,51.6791
2020-07-22,53.1693
2020-07-23,54.4872
2020-07-24,53.1497
2020-07-25,53.1497
2020-07-26,53.1497
2020-07-27,53.3818
2020-07-28,52.8938
2020-07-29,54.2401
2020-07-30,53.2284
2020-07-31,51.0137
2020-08-01,51.0137
2020-08-02,51.0137
2020-08-03,52.9152
2020-08-04,53.7702
2020-08-05,50.876
2020-08-06,49.829
2020-08-07,51.0279
2020-08-08,51.0279
2020-08-09,51.0279
2020-08-10,53.1673
2020-08-11,55.6881
2020-08-12,54.1112
2020-08-13,51.5238
2020-08-14,51.9202
2020-08-15,51.9202
2020-08-16,51.9202
2020-08-17,49.6874
2020-08-18,48.7435
2020-08-19,48.13
2020-08-20,46.2964
2020-08-21,46.3255
2020-08-22,46.3255
2020-08-23,46.3255
2020-08-24,48.3252
2020-08-25,45.48
2020-08-26,45.283
2020-08-27,47.2621
2020-08-28,48.3581
2020-08-29,48.3581
2020-08-30,48.3581
2020-08-31,47.4192
2020-09-01,50.1647
2020-09-02,51.1541
2020-09-03,48.7352
2020-09-04,48.0862
2020-09-05,48.0862
2020-09-06,48.0862
2020-09-07,48.0862
2020-09-08,45.501
2020-09-09,45.9865
2020-09-10,44.0093
2020-09-11,44.9818
2020-09-12,44.9818
2020-09-13,44.9818
2020-09-14,46.441
2020-09-15,44.1965
2020-09-16,44.0194
2020-09-17,43.3773
2020-09-18,42.2303
2020-09-19,42.2303
2020-09-20,42.2303
2020-09-21,38.8094
2020-09-22,39.4394
2020-09-23,42.95
2020-09-24,44.9191
2020-09-25,44.6364
2020-09-26,44.6364
2020-09-27,44.6364
2020-09-28,47.9055
2020-09-29,47.6583
2020-09-30,48.5133
2020-10-01,47.0923
2020-10-02,47.9751
2020-10-03,47.9751
2020-10-04,47.9751
2020-10-05,51.6694
2020-10-06,53.3817
2020-10-07,60.4236
2020-10-08,62.3954
2020-10-09,62.3
2020-10-10,62.3
2020-10-11,62.3
2020-10-12,60.1443
2020-10-13,58.0659
2020-10-14,58.5022
2020-10-15,60.6014
2020-10-16,62.8591
2020-10-17,62.8591
2020-10-18,62.8591
2020-10-19,60.7001
2020-10-20,56.053
2020-10-21,52.5382
2020-10-22,54.0292
2020-10-23,53.7722
2020-10-24,53.7722
2020-10-25,53.7722
2020-10-26,51.8831
2020-10-27,50.1587
2020-10-28,47.7657
2020-10-29,44.4732
2020-10-30,48.0334
2020-10-31,48.0334
2020-11-01,48.0334
2020-11-02,49.3587
2020-11-03,51.6671
2020-11-04,48.8793
2020-11-05,51.9222
2020-11-06,51.7451
2020-11-07,51.7451
2020-11-08,51.7451
2020-11-09,54.3036
2020-11-10,57.4804
2020-11-11,55.81
2020-11-12,54.9609
2020-11-13,56.4851
2020-11-14,56.4851
2020-11-15,56.4851
2020-11-16,56.8718
2020-11-17,55.5823
2020-11-18,55.435
2020-11-19,56.1164
2020-11-20,54.4694
2020-11-21,54.4694
2020-11-22,54.4694
2020-11-23,57.1513
2020-11-24,59.9215
2020-11-25,56.9639
2020-11-26,56.9639
2020-11-27,56.6697
2020-11-28,56.6697
2020-11-29,56.6697
2020-11-30,56.0457
2020-12-01,55.2404
2020-12-02,54.6313
2020-12-03,53.5372
2020-12-04,55.5912
2020-12-05,55.5912
2020-12-06,55.5912
2020-12-07,55.7808
2020-12-08,58.2011
2020-12-09,61.1813
2020-12-10,58.2542
2020-12-11,57.6262
2020-12-12,57.6262
2020-12-13,57.6262
2020-12-14,55.5111
2020-12-15,58.2559
2020-12-16,57.6598
2020-12-17,57.7182
2020-12-18,57.9977
2020-12-19,57.9977
2020-12-20,57.9977
2020-12-21,57.9694
2020-12-22,57.8234
2020-12-23,58.6426
2020-12-24,58.1506
2020-12-25,58.1506
2020-12-26,58.1506
2020-12-27,58.1506
2020-12-28,58.533
2020-12-29,57.2596
2020-12-30,57.131
2020-12-31,57.4767
2021-01-01,57.4767
2021-01-02,57.4767
2021-01-03,57.4767
2021-01-04,54.0921
2021-01-05,53.7801
2021-01-06,58.2404
2021-01-07,58.7011
2021-01-08,54.3015
2021-01-09,54.3015
2021-01-10,54.3015
2021-01-11,53.1409
2021-01-12,52.8778
2021-01-13,52.668
2021-01-14,50.936
2021-01-15,49.2881
2021-01-16,49.2881
2021-01-17,49.2881
2021-01-18,49.2881
2021-01-19,51.5089
2021-01-20,51.537
2021-01-21,57.6859
2021-01-22,58.9764
2021-01-23,58.9764
2021-01-24,58.9764
2021-01-25,60.1681
2021-01-26,60.449
2021-01-27,58.3531
2021-01-28,55.0226
2021-01-29,47.5156
2021-01-30,47.5156
2021-01-31,47.5156
2021-02-01,48.8885
2021-02-02,49.6075
2021-02-03,51.5524
2021-02-04,52.3374
2021-02-05,53.3793
2021-02-06,53.3793
2021-02-07,53.3793
2021-02-08,55.0651
2021-02-09,55.2257
2021-02-10,53.0404
2021-02-11,51.3168
2021-02-12,51.3679
2021-02-13,51.3679
2021-02-14,51.3679
2021-02-15,51.3679
2021-02-16,51.5258
2021-02-17,49.0025
2021-02-18,41.72
2021-02-19,41.4173
2021-02-20,41.4173
2021-02-21,41.4173
2021-02-22,40.5049
2021-02-23,41.1899
2021-02-24,41.5531
2021-02-25,41.6152
2021-02-26,41.2972
2021-02-27,41.2972
2021-02-28,41.2972
2021-03-01,48.0198
2021-03-02,46.2954
2021-03-03,51.4097
2021-03-04,47.3404
2021-03-05,49.3444
2021-03-06,49.3444
2021-03-07,49.3444
2021-03-08,50.3446
2021-03-09,50.1351
2021-03-10,52.0167
2021-03-11,51.0447
2021-03-12,53.6858
2021-03-13,53.6858
2021-03-14,53.6858
2021-03-15,55.1904
2021-03-16,52.8154
2021-03-17,53.3185
2021-03-18,53.8497
2021-03-19,53.0176
2021-03-20,53.0176
2021-03-21,53.0176
2021-03-22,50.3274
2021-03-23,45.5459
2021-03-24,47.0062
2021-03-25,48.1802
2021-03-26,48.8973
2021-03-27,48.8973
2021-03-28,48.8973
2021-03-29,48.004
2021-03-30,50.6807
2021-03-31,49.3891
2021-04-01,49.5342
2021-04-02,49.5342
2021-04-03,49.5342
2021-04-04,49.5342
2021-04-05,50.5849
2021-04-06,51.6267
2021-04-07,52.6826
2021-04-08,51.6748
2021-04-09,54.8272
2021-04-10,54.8272
2021-04-11,54.8272
2021-04-12,56.3016
2021-04-13,54.8908
2021-04-14,55.0052
2021-04-15,58.9847
2021-04-16,57.8124
2021-04-17,57.8124
2021-04-18,57.8124
2021-04-19,56.4536
2021-04-20,55.8594
2021-04-21,56.1097
2021-04-22,53.649
2021-04-23,54.6771
2021-04-24,54.6771
2021-04-25,54.6771
2021-04-26,55.2973
2021-04-27,53.718
2021-04-28,52.1486
2021-04-29,49.0745
2021-04-30,48.1726
2021-05-01,48.1726
2021-05-02,48.1726
2021-05-03,48.8944
2021-05-04,51.322
2021-05-05,51.1544
2021-05-06,55.7166
2021-05-07,57.2514
2021-05-08,57.2514
2021-05-09,57.2514
2021-05-10,57.2964
2021-05-11,54.7888
2021-05-12,53.5478
2021-05-13,56.9277
2021-05-14,58.0293
2021-05-15,58.0293
2021-05-16,58.0293
2021-05-17,57.5421
2021-05-18,53.9135
2021-05-19,53.8851
2021-05-20,53.6516
2021-05-21,54.0634
2021-05-22,54.0634
2021-05-23,54.0634
2021-05-24,52.3785
2021-05-25,49.771
2021-05-26,50.1378
2021-05-27,50.0215
2021-05-28,48.3959
2021-05-29,48.3959
2021-05-30,48.3959
2021-05-31,48.3959
2021-06-01,49.0082
2021-06-02,46.7421
2021-06-03,48.2158
2021-06-04,49.9531
2021-06-05,49.9531
2021-06-06,49.9531
2021-06-07,47.716
2021-06-08,48.0287
2021-06-09,47.7334
2021-06-10,46.1482
2021-06-11,47.9688
2021-06-12,47.9688
2021-06-13,47.9688
2021-06-14,45.2362
2021-06-15,47.2959
2021-06-16,44.937
2021-06-17,41.7678
2021-06-18,39.6174
2021-06-19,39.6174
2021-06-20,39.6174
2021-06-21,41.8487
2021-06-22,41.3765
2021-06-23,41.5471
2021-06-24,43.5846
2021-06-25,45.3579
2021-06-26,45.3579
2021-06-27,45.3579
2021-06-28,43.9807
2021-06-29,43.198
2021-06-30,44.0563
2021-07-01,44.3348
2021-07-02,44.867
2021-07-03,44.867
2021-07-04,44.867
2021-07-05,44.867
2021-07-06,44.1393
2021-07-07,45.988
2021-07-08,44.0936
2021-07-09,47.3867
2021-07-10,47.3867
2021-07-11,47.3867
2021-07-12,47.4548
2021-07-13,44.9274
2021-07-14,46.6083
2021-07-15,46.5777
2021-07-16,46.7226
2021-07-17,46.7226
2021-07-18,46.7226
2021-07-19,43.6309
2021-07-20,47.2089
2021-07-21,47.8594
2021-07-22,44.9918
2021-07-23,46.5269
2021-07-24,46.5269
2021-07-25,46.5269
2021-07-26,46.3747
2021-07-27,44.7111
2021-07-28,44.5009
2021-07-29,46.1834
2021-07-30,47.0687
2021-07-31,47.0687
2021-08-01,47.0687
2021-08-02,46.7044
2021-08-03,48.2853
2021-08-04,45.6189
2021-08-05,44.3521
2021-08-06,42.6079
2021-08-07,42.6079
2021-08-08,42.6079
2021-08-09,43.0147
2021-08-10,42.8263
2021-08-11,47.865
2021-08-12,46.2508
2021-08-13,44.4386
2021-08-14,44.4386
2021-08-15,44.4386
2021-08-16,43.9387
2021-08-17,41.5512
2021-08-18,40.3454
2021-08-19,39.0883
2021-08-20,40.9084
2021-08-21,40.9084
2021-08-22,40.9084
2021-08-23,40.6164
2021-08-24,41.6081
2021-08-25,42.9785
2021-08-26,42.6549
2021-08-27,43.4913
2021-08-28,43.4913
2021-08-29,43.4913
2021-08-30,42.7779
2021-08-31,41.1807
2021-09-01,45.4393
2021-09-02,48.3883
2021-09-03,46.6268
2021-09-04,46.6268
2021-09-05,46.6268
2021-09-06,46.6268
2021-09-07,43.1794
2021-09-08,43.6268
2021-09-09,39.8225
2021-09-10,40.1573
2021-09-11,40.1573
2021-09-12,40.1573
2021-09-13,43.3368
2021-09-14,42.2066
2021-09-15,43.4904
2021-09-16,41.983
2021-09-17,40.5017
2021-09-18,40.5017
2021-09-19,40.5017
2021-09-20,39.2109
2021-09-21,39.1267
2021-09-22,42.0427
2021-09-23,41.8596
2021-09-24,40.1422
2021-09-25,40.1422
2021-09-26,40.1422
2021-09-27,43.6262
2021-09-28,42.4259
2021-09-29,43.1724
2021-09-30,41.3248
2021-10-01,43.6132
2021-10-02,43.6132
2021-10-03,43.6132
2021-10-04,43.737
2021-10-05,44.2017
2021-10-06,41.707
2021-10-07,40.8096
2021-10-08,43.7046
2021-10-09,43.7046
2021-10-10,43.7046
2021-10-11,43.0223
2021-10-12,39.7514
2021-10-13,40.2782
2021-10-14,43.2713
2021-10-15,43.1116
2021-10-16,43.1116
2021-10-17,43.1116
2021-10-18,42.9477
2021-10-19,42.8466
2021-10-20,44.5571
2021-10-21,43.4594
2021-10-22,41.6449
2021-10-23,41.6449
2021-10-24,41.6449
2021-10-25,42.2101
2021-10-26,38.3955
2021-10-27,35.7813
2021-10-28,43.7854
2021-10-29,40.7398
2021-10-30,40.7398
2021-10-31,40.7398
2021-11-01,44.0283
2021-11-02,42.975
2021-11-03,44.4581
2021-11-04,44.6759
2021-11-05,48.1798
2021-11-06,48.1798
2021-11-07,48.1798
2021-11-08,46.9194
2021-11-09,48.2848
2021-11-10,51.1756
2021-11-11,51.2073
2021-11-12,51.5328
2021-11-13,51.5328
2021-11-14,51.5328
2021-11-15,52.2578
2021-11-16,53.5324
2021-11-17,52.8217
2021-11-18,51.1934
2021-11-19,51.4763
2021-11-20,51.4763
2021-11-21,51.4763
2021-11-22,56.5255
2021-11-23,55.6748
2021-11-24,55.6748
2021-11-25,55.6748
2021-11-26,52.162
2021-11-27,52.162
2021-11-28,52.162
2021-11-29,50.203
2021-11-30,45.4804
2021-12-01,46.7839
2021-12-02,50.1182
2021-12-03,50.8823
2021-12-04,50.8823
2021-12-05,50.8823
2021-12-06,53.1409
2021-12-07,52.6605
2021-12-08,50.4046
2021-12-09,46.2447
2021-12-10,46.6799
2021-12-11,46.6799
2021-12-12,46.6799
2021-12-13,47.5581
2021-12-14,48.3035
2021-12-15,44.8559
2021-12-16,47.0324
2021-12-17,46.0914
2021-12-18,46.0914
2021-12-19,46.0914
2021-12-20,43.5561
2021-12-21,45.4862
2021-12-22,45.4862
2021-12-23,46.8749
2021-12-24,46.8749
2021-12-25,46.8749
2021-12-26,46.8749
2021-12-27,48.2721
2021-12-28,49.9011
2021-12-29,49.7028
2021-12-30,50.4162
2021-12-31,52.7279
2022-01-01,52.7279
2022-01-02,52.7279
2022-01-03,54.0574
2022-01-04,56.9222
2022-01-05,57.7734
2022-01-06,57.8309
2022-01-07,57.709
2022-01-08,57.709
2022-01-09,57.709
2022-01-10,58.5818
2022-01-11,58.0688
2022-01-12,55.3129
2022-01-13,60.6929
2022-01-14,64.8133
2022-01-15,64.8133
2022-01-16,64.8133
2022-01-17,64.8133
2022-01-18,65.9033
2022-01-19,63.279
2022-01-20,55.5479
2022-01-21,55.7485
2022-01-22,55.7485
2022-01-23,55.7485
2022-01-24,57.366
2022-01-25,55.4001
2022-01-26,54.8897
2022-01-27,54.8244
2022-01-28,53.9609
2022-01-29,53.9609
2022-01-30,53.9609
2022-01-31,52.6092
2022-02-01,55.1599
2022-02-02,55.8428
2022-02-03,56.1742
2022-02-04,53.8067
2022-02-05,53.8067
2022-02-06,53.8067
2022-02-07,53.9543
2022-02-08,55.9075
2022-02-09,56.5898
2022-02-10,55.2268
2022-02-11,55.4966
2022-02-12,55.4966
2022-02-13,55.4966
2022-02-14,57.2433
2022-02-15,58.6931
2022-02-16,58.7782
2022-02-17,60.246
2022-02-18,58.8291
2022-02-19,58.8291
2022-02-20,58.8291
2022-02-21,58.8291
2022-02-22,56.1761
2022-02-23,54.2955
2022-02-24,49.6945
2022-02-25,54.6146
2022-02-26,54.6146
2022-02-27,54.6146
2022-02-28,55.2021
2022-03-01,52.8755
2022-03-02,54.5138
2022-03-03,56.7255
2022-03-04,57.9844
2022-03-05,57.9844
2022-03-06,57.9844
2022-03-07,52.1926
2022-03-08,52.0407
2022-03-09,53.7667
2022-03-10,51.2141
2022-03-11,51.3581
2022-03-12,51.3581
2022-03-13,51.3581
2022-03-14,53.0487
2022-03-15,50.2324
2022-03-16,52.6357
2022-03-17,52.9125
2022-03-18,52.4685
2022-03-19,52.4685
2022-03-20,52.4685
2022-03-21,54.4456
2022-03-22,54.613
2022-03-23,52.3255
2022-03-24,53.4081
2022-03-25,56.8592
2022-03-26,56.8592
2022-03-27,56.8592
2022-03-28,54.4106
2022-03-29,54.953
2022-03-30,53.9895
2022-03-31,50.7817
2022-04-01,49.0216
2022-04-02,49.0216
2022-04-03,49.0216
2022-04-04,48.288
2022-04-05,46.5303
2022-04-06,45.2184
2022-04-07,42.477
2022-04-08,40.3595
2022-04-09,40.3595
2022-04-10,40.3595
2022-04-11,40.0508
2022-04-12,39.3799
2022-04-13,39.9743
2022-04-14,39.9237
2022-04-15,39.9237
2022-04-16,39.9237
2022-04-17,39.9237
2022-04-18,42.7011
2022-04-19,43.9331
2022-04-20,47.3435
2022-04-21,48.9339
2022-04-22,45.3483
2022-04-23,45.3483
2022-04-24,45.3483
2022-04-25,46.268
2022-04-26,45.3101
2022-04-27,44.8022
2022-04-28,50.7091
2022-04-29,48.7924
2022-04-30,48.7924
2022-05-01,48.7924
2022-05-02,50.4367
2022-05-03,52.9751
2022-05-04,55.0178
2022-05-05,52.0492
2022-05-06,51.6127
2022-05-07,51.6127
2022-05-08,51.6127
2022-05-09,52.0013
2022-05-10,50.8839
2022-05-11,50.3096
2022-05-12,50.6432
2022-05-13,50.483
2022-05-14,50.483
2022-05-15,50.483
2022-05-16,50.8051
2022-05-17,54.6219
2022-05-18,52.4013
2022-05-19,50.4716
2022-05-20,48.5897
2022-05-21,48.5897
2022-05-22,48.5897
2022-05-23,50.3479
2022-05-24,49.3502
2022-05-25,51.7016
2022-05-26,53.1809
2022-05-27,55.0057
2022-05-28,55.0057
2022-05-29,55.0057
2022-05-30,55.0057
2022-05-31,56.1386
2022-06-01,57.1725
2022-06-02,57.9284
2022-06-03,58.7884
2022-06-04,58.7884
2022-06-05,58.7884
2022-06-06,59.2995
2022-06-07,59.8149
2022-06-08,58.8411
2022-06-09,59.7451
2022-06-10,55.1267
2022-06-11,55.1267
2022-06-12,55.1267
2022-06-13,50.9169
2022-06-14,52.1561
2022-06-15,53.2549
2022-06-16,47.1554
2022-06-17,46.5643
2022-06-18,46.5643
2022-06-19,46.5643
2022-06-20,46.5643
2022-06-21,48.6873
2022-06-22,47.2665
2022-06-23,43.7119
2022-06-24,48.1998
2022-06-25,48.1998
2022-06-26,48.1998
2022-06-27,50.6898
2022-06-28,50.1358
2022-06-29,49.798
2022-06-30,49.5104
2022-07-01,49.3335
2022-07-02,49.3335
2022-07-03,49.3335
2022-07-04,49.3335
2022-07-05,47.2668
2022-07-06,45.9213
2022-07-07,48.3303
2022-07-08,48.1261
2022-07-09,48.1261
2022-07-10,48.1261
2022-07-11,45.7812
2022-07-12,48.1706
2022-07-13,48.2649
2022-07-14,46.0398
2022-07-15,47.0242
2022-07-16,47.0242
2022-07-17,47.0242
2022-07-18,46.7887
2022-07-19,50.8612
2022-07-20,51.6683
2022-07-21,53.6518
2022-07-22,52.0277
2022-07-23,52.0277
2022-07-24,52.0277
2022-07-25,52.8545
2022-07-26,53.9396
2022-07-27,54.7835
2022-07-28,56.7615
2022-07-29,59.8744
2022-07-30,59.8744
2022-07-31,59.8744
2022-08-01,58.1774
2022-08-02,56.5545
2022-08-03,56.237
2022-08-04,46.2649
2022-08-05,46.8487
2022-08-06,46.8487
2022-08-07,46.8487
2022-08-08,47.4687
2022-08-09,46.3241
2022-08-10,49.3503
2022-08-11,50.1407
2022-08-12,50.0542
2022-08-13,50.0542
2022-08-14,50.0542
2022-08-15,51.4702
2022-08-16,50.8312
2022-08-17,50.0659
2022-08-18,51.4865
2022-08-19,50.3145
2022-08-20,50.3145
2022-08-21,50.3145
2022-08-22,46.6893
2022-08-23,46.5755
2022-08-24,46.4291
2022-08-25,49.6995
2022-08-26,46.0902
2022-08-27,46.0902
2022-08-28,46.0902
2022-08-29,45.951
2022-08-30,44.94
2022-08-31,43.6433
2022-09-01,43.5327
2022-09-02,43.3339
2022-09-03,43.3339
2022-09-04,43.3339
2022-09-05,43.3339
2022-09-06,42.6149
2022-09-07,44.3717
2022-09-08,43.769
2022-09-09,47.008
2022-09-10,47.008
2022-09-11,47.008
2022-09-12,48.2139
2022-09-13,42.4526
2022-09-14,42.1338
2022-09-15,42.1712
2022-09-16,41.6416
2022-09-17,41.6416
2022-09-18,41.6416
2022-09-19,45.1662
2022-09-20,43.5733
2022-09-21,41.959
2022-09-22,40.8522
2022-09-23,38.1364
