,SXT US Equity
,RSI_30D
2020-01-01,68.0144
2020-01-02,63.0503
2020-01-03,58.335
2020-01-04,58.335
2020-01-05,58.335
2020-01-06,57.7459
2020-01-07,54.1622
2020-01-08,53.7987
2020-01-09,52.3447
2020-01-10,53.3235
2020-01-11,53.3235
2020-01-12,53.3235
2020-01-13,56.4104
2020-01-14,57.3228
2020-01-15,57.1742
2020-01-16,61.134
2020-01-17,59.3899
2020-01-18,59.3899
2020-01-19,59.3899
2020-01-20,59.3899
2020-01-21,54.8996
2020-01-22,54.2868
2020-01-23,50.7692
2020-01-24,49.6985
2020-01-25,49.6985
2020-01-26,49.6985
2020-01-27,46.1899
2020-01-28,47.3756
2020-01-29,46.7872
2020-01-30,43.8306
2020-01-31,39.3038
2020-02-01,39.3038
2020-02-02,39.3038
2020-02-03,46.5988
2020-02-04,50.5253
2020-02-05,51.4787
2020-02-06,49.4132
2020-02-07,45.7066
2020-02-08,45.7066
2020-02-09,45.7066
2020-02-10,45.3189
2020-02-11,45.9958
2020-02-12,46.6449
2020-02-13,47.1636
2020-02-14,34.4747
2020-02-15,34.4747
2020-02-16,34.4747
2020-02-17,34.4747
2020-02-18,32.9864
2020-02-19,35.7896
2020-02-20,35.3674
2020-02-21,37.8937
2020-02-22,37.8937
2020-02-23,37.8937
2020-02-24,36.7783
2020-02-25,32.3319
2020-02-26,30.9739
2020-02-27,28.8004
2020-02-28,27.3676
2020-02-29,27.3676
2020-03-01,27.3676
2020-03-02,32.3691
2020-03-03,30.4177
2020-03-04,35.0471
2020-03-05,32.1435
2020-03-06,32.5439
2020-03-07,32.5439
2020-03-08,32.5439
2020-03-09,28.0398
2020-03-10,35.9083
2020-03-11,34.4406
2020-03-12,30.8274
2020-03-13,35.0177
2020-03-14,35.0177
2020-03-15,35.0177
2020-03-16,31.0636
2020-03-17,38.6687
2020-03-18,36.7497
2020-03-19,38.4093
2020-03-20,36.6266
2020-03-21,36.6266
2020-03-22,36.6266
2020-03-23,34.7572
2020-03-24,37.1499
2020-03-25,37.0913
2020-03-26,38.5951
2020-03-27,37.6897
2020-03-28,37.6897
2020-03-29,37.6897
2020-03-30,41.3723
2020-03-31,40.381
2020-04-01,38.3712
2020-04-02,37.7209
2020-04-03,36.263
2020-04-04,36.263
2020-04-05,36.263
2020-04-06,39.5778
2020-04-07,39.5688
2020-04-08,41.8318
