,LVS US Equity
,RSI_30D
2020-01-01,69.2215
2020-01-02,71.951
2020-01-03,68.1163
2020-01-04,68.1163
2020-01-05,68.1163
2020-01-06,68.7074
2020-01-07,68.8205
2020-01-08,69.8513
2020-01-09,70.9683
2020-01-10,68.7363
2020-01-11,68.7363
2020-01-12,68.7363
2020-01-13,70.6904
2020-01-14,72.4034
2020-01-15,70.3133
2020-01-16,71.2307
2020-01-17,72.163
2020-01-18,72.163
2020-01-19,72.163
2020-01-20,72.163
2020-01-21,59.9774
2020-01-22,58.4211
2020-01-23,58.4211
2020-01-24,54.4549
2020-01-25,54.4549
2020-01-26,54.4549
2020-01-27,45.3399
2020-01-28,47.5984
2020-01-29,48.1621
2020-01-30,50.9833
2020-01-31,49.3353
2020-02-01,49.3353
2020-02-02,49.3353
2020-02-03,51.608
2020-02-04,53.8033
2020-02-05,53.8878
2020-02-06,56.4904
2020-02-07,51.4173
2020-02-08,51.4173
2020-02-09,51.4173
2020-02-10,53.6124
2020-02-11,54.6869
2020-02-12,58.0117
2020-02-13,54.6976
2020-02-14,52.5805
2020-02-15,52.5805
2020-02-16,52.5805
2020-02-17,52.5805
2020-02-18,52.7179
2020-02-19,54.1533
2020-02-20,51.3077
2020-02-21,48.392
2020-02-22,48.392
2020-02-23,48.392
2020-02-24,43.6629
2020-02-25,41.1473
2020-02-26,39.9849
2020-02-27,39.1496
2020-02-28,39.0111
2020-02-29,39.0111
2020-03-01,39.0111
2020-03-02,38.9516
2020-03-03,36.2549
2020-03-04,38.7637
2020-03-05,36.239
2020-03-06,36.1547
2020-03-07,36.1547
2020-03-08,36.1547
2020-03-09,31.2613
2020-03-10,37.5195
2020-03-11,33.4918
2020-03-12,30.3164
2020-03-13,37.0176
2020-03-14,37.0176
2020-03-15,37.0176
2020-03-16,31.4656
2020-03-17,33.0151
2020-03-18,31.1749
2020-03-19,34.3644
2020-03-20,37.6543
2020-03-21,37.6543
2020-03-22,37.6543
2020-03-23,37.8074
2020-03-24,39.3369
2020-03-25,42.0013
2020-03-26,43.0427
2020-03-27,38.599
2020-03-28,38.599
2020-03-29,38.599
2020-03-30,40.0214
2020-03-31,39.3298
2020-04-01,37.8888
2020-04-02,37.869
2020-04-03,36.3273
2020-04-04,36.3273
2020-04-05,36.3273
2020-04-06,39.349
2020-04-07,41.418
2020-04-08,45.1445
2020-04-09,46.3459
2020-04-10,46.3459
2020-04-11,46.3459
2020-04-12,46.3459
2020-04-13,45.2732
2020-04-14,46.7981
2020-04-15,45.966
2020-04-16,45.0016
2020-04-17,46.084
2020-04-18,46.084
2020-04-19,46.084
2020-04-20,43.0222
2020-04-21,41.2398
2020-04-22,41.5886
2020-04-23,46.365
2020-04-24,44.6932
2020-04-25,44.6932
2020-04-26,44.6932
2020-04-27,47.0488
2020-04-28,47.2276
2020-04-29,49.2748
2020-04-30,48.5412
2020-05-01,46.5548
2020-05-02,46.5548
2020-05-03,46.5548
2020-05-04,46.4244
2020-05-05,47.3216
2020-05-06,47.3701
2020-05-07,48.2862
2020-05-08,51.6298
2020-05-09,51.6298
2020-05-10,51.6298
2020-05-11,49.3728
2020-05-12,47.153
2020-05-13,45.8598
2020-05-14,47.088
2020-05-15,46.2947
2020-05-16,46.2947
2020-05-17,46.2947
2020-05-18,49.7502
2020-05-19,49.6228
2020-05-20,51.3886
2020-05-21,49.8813
2020-05-22,48.3501
2020-05-23,48.3501
2020-05-24,48.3501
2020-05-25,48.3501
2020-05-26,51.1639
2020-05-27,52.0557
2020-05-28,49.816
2020-05-29,49.2542
2020-05-30,49.2542
2020-05-31,49.2542
2020-06-01,50.2906
2020-06-02,49.1102
2020-06-03,52.8065
2020-06-04,53.2978
2020-06-05,53.848
2020-06-06,53.848
2020-06-07,53.848
2020-06-08,56.1496
2020-06-09,54.0806
2020-06-10,52.1819
2020-06-11,49.6262
2020-06-12,50.3582
2020-06-13,50.3582
2020-06-14,50.3582
2020-06-15,49.5841
2020-06-16,49.9184
2020-06-17,49.4199
2020-06-18,48.7153
2020-06-19,47.7003
2020-06-20,47.7003
2020-06-21,47.7003
2020-06-22,46.8014
2020-06-23,47.4727
2020-06-24,45.5189
2020-06-25,45.5786
2020-06-26,43.925
2020-06-27,43.925
2020-06-28,43.925
2020-06-29,45.55
2020-06-30,46.6288
2020-07-01,46.098
2020-07-02,47.6993
2020-07-03,47.6993
2020-07-04,47.6993
2020-07-05,47.6993
2020-07-06,48.5865
2020-07-07,46.3152
2020-07-08,47.0433
2020-07-09,46.0082
2020-07-10,47.3484
2020-07-11,47.3484
2020-07-12,47.3484
2020-07-13,50.7643
2020-07-14,49.4187
2020-07-15,52.6744
2020-07-16,52.0204
2020-07-17,50.7882
2020-07-18,50.7882
2020-07-19,50.7882
2020-07-20,49.1243
2020-07-21,49.9898
2020-07-22,48.6115
2020-07-23,46.3765
2020-07-24,45.7986
2020-07-25,45.7986
2020-07-26,45.7986
2020-07-27,44.8208
2020-07-28,45.827
2020-07-29,45.9647
2020-07-30,47.5912
2020-07-31,45.3646
2020-08-01,45.3646
2020-08-02,45.3646
2020-08-03,45.8716
2020-08-04,45.5437
2020-08-05,45.0623
2020-08-06,47.813
2020-08-07,46.5061
2020-08-08,46.5061
2020-08-09,46.5061
2020-08-10,51.0147
2020-08-11,55.1166
2020-08-12,52.59
2020-08-13,52.0149
2020-08-14,51.6901
2020-08-15,51.6901
2020-08-16,51.6901
2020-08-17,50.8361
2020-08-18,50.796
2020-08-19,50.4941
2020-08-20,50.48
