,RPAY US Equity
,RSI_30D
2020-01-01,53.7848
2020-01-02,57.681
2020-01-03,56.6469
2020-01-04,56.6469
2020-01-05,56.6469
2020-01-06,58.2803
2020-01-07,60.0032
2020-01-08,59.1607
2020-01-09,60.788
2020-01-10,63.7053
2020-01-11,63.7053
2020-01-12,63.7053
2020-01-13,63.5798
2020-01-14,63.7276
2020-01-15,61.4073
2020-01-16,61.7277
2020-01-17,63.2275
2020-01-18,63.2275
2020-01-19,63.2275
2020-01-20,63.2275
2020-01-21,64.5146
2020-01-22,64.3775
2020-01-23,62.1897
2020-01-24,66.6585
2020-01-25,66.6585
2020-01-26,66.6585
2020-01-27,68.7271
2020-01-28,67.0323
2020-01-29,66.124
2020-01-30,67.4911
2020-01-31,67.3572
2020-02-01,67.3572
2020-02-02,67.3572
2020-02-03,68.2055
2020-02-04,72.5238
2020-02-05,66.9537
2020-02-06,68.2433
2020-02-07,68.8448
2020-02-08,68.8448
2020-02-09,68.8448
2020-02-10,69.9683
2020-02-11,71.0482
2020-02-12,71.7976
2020-02-13,72.5331
2020-02-14,73.5328
2020-02-15,73.5328
2020-02-16,73.5328
2020-02-17,73.5328
2020-02-18,75.2624
2020-02-19,76.8289
2020-02-20,72.91
2020-02-21,72.9546
2020-02-22,72.9546
2020-02-23,72.9546
2020-02-24,67.6547
2020-02-25,60.9797
2020-02-26,61.216
2020-02-27,55.9572
2020-02-28,56.7892
2020-02-29,56.7892
2020-03-01,56.7892
2020-03-02,60.2546
2020-03-03,59.1546
2020-03-04,61.6086
2020-03-05,59.3453
2020-03-06,57.328
2020-03-07,57.328
2020-03-08,57.328
2020-03-09,53.7022
2020-03-10,57.5235
2020-03-11,52.4978
2020-03-12,38.697
2020-03-13,48.0371
2020-03-14,48.0371
2020-03-15,48.0371
2020-03-16,38.8903
2020-03-17,46.4691
2020-03-18,38.3811
2020-03-19,38.7057
2020-03-20,37.6991
2020-03-21,37.6991
2020-03-22,37.6991
2020-03-23,36.8889
2020-03-24,41.2938
2020-03-25,44.3871
2020-03-26,48.4907
2020-03-27,45.7346
2020-03-28,45.7346
2020-03-29,45.7346
2020-03-30,47.9777
2020-03-31,46.6405
2020-04-01,44.8436
2020-04-02,44.7783
2020-04-03,43.8105
2020-04-04,43.8105
2020-04-05,43.8105
2020-04-06,46.5277
