,CE US Equity
,RSI_30D
2020-01-01,51.5961
2020-01-02,48.893
2020-01-03,46.4359
2020-01-04,46.4359
2020-01-05,46.4359
2020-01-06,44.5818
2020-01-07,43.9492
2020-01-08,42.6957
2020-01-09,44.0942
2020-01-10,42.9135
2020-01-11,42.9135
2020-01-12,42.9135
2020-01-13,44.9236
2020-01-14,45.4909
2020-01-15,45.1154
2020-01-16,45.0231
2020-01-17,44.1664
2020-01-18,44.1664
2020-01-19,44.1664
2020-01-20,44.1664
2020-01-21,44.1032
2020-01-22,42.8825
2020-01-23,41.0506
2020-01-24,39.4944
2020-01-25,39.4944
2020-01-26,39.4944
2020-01-27,35.3833
2020-01-28,37.3415
2020-01-29,36.9263
2020-01-30,34.8146
2020-01-31,28.3634
2020-02-01,28.3634
2020-02-02,28.3634
2020-02-03,30.8596
2020-02-04,35.5949
2020-02-05,39.7942
2020-02-06,39.3743
2020-02-07,38.4612
2020-02-08,38.4612
2020-02-09,38.4612
2020-02-10,37.409
2020-02-11,39.1808
2020-02-12,43.5861
2020-02-13,42.5388
2020-02-14,42.7566
2020-02-15,42.7566
2020-02-16,42.7566
2020-02-17,42.7566
2020-02-18,40.2013
2020-02-19,41.0047
2020-02-20,42.0516
2020-02-21,40.9866
2020-02-22,40.9866
2020-02-23,40.9866
2020-02-24,36.7669
2020-02-25,31.6339
2020-02-26,30.9496
2020-02-27,27.5753
2020-02-28,30.6346
2020-02-29,30.6346
2020-03-01,30.6346
2020-03-02,34.3862
2020-03-03,33.1724
2020-03-04,37.461
2020-03-05,35.1967
2020-03-06,33.5226
2020-03-07,33.5226
2020-03-08,33.5226
2020-03-09,26.764
2020-03-10,34.0923
2020-03-11,31.4331
2020-03-12,28.3996
2020-03-13,33.0428
2020-03-14,33.0428
2020-03-15,33.0428
2020-03-16,28.4785
2020-03-17,31.8867
2020-03-18,28.2268
2020-03-19,31.6085
2020-03-20,32.2396
2020-03-21,32.2396
2020-03-22,32.2396
2020-03-23,31.3971
2020-03-24,34.6844
2020-03-25,38.5395
2020-03-26,40.1699
2020-03-27,38.4788
2020-03-28,38.4788
2020-03-29,38.4788
2020-03-30,40.2087
2020-03-31,39.9174
2020-04-01,37.7874
2020-04-02,38.1391
2020-04-03,37.5403
2020-04-04,37.5403
2020-04-05,37.5403
2020-04-06,40.9723
2020-04-07,43.0054
2020-04-08,46.4798
2020-04-09,47.52
2020-04-10,47.52
2020-04-11,47.52
2020-04-12,47.52
2020-04-13,46.6405
2020-04-14,46.254
2020-04-15,43.3689
2020-04-16,42.0757
2020-04-17,45.4743
2020-04-18,45.4743
2020-04-19,45.4743
2020-04-20,44.4947
2020-04-21,43.3394
2020-04-22,44.5268
2020-04-23,45.9736
2020-04-24,46.7721
2020-04-25,46.7721
2020-04-26,46.7721
2020-04-27,48.9184
2020-04-28,48.5631
2020-04-29,50.9818
2020-04-30,49.203
2020-05-01,47.2424
2020-05-02,47.2424
2020-05-03,47.2424
2020-05-04,46.4931
2020-05-05,46.5944
2020-05-06,46.3647
2020-05-07,48.0711
2020-05-08,49.4933
2020-05-09,49.4933
2020-05-10,49.4933
2020-05-11,47.9402
2020-05-12,46.7311
2020-05-13,44.5875
2020-05-14,46.0414
2020-05-15,46.3891
2020-05-16,46.3891
2020-05-17,46.3891
2020-05-18,51.0094
2020-05-19,50.7548
2020-05-20,52.0338
2020-05-21,52.0454
2020-05-22,51.6318
2020-05-23,51.6318
2020-05-24,51.6318
2020-05-25,51.6318
2020-05-26,55.0341
2020-05-27,56.5012
2020-05-28,55.2979
2020-05-29,53.6656
2020-05-30,53.6656
2020-05-31,53.6656
2020-06-01,53.2839
2020-06-02,55.1869
2020-06-03,56.9514
2020-06-04,57.2561
2020-06-05,57.9866
2020-06-06,57.9866
2020-06-07,57.9866
2020-06-08,58.5433
2020-06-09,57.2004
2020-06-10,55.3554
2020-06-11,49.2608
2020-06-12,51.0909
2020-06-13,51.0909
2020-06-14,51.0909
2020-06-15,51.3789
2020-06-16,51.9458
2020-06-17,51.3738
2020-06-18,50.7408
2020-06-19,49.7619
2020-06-20,49.7619
2020-06-21,49.7619
2020-06-22,49.5182
2020-06-23,49.1626
2020-06-24,47.1247
2020-06-25,48.7411
2020-06-26,47.1254
2020-06-27,47.1254
2020-06-28,47.1254
2020-06-29,49.0895
2020-06-30,49.7917
2020-07-01,49.3396
2020-07-02,51.3904
2020-07-03,51.3904
2020-07-04,51.3904
2020-07-05,51.3904
2020-07-06,52.4015
2020-07-07,50.9272
2020-07-08,49.2114
2020-07-09,47.9579
2020-07-10,49.8308
2020-07-11,49.8308
2020-07-12,49.8308
2020-07-13,50.328
2020-07-14,51.6827
2020-07-15,53.9543
2020-07-16,52.8538
2020-07-17,51.9666
2020-07-18,51.9666
2020-07-19,51.9666
2020-07-20,53.6815
2020-07-21,55.0336
2020-07-22,55.0631
2020-07-23,55.4261
2020-07-24,54.3778
2020-07-25,54.3778
2020-07-26,54.3778
2020-07-27,56.52
2020-07-28,54.6327
2020-07-29,57.5575
2020-07-30,57.8649
2020-07-31,57.4743
2020-08-01,57.4743
2020-08-02,57.4743
2020-08-03,56.7427
2020-08-04,57.5272
2020-08-05,58.8645
2020-08-06,58.5702
2020-08-07,60.1064
2020-08-08,60.1064
2020-08-09,60.1064
2020-08-10,61.6927
2020-08-11,61.5178
2020-08-12,60.3379
2020-08-13,59.2101
2020-08-14,59.5684
2020-08-15,59.5684
2020-08-16,59.5684
2020-08-17,58.6956
2020-08-18,58.1569
2020-08-19,58.0817
2020-08-20,57.6959
2020-08-21,57.4983
2020-08-22,57.4983
2020-08-23,57.4983
2020-08-24,60.528
2020-08-25,59.3299
2020-08-26,59.9019
2020-08-27,60.0706
2020-08-28,60.9854
2020-08-29,60.9854
2020-08-30,60.9854
2020-08-31,57.0932
2020-09-01,60.8204
2020-09-02,61.677
2020-09-03,58.4636
2020-09-04,60.5961
2020-09-05,60.5961
2020-09-06,60.5961
2020-09-07,60.5961
2020-09-08,58.044
2020-09-09,60.0106
2020-09-10,58.3478
2020-09-11,59.626
2020-09-12,59.626
2020-09-13,59.626
2020-09-14,61.9364
2020-09-15,62.6551
2020-09-16,64.9683
2020-09-17,65.5224
2020-09-18,64.9772
2020-09-19,64.9772
2020-09-20,64.9772
2020-09-21,59.4973
2020-09-22,59.04
2020-09-23,55.4327
