,DGX US Equity
,RSI_30D
2020-01-01,56.3148
2020-01-02,53.1028
2020-01-03,51.3313
2020-01-04,51.3313
2020-01-05,51.3313
2020-01-06,52.8279
2020-01-07,49.4861
2020-01-08,50.6342
2020-01-09,53.8866
2020-01-10,55.4404
2020-01-11,55.4404
2020-01-12,55.4404
2020-01-13,56.0009
2020-01-14,55.8193
2020-01-15,56.3802
2020-01-16,57.3065
2020-01-17,57.1413
2020-01-18,57.1413
2020-01-19,57.1413
2020-01-20,57.1413
2020-01-21,57.8452
2020-01-22,60.7063
2020-01-23,58.8137
2020-01-24,58.1319
2020-01-25,58.1319
2020-01-26,58.1319
2020-01-27,61.9634
2020-01-28,64.6524
2020-01-29,64.1313
2020-01-30,66.6006
2020-01-31,62.1728
2020-02-01,62.1728
2020-02-02,62.1728
2020-02-03,64.3135
2020-02-04,62.5151
2020-02-05,63.8365
2020-02-06,62.9125
2020-02-07,62.1424
2020-02-08,62.1424
2020-02-09,62.1424
2020-02-10,62.4789
2020-02-11,63.9043
2020-02-12,60.0265
2020-02-13,62.0325
2020-02-14,63.3329
2020-02-15,63.3329
2020-02-16,63.3329
2020-02-17,63.3329
2020-02-18,62.4985
2020-02-19,64.1702
2020-02-20,62.1106
2020-02-21,62.7103
2020-02-22,62.7103
2020-02-23,62.7103
2020-02-24,60.1375
2020-02-25,54.5885
2020-02-26,53.3546
2020-02-27,55.6493
2020-02-28,44.869
2020-02-29,44.869
2020-03-01,44.869
2020-03-02,55.7865
2020-03-03,49.9361
2020-03-04,58.7664
2020-03-05,58.9855
2020-03-06,53.5935
2020-03-07,53.5935
2020-03-08,53.5935
2020-03-09,50.7357
2020-03-10,46.6081
2020-03-11,40.2159
2020-03-12,33.5121
2020-03-13,40.5124
2020-03-14,40.5124
2020-03-15,40.5124
2020-03-16,34.3978
2020-03-17,34.3049
2020-03-18,30.2036
2020-03-19,31.9822
2020-03-20,30.2291
2020-03-21,30.2291
2020-03-22,30.2291
2020-03-23,30.187
2020-03-24,34.113
2020-03-25,33.9888
2020-03-26,42.3036
2020-03-27,39.2742
2020-03-28,39.2742
2020-03-29,39.2742
2020-03-30,39.2643
2020-03-31,37.9036
2020-04-01,37.1649
2020-04-02,36.5296
2020-04-03,34.6231
2020-04-04,34.6231
2020-04-05,34.6231
