,MAT US Equity
,RSI_30D
2020-01-01,60.924
2020-01-02,58.6813
2020-01-03,59.7921
2020-01-04,59.7921
2020-01-05,59.7921
2020-01-06,63.0679
2020-01-07,63.6392
2020-01-08,63.1796
2020-01-09,63.8812
2020-01-10,62.0924
2020-01-11,62.0924
2020-01-12,62.0924
2020-01-13,64.0647
2020-01-14,65.3595
2020-01-15,59.3431
2020-01-16,59.3999
2020-01-17,60.9261
2020-01-18,60.9261
2020-01-19,60.9261
2020-01-20,60.9261
2020-01-21,61.3161
2020-01-22,61.543
2020-01-23,61.8613
2020-01-24,60.3125
2020-01-25,60.3125
2020-01-26,60.3125
2020-01-27,58.8349
2020-01-28,61.2299
2020-01-29,61.2897
2020-01-30,61.7771
2020-01-31,61.9629
2020-02-01,61.9629
2020-02-02,61.9629
2020-02-03,59.953
2020-02-04,59.3555
2020-02-05,57.5748
2020-02-06,58.4348
2020-02-07,56.1768
2020-02-08,56.1768
2020-02-09,56.1768
2020-02-10,57.6489
2020-02-11,57.7224
2020-02-12,59.3279
2020-02-13,58.185
2020-02-14,53.7991
2020-02-15,53.7991
2020-02-16,53.7991
2020-02-17,53.7991
2020-02-18,48.3152
2020-02-19,46.554
2020-02-20,48.1353
2020-02-21,45.8458
2020-02-22,45.8458
2020-02-23,45.8458
2020-02-24,42.2885
2020-02-25,39.2287
2020-02-26,37.8799
2020-02-27,37.2313
2020-02-28,39.5513
2020-02-29,39.5513
2020-03-01,39.5513
2020-03-02,41.0257
2020-03-03,40.3666
2020-03-04,47.6782
2020-03-05,46.3128
2020-03-06,41.2539
2020-03-07,41.2539
2020-03-08,41.2539
2020-03-09,34.8397
2020-03-10,34.2322
2020-03-11,30.4245
2020-03-12,27.438
2020-03-13,29.8137
2020-03-14,29.8137
2020-03-15,29.8137
2020-03-16,28.7295
2020-03-17,34.1305
2020-03-18,33.6037
2020-03-19,33.4779
2020-03-20,30.3088
2020-03-21,30.3088
2020-03-22,30.3088
2020-03-23,29.7955
2020-03-24,35.2854
2020-03-25,37.4311
2020-03-26,40.1673
2020-03-27,39.2121
2020-03-28,39.2121
2020-03-29,39.2121
2020-03-30,40.8744
2020-03-31,39.8527
2020-04-01,38.3482
2020-04-02,38.0443
2020-04-03,36.2292
2020-04-04,36.2292
2020-04-05,36.2292
2020-04-06,39.02
