,ABTX US Equity
,RSI_30D
2020-01-01,59.1302
2020-01-02,58.1785
2020-01-03,57.5885
2020-01-04,57.5885
2020-01-05,57.5885
2020-01-06,57.6994
2020-01-07,55.0193
2020-01-08,57.8334
2020-01-09,57.2407
2020-01-10,55.6907
2020-01-11,55.6907
2020-01-12,55.6907
2020-01-13,56.0425
2020-01-14,56.3413
2020-01-15,54.7998
2020-01-16,57.2786
2020-01-17,55.8867
2020-01-18,55.8867
2020-01-19,55.8867
2020-01-20,55.8867
2020-01-21,52.7205
2020-01-22,52.7848
2020-01-23,53.3107
2020-01-24,51.2441
2020-01-25,51.2441
2020-01-26,51.2441
2020-01-27,49.1329
2020-01-28,50.4698
2020-01-29,57.206
2020-01-30,58.169
2020-01-31,53.0255
2020-02-01,53.0255
2020-02-02,53.0255
2020-02-03,56.769
2020-02-04,56.572
2020-02-05,59.9295
2020-02-06,60.5604
2020-02-07,57.4842
2020-02-08,57.4842
2020-02-09,57.4842
2020-02-10,56.9636
2020-02-11,57.2639
2020-02-12,57.3152
2020-02-13,58.5516
2020-02-14,58.1884
2020-02-15,58.1884
2020-02-16,58.1884
2020-02-17,58.1884
2020-02-18,52.1625
2020-02-19,52.7807
2020-02-20,53.7367
2020-02-21,52.8896
2020-02-22,52.8896
2020-02-23,52.8896
2020-02-24,47.3645
2020-02-25,42.6557
2020-02-26,40.7584
2020-02-27,35.8359
2020-02-28,33.1503
2020-02-29,33.1503
2020-03-01,33.1503
2020-03-02,38.5987
2020-03-03,36.2199
2020-03-04,38.5494
2020-03-05,33.5634
2020-03-06,29.2633
2020-03-07,29.2633
2020-03-08,29.2633
2020-03-09,23.6134
2020-03-10,29.9744
2020-03-11,26.8996
2020-03-12,24.6271
2020-03-13,31.5106
2020-03-14,31.5106
2020-03-15,31.5106
2020-03-16,27.3859
2020-03-17,37.5139
2020-03-18,35.3327
2020-03-19,38.9401
2020-03-20,36.1502
2020-03-21,36.1502
2020-03-22,36.1502
2020-03-23,33.6348
2020-03-24,37.7552
2020-03-25,36.9375
2020-03-26,39.8057
2020-03-27,37.6362
2020-03-28,37.6362
2020-03-29,37.6362
2020-03-30,38.6643
2020-03-31,38.5091
2020-04-01,36.3382
2020-04-02,37.85
2020-04-03,36.3282
2020-04-04,36.3282
2020-04-05,36.3282
2020-04-06,39.6855
2020-04-07,39.016
2020-04-08,41.6179
2020-04-09,46.2315
2020-04-10,46.2315
2020-04-11,46.2315
2020-04-12,46.2315
2020-04-13,43.5909
2020-04-14,43.0965
2020-04-15,40.7533
2020-04-16,39.5172
2020-04-17,42.0846
2020-04-18,42.0846
2020-04-19,42.0846
2020-04-20,41.1231
2020-04-21,40.6312
2020-04-22,41.1513
2020-04-23,41.5749
2020-04-24,41.9889
2020-04-25,41.9889
2020-04-26,41.9889
2020-04-27,44.9703
2020-04-28,46.736
2020-04-29,50.56
2020-04-30,46.5951
2020-05-01,45.8072
2020-05-02,45.8072
2020-05-03,45.8072
2020-05-04,44.7123
2020-05-05,43.4213
2020-05-06,42.7886
2020-05-07,43.9047
2020-05-08,46.1127
2020-05-09,46.1127
2020-05-10,46.1127
2020-05-11,45.233
2020-05-12,43.7817
2020-05-13,43.721
2020-05-14,43.8999
2020-05-15,43.7274
2020-05-16,43.7274
2020-05-17,43.7274
2020-05-18,47.2995
2020-05-19,45.4634
2020-05-20,48.4587
2020-05-21,48.3969
2020-05-22,48.365
2020-05-23,48.365
2020-05-24,48.365
2020-05-25,48.365
2020-05-26,51.1149
2020-05-27,53.3575
2020-05-28,50.6598
2020-05-29,49.6754
2020-05-30,49.6754
2020-05-31,49.6754
2020-06-01,49.3664
2020-06-02,49.1333
2020-06-03,51.1768
2020-06-04,52.3324
2020-06-05,55.4637
2020-06-06,55.4637
2020-06-07,55.4637
2020-06-08,55.7628
2020-06-09,55.3971
2020-06-10,51.397
2020-06-11,47.4464
2020-06-12,48.1923
2020-06-13,48.1923
2020-06-14,48.1923
2020-06-15,49.4573
2020-06-16,50.6376
2020-06-17,47.9922
2020-06-18,48.1306
2020-06-19,47.3484
2020-06-20,47.3484
2020-06-21,47.3484
2020-06-22,48.5028
2020-06-23,48.3315
2020-06-24,46.5296
2020-06-25,47.8391
2020-06-26,45.6118
2020-06-27,45.6118
2020-06-28,45.6118
2020-06-29,48.254
2020-06-30,49.4609
2020-07-01,46.9261
2020-07-02,46.7938
2020-07-03,46.7938
2020-07-04,46.7938
2020-07-05,46.7938
2020-07-06,46.6068
2020-07-07,45.697
2020-07-08,44.9098
2020-07-09,43.2834
2020-07-10,45.2091
2020-07-11,45.2091
2020-07-12,45.2091
2020-07-13,45.9189
2020-07-14,45.6669
2020-07-15,48.1879
2020-07-16,47.673
2020-07-17,46.2713
2020-07-18,46.2713
2020-07-19,46.2713
2020-07-20,45.0853
2020-07-21,48.5592
2020-07-22,47.6787
2020-07-23,48.9689
2020-07-24,48.5494
2020-07-25,48.5494
2020-07-26,48.5494
2020-07-27,47.6052
2020-07-28,47.3619
2020-07-29,49.4978
2020-07-30,50.8726
2020-07-31,49.5641
2020-08-01,49.5641
2020-08-02,49.5641
2020-08-03,48.9133
2020-08-04,48.6929
2020-08-05,50.3593
2020-08-06,50.6128
2020-08-07,53.9523
2020-08-08,53.9523
2020-08-09,53.9523
2020-08-10,55.4786
2020-08-11,55.5609
2020-08-12,55.1127
2020-08-13,53.8438
2020-08-14,54.2299
2020-08-15,54.2299
2020-08-16,54.2299
2020-08-17,52.4415
2020-08-18,50.389
2020-08-19,51.131
2020-08-20,49.5715
2020-08-21,49.1142
2020-08-22,49.1142
2020-08-23,49.1142
2020-08-24,52.3715
2020-08-25,52.2107
2020-08-26,50.7596
2020-08-27,52.5288
2020-08-28,53.9762
2020-08-29,53.9762
2020-08-30,53.9762
2020-08-31,50.9012
2020-09-01,51.383
2020-09-02,51.0828
2020-09-03,50.8871
2020-09-04,53.0661
2020-09-05,53.0661
2020-09-06,53.0661
2020-09-07,53.0661
